BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,This table is Auto-Generated.,,,,,,,,,,,
#,B: ,JNR_DC185_Formation.xlsx,,,,,,,,,,
#,W: ,Force,,,F: ,2M0m,,,,,,
50,4608.862457,8295.952422,12904.81488,16591.90484,18435.44983,-289.762527,4556.07859,7087.233362,9112.157179,10124.61909,-965.8750901,-1931.75018
51,4485.62764,8074.129752,12559.75739,16148.2595,17942.51056,-292.4891165,4616.128508,7180.644345,9232.257015,10258.06335,-974.9637215,-1949.927443
52,4431.155559,7976.080005,12407.23556,15952.16001,17724.62223,-293.8401452,4645.000957,7225.557044,9290.001914,10322.22435,-979.4671505,-1958.934301
53,4308.630003,7755.534006,12064.16401,15511.06801,17234.52001,-296.5254507,4700.331457,7311.62671,9400.662913,10445.18101,-988.4181691,-1976.836338
54,4186.015992,7534.828786,11720.84478,15069.65757,16744.06397,-299.1988805,4752.311743,7392.484934,9504.623487,10560.69276,-997.3296017,-1994.659203
55,4063.198504,7313.757307,11376.95581,14627.51461,16252.79402,-301.8730901,4800.803644,7467.916779,9601.607288,10668.45254,-1006.243634,-2012.487267
56,4010.753698,7219.356657,11230.11036,14438.71331,16043.01479,-303.2144745,4823.704524,7503.540371,9647.409049,10719.34339,-1010.714915,-2021.42983
57,3888.217716,6998.791888,10887.0096,13997.58378,15552.87086,-305.9138422,4866.755393,7570.508388,9733.510785,10815.01198,-1019.712807,-2039.425614
58,3765.3087,6777.555661,10542.86436,13555.11132,15061.2348,-308.6461468,4906.075501,7631.673002,9812.151002,10902.39,-1028.820489,-2057.640979
59,3714.184097,6685.531374,10399.71547,13371.06275,14856.73639,-310.0287303,4924.318897,7660.051618,9848.637795,10942.93088,-1033.429101,-2066.858202
60,3591.443112,6464.597601,10056.04071,12929.1952,14365.77245,-312.8349841,4957.951305,7712.368697,9915.90261,11017.66957,-1042.78328,-2085.56656
61,3468.268126,6242.882626,9711.150752,12485.76525,13873.0725,-315.7070724,4987.76893,7758.751668,9975.537859,11083.93095,-1052.356908,-2104.713816
62,3418.491941,6153.285494,9571.777435,12306.57099,13673.96776,-317.1719769,5001.250041,7779.722287,10002.50008,11113.88898,-1057.239923,-2114.479846
63,3295.519711,5931.935481,9227.455192,11863.87096,13182.07885,-320.1679158,5025.377004,7817.253117,10050.75401,11167.50445,-1067.226386,-2134.452772
64,3172.15947,5709.887047,8882.046517,11419.77409,12688.63788,-323.2633272,5045.769612,7848.974953,10091.53922,11212.82136,-1077.544424,-2155.088848
65,3123.851226,5622.932207,8746.783434,11245.86441,12495.40491,-324.8526,5054.588861,7862.693783,10109.17772,11232.41969,-1082.842,-2165.684
66,3000.869773,5401.565591,8402.435364,10803.13118,12003.47909,-328.122874,5069.533826,7885.941507,10139.06765,11265.63072,-1093.742913,-2187.485827
67,2906.176865,5231.118357,8137.295222,10462.23671,11624.70746,-331.5269987,5080.986246,7903.756382,10161.97249,11291.08055,-1105.089996,-2210.179991
68,2784.534123,5012.161421,7796.695544,10024.32284,11138.13649,-335.0789324,5089.085595,7916.355371,10178.17119,11309.0791,-1116.929775,-2233.85955
69,2738.232383,4928.81829,7667.050673,9857.63658,10952.92953,-336.9147222,5091.927718,7920.776451,10183.85544,11315.39493,-1123.049074,-2246.098148
70,2617.409402,4711.336924,7328.746326,9422.673848,10469.63761,-340.714801,5095.308401,7926.035291,10190.6168,11322.90756,-1135.716003,-2271.432007
71,2527.099531,4548.779156,7075.878686,9097.558311,10108.39812,-344.6981036,5095.781125,7926.770639,10191.56225,11323.95806,-1148.993679,-2297.987357
72,2452.401186,4414.322134,6866.72332,8828.644269,9809.604743,-346.7629507,5094.992698,7925.544197,10189.9854,11322.206,-1155.876502,-2311.753005
73,2364.39521,4255.911378,6620.306588,8511.822757,9457.580841,-351.0480755,5091.507047,7920.122074,10183.01409,11314.46011,-1170.160252,-2340.320503
74,2247.011195,4044.620152,6291.631347,8089.240304,8988.044782,-355.5525788,5085.675123,7911.050192,10171.35025,11301.50027,-1185.175263,-2370.350526
75,2204.377737,3967.879926,6172.257663,7935.759853,8817.510947,-357.891677,5081.956968,7905.266395,10163.91394,11293.23771,-1192.972257,-2385.944514
76,2088.721485,3759.698673,5848.420158,7519.397346,8354.88594,-362.7527902,5073.077729,7891.454245,10146.15546,11273.50606,-1209.175967,-2418.351935
77,2006.45324,3611.615831,5618.069071,7223.231663,8025.812958,-367.8701773,5062.49621,7874.994104,10124.99242,11249.99158,-1226.233924,-2452.467849
78,1933.847494,3480.92549,5414.772984,6961.850979,7735.389977,-370.5296456,5056.651691,7865.902631,10113.30338,11237.00376,-1235.098819,-2470.197637
79,1854.547412,3338.185341,5192.732753,6676.370682,7418.189647,-376.0595405,5044.026404,7846.263296,10088.05281,11208.94757,-1253.531802,-2507.063603
80,1744.612801,3140.303041,4884.915842,6280.606083,6978.451203,-381.8833448,5030.381701,7825.038202,10060.7634,11178.626,-1272.944483,-2545.888966
81,1669.109425,3004.396966,4673.506391,6008.793931,6676.437701,-388.0163201,5015.990132,7802.651316,10031.98026,11146.64474,-1293.387734,-2586.775467
82,1631.837403,2937.307325,4569.144728,5874.61465,6527.349612,-391.2035484,5008.597946,7791.152361,10017.19589,11130.21766,-1304.011828,-2608.023656
83,1527.479213,2749.462583,4276.941796,5498.925167,6109.916852,-397.8291544,4993.583168,7767.796039,9987.166336,11096.85148,-1326.097181,-2652.194362
84,1456.754032,2622.157258,4078.91129,5244.314516,5827.016128,-404.8026032,4978.468354,7744.284106,9956.936708,11063.26301,-1349.342011,-2698.684022
85,1390.859725,2503.547504,3894.407229,5007.095008,5563.438898,-408.4246629,4970.947295,7732.58468,9941.894589,11046.54954,-1361.415543,-2722.831086
86,1323.795136,2382.831244,3706.62638,4765.662489,5295.180543,-415.9493057,4956.114658,7709.51169,9912.229316,11013.58813,-1386.497686,-2772.995371
87,1258.214352,2264.785834,3523.000186,4529.571668,5032.857409,-423.8612037,4941.725994,7687.129323,9883.451987,10981.61332,-1412.870679,-2825.741358
88,1196.393767,2153.508781,3349.902547,4307.017561,4785.575068,-427.9673601,4934.753273,7676.282868,9869.506545,10966.11838,-1426.557867,-2853.115734
89,1134.667965,2042.402337,3177.070303,4084.804675,4538.671861,-436.4901257,4921.343571,7655.423333,9842.687142,10936.31905,-1454.967086,-2909.934171
90,1074.516905,1934.130429,3008.647335,3868.260859,4298.067621,-445.4402991,4908.744395,7635.824615,9817.488791,10908.32088,-1484.800997,-2969.601994
91,1017.128314,1830.830965,2847.959278,3661.661929,4068.513255,-450.0807429,4902.775061,7626.538984,9805.550123,10895.05569,-1500.269143,-3000.538286
92,960.9597518,1729.727553,2690.687305,3459.455106,3843.839007,-459.7025681,4891.5242,7609.037645,9783.0484,10870.05378,-1532.341894,-3064.683787
93,906.4181008,1631.552581,2537.970682,3263.105163,3625.672403,-469.7926939,4881.189154,7592.960906,9762.378308,10847.08701,-1565.975646,-3131.951293
94,879.7661811,1583.579126,2463.345307,3167.158252,3519.064724,-475.0185414,4876.351332,7585.435406,9752.702664,10836.33629,-1583.395138,-3166.790276
95,803.2224776,1445.80046,2249.022937,2891.600919,3212.88991,-485.8422136,4867.273925,7571.314994,9734.547849,10816.16428,-1619.474045,-3238.94809
96,754.3431941,1357.817749,2112.160944,2715.635499,3017.372777,-497.1758197,4858.863375,7558.231916,9717.72675,10797.47417,-1657.252732,-3314.505464
97,707.1053916,1272.789705,1979.895097,2545.57941,2828.421567,-509.0362202,4850.898336,7545.841856,9701.796672,10779.77408,-1696.787401,-3393.574802
98,661.6458626,1190.962553,1852.608415,2381.925105,2646.58345,-515.1692698,4846.992067,7539.765438,9693.984134,10771.09348,-1717.230899,-3434.461799
99,618.3389332,1113.01008,1731.349013,2226.02016,2473.355733,-527.8517348,4839.103592,7527.494477,9678.207185,10753.56354,-1759.505783,-3519.011565
100,576.6055578,1037.890004,1614.495562,2075.780008,2306.422231,-541.1036639,4830.742045,7514.487626,9661.484091,10734.98232,-1803.67888,-3607.357759
101,556.3226666,1001.3808,1557.703467,2002.7616,2225.290667,-547.9485714,4826.221407,7507.455522,9652.442814,10724.93646,-1826.495238,-3652.990476
102,516.9066015,930.4318826,1447.338484,1860.863765,2067.626406,-562.0871246,4816.118348,7491.739653,9632.236697,10702.48522,-1873.623749,-3747.247498
103,461.5132011,830.7237621,1292.236963,1661.447524,1846.052805,-576.838552,4804.008795,7472.90257,9608.01759,10675.5751,-1922.795173,-3845.590347
104,443.7766726,798.7980106,1242.574683,1597.596021,1775.10669,-584.4495799,4796.952353,7461.925882,9593.904705,10659.89412,-1948.165266,-3896.330533
105,409.3281747,736.7907145,1146.118889,1473.581429,1637.312699,-600.1533016,4780.269427,7435.974664,9560.538853,10622.82095,-2000.511005,-4001.022011
106,376.1933722,677.1480699,1053.341442,1354.29614,1504.773489,-616.5140477,4759.307568,7403.367328,9518.615136,10576.23904,-2055.046826,-4110.093652
107,360.0962674,648.1732813,1008.269549,1296.346563,1440.385069,-624.9463839,4746.869774,7384.019648,9493.739547,10548.5995,-2083.154613,-4166.309226
108,328.7914709,591.8246476,920.6161185,1183.649295,1315.165884,-642.326205,4717.295749,7338.01561,9434.591499,10482.87944,-2141.08735,-4282.1747
109,298.5953381,537.4716086,836.0669467,1074.943217,1194.381352,-660.4079412,4680.297988,7280.463536,9360.595975,10400.66219,-2201.359804,-4402.719608
110,269.4040636,484.9273145,754.3313781,969.854629,1077.616254,-679.2097558,4634.342686,7208.977512,9268.685373,10298.5393,-2264.032519,-4528.065039
111,255.1492291,459.2686124,714.4178415,918.5372247,1020.596916,-688.8864011,4607.479931,7167.191003,9214.959861,10238.84429,-2296.288004,-4592.576007
112,217.9420771,392.2957389,610.237816,784.5914777,871.7683086,-708.8026493,4544.833935,7069.741677,9089.667871,10099.63097,-2362.675498,-4725.350995
113,191.7865199,345.2157359,537.0022558,690.4314717,767.1460797,-729.4849031,4468.622783,6951.190996,8937.245566,9930.272851,-2431.616344,-4863.232687
114,178.9217813,322.0592063,500.9809875,644.1184125,715.687125,-740.1190831,4424.757489,6882.956094,8849.514978,9832.79442,-2467.06361,-4934.127221
115,153.5165828,276.329849,429.8464318,552.659698,614.0663311,-761.9852162,4324.049827,6726.299731,8648.099654,9608.999615,-2539.950721,-5079.901441
116,128.3978425,231.1161166,359.5139591,462.2322332,513.5913702,-784.6640222,4203.939547,6539.461518,8407.879094,9342.087883,-2615.546741,-5231.093481
117,115.8878136,208.5980645,324.4858781,417.196129,463.5512544,-796.3140711,4135.768719,6433.418007,8271.537438,9190.597153,-2654.380237,-5308.760474
118,90.84221636,163.5159895,254.3582058,327.0319789,363.3688655,-820.2473127,3981.389547,6193.272628,7962.779093,8847.532326,-2734.157709,-5468.315418
119,65.58587066,118.0545672,183.6404378,236.1091344,262.3434826,-845.0406349,3800.375909,5911.695858,7600.751818,8445.279797,-2816.802116,-5633.604233
120,52.80875755,95.05576358,147.8645211,190.1115272,211.2350302,-857.7658124,3698.853222,5753.771678,7397.706443,8219.673826,-2859.219375,-5718.438749
121,27.94420751,50.29957352,78.24378103,100.599147,111.77683,-883.8852369,3471.578043,5400.232511,6943.156085,7714.617872,-2946.284123,-5892.568246
122,0.002293758,0.004128764,0.006422521,0.008257527,0.00917503,-910.9128899,3208.868443,4991.573133,6417.736885,7130.818762,-3036.3763,-6072.7526
123,0,0,0,0,0,-938.8682381,2906.72471,4521.571771,5813.44942,6459.388244,-3129.560794,-6259.121587
124,0,0,0,0,0,-953.1999134,2739.535579,4261.499789,5479.071157,6087.856841,-3177.333045,-6354.66609
125,0,0,0,0,0,-982.5835629,2370.098685,3686.820177,4740.197371,5266.885968,-3275.278543,-6550.557086
126,0,0,0,0,0,-1012.944092,1949.923037,3033.213613,3899.846074,4333.162304,-3376.480306,-6752.960612
127,0,0,0,0,0,-1028.496894,1719.234646,2674.365005,3438.469292,3820.521435,-3428.322981,-6856.645962
128,0,0,0,0,0,-1060.360056,1213.32711,1887.397727,2426.65422,2696.282467,-3534.533521,-7069.067042
129,0,0,0,0,0,-1093.250023,643.3537294,1000.772468,1286.707459,1429.674954,-3644.166742,-7288.333484
130,0,0,0,0,0,-1110.086358,332.4995332,517.2214961,664.9990664,738.8878516,-3700.28786,-7400.575721
131,0,0,0,0,0,-1144.5544,0,0,0,0,-3815.181333,-7630.362666
132,0,0,0,0,0,-1180.099911,0,0,0,0,-3933.66637,-7867.33274
133,0,0,0,0,0,-1198.283111,0,0,0,0,-3994.277036,-7988.554071
134,0,0,0,0,0,-1235.48325,0,0,0,0,-4118.2775,-8236.555
135,0,0,0,0,0,-1273.812264,0,0,0,0,-4246.04088,-8492.08176
136,0,0,0,0,0,-1313.290922,0,0,0,0,-4377.636406,-8755.272812
137,0,0,0,0,0,-1333.46789,0,0,0,0,-4444.892967,-8889.785934
138,0,0,0,0,0,-1374.710216,0,0,0,0,-4582.367386,-9164.734773
139,0,0,0,0,0,-1417.154627,0,0,0,0,-4723.848758,-9447.697516
140,0,0,0,0,0,-1438.834231,0,0,0,0,-4796.114103,-9592.228205
141,0,0,0,0,0,-1483.121528,0,0,0,0,-4943.738427,-9887.476853
142,0,0,0,0,0,-1528.664093,0,0,0,0,-5095.546977,-10191.09395
143,0,0,0,0,0,-1551.912809,0,0,0,0,-5173.042697,-10346.08539
144,0,0,0,0,0,-1599.378588,0,0,0,0,-5331.261961,-10662.52392
145,0,0,0,0,0,-1648.153558,0,0,0,0,-5493.845193,-10987.69039
146,0,0,0,0,0,-1673.03879,0,0,0,0,-5576.795966,-11153.59193
147,0,0,0,0,0,-1723.818412,0,0,0,0,-5746.061374,-11492.12275
148,0,0,0,0,0,-1775.961888,0,0,0,0,-5919.87296,-11839.74592
149,0,0,0,0,0,-1829.491289,0,0,0,0,-6098.304296,-12196.60859
150,0,0,0,0,0,-1856.782642,0,0,0,0,-6189.275472,-12378.55094
151,0,0,0,0,0,-1912.432576,0,0,0,0,-6374.775252,-12749.5505
152,0,0,0,0,0,-1969.524134,0,0,0,0,-6565.080447,-13130.16089
153,0,0,0,0,0,-1998.617545,0,0,0,0,-6662.058484,-13324.11697
154,0,0,0,0,0,-2057.913741,0,0,0,0,-6859.712469,-13719.42494
155,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0
