BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,This table is Auto-Generated.,,,,,,,,,,,
#,B: ,JNR_DC185_Formation.xlsx,,,,,,,,,,
#,W: ,Current,,,F: ,2M0m,,,,,,
52,7.783473786,14.01025282,21.7937266,28.02050563,31.13389515,0.516140099,8.159100422,12.69193399,16.31820084,18.13133427,1.720466996,3.440933991
53,7.568253527,13.62285635,21.19110988,27.2457127,30.27301411,0.520856928,8.256290305,12.84311825,16.51258061,18.34731179,1.736189761,3.472379522
54,7.352877893,13.23518021,20.5880581,26.47036041,29.41151157,0.525552898,8.347595427,12.98514844,16.69519085,18.55021206,1.751842992,3.503685984
55,7.137144843,12.84686072,19.98400556,25.69372144,28.54857937,0.530250237,8.432773082,13.11764702,16.86554616,18.73949574,1.767500789,3.535001577
56,7.045023778,12.6810428,19.72606658,25.3620856,28.18009511,0.532606424,8.472999249,13.18022105,16.9459985,18.82888722,1.775354745,3.55070949
57,6.829785203,12.29361337,19.12339857,24.58722673,27.31914081,0.537347954,8.548619547,13.29785263,17.09723909,18.99693233,1.791159845,3.58231969
58,6.613891383,11.90500449,18.51889587,23.81000898,26.45556553,0.542147339,8.61768664,13.40529033,17.23537328,19.15041476,1.807157795,3.61431559
59,6.524089297,11.74336074,18.26745003,23.48672147,26.09635719,0.544575893,8.649731779,13.45513832,17.29946356,19.22162618,1.815252977,3.630505953
60,6.308490629,11.35528313,17.66377376,22.71056626,25.23396251,0.549505172,8.708808235,13.54703503,17.41761647,19.35290719,1.831683907,3.663367814
61,6.092129623,10.96583332,17.05796294,21.93166664,24.36851849,0.554550092,8.761183895,13.62850828,17.52236779,19.46929754,1.848500306,3.697000613
62,6.00469608,10.80845294,16.81314902,21.61690589,24.01878432,0.557123246,8.784863922,13.66534388,17.56972784,19.52191983,1.857077486,3.714154972
63,5.788691222,10.4196442,16.20833542,20.8392884,23.15476489,0.562385713,8.827243743,13.73126804,17.65448749,19.61609721,1.874619045,3.74923809
64,5.572004809,10.02960866,15.60161347,20.05921731,22.28801924,0.567822908,8.863064045,13.78698852,17.72612809,19.69569788,1.892743026,3.785486051
65,5.487149754,9.876869557,15.36401931,19.75373911,21.94859902,0.570614519,8.878555352,13.8110861,17.7571107,19.730123,1.902048396,3.804096791
66,5.271128694,9.488031649,14.75916034,18.9760633,21.08451478,0.576358865,8.904806686,13.85192151,17.80961337,19.7884593,1.921196217,3.842392434
67,5.104797416,9.18863535,14.29343277,18.3772707,20.41918967,0.582338325,8.924923246,13.88321394,17.84984649,19.83316277,1.941127748,3.882255497
68,4.891127849,8.804030127,13.69515798,17.60806025,19.56451139,0.588577416,8.939150026,13.90534449,17.87830005,19.86477784,1.961924719,3.923849438
69,4.809797285,8.657635114,13.4674324,17.31527023,19.23918914,0.591802042,8.944142311,13.91311026,17.88828462,19.8758718,1.972673474,3.945346947
70,4.597567655,8.275621779,12.87318943,16.55124356,18.39027062,0.598477008,8.950080594,13.92234759,17.90016119,19.88906799,1.994923361,3.989846722
71,4.438935328,7.990083591,12.42901892,15.98016718,17.75574131,0.605473813,8.95091095,13.92363926,17.9018219,19.89091322,2.018246044,4.036492088
72,4.307725172,7.75390531,12.06163048,15.50781062,17.23090069,0.609100787,8.949526052,13.92148497,17.8990521,19.88783567,2.030335956,4.060671912
73,4.153139716,7.475651489,11.62879121,14.95130298,16.61255886,0.616627753,8.943403388,13.91196083,17.88680678,19.87422975,2.055425842,4.110851683
74,3.946950746,7.104511343,11.05146209,14.20902269,15.78780298,0.624540064,8.933159417,13.89602576,17.86631883,19.85146537,2.081800214,4.163600428
75,3.872063642,6.969714556,10.8417782,13.93942911,15.48825457,0.628648769,8.926628354,13.88586633,17.85325671,19.8369519,2.095495896,4.190991793
76,3.668909545,6.604037181,10.27294673,13.20807436,14.67563818,0.637187478,8.91103167,13.86160482,17.82206334,19.8022926,2.123958259,4.247916518
77,3.524402605,6.343924689,9.868327294,12.68784938,14.09761042,0.64617634,8.892444876,13.83269203,17.78488975,19.76098861,2.153921134,4.307842268
78,3.396868171,6.114362708,9.51123088,12.22872542,13.58747269,0.650847786,8.882178783,13.81672255,17.76435757,19.73817507,2.169492619,4.338985238
79,3.257574909,5.863634836,9.121209745,11.72726967,13.03029964,0.660561232,8.860002042,13.7822254,17.72000408,19.68889343,2.201870774,4.403741548
80,3.064471067,5.51604792,8.580518987,11.03209584,12.25788427,0.67079094,8.836034662,13.74494281,17.67206932,19.63563258,2.235969801,4.471939602
81,2.931846848,5.277324327,8.209171175,10.55464865,11.72738739,0.681563718,8.810755386,13.70561949,17.62151077,19.57945641,2.271879059,4.543758118
82,2.866377287,5.159479117,8.025856404,10.31895823,11.46550915,0.687162191,8.797770764,13.68542119,17.59554153,19.5506017,2.290540638,4.581081276
83,2.683068616,4.829523509,7.512592126,9.659047019,10.73227447,0.698800291,8.771396801,13.64439502,17.5427936,19.49199289,2.329334304,4.658668608
84,2.558837457,4.605907423,7.16474488,9.211814846,10.23534983,0.711049389,8.744847121,13.60309552,17.48969424,19.4329936,2.370164629,4.740329258
85,2.44309189,4.397565401,6.840657291,8.795130803,9.772367558,0.717411658,8.731636127,13.58254509,17.46327225,19.40363584,2.391372194,4.782744388
86,2.325290684,4.18552323,6.510813914,8.371046461,9.301162734,0.730628947,8.705582102,13.5420166,17.4111642,19.345738,2.435429822,4.870859643
87,2.210095831,3.978172497,6.188268328,7.956344993,8.840383326,0.744526461,8.680307929,13.50270122,17.36061586,19.28957318,2.481754872,4.963509743
88,2.101505894,3.782710609,5.884216503,7.565421218,8.406023576,0.751739063,8.66806011,13.48364906,17.33612022,19.2623558,2.505796877,5.011593755
89,1.993082447,3.587548405,5.580630852,7.17509681,7.972329788,0.766709588,8.644505519,13.44700858,17.28901104,19.21001226,2.555698626,5.111397252
90,1.887425087,3.397365156,5.284790243,6.794730313,7.549700348,0.782430868,8.622374643,13.41258278,17.24474929,19.16083254,2.608102895,5.216205789
91,1.786620095,3.215916172,5.002536267,6.431832343,7.146480381,0.790581964,8.611889307,13.39627226,17.22377861,19.13753179,2.635273213,5.270546427
92,1.687958127,3.038324629,4.726282756,6.076649258,6.751832509,0.807483024,8.59212679,13.36553056,17.18425358,19.09361509,2.691610079,5.383220157
93,1.592153883,2.865876989,4.458030871,5.731753977,6.36861553,0.825206669,8.573972934,13.33729123,17.14794587,19.05327319,2.750688897,5.501377793
94,1.545338889,2.781610001,4.32694889,5.563220001,6.181355557,0.834386046,8.565475138,13.32407244,17.13095028,19.03438919,2.781286819,5.562573638
95,1.410887299,2.539597139,3.950484438,5.079194278,5.643549197,0.85339819,8.549530366,13.29926946,17.09906073,18.99895637,2.844660634,5.689321267
96,1.325029194,2.385052549,3.710081743,4.770105098,5.300116775,0.87330605,8.534756952,13.27628859,17.0695139,18.96612656,2.911020168,5.822040336
97,1.242054405,2.235697929,3.477752334,4.471395858,4.968217619,0.894139243,8.520766093,13.25452503,17.04153219,18.93503576,2.980464143,5.960928286
98,1.162203213,2.091965783,3.254168996,4.183931567,4.648812852,0.904912151,8.513904601,13.2438516,17.0278092,18.919788,3.016373836,6.032747672
99,1.086133135,1.955039643,3.041172778,3.910079286,4.34453254,0.927189327,8.50004823,13.22229725,17.00009646,18.88899607,3.09063109,6.181262181
100,1.012827057,1.823088703,2.83591576,3.646177406,4.051308228,0.950466786,8.485360891,13.19945028,16.97072178,18.85635754,3.168222621,6.336445243
101,0.977199477,1.758959058,2.736158534,3.517918116,3.908797906,0.962490097,8.477420238,13.18709815,16.95484048,18.83871164,3.208300322,6.416600644
102,0.907963832,1.634334898,2.54229873,3.268669796,3.631855329,0.987324941,8.459673876,13.1594927,16.91934775,18.79927528,3.291083137,6.582166273
103,0.810663461,1.459194231,2.269857692,2.918388461,3.242653846,1.013236319,8.438403038,13.12640473,16.87680608,18.75200675,3.377454398,6.754908796
104,0.779508652,1.403115574,2.182624227,2.806231149,3.118034609,1.026605346,8.426008159,13.1071238,16.85201632,18.72446258,3.422017819,6.844035639
105,0.718998707,1.294197673,2.01319638,2.588395346,2.875994829,1.054189461,8.396704039,13.06153962,16.79340808,18.65934231,3.513964871,7.027929742
106,0.660796312,1.189433362,1.850229673,2.378866723,2.643185248,1.082927662,8.359883829,13.00426373,16.71976766,18.57751962,3.609758874,7.219517748
107,0.632521206,1.138538171,1.771059377,2.277076341,2.530084824,1.097739344,8.338036425,12.97027888,16.67607285,18.52896983,3.659131147,7.318262295
108,0.577533278,1.0395599,1.617093178,2.079119801,2.310133112,1.128267585,8.286088656,12.88947124,16.57217731,18.41353035,3.760891949,7.521783898
109,0.524492755,0.944086959,1.468579714,1.888173918,2.09797102,1.160028762,8.221100844,12.78837909,16.44220169,18.26911299,3.866762541,7.733525082
110,0.473217299,0.851791139,1.325008439,1.703582278,1.892869198,1.193054782,8.140378811,12.66281148,16.28075762,18.08973069,3.976849274,7.953698548
111,0.448178203,0.806720766,1.254898969,1.613441531,1.792712813,1.210052135,8.093193477,12.58941207,16.18638695,17.98487439,4.033507117,8.067014234
112,0.382822589,0.689080661,1.07190325,1.378161321,1.531290357,1.245035695,7.983153679,12.41823906,15.96630736,17.74034151,4.150118983,8.300237967
113,0.336879473,0.606383052,0.943262525,1.212766104,1.347517893,1.281364769,7.849286227,12.2100008,15.69857245,17.44285828,4.271215898,8.542431796
114,0.314282127,0.565707829,0.879989956,1.131415657,1.257128508,1.300044064,7.772235362,12.0901439,15.54447072,17.27163414,4.333480214,8.666960429
115,0.269657041,0.485382674,0.755039716,0.970765349,1.078628165,1.338452663,7.595338966,11.81497172,15.19067793,16.87853104,4.461508875,8.923017751
116,0.225535129,0.405963233,0.631498362,0.811926465,0.902140517,1.378288748,7.38436122,11.48678412,14.76872244,16.4096916,4.594295827,9.188591655
117,0.203560843,0.366409517,0.569970359,0.732819034,0.814243371,1.398752451,7.264616867,11.30051513,14.52923373,16.14359304,4.66250817,9.32501634
118,0.159567409,0.287221336,0.446788744,0.574442671,0.638269635,1.440791995,6.993444658,10.87869169,13.98688932,15.54098813,4.802639983,9.605279966
119,0.115203788,0.207366818,0.322570606,0.414733636,0.460815152,1.484342299,6.675488115,10.38409262,13.35097623,14.83441803,4.947807664,9.895615329
120,0.092760359,0.166968646,0.259729005,0.333937292,0.371041436,1.506694502,6.4971601,10.10669349,12.9943202,14.43813355,5.022315005,10.04463001
121,0.04908494,0.088352893,0.137437833,0.176705786,0.196339762,1.552574149,6.097943603,9.485690049,12.19588721,13.55098578,5.175247164,10.35049433
122,4.02906E-06,7.25231E-06,1.12814E-05,1.45046E-05,1.61162E-05,1.600049131,5.636485354,8.767866107,11.27297071,12.52552301,5.333497103,10.66699421
123,0,0,0,0,0,1.64915364,5.105759725,7.942292905,10.21151945,11.34613272,5.497178801,10.9943576
124,0,0,0,0,0,1.67432771,4.812086392,7.48546772,9.624172783,10.69352531,5.581092367,11.16218473
125,0,0,0,0,0,1.725941079,4.163158062,6.476023653,8.326316125,9.251462361,5.753136929,11.50627386
126,0,0,0,0,0,1.779270369,3.425105402,5.327941737,6.850210805,7.611345339,5.93090123,11.86180246
127,0,0,0,0,0,1.80658939,3.019893484,4.697612086,6.039786968,6.710874409,6.021964632,12.04392926
128,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.862558106,2.13124988,3.315277592,4.262499761,4.736110846,6.208527019,12.41705404
129,0,0,0,0,0,1.920330438,1.130072466,1.757890502,2.260144932,2.511272146,6.401101459,12.80220292
130,0,0,0,0,0,1.949904027,0.584046614,0.908516955,1.168093228,1.297881365,6.499680091,12.99936018
131,0,0,0,0,0,2.010448302,0,0,0,0,6.70149434,13.40298868
132,0,0,0,0,0,2.072885188,0,0,0,0,6.909617293,13.81923459
133,0,0,0,0,0,2.10482459,0,0,0,0,7.016081966,14.03216393
134,0,0,0,0,0,2.170167886,0,0,0,0,7.233892953,14.46778591
135,0,0,0,0,0,2.237494088,0,0,0,0,7.458313627,14.91662725
136,0,0,0,0,0,2.306839679,0,0,0,0,7.689465595,15.37893119
137,0,0,0,0,0,2.342281202,0,0,0,0,7.807604007,15.61520801
138,0,0,0,0,0,2.414724734,0,0,0,0,8.049082448,16.0981649
139,0,0,0,0,0,2.489279771,0,0,0,0,8.297599237,16.59519847
140,0,0,0,0,0,2.527360723,0,0,0,0,8.424535745,16.84907149
141,0,0,0,0,0,2.605152851,0,0,0,0,8.683842836,17.36768567
142,0,0,0,0,0,2.685149898,0,0,0,0,8.950499661,17.90099932
143,0,0,0,0,0,2.72598705,0,0,0,0,9.0866235,18.173247
144,0,0,0,0,0,2.809362288,0,0,0,0,9.364540959,18.72908192
145,0,0,0,0,0,2.895037163,0,0,0,0,9.650123875,19.30024775
146,0,0,0,0,0,2.938748909,0,0,0,0,9.795829697,19.59165939
147,0,0,0,0,0,3.027945024,0,0,0,0,10.09315008,20.18630016
148,0,0,0,0,0,3.119536793,0,0,0,0,10.39845598,20.79691195
149,0,0,0,0,0,3.213562986,0,0,0,0,10.71187662,21.42375324
150,0,0,0,0,0,3.261501165,0,0,0,0,10.87167055,21.7433411
151,0,0,0,0,0,3.359252146,0,0,0,0,11.19750715,22.39501431
152,0,0,0,0,0,3.459535389,0,0,0,0,11.53178463,23.06356926
153,0,0,0,0,0,3.510638944,0,0,0,0,11.70212981,23.40425963
154,0,0,0,0,0,3.614794706,0,0,0,0,12.04931569,24.09863138
155,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0
