BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMH17C_TC-2A.xlsx,,,,,,,
32,5046.569624,9083.825324,14130.39495,18167.65065,20186.2785,-508.116114,4681.309623,7282.037192,9362.619246,10402.91027,-1693.72038,-3387.44076
33,4908.856606,8835.941891,13744.7985,17671.88378,19635.42642,-513.236299,4691.084917,7297.243204,9382.169834,10424.63315,-1710.787663,-3421.575327
34,4779.293958,8602.729124,13382.02308,17205.45825,19117.17583,-517.9839986,4700.802141,7312.358886,9401.604282,10446.22698,-1726.613329,-3453.226657
35,4651.736078,8373.124941,13024.86102,16746.24988,18606.94431,-522.388569,4710.565066,7327.545658,9421.130131,10467.92237,-1741.29523,-3482.59046
36,4537.640265,8167.752476,12705.39274,16335.50495,18150.56106,-526.4789024,4720.43557,7342.899775,9440.871139,10489.85682,-1754.929675,-3509.85935
37,4424.32406,7963.783308,12388.10737,15927.56662,17697.29624,-530.2834266,4730.438827,7358.460398,9460.877654,10512.08628,-1767.611422,-3535.222844
38,4324.207542,7783.573575,12107.78112,15567.14715,17296.83017,-533.830105,4740.568252,7374.21728,9481.136503,10534.59611,-1779.433683,-3558.867367
39,4230.394598,7614.710276,11845.10487,15229.42055,16921.57839,-537.146437,4750.790201,7390.11809,9501.580401,10557.31156,-1790.488123,-3580.976247
40,4142.457637,7456.423747,11598.88138,14912.84749,16569.83055,-540.2594575,4761.048437,7406.075346,9522.096873,10580.10764,-1800.864858,-3601.729717
41,4093.864238,7368.955629,11462.81987,14737.91126,16375.45695,-541.7480475,4766.168454,7414.039817,9532.336908,10591.48545,-1805.826825,-3611.65365
42,4014.036582,7225.265847,11239.30243,14450.53169,16056.14633,-544.6057759,4776.336578,7429.8569,9552.673157,10614.08129,-1815.352586,-3630.705173
43,3938.94522,7090.101396,11029.04662,14180.20279,15755.78088,-547.3257493,4786.32865,7445.400123,9572.657301,10636.28589,-1824.419164,-3648.838328
44,3868.119104,6962.614387,10830.73349,13925.22877,15472.47642,-549.9333776,4796.041005,7460.50823,9592.08201,10657.8689,-1833.111259,-3666.222517
45,3794.010831,6829.219496,10623.23033,13658.43899,15176.04332,-552.4536068,4805.364475,7475.011405,9610.72895,10678.58772,-1841.512023,-3683.024045
46,3730.393696,6714.708654,10445.10235,13429.41731,14921.57479,-554.9109183,4814.187522,7488.736145,9628.375044,10698.19449,-1849.703061,-3699.406122
47,3669.589048,6605.260287,10274.84934,13210.52057,14678.35619,-557.3293295,4822.399133,7501.509762,9644.798266,10716.44252,-1857.764432,-3715.528863
48,3611.111805,6500.001249,10111.11305,13000.0025,14444.44722,-559.7323934,4829.891468,7513.164506,9659.782936,10733.09215,-1865.774645,-3731.54929
49,3546.958461,6384.52523,9931.483691,12769.05046,14187.83384,-562.1431988,4836.562272,7523.541312,9673.124544,10747.91616,-1873.810663,-3747.621326
50,3491.80919,6285.256542,9777.065732,12570.51308,13967.23676,-564.5843702,4842.317041,7532.493175,9684.634083,10760.70454,-1881.947901,-3763.895802
51,3437.553419,6187.596155,9625.149574,12375.19231,13750.21368,-567.0780678,4847.070951,7539.888147,9694.141903,10771.26878,-1890.260226,-3780.520452
52,3383.730569,6090.715024,9474.445593,12181.43005,13534.92228,-569.6459877,4850.750542,7545.611954,9701.501083,10779.44565,-1898.819959,-3797.639918
53,3329.89194,5993.805493,9323.697433,11987.61099,13319.56776,-572.3093614,4853.295159,7549.570247,9706.590318,10785.10035,-1907.697871,-3815.395743
54,3267.735256,5881.923461,9149.658718,11763.84692,13070.94103,-575.0889565,4854.65816,7551.690471,9709.31632,10788.12924,-1916.963188,-3833.926377
55,3240.356683,5832.642029,9072.998713,11665.28406,12961.42673,-576.5286999,4854.886051,7552.044968,9709.772102,10788.63567,-1921.762333,-3843.524666
56,3184.749065,5732.548316,8917.297381,11465.09663,12738.99626,-579.5205505,4854.422124,7551.323304,9708.844248,10787.60472,-1931.735168,-3863.470337
57,3127.686901,5629.836421,8757.523322,11259.67284,12510.7476,-582.6785099,4852.726977,7548.686409,9705.453954,10783.83773,-1942.2617,-3884.523399
58,3068.805452,5523.849814,8592.655266,11047.69963,12275.22181,-586.0217207,4849.808984,7544.147308,9699.617968,10777.3533,-1953.405736,-3906.811471
59,3007.764913,5413.976844,8421.741758,10827.95369,12031.05965,-589.5688612,4845.692949,7537.744587,9691.385898,10768.20655,-1965.229537,-3930.459075
60,2944.252758,5299.654964,8243.907722,10599.30993,11777.01103,-593.3381453,4840.419983,7529.542195,9680.839966,10756.48885,-1977.793818,-3955.587635
61,2877.986068,5180.374922,8058.36099,10360.74984,11511.94427,-597.3473228,4834.047135,7519.628877,9668.094271,10742.32697,-1991.157743,-3982.315485
62,2800.466653,5040.839975,7841.306629,10081.67995,11201.86661,-601.6136792,4826.646786,7508.117223,9653.293572,10725.88175,-2005.378931,-4010.757861
63,2726.608562,4907.895411,7634.503972,9815.790822,10906.43425,-606.1540357,4818.305794,7495.142346,9636.611587,10707.34621,-2020.513452,-4041.026904
64,2649.554973,4769.198951,7418.753925,9538.397903,10598.21989,-610.9847492,4809.124406,7480.860186,9618.248811,10686.94312,-2036.615831,-4073.231661
65,2569.158938,4624.486088,7193.645025,9248.972175,10276.63575,-616.1217124,4799.214923,7465.445436,9598.429847,10664.92205,-2053.739041,-4107.478083
66,2485.314051,4473.565292,6958.879343,8947.130584,9941.256204,-621.5803539,4788.700129,7449.089089,9577.400258,10641.55584,-2071.934513,-4143.869026
67,2397.956552,4316.321794,6714.278346,8632.643587,9591.826208,-627.3756376,4777.711468,7431.995617,9555.422936,10617.1366,-2091.252125,-4182.504251
68,2352.952823,4235.315082,6588.267905,8470.630164,9411.811293,-630.4040697,4772.082382,7423.239261,9544.164764,10604.62752,-2101.346899,-4202.693798
69,2260.305291,4068.549524,6328.854816,8137.099049,9041.221165,-636.7313592,4760.643212,7405.444996,9521.286424,10579.20714,-2122.437864,-4244.875728
70,2164.18606,3895.534908,6059.720968,7791.069815,8656.744239,-643.4306702,4749.082598,7387.461819,9498.165196,10553.51688,-2144.768901,-4289.537801
71,2064.697124,3716.454823,5781.151946,7432.909645,8258.788494,-650.515342,4737.544522,7369.5137,9475.089043,10527.87671,-2168.384473,-4336.768947
72,1961.992553,3531.586595,5493.579149,7063.173191,7847.970212,-657.9982497,4726.170468,7351.820727,9452.340935,10502.60104,-2193.327499,-4386.654998
73,1856.280591,3341.305063,5197.585654,6682.610126,7425.122362,-665.8918038,4715.09628,7334.594213,9430.19256,10477.99173,-2219.639346,-4439.278692
74,1747.825747,3146.086345,4893.912092,6292.172689,6991.302988,-674.2079509,4704.448776,7318.031429,9408.897552,10454.33061,-2247.359836,-4494.719673
75,1636.950898,2946.511616,4583.462514,5893.023232,6547.803591,-682.9581732,4694.342119,7302.309963,9388.684238,10431.87138,-2276.527244,-4553.054488
76,1524.03938,2743.270883,4267.310263,5486.541767,6096.157519,-692.1534885,4684.87395,7287.5817,9369.7479,10410.831,-2307.178295,-4614.35659
77,1409.537087,2537.166756,3946.703842,5074.333512,5638.148346,-701.8044506,4676.121277,7273.966431,9352.242555,10391.38062,-2339.348169,-4678.696337
78,1293.954567,2329.11822,3623.072786,4658.23644,5175.818266,-711.9211488,4668.136126,7261.545085,9336.272252,10373.63584,-2373.070496,-4746.140992
79,1177.869118,2120.164412,3298.033529,4240.328824,4711.476471,-722.5132083,4660.940943,7250.352578,9321.881886,10357.64654,-2408.377361,-4816.754722
80,1061.926885,1911.468393,2973.395277,3822.936785,4247.707539,-733.5897899,4654.523765,7240.3703,9309.047529,10343.38614,-2445.2993,-4890.5986
81,946.8449559,1704.320921,2651.165877,3408.641841,3787.379824,-745.1595903,4648.833139,7231.518216,9297.666278,10330.74031,-2483.865301,-4967.730602
82,889.8706098,1601.767098,2491.637707,3203.534195,3559.482439,-751.1320383,4646.232104,7227.472161,9292.464207,10324.96023,-2503.773461,-5007.546922
83,777.5840236,1399.651242,2177.235266,2799.302485,3110.336094,-763.4569574,4641.435311,7220.010484,9282.870622,10314.30069,-2544.856525,-5089.713049
84,668.2745947,1202.89427,1871.168865,2405.788541,2673.098379,-776.2948056,4637.028195,7213.154969,9274.056389,10304.5071,-2587.649352,-5175.298704
85,562.9242208,1013.263597,1576.187818,2026.527195,2251.696883,-789.6526546,4632.777636,7206.54299,9265.555273,10295.06141,-2632.175515,-5264.35103
86,462.5951769,832.6713184,1295.266495,1665.342637,1850.380708,-803.5371118,4628.385202,7199.710314,9256.770404,10285.30045,-2678.457039,-5356.914079
87,368.4322111,663.1779799,1031.610191,1326.35596,1473.728844,-817.9543205,4623.480735,7192.081143,9246.96147,10274.40163,-2726.514402,-5453.028803
88,281.6646414,506.9963545,788.6609959,1013.992709,1126.658566,-832.9099594,4617.615711,7182.957773,9235.231423,10261.36825,-2776.366531,-5552.733063
89,203.608452,366.4952137,570.1036657,732.9904273,814.4338082,-848.4092433,4610.256354,7171.509883,9220.512707,10245.01412,-2828.030811,-5656.061622
90,135.66839,244.203102,379.871492,488.406204,542.67356,-864.4569224,4600.776502,7156.763447,9201.553003,10223.94778,-2881.523075,-5763.046149
91,79.34006131,142.8121104,222.1521717,285.6242207,317.3602452,-881.057283,4588.450243,7137.589267,9176.900486,10196.5561,-2936.85761,-5873.71522
92,36.21202763,65.18164973,101.3936774,130.3632995,144.8481105,-898.2141468,4572.444301,7112.691135,9144.888602,10160.98734,-2994.047156,-5988.094312
93,7.9679026,14.34222468,22.31012728,28.68444936,31.8716104,-915.9308715,4551.810182,7080.593617,9103.620365,10115.13374,-3053.102905,-6106.20581
94,0,0,0,0,0,-934.2103503,4525.476083,7039.629463,9050.952166,10056.61352,-3114.034501,-6228.069002
95,0,0,0,0,0,-953.0550124,4492.238552,6987.926637,8984.477104,9982.752338,-3176.850041,-6353.700082
96,0,0,0,0,0,-962.6899192,4472.616818,6957.40394,8945.233637,9939.148485,-3208.966397,-6417.932795
97,0,0,0,0,0,-982.385895,4426.458524,6885.602148,8852.917048,9836.574497,-3274.61965,-6549.2393
98,0,0,0,0,0,-1002.651095,4369.755333,6797.397184,8739.510665,9710.567406,-3342.170318,-6684.340636
99,0,0,0,0,0,-1023.486325,4300.773899,6690.092731,8601.547798,9557.275331,-3411.621082,-6823.242165
100,0,0,0,0,0,-1044.891923,4217.608731,6560.724692,8435.217461,9372.463846,-3482.973076,-6965.946151
101,0,0,0,0,0,-1066.867765,4118.172527,6406.046152,8236.345053,9151.494504,-3556.225883,-7112.451767
102,0,0,0,0,0,-1089.413263,4000.186269,6222.511975,8000.372539,8889.302821,-3631.377543,-7262.755086
103,0,0,0,0,0,-1112.527364,3861.16908,6006.263013,7722.338159,8580.375732,-3708.424545,-7416.849091
104,0,0,0,0,0,-1136.20855,3698.427828,5753.109954,7396.855655,8218.728506,-3787.361833,-7574.723666
105,0,0,0,0,0,-1160.45484,3509.046503,5458.516783,7018.093007,7797.881119,-3868.182801,-7736.365602
106,0,0,0,0,0,-1185.263789,3289.875345,5117.583871,6579.750691,7310.834101,-3950.879297,-7901.758593
107,0,0,0,0,0,-1210.632486,3037.519728,4725.030688,6075.039456,6750.04384,-4035.441621,-8070.883241
108,0,0,0,0,0,-1236.557558,2748.328807,4275.178145,5496.657615,6107.39735,-4121.858525,-8243.717051
109,0,0,0,0,0,-1249.727552,2588.706311,4026.876484,5177.412622,5752.680691,-4165.758507,-8331.517015
110,0,0,0,0,0,-1276.479843,2236.82803,3479.510268,4473.656059,4970.728955,-4254.932809,-8509.865618
111,0,0,0,0,0,-1303.778041,1837.789689,2858.783961,3675.579378,4083.977087,-4345.926802,-8691.853603
112,0,0,0,0,0,-1331.617147,1386.950781,2157.478992,2773.901562,3082.112846,-4438.723822,-8877.447644
113,0,0,0,0,0,-1359.991698,879.3604962,1367.894105,1758.720992,1954.134436,-4533.305659,-9066.611318
114,0,0,0,0,0,-1388.895766,309.7450439,481.8256239,619.4900879,688.3223199,-4629.652553,-9259.305107
115,0,0,0,0,0,-1418.322959,0,0,0,0,-4727.743198,-9455.486397
116,0,0,0,0,0,-1448.266422,0,0,0,0,-4827.55474,-9655.10948
117,0,0,0,0,0,-1478.718833,0,0,0,0,-4929.062777,-9858.125555
118,0,0,0,0,0,-1509.672408,0,0,0,0,-5032.24136,-10064.48272
119,0,0,0,0,0,-1541.118898,0,0,0,0,-5137.062993,-10274.12599
120,0,0,0,0,0,-1573.049589,0,0,0,0,-5243.498631,-10486.99726
121,0,0,0,0,0,-1605.455305,0,0,0,0,-5351.517683,-10703.03537
122,0,0,0,0,0,-1638.326402,0,0,0,0,-5461.088008,-10922.17602
123,0,0,0,0,0,-1654.93333,0,0,0,0,-5516.444432,-11032.88886
124,0,0,0,0,0,-1688.483407,0,0,0,0,-5628.278023,-11256.55605
125,0,0,0,0,0,-1722.472731,0,0,0,0,-5741.575769,-11483.15154
126,0,0,0,0,0,-1756.890034,0,0,0,0,-5856.300115,-11712.60023
127,0,0,0,0,0,-1791.723587,0,0,0,0,-5972.411957,-11944.82391
128,0,0,0,0,0,-1826.961194,0,0,0,0,-6089.870645,-12179.74129
129,0,0,0,0,0,-1862.590194,0,0,0,0,-6208.633981,-12417.26796
130,0,0,0,0,0,-1898.597465,0,0,0,0,-6328.658218,-12657.31644
131,0,0,0,0,0,-1934.969419,0,0,0,0,-6449.898063,-12899.79613
132,0,0,0,0,0,-1971.692003,0,0,0,0,-6572.306675,-13144.61335
133,0,0,0,0,0,-2008.7507,0,0,0,0,-6695.835666,-13391.67133
134,0,0,0,0,0,-2046.13053,0,0,0,0,-6820.4351,-13640.8702
135,0,0,0,0,0,-2083.816048,0,0,0,0,-6946.053492,-13892.10698
136,0,0,0,0,0,-2102.768486,0,0,0,0,-7009.228287,-14018.45657
137,0,0,0,0,0,-2140.88256,0,0,0,0,-7136.275201,-14272.5504
138,0,0,0,0,0,-2179.261678,0,0,0,0,-7264.205594,-14528.41119
139,0,0,0,0,0,-2217.88877,0,0,0,0,-7392.962567,-14785.92513
140,0,0,0,0,0,-2256.746302,0,0,0,0,-7522.487673,-15044.97535
141,0,0,0,0,0,-2295.816274,0,0,0,0,-7652.720915,-15305.44183
142,0,0,0,0,0,-2335.080225,0,0,0,0,-7783.600751,-15567.2015
143,0,0,0,0,0,-2374.519227,0,0,0,0,-7915.064091,-15830.12818
144,0,0,0,0,0,-2414.113889,0,0,0,0,-8047.046298,-16094.0926
145,0,0,0,0,0,-2453.844356,0,0,0,0,-8179.481186,-16358.96237
146,0,0,0,0,0,-2493.690307,0,0,0,0,-8312.301022,-16624.60204
147,0,0,0,0,0,-2533.630958,0,0,0,0,-8445.436526,-16890.87305
148,0,0,0,0,0,-2573.645061,0,0,0,0,-8578.81687,-17157.63374
149,0,0,0,0,0,-2613.710904,0,0,0,0,-8712.369679,-17424.73936
150,0,0,0,0,0,-2633.756315,0,0,0,0,-8779.187717,-17558.37543
151,0,0,0,0,0,-2673.85804,0,0,0,0,-8912.860133,-17825.72027
152,0,0,0,0,0,-2713.955192,0,0,0,0,-9046.517305,-18093.03461
153,0,0,0,0,0,-2754.024432,0,0,0,0,-9180.081441,-18360.16288
154,0,0,0,0,0,-2794.04196,0,0,0,0,-9313.473201,-18626.9464
155,0,0,0,0,0,-2833.983509,0,0,0,0,-9446.611698,-18893.2234
156,0,0,0,0,0,-2873.824349,0,0,0,0,-9579.414498,-19158.829
157,0,0,0,0,0,-2873.824349,0,0,0,0,-9579.414498,-19158.829
158,0,0,0,0,0,-2873.824349,0,0,0,0,-9579.414498,-19158.829
159,0,0,0,0,0,-2873.824349,0,0,0,0,-9579.414498,-19158.829
160,0,0,0,0,0,-2873.824349,0,0,0,0,-9579.414498,-19158.829
