BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMH17C_TC-2A.xlsx,,,,,,,
61,5.374892423,9.674806362,15.04969879,19.34961272,21.49956969,1.115598729,9.028008722,14.04356912,18.05601744,20.0622416,3.71866243,7.43732486
62,5.23011809,9.414212561,14.64433065,18.82842512,20.92047236,1.123566525,9.014187917,14.02207009,18.02837583,20.03152871,3.745221751,7.490443502
63,5.0921816,9.165926879,14.25810848,18.33185376,20.3687264,1.132046041,8.99861038,13.99783837,17.99722076,19.99691196,3.773486803,7.546973605
64,4.948277238,8.906899028,13.85517627,17.81379806,19.79310895,1.141067824,8.981463329,13.97116518,17.96292666,19.9588074,3.803559412,7.607118825
65,4.798130561,8.63663501,13.43476557,17.27327002,19.19252225,1.150661555,8.962956498,13.94237677,17.925913,19.91768111,3.835538517,7.671077033
66,4.641542852,8.354777134,12.99631999,16.70955427,18.56617141,1.160856049,8.943319193,13.91182986,17.88663839,19.87404265,3.869520162,7.739040323
67,4.47839503,8.061111054,12.53950608,16.12222211,17.91358012,1.171679251,8.922796902,13.87990629,17.8455938,19.82843756,3.905597504,7.811195008
68,4.394346603,7.909823886,12.30417049,15.81964777,17.57738641,1.177335115,8.912284088,13.86355303,17.82456818,19.80507575,3.924450383,7.848900766
69,4.221319179,7.598374522,11.8196937,15.19674904,16.88527671,1.189151885,8.890920431,13.83032067,17.78184086,19.75760096,3.963839617,7.927679234
70,4.041808049,7.275254489,11.31706254,14.55050898,16.1672322,1.201663438,8.869329966,13.7967355,17.73865993,19.70962215,4.005544795,8.011089589
71,3.8560037,6.94080666,10.79681036,13.88161332,15.4240148,1.214894687,8.847781592,13.76321581,17.69556318,19.66173687,4.049648957,8.099297913
72,3.66419387,6.595548966,10.25974284,13.19109793,14.65677548,1.228869676,8.826539545,13.73017263,17.65307909,19.61453232,4.096232253,8.192464506
73,3.466767471,6.240181448,9.706948918,12.4803629,13.86706988,1.243611583,8.805857524,13.69800059,17.61171505,19.56857228,4.145371945,8.29074389
74,3.2642185,5.875593299,9.139811799,11.7511866,13.056874,1.259142721,8.785972373,13.66706814,17.57194475,19.52438305,4.197142402,8.394284804
75,3.057149955,5.502869919,8.560019874,11.00573984,12.22859982,1.275484531,8.767097301,13.63770691,17.5341946,19.48243845,4.251615104,8.503230208
76,2.846277752,5.123299953,7.969577705,10.24659991,11.38511101,1.292657592,8.749414661,13.61020058,17.49882932,19.44314369,4.308858641,8.617717282
77,2.632434636,4.738382345,7.370816981,9.47676469,10.52973854,1.310681614,8.733068274,13.58477287,17.46613655,19.40681839,4.368938713,8.737877426
78,2.416574101,4.349833382,6.766407484,8.699666765,9.666296405,1.329575439,8.718155301,13.56157491,17.4363106,19.37367845,4.431918129,8.863836258
79,2.199774303,3.959593745,6.159368048,7.91918749,8.799097211,1.349357043,8.704717663,13.54067192,17.40943533,19.34381703,4.497856808,8.995713617
80,1.983241973,3.569835551,5.553077524,7.139671102,7.932967892,1.370043534,8.692733017,13.52202914,17.38546603,19.31718448,4.566811781,9.133623561
81,1.768316336,3.182969405,4.951285742,6.365938811,7.073265345,1.391651155,8.682105273,13.50549709,17.36421055,19.29356727,4.638837184,9.277674368
82,1.661911728,2.99144111,4.653352837,5.982882219,6.64764691,1.402805228,8.677247611,13.49794073,17.35449522,19.28277247,4.676017426,9.352034852
83,1.45220664,2.613971952,4.066178591,5.227943903,5.808826559,1.425823099,8.668289178,13.48400539,17.33657836,19.26286484,4.752743665,9.50548733
84,1.248061655,2.246510979,3.494572634,4.493021959,4.992246621,1.449798912,8.6600585,13.47120211,17.320117,19.24457444,4.832663038,9.665326077
85,1.051310555,1.892358998,2.943669553,3.784717997,4.205242219,1.474745871,8.652120208,13.45885366,17.30424042,19.2269338,4.91581957,9.831639139
86,0.86393723,1.555087014,2.419024244,3.110174028,3.45574892,1.500676317,8.64391695,13.44609303,17.2878339,19.20870433,5.002254392,10.00450878
87,0.688079599,1.238543278,1.926622877,2.477086557,2.752318396,1.527601724,8.634757426,13.43184488,17.26951485,19.18834983,5.092005747,10.18401149
88,0.526033522,0.946860339,1.472893861,1.893720678,2.104134087,1.555532697,8.623803978,13.41480619,17.24760796,19.16400884,5.18510899,10.37021798
89,0.380256714,0.684462086,1.0647188,1.368924172,1.521026857,1.584478974,8.610059729,13.39342625,17.22011946,19.13346606,5.281596582,10.56319316
90,0.253372666,0.456070798,0.709443464,0.912141596,1.013490662,1.614449429,8.592355271,13.36588598,17.18471054,19.09412282,5.381498095,10.76299619
91,0.148174551,0.266714192,0.414888744,0.533428385,0.592698205,1.645452064,8.569334897,13.33007651,17.13866979,19.04296644,5.484840212,10.96968042
92,0.067629151,0.121732471,0.189361621,0.243464942,0.270516602,1.677494018,8.539442391,13.28357705,17.07888478,18.97653865,5.591646726,11.18329345
93,0.01488076,0.026785368,0.041666127,0.053570735,0.059523039,1.710581561,8.500906358,13.22363211,17.00181272,18.89090302,5.701938538,11.40387708
94,0,0,0,0,0,1.744720098,8.451725108,13.14712795,16.90345022,18.78161135,5.815733659,11.63146732
95,0,0,0,0,0,1.779914164,8.389651092,13.05056837,16.77930218,18.64366909,5.933047212,11.86609442
96,0,0,0,0,0,1.797908201,8.353005776,12.99356454,16.70601155,18.56223506,5.993027335,11.98605467
97,0,0,0,0,0,1.83469217,8.266801096,12.85946837,16.53360219,18.3706691,6.115640566,12.23128113
98,0,0,0,0,0,1.872539216,8.160902893,12.69473783,16.32180579,18.13533976,6.241797387,12.48359477
99,0,0,0,0,0,1.911450842,8.032073991,12.49433732,16.06414798,17.84905331,6.371502806,12.74300561
100,0,0,0,0,0,1.951427681,7.876755716,12.25273111,15.75351143,17.50390159,6.504758937,13.00951787
101,0,0,0,0,0,1.992469502,7.691049848,11.96385532,15.3820997,17.09122189,6.641565006,13.28313001
102,0,0,0,0,0,2.034575205,7.470700123,11.62108908,14.94140025,16.60155583,6.781917349,13.5638347
103,0,0,0,0,0,2.077742823,7.211073279,11.2172251,14.42214656,16.02460729,6.92580941,13.85161882
104,0,0,0,0,0,2.121969524,6.907139659,10.74443947,13.81427932,15.34919924,7.073231746,14.14646349
105,0,0,0,0,0,2.167251606,6.553453359,10.19426078,13.10690672,14.56322969,7.224172021,14.44834404
106,0,0,0,0,0,2.213584503,6.144131921,9.557538544,12.28826384,13.65362649,7.378615009,14.75723002
107,0,0,0,0,0,2.260962779,5.672835582,8.824410906,11.34567116,12.60630129,7.536542596,15.07308519
108,0,0,0,0,0,2.309380133,5.132746071,7.984271666,10.26549214,11.40610238,7.697933775,15.39586755
109,0,0,0,0,0,2.333976257,4.834637003,7.520546449,9.669274006,10.74363778,7.779920858,15.55984172
110,0,0,0,0,0,2.383938516,4.177473325,6.498291839,8.35494665,9.283274056,7.946461719,15.89292344
111,0,0,0,0,0,2.434920304,3.432234084,5.339030797,6.864468168,7.627186853,8.116401013,16.23280203
112,0,0,0,0,0,2.486912286,2.590252721,4.02928201,5.180505442,5.756117158,8.289707621,16.57941524
113,0,0,0,0,0,2.539904259,1.642283165,2.554662701,3.28456633,3.649518144,8.466347531,16.93269506
114,0,0,0,0,0,2.593885152,0.578476146,0.899851783,1.156952293,1.285502547,8.64628384,17.29256768
115,0,0,0,0,0,2.648843027,0,0,0,0,8.829476758,17.65895352
116,0,0,0,0,0,2.704765081,0,0,0,0,9.015883602,18.0317672
117,0,0,0,0,0,2.76163764,0,0,0,0,9.2054588,18.4109176
118,0,0,0,0,0,2.819446167,0,0,0,0,9.39815389,18.79630778
119,0,0,0,0,0,2.878175256,0,0,0,0,9.59391752,19.18783504
120,0,0,0,0,0,2.937808634,0,0,0,0,9.792695447,19.58539089
121,0,0,0,0,0,2.998329161,0,0,0,0,9.994430538,19.98886108
122,0,0,0,0,0,3.059718831,0,0,0,0,10.19906277,20.39812554
123,0,0,0,0,0,3.09073373,0,0,0,0,10.30244577,20.60489153
124,0,0,0,0,0,3.153391454,0,0,0,0,10.51130485,21.02260969
125,0,0,0,0,0,3.216869509,0,0,0,0,10.72289836,21.44579673
126,0,0,0,0,0,3.281146855,0,0,0,0,10.93715618,21.87431236
127,0,0,0,0,0,3.346201582,0,0,0,0,11.15400527,22.30801055
128,0,0,0,0,0,3.412010915,0,0,0,0,11.37336972,22.74673943
129,0,0,0,0,0,3.478551211,0,0,0,0,11.5951707,23.19034141
130,0,0,0,0,0,3.545797961,0,0,0,0,11.81932654,23.63865307
131,0,0,0,0,0,3.613725787,0,0,0,0,12.04575262,24.09150525
132,0,0,0,0,0,3.682308446,0,0,0,0,12.27436149,24.54872297
133,0,0,0,0,0,3.751518827,0,0,0,0,12.50506276,25.01012551
134,0,0,0,0,0,3.821328951,0,0,0,0,12.73776317,25.47552634
135,0,0,0,0,0,3.891709974,0,0,0,0,12.97236658,25.94473316
136,0,0,0,0,0,3.927105322,0,0,0,0,13.09035107,26.18070214
137,0,0,0,0,0,3.998286712,0,0,0,0,13.32762237,26.65524474
138,0,0,0,0,0,4.069963095,0,0,0,0,13.56654365,27.1330873
139,0,0,0,0,0,4.14210259,0,0,0,0,13.80700863,27.61401727
140,0,0,0,0,0,4.214672452,0,0,0,0,14.04890817,28.09781635
141,0,0,0,0,0,4.287639067,0,0,0,0,14.29213022,28.58426045
142,0,0,0,0,0,4.360967953,0,0,0,0,14.53655984,29.07311968
143,0,0,0,0,0,4.434623762,0,0,0,0,14.78207921,29.56415841
144,0,0,0,0,0,4.50857028,0,0,0,0,15.0285676,30.0571352
145,0,0,0,0,0,4.582770425,0,0,0,0,15.27590142,30.55180283
146,0,0,0,0,0,4.657186247,0,0,0,0,15.52395416,31.04790831
147,0,0,0,0,0,4.731778931,0,0,0,0,15.77259644,31.54519287
148,0,0,0,0,0,4.806508792,0,0,0,0,16.02169597,32.04339195
149,0,0,0,0,0,4.881335281,0,0,0,0,16.2711176,32.54223521
150,0,0,0,0,0,4.918771852,0,0,0,0,16.39590617,32.79181235
151,0,0,0,0,0,4.993665355,0,0,0,0,16.64555118,33.29110237
152,0,0,0,0,0,5.068550317,0,0,0,0,16.89516772,33.79033545
153,0,0,0,0,0,5.143383152,0,0,0,0,17.14461051,34.28922102
154,0,0,0,0,0,5.21811941,0,0,0,0,17.39373137,34.78746273
155,0,0,0,0,0,5.29271377,0,0,0,0,17.64237923,35.28475847
156,0,0,0,0,0,5.367120047,0,0,0,0,17.89040016,35.78080032
157,0,0,0,0,0,5.367120047,0,0,0,0,17.89040016,35.78080032
158,0,0,0,0,0,5.367120047,0,0,0,0,17.89040016,35.78080032
159,0,0,0,0,0,5.367120047,0,0,0,0,17.89040016,35.78080032
160,0,0,0,0,0,5.367120047,0,0,0,0,17.89040016,35.78080032
