BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,
#,This table is Auto-Generated.,,,,,,,,,,,,
#,B: ,JNR_DC183-500_Formation.xlsx,,,,,,,,,,,
#,W: ,Current,,,F: ,6M3m,,,,,,,
13,16.91426848,30.44568326,47.35995174,60.89136652,67.65707391,0.344545015,3.961176785,6.161830555,7.92235357,8.802615078,1.148483382,2.206245767,7.80671579
14,16.66772633,30.0019074,46.66963373,60.00381479,66.67090532,0.357812635,4.07521555,6.339224189,8.1504311,9.056034555,1.192708784,2.296966764,8.127728551
15,16.21478606,29.1866149,45.40140096,58.37322981,64.85914423,0.383348846,4.290656271,6.674354199,8.581312541,9.534791713,1.277829487,2.471635814,8.745788265
16,15.98546225,28.77383205,44.7592943,57.5476641,63.941849,0.395628654,4.392776363,6.833207675,8.785552725,9.76172525,1.318762179,2.555658975,9.043100988
17,15.56369896,28.01465812,43.57835708,56.02931625,62.25479583,0.419239531,4.587464941,7.136056576,9.174929883,10.19436654,1.397465104,2.71726911,9.614952234
18,15.36983285,27.66569913,43.03553198,55.33139826,61.4793314,0.430581671,4.680636842,7.280990643,9.361273683,10.4014152,1.435272236,2.794930209,9.889753047
19,14.96376577,26.93477838,41.89854415,53.86955676,59.85506307,0.452366841,4.860010732,7.560016695,9.720021464,10.80002385,1.507889469,2.944148553,10.41775642
20,14.7767812,26.59820616,41.37498737,53.19641233,59.10712481,0.472989564,5.031726896,7.827130727,10.06345379,11.18161532,1.576631881,3.015778939,10.67121778
21,14.58272895,26.24891211,40.83164106,52.49782422,58.3309158,0.482878554,5.115266328,7.957080955,10.23053266,11.36725851,1.609595179,3.085471955,10.91782384
22,14.22469343,25.60444817,39.82914159,51.20889633,56.8987737,0.501838662,5.278680535,8.211280832,10.55736107,11.73040119,1.67279554,3.219190358,11.39098127
23,14.05943083,25.30697549,39.36640631,50.61395098,56.23772331,0.510920457,5.358901114,8.3360684,10.71780223,11.90866914,1.70306819,3.283287574,11.6177868
24,13.72472146,24.70449864,38.4292201,49.40899727,54.89888586,0.528314034,5.517131647,8.582204784,11.03426329,12.26029255,1.761046781,3.406136379,12.05248257
25,13.55605599,24.40090078,37.95695677,48.80180156,54.22422396,0.536636345,5.595407797,8.703967685,11.19081559,12.43423955,1.788787818,3.464958815,12.2606235
26,13.24381298,23.83886337,37.08267635,47.67772674,52.97525193,0.552558149,5.750856204,8.945776317,11.50171241,12.77968045,1.841860496,3.577575636,12.65911379
27,13.09084824,23.56352683,36.65437507,47.12705366,52.36339296,0.560168022,5.828223705,9.066125763,11.65644741,12.95160823,1.86722674,3.631439884,12.84971036
28,12.79500922,23.03101659,35.82602581,46.06203319,51.18003687,0.57471148,5.982652703,9.306348649,11.96530541,13.29478378,1.915704933,3.73445348,13.21422001
29,12.65948518,22.78707332,35.44655849,45.57414663,50.6379407,0.58838729,6.137099677,9.546599498,12.27419935,13.63799928,1.961290966,3.783671707,13.38837681
30,12.38584374,22.29451873,34.68036247,44.58903747,49.54337496,0.594912511,6.214454588,9.66692936,12.42890918,13.80989909,1.983041703,3.877701986,13.72109934
31,12.24814972,22.0466695,34.29481922,44.093339,48.99259889,0.607362739,6.369600743,9.908267822,12.73920149,14.15466832,2.024542463,3.922581933,13.8799053
32,11.99146012,21.58462822,33.57608834,43.16925644,47.96584048,0.613297733,6.447437346,10.02934698,12.89487469,14.32763855,2.044325777,4.008239947,14.18300289
33,11.87181346,21.36926423,33.2410777,42.73852847,47.48725385,0.624612266,6.603695726,10.27241557,13.20739145,14.67487939,2.082040887,4.049084926,14.32753128
34,11.62994774,20.93390593,32.56385368,41.86781187,46.51979097,0.630001645,6.682120274,10.39440931,13.36424055,14.84915616,2.100005483,4.126972876,14.60313479
35,11.50785334,20.71413601,32.22198935,41.42827202,46.03141335,0.640269042,6.839520371,10.63925391,13.67904074,15.19893416,2.134230142,4.164081774,14.7344432
36,11.27949405,20.30308929,31.58258333,40.60617857,45.11797619,0.645156754,6.918462921,10.76205343,13.83692584,15.37436205,2.150522512,4.234793006,14.98465217
37,11.17292578,20.1112664,31.28419218,40.22253281,44.69170312,0.654464247,7.076712017,11.00821869,14.15342403,15.7260267,2.181547491,4.268460283,15.10378254
38,10.95637618,19.72147713,30.67785331,39.44295426,43.82550473,0.663179611,7.235231636,11.25480477,14.47046327,16.07829252,2.210598703,4.332579291,15.33066518
39,10.84616454,19.52309617,30.36926071,39.04619234,43.38465816,0.667327067,7.314497156,11.37810669,14.62899431,16.25443812,2.224423557,4.363094981,15.43864378
40,10.63983854,19.15170936,29.7915479,38.30341873,42.55935414,0.675224961,7.472817217,11.62438234,14.94563443,16.60626048,2.250749871,4.421197405,15.64423697
41,10.54382633,18.9788874,29.52271373,37.95777479,42.17530533,0.678984698,7.551773683,11.74720351,15.10354737,16.7817193,2.263282326,4.448847115,15.74207441
42,10.4395264,18.79114752,29.23067392,37.58229503,41.75810559,0.686148812,7.709015093,11.99180126,15.41803019,17.13114465,2.287162707,4.475604201,15.83675333
43,10.24458865,18.44025957,28.68484822,36.88051914,40.97835459,0.689562342,7.787187804,12.11340325,15.57437561,17.30486179,2.298541138,4.526564651,16.01707492
44,10.15435551,18.27783993,28.43219544,36.55567985,40.61742206,0.696075039,7.942343782,12.35475699,15.88468756,17.64965285,2.320250129,4.55082968,16.10293579
45,9.966714203,17.94008556,27.90679977,35.88017113,39.86685681,0.69918321,8.019205632,12.47431987,16.03841126,17.82045696,2.3306107,4.597082277,16.26659883
46,9.868359341,17.76304681,27.63140616,35.52609363,39.47343736,0.705125524,8.171186473,12.71073451,16.34237295,18.15819216,2.350418412,4.619130526,16.34461571
47,9.685871132,17.43456804,27.12043917,34.86913607,38.74348453,0.710731945,8.320422982,12.94288019,16.64084596,18.48982885,2.369106482,4.6612214,16.49355265
48,9.602643463,17.28475823,26.8874017,34.56951647,38.41057385,0.713420158,8.393853738,13.05710582,16.78770748,18.65300831,2.378067194,4.681323721,16.56468394
49,9.425075393,16.96513571,26.3902111,33.93027141,37.70030157,0.718588302,8.538025004,13.28137223,17.07605001,18.9733889,2.395294339,4.719790147,16.7007959
50,9.344622869,16.82032116,26.16494403,33.64064233,37.37849148,0.721076842,8.608640922,13.39121921,17.21728184,19.13031316,2.403589473,4.738212965,16.76598434
51,9.170972228,16.50775001,25.67872224,33.01550002,36.68388891,0.7258842,8.746627975,13.60586574,17.49325595,19.43695106,2.419614001,4.773583366,16.89114114
52,9.076163228,16.33709381,25.41325704,32.67418762,36.30465291,0.728211481,8.813880199,13.71048031,17.6277604,19.58640044,2.427371605,4.790588679,16.95131379
53,8.903791711,16.02682508,24.93061679,32.05365016,35.61516684,0.73273422,8.94461492,13.91384543,17.88922984,19.87692204,2.442447399,4.823382624,17.0673539
54,8.827872175,15.89016992,24.71804209,31.78033983,35.3114887,0.734937992,9.007987316,14.01242471,18.01597463,20.01774959,2.449793307,4.839228003,17.12342216
55,8.657459564,15.58342721,24.24088678,31.16685443,34.62983825,0.739250947,9.130480627,14.20296986,18.26096125,20.28995695,2.464169823,4.869956209,17.23215274
56,8.583230107,15.44981419,24.0330443,30.89962838,34.33292043,0.743464966,9.246980478,14.38419186,18.49396096,20.54884551,2.478216555,4.884894798,17.28501236
57,8.413997321,15.14519518,23.5591925,30.29039035,33.65598928,0.745544977,9.302869513,14.47113035,18.60573903,20.67304336,2.485149924,4.914059128,17.38820922
58,8.316657024,14.96998264,23.28663967,29.93996529,33.2666281,0.74967099,9.409720491,14.63734299,18.81944098,20.91048998,2.4989033,4.928339647,17.43874029
59,8.172412567,14.71034262,22.88275519,29.42068524,32.68965027,0.751724914,9.460608151,14.71650157,18.9212163,21.02357367,2.505749713,4.956433109,17.53814793
60,8.073983585,14.53317045,22.60715404,29.06634091,32.29593434,0.755834216,9.557142826,14.86666662,19.11428565,21.23809517,2.519447385,4.970299849,17.58721485
61,7.902438227,14.22438881,22.12682704,28.44877762,31.60975291,0.757897368,9.602732482,14.93758386,19.20546496,21.33940552,2.526324559,4.997806601,17.68454643
62,7.831943779,14.0974988,21.92944258,28.1949976,31.32777512,0.762059926,9.688435486,15.07089965,19.37687097,21.52985664,2.540199753,5.011499425,17.73299797
63,7.75087789,13.9515802,21.70245809,27.9031604,31.00351156,0.764166958,9.728509693,15.1332373,19.45701939,21.61891043,2.547223194,5.025186816,17.78143027
64,7.589818771,13.66167379,21.25149256,27.32334758,30.35927509,0.768451412,9.80302935,15.24915677,19.6060587,21.78450967,2.561504707,5.052649118,17.87860457
65,7.508555939,13.51540069,21.02395663,27.03080138,30.03422376,0.772854607,9.869982666,15.35330637,19.73996533,21.93329481,2.576182024,5.066475529,17.92752879
66,7.347005256,13.22460946,20.57161472,26.44921892,29.38802103,0.775109974,9.900611177,15.40095072,19.80122235,22.00135817,2.583699913,5.094446389,18.02650261
67,7.265369261,13.07766467,20.34303393,26.15532934,29.06147704,0.779746513,9.956179111,15.48738973,19.91235822,22.12484247,2.599155043,5.108641354,18.07673095
68,7.089269865,12.76068576,19.84995562,25.52137151,28.35707946,0.782134918,9.981131288,15.52620423,19.96226258,22.18029175,2.607116394,5.137575418,18.17911302
69,6.9937048,12.58866864,19.58237344,25.17733728,27.9748192,0.787069899,10.02542852,15.59511104,20.05085705,22.27873006,2.623566331,5.152364048,18.23144202
70,6.842681803,12.31682724,19.15950905,24.63365449,27.37072721,0.78962356,10.04480592,15.62525365,20.08961184,22.32179093,2.632078534,5.182707108,18.33880977
71,6.745505449,12.14190981,18.88741526,24.28381962,26.9820218,0.794920753,10.0781231,15.67708037,20.15624619,22.3958291,2.649735845,5.198310086,18.3940203
72,6.594242683,11.86963683,18.46387951,23.73927366,26.37697073,0.797671223,10.09211424,15.69884438,20.18422849,22.42692054,2.658904078,5.23049908,18.50791982
73,6.495363842,11.69165492,18.18701876,23.38330983,25.98145537,0.803393071,10.11491301,15.73430913,20.22982603,22.47758447,2.677976903,5.247132661,18.56677711
74,6.343799635,11.41883934,17.76263898,22.83767869,25.37519854,0.809432056,10.1310367,15.75939042,20.26207339,22.51341488,2.698106853,5.281595675,18.68872316
75,6.276617894,11.29791221,17.5745301,22.59582442,25.10647158,0.812578855,10.13669462,15.76819163,20.27338924,22.52598804,2.708596184,5.29947169,18.75197675
76,6.091304048,10.96434729,17.05565133,21.92869457,24.36521619,0.819143613,10.14342467,15.7786606,20.28684935,22.54094372,2.730478712,5.336627957,18.88345277
77,6.024539114,10.8441704,16.86870952,21.68834081,24.09815645,0.822568117,10.14459324,15.78047837,20.28918647,22.54354052,2.741893723,5.355953807,18.95183655
78,5.836807197,10.50625295,16.34306015,21.01250591,23.34722879,0.82971755,10.14279619,15.77768296,20.28559238,22.53954709,2.765725166,5.396213705,19.09429465
79,5.770507908,10.38691423,16.15742214,20.77382847,23.08203163,0.833448876,10.13994066,15.77324102,20.27988132,22.53320146,2.77816292,5.417192367,19.16852684
80,5.580455179,10.04481932,15.6252745,20.08963864,22.32182071,0.841240556,10.13060557,15.75871978,20.26121114,22.51245682,2.804135188,5.460957423,19.3233878
81,5.514693351,9.926448031,15.44114138,19.85289606,22.0587734,0.84530716,10.12424734,15.7488292,20.24849468,22.49832742,2.817690532,5.483787447,19.40417097
82,5.32248317,9.580469707,14.90295288,19.16093941,21.28993268,0.853797332,10.10846427,15.72427776,20.21692854,22.46325394,2.845991107,5.531450332,19.57282425
83,5.25735106,9.463231908,14.72058297,18.92646382,21.02940424,0.858227003,10.09916923,15.7098188,20.19833845,22.44259828,2.860756677,5.556325841,19.66084528
84,5.192190265,9.345942477,14.53813274,18.69188495,20.76876106,0.867470585,10.07810419,15.67705097,20.15620839,22.3957871,2.891568615,5.581925551,19.75142887
85,4.998816657,8.997869983,13.99668664,17.99573997,19.99526663,0.877246292,10.0541903,15.63985158,20.1083806,22.34264511,2.924154308,5.635381064,19.94057915
86,4.934411292,8.881940326,13.81635162,17.76388065,19.73764517,0.882341029,10.04133565,15.61985545,20.0826713,22.31407922,2.941136764,5.663278203,20.0392921
87,4.78216411,8.607895397,13.39005951,17.21579079,19.12865644,0.892958723,10.01417262,15.57760185,20.02834523,22.25371693,2.976529077,5.721513353,20.24535494
88,4.675976504,8.416757707,13.09273421,16.83351541,18.70390602,0.898487389,10,15.55555556,20,22.22222222,2.994957963,5.751891716,20.35284761
89,4.52450207,8.144103725,12.66860579,16.28820745,18.09800828,0.909998445,9.970806866,15.51014401,19.94161373,22.15734859,3.03332815,5.815269663,20.57710804
90,4.461375748,8.030476346,12.49185209,16.06095269,17.84550299,0.915986396,9.955916993,15.48698199,19.91183399,22.12425998,3.053287986,5.848308616,20.6940151
91,4.292477941,7.726460293,12.01893823,15.45292059,17.16991176,0.928440861,9.925866477,15.44023674,19.85173295,22.05748106,3.09480287,5.91718367,20.93772683
92,4.204978773,7.568961791,11.77394056,15.13792358,16.81991509,0.934912789,9.910826737,15.41684159,19.82165347,22.02405942,3.116375962,5.953058154,21.06466732
93,4.081130896,7.346035612,11.42716651,14.69207122,16.32452358,0.948359383,9.881003619,15.37045007,19.76200724,21.95778582,3.161197943,6.027775769,21.32905272
94,3.975499589,7.155899261,11.13139885,14.31179852,15.90199836,0.962493807,9.851870983,15.32513264,19.70374197,21.89304663,3.20831269,6.066656299,21.46662998
95,3.828188393,6.890739107,10.7189275,13.78147821,15.31275357,0.96982543,9.83768232,15.30306139,19.67536464,21.86151627,3.232751433,6.147553076,21.75288012
96,3.767696068,6.781852923,10.54954899,13.56370585,15.07078427,0.985030231,9.810265301,15.26041269,19.6205306,21.80058956,3.283434105,6.18960574,21.90168185
97,3.620939831,6.517691696,10.13863153,13.03538339,14.48375933,0.99290843,9.797106255,15.23994306,19.59421251,21.77134723,3.309694766,6.277009428,22.21095644
98,3.517993476,6.332388258,9.850381734,12.66477652,14.07197391,1.009228787,9.772024595,15.20092715,19.54404919,21.71561021,3.364095956,6.322395886,22.37155467
99,3.400323505,6.120582309,9.520905814,12.24116462,13.60129402,1.017675818,9.760141214,15.18244189,19.52028243,21.6892027,3.392252725,6.416625381,22.70498212
100,3.341683259,6.015029866,9.356713126,12.03005973,13.36673304,1.03515558,9.737743696,15.1476013,19.47548739,21.63943044,3.450518601,6.465502867,22.87793322
101,3.199372558,5.758870605,8.958243163,11.51774121,12.79749023,1.044193037,9.727232246,15.13125016,19.45446449,21.61607166,3.480643456,6.566868209,23.23661059
102,3.141617713,5.654911884,8.796529598,11.30982377,12.56647085,1.062874728,9.707538489,15.10061543,19.41507698,21.57230775,3.542915759,6.619389532,23.42245527
103,2.985974705,5.374754468,8.360729173,10.74950894,11.94389882,1.082380672,9.689467748,15.07250539,19.3789355,21.53215055,3.607935572,6.728191911,23.8074483
104,2.903944072,5.22709933,8.131043402,10.45419866,11.61577629,1.092448352,9.680954182,15.05926206,19.36190836,21.51323152,3.641494508,6.78450545,24.00671159
105,2.848084478,5.126552061,7.974636539,10.25310412,11.39233791,1.113224144,9.664719117,15.03400751,19.32943823,21.47715359,3.710747147,6.84211527,24.21056173
106,2.736865221,4.926357398,7.663222618,9.852714795,10.94746088,1.123936586,9.656868239,15.02179504,19.31373648,21.4597072,3.746455287,6.961286912,24.632246
107,2.681510534,4.82671896,7.508229494,9.653437921,10.72604213,1.146021206,9.641299181,14.9975765,19.28259836,21.42510929,3.820070687,7.022879905,24.85019043
108,2.546922909,4.584461236,7.131384145,9.168922472,10.18769164,1.157397568,9.633387994,14.98527021,19.26677599,21.40752888,3.857991893,7.150156928,25.30055528
109,2.455260008,4.419468014,6.874728022,8.838936028,9.821040031,1.180828669,9.616742344,14.95937698,19.23348469,21.37053854,3.936095565,7.215871145,25.53308251
110,2.348762735,4.227772924,6.576535659,8.455545847,9.395050941,1.192887445,9.607742936,14.9453779,19.21548587,21.35053986,3.976291485,7.351525226,26.01308926
111,2.295765517,4.132377931,6.428143448,8.264755862,9.183062069,1.217701354,9.587630392,14.91409172,19.17526078,21.30584532,4.059004512,7.421494294,26.26067212
112,2.167297746,3.901135943,6.06843369,7.802271887,8.669190985,1.243456658,9.563523443,14.87659202,19.12704689,21.25227432,4.144855525,7.565788258,26.77125076
113,2.115329859,3.807593746,5.922923604,7.615187491,8.461319435,1.256692086,9.549475914,14.85474031,19.09895183,21.22105759,4.18897362,7.640141374,27.0343464
114,2.011844787,3.621320616,5.633165402,7.242641231,8.047379146,1.283887787,9.516264577,14.80307823,19.03252915,21.14725462,4.279625958,7.793329192,27.5763956
115,1.960316019,3.528568834,5.488884853,7.057137668,7.841264075,1.297851703,9.496600377,14.77248947,18.99320075,21.10355639,4.326172342,7.87219113,27.85544554
116,1.857650532,3.343770957,5.201421488,6.687541914,7.430602126,1.326520585,9.449774615,14.6996494,18.89954923,20.99949914,4.421735282,8.03451792,28.42983264
117,1.81E+00,3.25E+00,5.06E+00,6.50E+00,7.23E+00,1.341229046,9.422006887,14.65645516,18.84401377,20.93779308,4.470763488,8.118009024,28.7252627
118,1.685031032,3.033055858,4.718086891,6.066111717,6.74012413,1.371402565,9.356104435,14.55394023,18.71220887,20.79134319,4.571341883,8.289711051,29.33282372
119,1.634738765,2.942529776,4.577268541,5.885059553,6.538955058,1.386870969,9.317247623,14.4934963,18.63449525,20.70499472,4.622903231,8.377947241,29.64504408
120,1.534351649,2.761832967,4.296184616,5.523665935,6.137406594,1.418579252,9.225762652,14.35118635,18.4515253,20.50169478,4.728597507,8.559251915,30.2865837
121,1.484228169,2.671610705,4.155838874,5.343221409,5.936912677,1.451326793,9.113050133,14.17585576,18.22610027,20.25122252,4.837755976,8.652344684,30.61598888
122,1.384041657,2.491274983,3.875316641,4.982549966,5.536166629,1.468094177,9.04757417,14.07400426,18.09514834,20.10572038,4.893647258,8.843470564,31.29228046
123,1.333943392,2.401098106,3.735041498,4.802196212,5.335773569,1.502423744,8.895857723,13.8380009,17.79171545,19.76857272,5.008079148,8.941526976,31.6392493
124,1.233640124,2.220552224,3.454192348,4.441104448,4.934560498,1.519988881,8.80853341,13.70216308,17.61706682,19.57451869,5.066629603,9.142683766,32.35103486
125,1.183392889,2.130107201,3.31350009,4.260214402,4.733571557,1.55592706,8.608050828,13.39030129,17.21610166,19.12900184,5.186423534,9.245806461,32.71593056
126,1.133051747,2.039493145,3.172544893,4.078986291,4.53220699,1.57430291,8.49365222,13.2123479,16.98730444,18.87478271,5.247676366,9.350639961,33.08687986
127,1.031989795,1.85758163,2.889571425,3.715163261,4.127959178,1.61187496,8.233232449,12.80725048,16.4664649,18.29607211,5.372916533,9.565482204,33.84709088
128,0.968957162,1.744122892,2.713080054,3.488245784,3.875828649,1.63107382,8.085802448,12.57791492,16.1716049,17.96844988,5.436912732,9.675511953,34.23642691
129,0.867978334,1.562361001,2.430339335,3.124722003,3.471913336,1.670303671,7.752757682,12.05984528,15.50551536,17.2283504,5.567678904,9.900839988,35.0337415
130,0.829949542,1.493909175,2.323858717,2.98781835,3.319798167,1.710651363,7.363448113,11.45425262,14.72689623,16.36321803,5.702171209,10.0161583,35.44179089
131,0.725789828,1.30642169,2.032211517,2.612843379,2.90315931,1.73124743,7.145567422,11.1153271,14.29113484,15.87903872,5.770824766,10.25215232,36.27684666
132,0.673200033,1.21176006,1.884960093,2.423520119,2.692800133,1.773289856,6.658811625,10.35815142,13.31762325,14.79735917,5.910966185,10.37284707,36.70392039
133,0.566814607,1.020266292,1.587080899,2.040532585,2.267258428,1.794738479,6.388016735,9.936914921,12.77603347,14.19559274,5.982461598,10.61967842,37.57732362
134,0.51294031,0.923292558,1.436232868,1.846585116,2.05176124,1.838496028,5.786527688,9.001265292,11.57305538,12.85895042,6.128320094,10.74583307,38.023717
135,0.403621007,0.726517813,1.13013882,1.453035625,1.614484028,1.860807071,5.453697911,8.483530083,10.90739582,12.11932869,6.202690238,11.00366423,38.93604265
136,0.353043633,0.635478539,0.988522172,1.270957078,1.412174531,1.906298805,4.718245804,7.339493473,9.436491608,10.48499068,6.35432935,11.13535781,39.40203532
137,0.238392878,0.42910718,0.667500058,0.858214361,0.953571512,1.929481466,4.313258187,6.709512736,8.626516374,9.585018194,6.431604886,11.40434242,40.35382702
138,0.179968487,0.323943277,0.503911765,0.647886555,0.71987395,1.976725117,3.422545949,5.323960365,6.845091897,7.605657664,6.589083723,11.54164953,40.83968296
139,0.061410347,0.110538625,0.171948972,0.221077249,0.245641388,2.025145909,2.415416531,3.757314604,4.830833062,5.367592292,6.750486363,11.82193237,41.831453
140,0,0,0,0,0,2.049799904,1.864747416,2.900718203,3.729494832,4.143883147,6.832666346,11.9649232,42.33742054
141,0,0,0,0,0,2.099999218,0.661919496,1.029652549,1.323838992,1.470932213,6.999997392,12.25664019,43.3696499
142,0,0,0,0,0,2.125546114,0.006712342,0.010441421,0.013424685,0.014916316,7.085153712,12.40538048,43.89596168
143,0,0,0,0,0,2.177538141,0,0,0,0,7.25846047,12.7086587,44.96910001
144,0,0,0,0,0,2.203984702,0,0,0,0,7.346615673,12.86320977,45.51597304
145,0,0,0,0,0,2.257782307,0,0,0,0,7.525941023,13.01971063,46.06974532
146,0,0,0,0,0,2.285134633,0,0,0,0,7.617115442,13.3385862,47.19807424
147,0,0,0,0,0,2.340749351,0,0,0,0,7.802497836,13.50097273,47.77267272
148,0,0,0,0,0,2.397581231,0,0,0,0,7.991937435,13.8316716,48.94283796
149,0,0,0,0,0,2.426454916,0,0,0,0,8.088183055,13.99999478,49.53844308
150,0,0,0,0,0,2.485120185,0,0,0,0,8.28373395,14.34261453,50.75078987
151,0,0,0,0,0,2.514912656,0,0,0,0,8.383042186,14.51692094,51.3675664
152,0,0,0,0,0,2.575419307,0,0,0,0,8.584731025,14.87155026,52.62240862
153,0,0,0,0,0,2.606134229,0,0,0,0,8.687114096,15.05188205,53.2605057
154,0,0,0,0,0,2.66848893,0,0,0,0,8.8949631,15.4186008,54.55812593
155,0,0,0,0,0,2.700129303,0,0,0,0,9.00043101,15.60499567,55.21767699
156,0,0,0,0,0,2.764337392,0,0,0,0,9.214457974,15.98387487,56.55832647
157,0,0,0,0,0,2.796905554,0,0,0,0,9.323018514,16.17636611,57.23944931
158,0,0,0,0,0,2.862971042,0,0,0,0,9.543236807,16.5674679,58.62334795
159,0,0,0,0,0,2.930276368,0,0,0,0,9.767587894,16.76608437,59.3261447
160,0,0,0,0,0,2.964394236,0,0,0,0,9.881314119,17.16946205,60.7534811
