BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMH17H_TC-2A.xlsx,,,,,,,
32,5265.034059,9477.061306,14742.09536,18954.12261,21060.13623,-508.116114,4119.472422,6408.068212,8238.944844,9154.38316,-1693.72038,-3387.44076
33,5143.302784,9257.945011,14401.2478,18515.89002,20573.21114,-513.236299,4138.376519,6437.474585,8276.753038,9196.392265,-1710.787663,-3421.575327
34,5023.525181,9042.345326,14065.87051,18084.69065,20094.10072,-517.9839986,4157.420443,6467.098466,8314.840885,9238.712095,-1726.613329,-3453.226657
35,4905.474755,8829.854559,13735.32931,17659.70912,19621.89902,-522.388569,4176.694896,6497.080949,8353.389791,9281.544212,-1741.29523,-3482.59046
36,4788.938793,8620.089828,13409.02862,17240.17966,19155.75517,-526.4789024,4196.254919,6527.507651,8392.509838,9325.010931,-1754.929675,-3509.85935
37,4673.718551,8412.693392,13086.41194,16825.38678,18694.87421,-530.2834266,4216.124035,6558.415165,8432.24807,9369.164522,-1767.611422,-3535.222844
38,4559.629413,8207.332944,12766.96236,16414.66589,18238.51765,-533.830105,4236.298202,6589.797204,8472.596405,9413.996005,-1779.433683,-3558.867367
39,4450.787424,8011.417363,12462.20479,16022.83473,17803.1497,-537.146437,4256.74958,6621.610457,8513.499159,9459.443511,-1790.488123,-3580.976247
40,4338.648603,7809.567485,12148.21609,15619.13497,17354.59441,-540.2594575,4277.4301,6653.780155,8554.8602,9505.400222,-1800.864858,-3601.729717
41,4280.597233,7705.075019,11985.67225,15410.15004,17122.38893,-541.7480475,4287.836574,6669.968004,8575.673148,9528.52572,-1805.826825,-3611.65365
42,4173.943314,7513.097965,11687.04128,15026.19593,16695.77326,-544.6057759,4308.734722,6702.476235,8617.469445,9574.96605,-1815.352586,-3630.705173
43,4063.379055,7314.082299,11377.46135,14628.1646,16253.51622,-547.3257493,4329.675105,6735.050163,8659.350209,9621.500232,-1824.419164,-3648.838328
44,3953.216146,7115.789062,11069.00521,14231.57812,15812.86458,-549.9333776,4350.564273,6767.544425,8701.128546,9667.920607,-1833.111259,-3666.222517
45,3843.364858,6918.056745,10761.4216,13836.11349,15373.45943,-552.4536068,4371.302292,6799.803565,8742.604583,9714.005093,-1841.512023,-3683.024045
46,3733.749892,6720.749805,10454.4997,13441.49961,14934.99957,-554.9109183,4391.785266,6831.66597,8783.570532,9759.522814,-1849.703061,-3699.406122
47,3629.743164,6533.537696,10163.28086,13067.07539,14518.97266,-557.3293295,4411.907685,6862.96751,8823.815369,9804.239299,-1857.764432,-3715.528863
48,3520.709784,6337.277611,9857.987395,12674.55522,14082.83914,-559.7323934,4431.564569,6893.544886,8863.129139,9847.921265,-1865.774645,-3731.54929
49,3411.789891,6141.221803,9553.011693,12282.44361,13647.15956,-562.1431988,4450.653437,6923.23868,8901.306875,9890.340972,-1873.810663,-3747.621326
50,3308.787845,5955.818121,9264.605967,11911.63624,13235.15138,-564.5843702,4469.076073,6951.896113,8938.152145,9931.280161,-1881.947901,-3763.895802
51,3200.348121,5760.626617,8960.974738,11521.25323,12801.39248,-567.0780678,4486.740108,6979.373501,8973.480215,9970.533572,-1890.260226,-3780.520452
52,3092.020901,5565.637621,8657.658522,11131.27524,12368.0836,-569.6459877,4503.560416,7005.538424,9007.120831,10007.91203,-1898.819959,-3797.639918
53,2990.043577,5382.078439,8372.122016,10764.15688,11960.17431,-572.3093614,4519.460313,7030.271597,9038.920625,10043.24514,-1907.697871,-3815.395743
54,2882.321904,5188.179427,8070.501331,10376.35885,11529.28762,-575.0889565,4534.37257,7053.468442,9068.745139,10076.38349,-1916.963188,-3833.926377
55,2831.678857,5097.021943,7928.7008,10194.04389,11326.71543,-576.5286999,4541.440116,7064.462403,9082.880232,10092.08915,-1921.762333,-3843.524666
56,2724.462432,4904.032377,7628.494809,9808.064754,10897.84973,-579.5205505,4554.767521,7085.193922,9109.535042,10121.7056,-1931.735168,-3863.470337
57,2624.028378,4723.25108,7347.279458,9446.50216,10496.11351,-582.6785099,4566.985513,7104.199687,9133.971026,10148.8567,-1942.2617,-3884.523399
58,2517.81229,4532.062122,7049.874413,9064.124245,10071.24916,-586.0217207,4578.06519,7121.434741,9156.130381,10173.4782,-1953.405736,-3906.811471
59,2412.074644,4341.734358,6753.809002,8683.468717,9648.298574,-589.5688612,4587.989314,7136.872267,9175.978628,10195.53181,-1965.229537,-3930.459075
60,2313.675499,4164.615898,6478.291396,8329.231795,9254.701994,-593.3381453,4596.752277,7150.503542,9193.504554,10215.00506,-1977.793818,-3955.587635
61,2209.457174,3977.022912,6186.480086,7954.045825,8837.828694,-597.3473228,4604.359882,7162.337595,9208.719765,10231.91085,-1991.157743,-3982.315485
62,2112.756052,3802.960894,5915.716946,7605.921788,8451.024209,-601.6136792,4610.828933,7172.400562,9221.657866,10246.28652,-2005.378931,-4010.757861
63,2010.467143,3618.840858,5629.308001,7237.681715,8041.868572,-606.1540357,4616.186631,7180.734759,9232.373262,10258.19251,-2020.513452,-4041.026904
64,1915.851869,3448.533365,5364.385235,6897.06673,7663.407478,-610.9847492,4620.469787,7187.397447,9240.939574,10267.71064,-2036.615831,-4073.231661
65,1822.275194,3280.09535,5102.370544,6560.190699,7289.100777,-616.1217124,4623.723841,7192.459308,9247.447681,10274.94187,-2053.739041,-4107.478083
66,1723.829261,3102.89267,4826.721932,6205.785341,6895.317045,-621.5803539,4626.001689,7196.002628,9252.003379,10280.00375,-2071.934513,-4143.869026
67,1632.960473,2939.328852,4572.289325,5878.657704,6531.841893,-627.3756376,4627.36233,7198.119179,9254.724659,10283.0274,-2091.252125,-4182.504251
68,1588.025988,2858.446778,4446.472765,5716.893555,6352.10395,-630.4040697,4627.718423,7198.673103,9255.436846,10283.81872,-2101.346899,-4202.693798
69,1493.544672,2688.38041,4181.925083,5376.76082,5974.178689,-636.7313592,4627.82335,7198.836323,9255.646701,10284.05189,-2122.437864,-4244.875728
70,1406.584967,2531.85294,3938.437907,5063.70588,5626.339867,-643.4306702,4627.174607,7197.827166,9254.349214,10282.61024,-2144.768901,-4289.537801
71,1321.237222,2378.226999,3699.464221,4756.453999,5284.948888,-650.515342,4625.839087,7195.749691,9251.678174,10279.64242,-2168.384473,-4336.768947
72,1232.496175,2218.493114,3450.989289,4436.986229,4929.984699,-657.9982497,4623.881317,7192.704271,9247.762634,10275.29182,-2193.327499,-4386.654998
73,1151.020497,2071.836895,3222.857393,4143.673791,4604.08199,-665.8918038,4621.36105,7188.783856,9242.722101,10269.69122,-2219.639346,-4439.278692
74,1071.453399,1928.616118,3000.069517,3857.232236,4285.813595,-674.2079509,4618.330675,7184.069939,9236.661351,10262.95706,-2247.359836,-4494.719673
75,989.3286308,1780.791535,2770.120166,3561.583071,3957.314523,-682.9581732,4614.832432,7178.628228,9229.664865,10255.18318,-2276.527244,-4553.054488
76,913.1476112,1643.6657,2556.813311,3287.3314,3652.590445,-692.1534885,4610.89544,7172.504018,9221.79088,10246.43431,-2307.178295,-4614.35659
77,839.4094014,1510.936923,2350.346324,3021.873845,3357.637606,-701.8044506,4606.532534,7165.717275,9213.065068,10236.73896,-2339.348169,-4678.696337
78,768.1549564,1382.678922,2150.833878,2765.357843,3072.619826,-711.9211488,4601.736912,7158.257418,9203.473824,10226.08203,-2373.070496,-4746.140992
79,699.4189895,1258.954181,1958.373171,2517.908362,2797.675958,-722.5132083,4596.478595,7150.077814,9192.957189,10214.39688,-2408.377361,-4816.754722
80,633.2292561,1139.812661,1773.041917,2279.625322,2532.917024,-733.5897899,4590.700692,7141.089965,9181.401384,10201.55709,-2445.2993,-4890.5986
81,569.605838,1025.290508,1594.896346,2050.581017,2278.423352,-745.1595903,4584.315482,7131.157416,9168.630964,10187.36774,-2483.865301,-4967.730602
82,538.7604981,969.7688966,1508.529395,1939.537793,2155.041992,-751.1320383,4580.858285,7125.779554,9161.716569,10179.68508,-2503.773461,-5007.546922
83,479.005657,862.2101826,1341.21584,1724.420365,1916.022628,-763.4569574,4573.320024,7114.05337,9146.640047,10162.93339,-2544.856525,-5089.713049
84,421.8290624,759.2923123,1181.121375,1518.584625,1687.31625,-776.2948056,4564.79281,7100.788816,9129.585621,10143.98402,-2587.649352,-5175.298704
85,367.2182976,660.9929357,1028.211233,1321.985871,1468.87319,-789.6526546,4555.047387,7085.629268,9110.094773,10122.32753,-2632.175515,-5264.35103
86,315.1500495,567.2700891,882.4201386,1134.540178,1260.600198,-803.5371118,4543.803666,7068.139036,9087.607331,10097.34148,-2678.457039,-5356.914079
87,265.5893921,478.0609057,743.6502977,956.1218114,1062.357568,-817.9543205,4530.725767,7047.795638,9061.451535,10068.27948,-2726.514402,-5453.028803
88,218.4890705,393.2803268,611.7693973,786.5606537,873.9562819,-832.9099594,4515.416862,7023.981786,9030.833725,10034.25969,-2776.366531,-5552.733063
89,173.7887848,312.8198127,486.6085975,625.6396254,695.1551393,-848.4092433,4497.413826,6995.977063,8994.827653,9994.252948,-2828.030811,-5656.061622
90,131.414474,236.5460532,367.9605272,473.0921064,525.657896,-864.4569224,4476.181707,6962.949322,8952.363414,9947.07046,-2881.523075,-5763.046149
91,91.27759945,164.299679,255.5772785,328.599358,365.1103978,-881.057283,4451.107998,6923.945774,8902.215996,9891.351106,-2936.85761,-5873.71522
92,53.27442916,95.89397248,149.1684016,191.787945,213.0977166,-898.2141468,4421.496724,6877.883793,8842.993449,9825.548276,-2994.047156,-5988.094312
93,17.28532133,31.11357839,48.39889972,62.22715678,69.14128532,-915.9308715,4386.56234,6823.541418,8773.12468,9747.916311,-3053.102905,-6106.20581
94,0,0,0,0,0,-934.2103503,4345.423432,6759.54756,8690.846863,9656.496515,-3114.034501,-6228.069002
95,0,0,0,0,0,-953.0550124,4297.096237,6684.371924,8594.192474,9549.102749,-3176.850041,-6353.700082
96,0,0,0,0,0,-962.6899192,4269.899982,6642.066638,8539.799963,9488.666626,-3208.966397,-6417.932795
97,0,0,0,0,0,-982.385895,4208.705443,6546.875133,8417.410885,9352.678761,-3274.61965,-6549.2393
98,0,0,0,0,0,-1002.651095,4137.371168,6435.910706,8274.742336,9194.158151,-3342.170318,-6684.340636
99,0,0,0,0,0,-1023.486325,4054.501372,6307.002134,8109.002744,9010.003049,-3411.621082,-6823.242165
100,0,0,0,0,0,-1044.891923,3958.566393,6157.769944,7917.132786,8796.814206,-3482.973076,-6965.946151
101,0,0,0,0,0,-1066.867765,3847.895167,5985.614704,7695.790334,8550.878149,-3556.225883,-7112.451767
102,0,0,0,0,0,-1089.413263,3720.66751,5787.705016,7441.335021,8268.150023,-3631.377543,-7262.755086
103,0,0,0,0,0,-1112.527364,3574.906213,5560.96522,7149.812426,7944.236028,-3708.424545,-7416.849091
104,0,0,0,0,0,-1136.20855,3408.46894,5302.062795,6816.93788,7574.375422,-3787.361833,-7574.723666
105,0,0,0,0,0,-1160.45484,3219.039947,5007.395474,6438.079895,7153.422105,-3868.182801,-7736.365602
106,0,0,0,0,0,-1185.263789,3004.121604,4673.07805,6008.243207,6675.825786,-3950.879297,-7901.758593
107,0,0,0,0,0,-1210.632486,2761.025725,4294.928906,5522.051451,6135.612723,-4035.441621,-8070.883241
108,0,0,0,0,0,-1236.557558,2486.864719,3868.45623,4973.729439,5526.366043,-4121.858525,-8243.717051
109,0,0,0,0,0,-1249.727552,2337.175673,3635.606602,4674.351345,5193.723717,-4165.758507,-8331.517015
110,0,0,0,0,0,-1276.479843,2010.544225,3127.513239,4021.08845,4467.876055,-4254.932809,-8509.865618
111,0,0,0,0,0,-1303.778041,1644.696425,2558.416662,3289.392851,3654.880945,-4345.926802,-8691.853603
112,0,0,0,0,0,-1331.617147,1235.97427,1922.626643,2471.94854,2746.609489,-4438.723822,-8877.447644
113,0,0,0,0,0,-1359.991698,780.4781474,1214.077118,1560.956295,1734.395883,-4533.305659,-9066.611318
114,0,0,0,0,0,-1388.895766,274.0569357,426.3107889,548.1138715,609.0154128,-4629.652553,-9259.305107
115,0,0,0,0,0,-1418.322959,0,0,0,0,-4727.743198,-9455.486397
116,0,0,0,0,0,-1448.266422,0,0,0,0,-4827.55474,-9655.10948
117,0,0,0,0,0,-1478.718833,0,0,0,0,-4929.062777,-9858.125555
118,0,0,0,0,0,-1509.672408,0,0,0,0,-5032.24136,-10064.48272
119,0,0,0,0,0,-1541.118898,0,0,0,0,-5137.062993,-10274.12599
120,0,0,0,0,0,-1573.049589,0,0,0,0,-5243.498631,-10486.99726
121,0,0,0,0,0,-1605.455305,0,0,0,0,-5351.517683,-10703.03537
122,0,0,0,0,0,-1638.326402,0,0,0,0,-5461.088008,-10922.17602
123,0,0,0,0,0,-1654.93333,0,0,0,0,-5516.444432,-11032.88886
124,0,0,0,0,0,-1688.483407,0,0,0,0,-5628.278023,-11256.55605
125,0,0,0,0,0,-1722.472731,0,0,0,0,-5741.575769,-11483.15154
126,0,0,0,0,0,-1756.890034,0,0,0,0,-5856.300115,-11712.60023
127,0,0,0,0,0,-1791.723587,0,0,0,0,-5972.411957,-11944.82391
128,0,0,0,0,0,-1826.961194,0,0,0,0,-6089.870645,-12179.74129
129,0,0,0,0,0,-1862.590194,0,0,0,0,-6208.633981,-12417.26796
130,0,0,0,0,0,-1898.597465,0,0,0,0,-6328.658218,-12657.31644
131,0,0,0,0,0,-1934.969419,0,0,0,0,-6449.898063,-12899.79613
132,0,0,0,0,0,-1971.692003,0,0,0,0,-6572.306675,-13144.61335
133,0,0,0,0,0,-2008.7507,0,0,0,0,-6695.835666,-13391.67133
134,0,0,0,0,0,-2046.13053,0,0,0,0,-6820.4351,-13640.8702
135,0,0,0,0,0,-2083.816048,0,0,0,0,-6946.053492,-13892.10698
136,0,0,0,0,0,-2102.768486,0,0,0,0,-7009.228287,-14018.45657
137,0,0,0,0,0,-2140.88256,0,0,0,0,-7136.275201,-14272.5504
138,0,0,0,0,0,-2179.261678,0,0,0,0,-7264.205594,-14528.41119
139,0,0,0,0,0,-2217.88877,0,0,0,0,-7392.962567,-14785.92513
140,0,0,0,0,0,-2256.746302,0,0,0,0,-7522.487673,-15044.97535
141,0,0,0,0,0,-2295.816274,0,0,0,0,-7652.720915,-15305.44183
142,0,0,0,0,0,-2335.080225,0,0,0,0,-7783.600751,-15567.2015
143,0,0,0,0,0,-2374.519227,0,0,0,0,-7915.064091,-15830.12818
144,0,0,0,0,0,-2414.113889,0,0,0,0,-8047.046298,-16094.0926
145,0,0,0,0,0,-2453.844356,0,0,0,0,-8179.481186,-16358.96237
146,0,0,0,0,0,-2493.690307,0,0,0,0,-8312.301022,-16624.60204
147,0,0,0,0,0,-2533.630958,0,0,0,0,-8445.436526,-16890.87305
148,0,0,0,0,0,-2573.645061,0,0,0,0,-8578.81687,-17157.63374
149,0,0,0,0,0,-2613.710904,0,0,0,0,-8712.369679,-17424.73936
150,0,0,0,0,0,-2633.756315,0,0,0,0,-8779.187717,-17558.37543
151,0,0,0,0,0,-2673.85804,0,0,0,0,-8912.860133,-17825.72027
152,0,0,0,0,0,-2713.955192,0,0,0,0,-9046.517305,-18093.03461
153,0,0,0,0,0,-2754.024432,0,0,0,0,-9180.081441,-18360.16288
154,0,0,0,0,0,-2794.04196,0,0,0,0,-9313.473201,-18626.9464
155,0,0,0,0,0,-2833.983509,0,0,0,0,-9446.611698,-18893.2234
156,0,0,0,0,0,-2873.824349,0,0,0,0,-9579.414498,-19158.829
157,0,0,0,0,0,-2873.824349,0,0,0,0,-9579.414498,-19158.829
158,0,0,0,0,0,-2873.824349,0,0,0,0,-9579.414498,-19158.829
159,0,0,0,0,0,-2873.824349,0,0,0,0,-9579.414498,-19158.829
160,0,0,0,0,0,-2873.824349,0,0,0,0,-9579.414498,-19158.829
