BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,D: ,800,,B: ,JNR_DML30HSD_DW4.xlsx,,,,,,,,,,,,,,,,,
#,R: ,3.057,,W: ,Force_DC65,,,,,,,,,,,,,,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
6,10494.46003,18890.02805,29384.48808,37780.0561,41977.84011,-185.8428229,1027.196959,1597.861936,2054.393917,2282.659908,10494.46003,18890.02805,29384.48808,37780.0561,41977.84011,-185.8428229,1027.196959,1597.861936,2054.393917,2282.659908,-619.4760762,-1238.952152
7,10331.26477,18596.27658,28927.54135,37192.55316,41325.05907,-211.8465722,1136.061299,1767.206465,2272.122598,2524.580665,10331.26477,18596.27658,28927.54135,37192.55316,41325.05907,-211.8465722,1136.061299,1767.206465,2272.122598,2524.580665,-706.1552405,-1412.310481
8,10168.55147,18303.39265,28471.94413,36606.78531,40674.2059,-236.5481606,1224.012755,1904.019841,2448.02551,2720.028345,10168.55147,18303.39265,28471.94413,36606.78531,40674.2059,-236.5481606,1224.012755,1904.019841,2448.02551,2720.028345,-788.4938687,-1576.987737
9,10006.57694,18011.83849,28018.41542,36023.67697,40026.30775,-259.9904736,1294.718168,2014.006039,2589.436336,2877.151485,10006.57694,18011.83849,28018.41542,36023.67697,40026.30775,-259.9904736,1294.718168,2014.006039,2589.436336,2877.151485,-866.634912,-1733.269824
10,9859.529707,17747.15347,27606.68318,35494.30695,39438.11883,-282.2159076,1351.524642,2102.371666,2703.049284,3003.388094,9859.529707,17747.15347,27606.68318,35494.30695,39438.11883,-282.2159076,1351.524642,2102.371666,2703.049284,3003.388094,-940.7196922,-1881.439384
11,9699.355313,17458.83956,27158.19488,34917.67913,38797.42125,-303.2663705,1397.474581,2173.849349,2794.949163,3105.49907,9699.355313,17458.83956,27158.19488,34917.67913,38797.42125,-303.2663705,1397.474581,2173.849349,2794.949163,3105.49907,-1010.887902,-2021.775803
12,9540.408804,17172.73585,26713.14465,34345.4717,38161.63522,-323.1832809,1435.320415,2232.720645,2870.640829,3189.600921,9540.408804,17172.73585,26713.14465,34345.4717,38161.63522,-323.1832809,1435.320415,2232.720645,2870.640829,3189.600921,-1077.277603,-2154.555206
13,9382.804933,16889.04888,26271.85381,33778.09776,37531.21973,-342.0075691,1467.539005,2282.838452,2935.07801,3261.197789,9382.804933,16889.04888,26271.85381,33778.09776,37531.21973,-342.0075691,1467.539005,2282.838452,2935.07801,3261.197789,-1140.02523,-2280.050461
14,9238.872858,16629.97114,25868.844,33259.94229,36955.49143,-359.7796763,1496.345748,2327.648941,2992.691495,3325.212773,9238.872858,16629.97114,25868.844,33259.94229,36955.49143,-359.7796763,1496.345748,2327.648941,2992.691495,3325.212773,-1199.265588,-2398.531175
15,9084.037372,16351.26727,25435.30464,32702.53454,36336.14949,-376.5395549,1523.708349,2370.212988,3047.416698,3386.018554,9084.037372,16351.26727,25435.30464,32702.53454,36336.14949,-376.5395549,1523.708349,2370.212988,3047.416698,3386.018554,-1255.13185,-2510.263699
16,8930.812044,16075.46168,25006.27372,32150.92336,35723.24818,-392.3266684,1551.360297,2413.227128,3102.720593,3447.467326,8930.812044,16075.46168,25006.27372,32150.92336,35723.24818,-392.3266684,1551.360297,2413.227128,3102.720593,3447.467326,-1307.755561,-2615.511123
17,8779.265055,15802.6771,24581.94215,31605.3542,35117.06022,-407.1799918,1580.814011,2459.044018,3161.628023,3512.920025,8779.265055,15802.6771,24581.94215,31605.3542,35117.06022,-407.1799918,1580.814011,2459.044018,3161.628023,3512.920025,-1357.266639,-2714.533279
18,8629.456134,15533.02104,24162.47717,31066.04208,34517.82454,-421.1380109,1613.373687,2509.692402,3226.747373,3585.274859,8629.456134,15533.02104,24162.47717,31066.04208,34517.82454,-421.1380109,1613.373687,2509.692402,3226.747373,3585.274859,-1403.79337,-2807.586739
19,8481.43724,15266.58703,23748.02427,30533.17406,33925.74896,-434.2387228,1650.147815,2566.896601,3300.295629,3666.995144,8481.43724,15266.58703,23748.02427,30533.17406,33925.74896,-434.2387228,1650.147815,2566.896601,3300.295629,3666.995144,-1447.462409,-2894.924819
20,8345.654291,15022.17772,23367.83201,30044.35545,33382.61716,-446.5196359,1692.061396,2632.095505,3384.122792,3760.136436,8345.654291,15022.17772,23367.83201,30044.35545,33382.61716,-446.5196359,1692.061396,2632.095505,3384.122792,3760.136436,-1488.398786,-2976.797573
21,8201.162789,14762.09302,22963.25581,29524.18604,32804.65116,-458.0177698,1739.867837,2706.46108,3479.735674,3866.372971,8201.162789,14762.09302,22963.25581,29524.18604,32804.65116,-458.0177698,1739.867837,2706.46108,3479.735674,3866.372971,-1526.725899,-3053.451798
22,8058.577942,14505.4403,22564.01824,29010.88059,32234.31177,-468.7696549,1794.160532,2790.916382,3588.321063,3987.023403,8058.577942,14505.4403,22564.01824,29010.88059,32234.31177,-468.7696549,1794.160532,2790.916382,3588.321063,3987.023403,-1562.565516,-3125.131033
23,7917.925289,14252.26552,22170.19081,28504.53104,31671.70116,-478.8113333,1855.384131,2886.153092,3710.768261,4123.075846,7917.925289,14252.26552,22170.19081,28504.53104,31671.70116,-478.8113333,1855.384131,2886.153092,3710.768261,4123.075846,-1596.037778,-3192.075555
24,7779.224603,14002.60429,21781.82889,28005.20857,31116.89841,-488.1783578,1923.845495,2992.648548,3847.69099,4275.212212,7779.224603,14002.60429,21781.82889,28005.20857,31116.89841,-488.1783578,1923.845495,2992.648548,3847.69099,4275.212212,-1627.261193,-3254.522386
25,7642.490155,13756.48228,21398.97243,27512.96456,30569.96062,-496.9057928,1999.724337,3110.682302,3999.448674,4443.83186,7642.490155,13756.48228,21398.97243,27512.96456,30569.96062,-496.9057928,1999.724337,3110.682302,3999.448674,4443.83186,-1656.352643,-3312.705286
26,7507.730958,13513.91572,21021.64668,27027.83145,30030.92383,-505.0282137,2083.083544,3240.35218,4166.167088,4629.074542,7507.730958,13513.91572,21021.64668,27027.83145,30030.92383,-505.0282137,2083.083544,3240.35218,4166.167088,4629.074542,-1683.427379,-3366.854758
27,7374.950991,13274.91178,20649.86278,26549.82357,29499.80396,-512.5797068,2173.879192,3381.589854,4347.758384,4830.842649,7374.950991,13274.91178,20649.86278,26549.82357,29499.80396,-512.5797068,2173.879192,3381.589854,4347.758384,4830.842649,-1708.599023,-3417.198046
28,7244.149403,13039.46893,20283.61833,26078.93785,28976.59761,-519.5938701,2271.970242,3534.175932,4543.940484,5048.82276,7244.149403,13039.46893,20283.61833,26078.93785,28976.59761,-519.5938701,2271.970242,3534.175932,4543.940484,5048.82276,-1731.979567,-3463.959134
29,7115.320707,12807.57727,19922.89798,25615.15455,28461.28283,-526.1038125,2377.127923,3697.754547,4754.255847,5282.506496,7115.320707,12807.57727,19922.89798,25615.15455,28461.28283,-526.1038125,2377.127923,3697.754547,4754.255847,5282.506496,-1753.679375,-3507.35875
30,6988.454957,12579.21892,19567.67388,25158.43785,27953.81983,-532.1421539,2489.044803,3871.847471,4978.089606,5531.210673,6988.454957,12579.21892,19567.67388,25158.43785,27953.81983,-532.1421539,2489.044803,3871.847471,4978.089606,5531.210673,-1773.80718,-3547.614359
31,6863.537923,12354.36826,19217.90619,24708.73652,27454.15169,-537.7410257,2607.34354,4055.867729,5214.687081,5794.096756,6863.537923,12354.36826,19217.90619,24708.73652,27454.15169,-537.7410257,2607.34354,4055.867729,5214.687081,5794.096756,-1792.470086,-3584.940172
32,6740.551248,12132.99225,18873.5435,24265.98449,26962.20499,-542.9320704,2731.585328,4249.132732,5463.170655,6070.189617,6740.551248,12132.99225,18873.5435,24265.98449,26962.20499,-542.9320704,2731.585328,4249.132732,5463.170655,6070.189617,-1809.773568,-3619.547136
33,6619.472602,11915.05068,18534.52328,23830.10137,26477.89041,-547.7464416,2861.278017,4450.876915,5722.556033,6358.395592,6619.472602,11915.05068,18534.52328,23830.10137,26477.89041,-547.7464416,2861.278017,4450.876915,5722.556033,6358.395592,-1825.821472,-3651.642944
34,6500.275827,11700.49649,18200.77232,23400.99298,26001.10331,-552.214804,2995.883931,4660.263892,5991.767861,6657.519846,6500.275827,11700.49649,18200.77232,23400.99298,26001.10331,-552.214804,2995.883931,4660.263892,5991.767861,6657.519846,-1840.716013,-3681.432027
35,6382.931082,11489.27595,17872.20703,22978.5519,25531.72433,-556.3673337,3134.827364,4876.398121,6269.654727,6966.28303,6382.931082,11489.27595,17872.20703,22978.5519,25531.72433,-556.3673337,3134.827364,4876.398121,6269.654727,6966.28303,-1854.557779,-3709.115558
36,6202.57262,11164.63072,17367.20334,22329.26143,24810.29048,-562.0687489,3350.041789,5211.176115,6700.083577,7444.537308,6202.57262,11164.63072,17367.20334,22329.26143,24810.29048,-562.0687489,3350.041789,5211.176115,6700.083577,7444.537308,-1873.562496,-3747.124993
37,6089.845068,10961.72112,17051.56619,21923.44224,24359.38027,-565.5605089,3497.124702,5439.971759,6994.249404,7771.388227,6089.845068,10961.72112,17051.56619,21923.44224,24359.38027,-565.5605089,3497.124702,5439.971759,6994.249404,7771.388227,-1885.201696,-3770.403392
38,5978.835832,10761.9045,16740.74033,21523.809,23915.34333,-568.8382025,3646.331557,5672.071311,7292.663114,8102.959016,5978.835832,10761.9045,16740.74033,21523.809,23915.34333,-568.8382025,3646.331557,5672.071311,7292.663114,8102.959016,-1896.127342,-3792.254684
39,5869.500151,10565.10027,16434.60042,21130.20054,23478.0006,-571.9298062,3796.999876,5906.444252,7593.999752,8437.777502,5869.500151,10565.10027,16434.60042,21130.20054,23478.0006,-571.9298062,3796.999876,5906.444252,7593.999752,8437.777502,-1906.432687,-3812.865375
40,5761.790277,10371.2225,16133.01278,20742.445,23047.16111,-574.8628074,3948.464776,6142.056318,7896.929551,8774.366168,5761.790277,10371.2225,16133.01278,20742.445,23047.16111,-574.8628074,3948.464776,6142.056318,7896.929551,8774.366168,-1916.209358,-3832.418716
41,5655.655595,10180.18007,15835.83567,20360.36014,22622.62238,-577.6642048,4100.064421,6377.877988,8200.128842,9111.254269,5655.655595,10180.18007,15835.83567,20360.36014,22622.62238,-577.6642048,4100.064421,6377.877988,8200.128842,9111.254269,-1925.547349,-3851.094698
42,5551.04274,9991.876932,15542.91967,19983.75386,22204.17096,-580.3605081,4251.14517,6612.892486,8502.290339,9446.989266,5551.04274,9991.876932,15542.91967,19983.75386,22204.17096,-580.3605081,4251.14517,6612.892486,8502.290339,9446.989266,-1934.535027,-3869.070054
43,5447.895712,9806.212282,15254.10799,19612.42456,21791.58285,-582.9777383,4401.066396,6846.103283,8802.132792,9780.147546,5447.895712,9806.212282,15254.10799,19612.42456,21791.58285,-582.9777383,4401.066396,6846.103283,8802.132792,9780.147546,-1943.259128,-3886.518256
44,5339.079525,9610.343145,14949.42267,19220.68629,21356.3181,-585.5414277,4549.205008,7076.541123,9098.410015,10109.34446,5339.079525,9610.343145,14949.42267,19220.68629,21356.3181,-585.5414277,4549.205008,7076.541123,9098.410015,10109.34446,-1951.804759,-3903.609518
45,5238.819074,9429.874334,14668.69341,18859.74867,20955.2763,-588.0766196,4694.959643,7303.270556,9389.919286,10433.24365,5238.819074,9429.874334,14668.69341,18859.74867,20955.2763,-588.0766196,4694.959643,7303.270556,9389.919286,10433.24365,-1960.255399,-3920.510798
46,5139.840097,9251.712175,14391.55227,18503.42435,20559.36039,-590.6078686,4837.754556,7525.395976,9675.509112,10750.56568,5139.840097,9251.712175,14391.55227,18503.42435,20559.36039,-590.6078686,4837.754556,7525.395976,9675.509112,10750.56568,-1968.692895,-3937.38579
47,5042.077296,9075.739132,14117.81643,18151.47826,20168.30918,-593.1592402,4977.043189,7742.067183,9954.086378,11060.09598,5042.077296,9075.739132,14117.81643,18151.47826,20168.30918,-593.1592402,4977.043189,7742.067183,9954.086378,11060.09598,-1977.197467,-3954.394935
48,4945.463319,8901.833974,13847.29729,17803.66795,19781.85328,-595.7543115,5112.311426,7952.48444,10224.62285,11360.69206,4945.463319,8901.833974,13847.29729,17803.66795,19781.85328,-595.7543115,5112.311426,7952.48444,10224.62285,11360.69206,-1985.847705,-3971.69541
49,4843.045789,8717.48242,13560.52821,17434.96484,19372.18315,-598.4161705,5243.080537,8155.903058,10486.16107,11651.29008,4843.045789,8717.48242,13560.52821,17434.96484,19372.18315,-598.4161705,5243.080537,8155.903058,10486.16107,11651.29008,-1994.720568,-3989.441137
50,4748.653948,8547.577106,13296.23105,17095.15421,18994.61579,-601.1674165,5368.909809,8351.637481,10737.81962,11930.91069,4748.653948,8547.577106,13296.23105,17095.15421,18994.61579,-601.1674165,5368.909809,8351.637481,10737.81962,11930.91069,-2003.891388,-4007.782776
51,4655.19643,8379.353575,13034.55,16758.70715,18620.78572,-604.0301598,5489.398854,8539.064884,10978.79771,12198.66412,4655.19643,8379.353575,13034.55,16758.70715,18620.78572,-604.0301598,5489.398854,8539.064884,10978.79771,12198.66412,-2013.433866,-4026.867732
52,4562.598984,8212.67817,12775.27715,16425.35634,18250.39593,-607.0260221,5604.189613,8717.628287,11208.37923,12453.7547,4562.598984,8212.67817,12775.27715,16425.35634,18250.39593,-607.0260221,5604.189613,8717.628287,11208.37923,12453.7547,-2023.420074,-4046.840147
53,4470.785914,8047.414645,12518.20056,16094.82929,17883.14366,-610.1761361,5712.968042,8886.839176,11425.93608,12695.48454,4470.785914,8047.414645,12518.20056,16094.82929,17883.14366,-610.1761361,5712.968042,8886.839176,11425.93608,12695.48454,-2033.920454,-4067.840907
54,4372.958557,7871.325402,12244.28396,15742.6508,17491.83423,-613.5011458,5815.46548,9046.279636,11630.93096,12923.25662,4372.958557,7871.325402,12244.28396,15742.6508,17491.83423,-613.5011458,5815.46548,9046.279636,11630.93096,12923.25662,-2045.003819,-4090.007639
55,4282.620907,7708.717633,11991.33854,15417.43527,17130.48363,-617.0212064,5911.459712,9195.603996,11822.91942,13136.57714,4282.620907,7708.717633,11991.33854,15417.43527,17130.48363,-617.0212064,5911.459712,9195.603996,11822.91942,13136.57714,-2056.737355,-4113.474709
56,4192.832374,7547.098273,11739.93065,15094.19655,16771.3295,-620.7559842,6000.775705,9334.539986,12001.55141,13335.05712,4192.832374,7547.098273,11739.93065,15094.19655,16771.3295,-620.7559842,6000.775705,9334.539986,12001.55141,13335.05712,-2069.186614,-4138.373228
57,4103.512944,7386.323299,11489.83624,14772.6466,16414.05177,-624.7246566,6083.286044,9462.889402,12166.57209,13518.41343,4103.512944,7386.323299,11489.83624,14772.6466,16414.05177,-624.7246566,6083.286044,9462.889402,12166.57209,13518.41343,-2082.415522,-4164.831044
58,4014.581838,7226.247309,11240.82915,14452.49462,16058.32735,-628.9459123,6158.911041,9580.528286,12317.82208,13686.46898,4014.581838,7226.247309,11240.82915,14452.49462,16058.32735,-628.9459123,6158.911041,9580.528286,12317.82208,13686.46898,-2096.486374,-4192.972749
59,3919.393187,7054.907737,10974.30092,14109.81547,15677.57275,-633.4379512,6227.61854,9687.406618,12455.23708,13839.15231,3919.393187,7054.907737,10974.30092,14109.81547,15677.57275,-633.4379512,6227.61854,9687.406618,12455.23708,13839.15231,-2111.459837,-4222.919674
60,3831.141869,6896.055363,10727.19723,13792.11073,15324.56747,-638.2184843,6289.4234,9783.547511,12578.8468,13976.49644,3831.141869,6896.055363,10727.19723,13792.11073,15324.56747,-638.2184843,6289.4234,9783.547511,12578.8468,13976.49644,-2127.394948,-4254.789895
61,3743.033168,6737.459702,10480.49287,13474.9194,14972.13267,-643.3047338,6344.38667,9869.045931,12688.77334,14098.63704,3743.033168,6737.459702,10480.49287,13474.9194,14972.13267,-643.3047338,6344.38667,9869.045931,12688.77334,14098.63704,-2144.349113,-4288.698225
62,3654.984861,6578.97275,10233.95761,13157.9455,14619.93945,-648.7134331,6392.614444,9944.066912,12785.22889,14205.80987,3654.984861,6578.97275,10233.95761,13157.9455,14619.93945,-648.7134331,6392.614444,9944.066912,12785.22889,14205.80987,-2162.37811,-4324.75622
63,3560.376018,6408.676832,9969.052849,12817.35366,14241.50407,-654.4608267,6434.256408,10008.8433,12868.51282,14298.34757,3560.376018,6408.676832,9969.052849,12817.35366,14241.50407,-654.4608267,6434.256408,10008.8433,12868.51282,14298.34757,-2181.536089,-4363.072178
64,3472.363592,6250.254465,9722.618057,12500.50893,13889.45437,-660.5626705,6469.504067,10063.67299,12939.00813,14376.67571,3472.363592,6250.254465,9722.618057,12500.50893,13889.45437,-660.5626705,6469.504067,10063.67299,12939.00813,14376.67571,-2201.875568,-4403.751136
65,3384.165832,6091.498497,9475.664329,12182.99699,13536.66333,-667.0342312,6498.588664,10108.9157,12997.17733,14441.30814,3384.165832,6091.498497,9475.664329,12182.99699,13536.66333,-667.0342312,6498.588664,10108.9157,12997.17733,14441.30814,-2223.447437,-4446.894875
66,3295.701618,5932.262913,9227.964532,11864.52583,13182.80647,-673.890287,6521.778777,10144.98921,13043.55755,14492.84173,3295.701618,5932.262913,9227.964532,11864.52583,13182.80647,-673.890287,6521.778777,10144.98921,13043.55755,14492.84173,-2246.300957,-4492.601914
67,3206.890497,5772.402894,8979.293391,11544.80579,12827.56199,-681.1451273,6539.377607,10172.36517,13078.75521,14531.95024,3206.890497,5772.402894,8979.293391,11544.80579,12827.56199,-681.1451273,6539.377607,10172.36517,13078.75521,14531.95024,-2270.483758,-4540.967515
68,3111.355061,5600.43911,8711.794171,11200.87822,12445.42024,-688.8125523,6551.719955,10191.56437,13103.43991,14559.37768,3111.355061,5600.43911,8711.794171,11200.87822,12445.42024,-688.8125523,6551.719955,10191.56437,13103.43991,14559.37768,-2296.041841,-4592.083682
69,3021.793584,5439.228452,8461.022036,10878.4569,12087.17434,-696.9058738,6559.168876,10203.15158,13118.33775,14575.93083,3021.793584,5439.228452,8461.022036,10878.4569,12087.17434,-696.9058738,6559.168876,10203.15158,13118.33775,14575.93083,-2323.019579,-4646.039159
70,2931.650783,5276.971409,8208.622191,10553.94282,11726.60313,-705.4379146,6562.112025,10207.72982,13124.22405,14582.47117,2931.650783,5276.971409,8208.622191,10553.94282,11726.60313,-705.4379146,6562.112025,10207.72982,13124.22405,14582.47117,-2351.459715,-4702.919431
71,2795.18113,5031.326034,7826.507165,10062.65207,11180.72452,-719.0854213,6558.976145,10202.85178,13117.95229,14575.50255,2795.18113,5031.326034,7826.507165,10062.65207,11180.72452,-719.0854213,6558.976145,10202.85178,13117.95229,14575.50255,-2396.951404,-4793.902809
72,2697.215209,4854.987377,7552.202586,9709.974753,10788.86084,-728.7671522,6552.475627,10192.73986,13104.95125,14561.05695,2697.215209,4854.987377,7552.202586,9709.974753,10788.86084,-728.7671522,6552.475627,10192.73986,13104.95125,14561.05695,-2429.223841,-4858.447681
73,2604.658753,4688.385755,7293.044509,9376.771511,10418.63501,-738.9286326,6542.959711,10177.93733,13085.91942,14539.91047,2604.658753,4688.385755,7293.044509,9376.771511,10418.63501,-738.9286326,6542.959711,10177.93733,13085.91942,14539.91047,-2463.095442,-4926.190884
74,2511.195505,4520.15191,7031.347415,9040.303819,10044.78202,-749.5804858,6530.873095,10159.13593,13061.74619,14513.05132,2511.195505,4520.15191,7031.347415,9040.303819,10044.78202,-749.5804858,6530.873095,10159.13593,13061.74619,14513.05132,-2498.601619,-4997.203239
75,2416.75847,4350.165245,6766.923715,8700.330491,9667.033878,-760.732846,6516.659355,10137.02566,13033.31871,14481.46523,2416.75847,4350.165245,6766.923715,8700.330491,9667.033878,-760.732846,6516.659355,10137.02566,13033.31871,14481.46523,-2535.776153,-5071.552307
76,2315.526194,4167.947149,6483.473343,8335.894299,9262.104776,-772.3953587,6500.755247,10112.28594,13001.51049,14446.12277,2315.526194,4167.947149,6483.473343,8335.894299,9262.104776,-772.3953587,6500.755247,10112.28594,13001.51049,14446.12277,-2574.651196,-5149.302391
77,2219.190249,3994.542447,6213.732696,7989.084895,8876.760994,-784.5771805,6483.584699,10085.5762,12967.1694,14407.966,2219.190249,3994.542447,6213.732696,7989.084895,8876.760994,-784.5771805,6483.584699,10085.5762,12967.1694,14407.966,-2615.257268,-5230.514537
78,2121.698138,3819.056648,5940.754785,7638.113296,8486.792551,-797.2869793,6465.552481,10057.52608,12931.10496,14367.8944,2121.698138,3819.056648,5940.754785,7638.113296,8486.792551,-797.2869793,6465.552481,10057.52608,12931.10496,14367.8944,-2657.623264,-5315.246529
79,2022.994199,3641.389559,5664.383758,7282.779117,8091.976797,-810.5329341,6447.037568,10028.72511,12894.07514,14326.75015,2022.994199,3641.389559,5664.383758,7282.779117,8091.976797,-810.5329341,6447.037568,10028.72511,12894.07514,14326.75015,-2701.776447,-5403.552894
80,1923.026096,3461.446973,5384.473069,6922.893945,7692.104384,-824.3227349,6428.386184,9999.711842,12856.77237,14285.30263,1923.026096,3461.446973,5384.473069,6922.893945,7692.104384,-824.3227349,6428.386184,9999.711842,12856.77237,14285.30263,-2747.74245,-5495.484899
81,1821.745032,3279.141058,5100.88609,6558.282115,7286.980128,-838.6635833,6409.904533,9970.962607,12819.80907,14244.2323,1821.745032,3279.141058,5100.88609,6558.282115,7286.980128,-838.6635833,6409.904533,9970.962607,12819.80907,14244.2323,-2795.545278,-5591.090555
82,1714.364732,3085.856517,4800.221249,6171.713035,6857.458928,-853.5621916,6391.851216,9942.87967,12783.70243,14204.11381,1714.364732,3085.856517,4800.221249,6171.713035,6857.458928,-853.5621916,6391.851216,9942.87967,12783.70243,14204.11381,-2845.207305,-5690.414611
83,1610.613558,2899.104404,4509.717962,5798.208808,6442.454231,-869.0247837,6374.429337,9915.778969,12748.85867,14165.39853,1610.613558,2899.104404,4509.717962,5798.208808,6442.454231,-869.0247837,6374.429337,9915.778969,12748.85867,14165.39853,-2896.749279,-5793.498558
84,1505.430443,2709.774798,4215.205241,5419.549595,6021.721772,-885.0570944,6357.778288,9889.877337,12715.55658,14128.3962,1505.430443,2709.774798,4215.205241,5419.549595,6021.721772,-885.0570944,6357.778288,9889.877337,12715.55658,14128.3962,-2950.190315,-5900.38063
85,1398.78305,2517.809491,3916.592541,5035.618981,5595.132201,-901.6643698,6341.965226,9865.27924,12683.93045,14093.25606,1398.78305,2517.809491,3916.592541,5035.618981,5595.132201,-901.6643698,6341.965226,9865.27924,12683.93045,14093.25606,-3005.547899,-6011.095799
86,1290.643676,2323.158616,3613.802292,4646.317232,5162.574702,-918.8513672,6326.976233,9841.963028,12653.95247,14059.94718,1290.643676,2323.158616,3613.802292,4646.317232,5162.574702,-918.8513672,6326.976233,9841.963028,12653.95247,14059.94718,-3062.837891,-6125.675781
87,1180.989471,2125.781048,3306.770519,4251.562095,4723.957884,-936.6223549,6312.707162,9819.766696,12625.41432,14028.23814,1180.989471,2125.781048,3306.770519,4251.562095,4723.957884,-936.6223549,6312.707162,9819.766696,12625.41432,14028.23814,-3122.074516,-6244.149033
88,1066.517038,1919.730668,2986.247705,3839.461336,4266.068151,-954.9811126,6298.954169,9798.373152,12597.90834,13997.67593,1066.517038,1919.730668,2986.247705,3839.461336,4266.068151,-954.9811126,6298.954169,9798.373152,12597.90834,13997.67593,-3183.270375,-6366.540751
89,954.1313877,1717.436498,2671.567885,3434.872996,3816.525551,-973.930931,6285.403934,9777.295008,12570.80787,13967.5643,954.1313877,1717.436498,2671.567885,3434.872996,3816.525551,-973.930931,6285.403934,9777.295008,12570.80787,13967.5643,-3246.436437,-6492.872873
90,840.1984786,1512.357261,2352.55574,3024.714523,3360.793914,-993.4746121,6271.623557,9755.858867,12543.24711,13936.94124,840.1984786,1512.357261,2352.55574,3024.714523,3360.793914,-993.4746121,6271.623557,9755.858867,12543.24711,13936.94124,-3311.58204,-6623.164081
91,724.7170977,1304.490776,2029.207874,2608.981552,2898.868391,-1013.614469,6257.050159,9733.189136,12514.10032,13904.55591,724.7170977,1304.490776,2029.207874,2608.981552,2898.868391,-1013.614469,6257.050159,9733.189136,12514.10032,13904.55591,-3378.714897,-6757.429794
92,607.6919676,1093.845542,1701.537509,2187.691084,2430.767871,-1034.352326,6240.980145,9708.191336,12481.96029,13868.84477,607.6919676,1093.845542,1701.537509,2187.691084,2430.767871,-1034.352326,6240.980145,9708.191336,12481.96029,13868.84477,-3447.841088,-6895.682175
93,489.1339599,880.4411278,1369.575088,1760.882256,1956.535839,-1055.689519,6222.558175,9679.534939,12445.11635,13827.90706,489.1339599,880.4411278,1369.575088,1760.882256,1956.535839,-1055.689519,6222.558175,9679.534939,12445.11635,13827.90706,-3518.965063,-7037.930127
94,369.0603057,664.3085502,1033.368856,1328.6171,1476.241223,-1077.626894,6200.765806,9645.635699,12401.53161,13779.47957,369.0603057,664.3085502,1033.368856,1328.6171,1476.241223,-1077.626894,6200.765806,9645.635699,12401.53161,13779.47957,-3592.089647,-7184.179294
