BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,D: ,800,,B: ,JNR_DML30HSD_DW4.xlsx,,,,,,,,,,,,,,,,,
#,R: ,3.057,,W: ,Current_DC65,,,,,,,,,,,,,,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
9,22.0058822,39.61058796,61.61647016,79.22117591,88.02352879,0.571755933,2.847268918,4.429084983,5.694537835,6.327264262,22.0058822,39.61058796,61.61647016,79.22117591,88.02352879,0.571755933,2.847268918,4.429084983,5.694537835,6.327264262,1.905853111,3.811706221
10,21.68250448,39.02850806,60.71101254,78.05701613,86.73001792,0.620632816,2.972194413,4.623413531,5.944388825,6.604876473,21.68250448,39.02850806,60.71101254,78.05701613,86.73001792,0.620632816,2.972194413,4.623413531,5.944388825,6.604876473,2.068776052,4.137552103
11,21.33025826,38.39446488,59.72472314,76.78892975,85.32103306,0.666925769,3.073244847,4.780603096,6.146489695,6.829432994,21.33025826,38.39446488,59.72472314,76.78892975,85.32103306,0.666925769,3.073244847,4.780603096,6.146489695,6.829432994,2.223085898,4.446171796
12,20.98071234,37.76528222,58.74599456,75.53056444,83.92284938,0.710725881,3.156473203,4.910069427,6.312946406,7.014384896,20.98071234,37.76528222,58.74599456,75.53056444,83.92284938,0.710725881,3.156473203,4.910069427,6.312946406,7.014384896,2.36908627,4.738172539
13,20.63411907,37.14141433,57.77553341,74.28282867,82.5364763,0.752123161,3.227326455,5.020285596,6.454652909,7.171836566,20.63411907,37.14141433,57.77553341,74.28282867,82.5364763,0.752123161,3.227326455,5.020285596,6.454652909,7.171836566,2.507077204,5.014154407
14,20.31759202,36.57166564,56.88925766,73.14333128,81.27036809,0.791206546,3.290676568,5.118830217,6.581353136,7.312614595,20.31759202,36.57166564,56.88925766,73.14333128,81.27036809,0.791206546,3.290676568,5.118830217,6.581353136,7.312614595,2.637355153,5.274710306
15,19.97708683,35.95875629,55.93584311,71.91751257,79.9083473,0.828063896,3.35085081,5.212434593,6.70170162,7.446335133,19.97708683,35.95875629,55.93584311,71.91751257,79.9083473,0.828063896,3.35085081,5.212434593,6.70170162,7.446335133,2.760212988,5.520425976
16,19.64012259,35.35222067,54.99234326,70.70444133,78.56049037,0.862781999,3.411661365,5.307028791,6.823322731,7.581469701,19.64012259,35.35222067,54.99234326,70.70444133,78.56049037,0.862781999,3.411661365,5.307028791,6.823322731,7.581469701,2.875939995,5.751879991
17,19.30684926,34.75232868,54.05917794,69.50465735,77.22739706,0.895446564,3.476434262,5.40778663,6.952868524,7.725409471,19.30684926,34.75232868,54.05917794,69.50465735,77.22739706,0.895446564,3.476434262,5.40778663,6.952868524,7.725409471,2.984821879,5.969643758
18,18.9773982,34.15931675,53.13671495,68.31863351,75.90959278,0.926142228,3.548037607,5.519169611,7.096075214,7.884528016,18.9773982,34.15931675,53.13671495,68.31863351,75.90959278,0.926142228,3.548037607,5.519169611,7.096075214,7.884528016,3.087140759,6.174281518
19,18.65188365,33.57339057,52.22527422,67.14678114,74.60753461,0.954952552,3.628909131,5.64496976,7.257818263,8.064242514,18.65188365,33.57339057,52.22527422,67.14678114,74.60753461,0.954952552,3.628909131,5.64496976,7.257818263,8.064242514,3.183175172,6.366350345
20,18.35327768,33.03589983,51.38917751,66.07179966,73.41311073,0.981960022,3.721083043,5.7883514,7.442166085,8.269073428,18.35327768,33.03589983,51.38917751,66.07179966,73.41311073,0.981960022,3.721083043,5.7883514,7.442166085,8.269073428,3.273200073,6.546400146
21,18.03552037,32.46393667,50.49945705,64.92787335,72.1420815,1.007246049,3.826216188,5.951891848,7.652432375,8.502702639,18.03552037,32.46393667,50.49945705,64.92787335,72.1420815,1.007246049,3.826216188,5.951891848,7.652432375,8.502702639,3.357486831,6.714973661
22,17.72195607,31.89952092,49.62147699,63.79904185,70.88782427,1.03089097,3.945613525,6.137621039,7.89122705,8.768030056,17.72195607,31.89952092,49.62147699,63.79904185,70.88782427,1.03089097,3.945613525,6.137621039,7.89122705,8.768030056,3.436303233,6.872606466
23,17.41264093,31.34275368,48.75539461,62.68550736,69.65056373,1.052974045,4.080252904,6.347060073,8.160505809,9.067228676,17.41264093,31.34275368,48.75539461,62.68550736,69.65056373,1.052974045,4.080252904,6.347060073,8.160505809,9.067228676,3.509913484,7.019826967
24,17.10761845,30.7937132,47.90133165,61.58742641,68.43047379,1.073573461,4.230809157,6.581258688,8.461618314,9.401798126,17.10761845,30.7937132,47.90133165,61.58742641,68.43047379,1.073573461,4.230809157,6.581258688,8.461618314,9.401798126,3.578578203,7.157156406
25,16.80692,30.252456,47.059376,60.50491199,67.22767999,1.092766329,4.397677494,6.840831658,8.795354988,9.772616654,16.80692,30.252456,47.059376,60.50491199,67.22767999,1.092766329,4.397677494,6.840831658,8.795354988,9.772616654,3.642554429,7.285108857
26,16.51056541,29.71901774,46.22958314,59.43803547,66.04226163,1.110628684,4.580996216,7.125994113,9.161992431,10.17999159,16.51056541,29.71901774,46.22958314,59.43803547,66.04226163,1.110628684,4.580996216,7.125994113,9.161992431,10.17999159,3.702095614,7.404191228
27,16.21856343,29.19341417,45.41197759,58.38682833,64.8742537,1.127235489,4.780668726,7.436595795,9.561337451,10.62370828,16.21856343,29.19341417,45.41197759,58.38682833,64.8742537,1.127235489,4.780668726,7.436595795,9.561337451,10.62370828,3.75745163,7.514903259
28,15.93091218,28.67564192,44.6065541,57.35128384,63.72364872,1.142660629,4.996384859,7.772154226,9.992769719,11.10307747,15.93091218,28.67564192,44.6065541,57.35128384,63.72364872,1.142660629,4.996384859,7.772154226,9.992769719,11.10307747,3.808868763,7.617737527
29,15.6475996,28.16567928,43.81327888,56.33135856,62.5903984,1.156976916,5.227641518,8.131886806,10.45528304,11.61698115,15.6475996,28.16567928,43.81327888,56.33135856,62.5903984,1.156976916,5.227641518,8.131886806,10.45528304,11.61698115,3.856589719,7.713179438
30,15.36860382,27.66348688,43.0320907,55.32697375,61.47441528,1.170256085,5.473762613,8.514741842,10.94752523,12.16391692,15.36860382,27.66348688,43.0320907,55.32697375,61.47441528,1.170256085,5.473762613,8.514741842,10.94752523,12.16391692,3.900853617,7.801707234
31,15.09389354,27.16900838,42.26290192,54.33801675,60.37557417,1.182568798,5.733918318,8.919428494,11.46783664,12.74204071,15.09389354,27.16900838,42.26290192,54.33801675,60.37557417,1.182568798,5.733918318,8.919428494,11.46783664,12.74204071,3.941895995,7.88379199
32,14.8234284,26.68217111,41.50559951,53.36434223,59.29371359,1.193984642,6.007143633,9.344445651,12.01428727,13.34920807,14.8234284,26.68217111,41.50559951,53.36434223,59.29371359,1.193984642,6.007143633,9.344445651,12.01428727,13.34920807,3.979948807,7.959897614
33,14.55715928,26.2028867,40.76004597,52.4057734,58.22863711,1.204572127,6.292356254,9.788109728,12.58471251,13.9830139,14.55715928,26.2028867,40.76004597,52.4057734,58.22863711,1.204572127,6.292356254,9.788109728,12.58471251,13.9830139,4.015240424,8.030480849
34,14.29502866,25.73105159,40.02608025,51.46210318,57.18011464,1.21439869,6.588373754,10.24858139,13.17674751,14.64083056,14.29502866,25.73105159,40.02608025,51.46210318,57.18011464,1.21439869,6.588373754,10.24858139,13.17674751,14.64083056,4.047995634,8.095991268
35,14.03697092,25.26654766,39.30351858,50.53309531,56.14788368,1.223530692,6.893930073,10.72389122,13.78786015,15.31984461,14.03697092,25.26654766,39.30351858,50.53309531,56.14788368,1.223530692,6.893930073,10.72389122,13.78786015,15.31984461,4.07843564,8.15687128
36,13.64033708,24.55260674,38.19294382,49.10521348,54.56134831,1.236068913,7.367217123,11.46011553,14.73443425,16.37159361,13.64033708,24.55260674,38.19294382,49.10521348,54.56134831,1.236068913,7.367217123,11.46011553,14.73443425,16.37159361,4.12022971,8.240459419
37,13.3924332,24.10637976,37.49881295,48.21275951,53.56973279,1.243747788,7.690673315,11.9632696,15.38134663,17.09038515,13.3924332,24.10637976,37.49881295,48.21275951,53.56973279,1.243747788,7.690673315,11.9632696,15.38134663,17.09038515,4.145825961,8.291651922
38,13.14830814,23.66695465,36.8152628,47.33390931,52.59323256,1.250955902,8.018800355,12.47368944,16.03760071,17.81955635,13.14830814,23.66695465,36.8152628,47.33390931,52.59323256,1.250955902,8.018800355,12.47368944,16.03760071,17.81955635,4.169853005,8.339706011
39,12.90786347,23.23415424,36.14201771,46.46830848,51.63145387,1.257754777,8.350141362,12.98910879,16.70028272,18.55586969,12.90786347,23.23415424,36.14201771,46.46830848,51.63145387,1.257754777,8.350141362,12.98910879,16.70028272,18.55586969,4.192515922,8.385031845
40,12.67099418,22.80778952,35.47878369,45.61557903,50.6839767,1.264204862,8.683234163,13.50725314,17.36646833,19.29607592,12.67099418,22.80778952,35.47878369,45.61557903,50.6839767,1.264204862,8.683234163,13.50725314,17.36646833,19.29607592,4.214016208,8.428032416
41,12.43758895,22.38766012,34.82524907,44.77532023,49.75035581,1.270365533,9.016623289,14.02585845,18.03324658,20.03694064,12.43758895,22.38766012,34.82524907,44.77532023,49.75035581,1.270365533,9.016623289,14.02585845,18.03324658,20.03694064,4.234551775,8.469103551
42,12.20753045,21.9735548,34.18108525,43.9471096,48.83012178,1.276295086,9.348871287,14.54268867,18.69774257,20.77526953,12.20753045,21.9735548,34.18108525,43.9471096,48.83012178,1.276295086,9.348871287,14.54268867,18.69774257,20.77526953,4.254316954,8.508633907
43,11.9806955,21.5652519,33.5459474,43.13050379,47.92278199,1.282050747,9.678569331,15.05555229,19.35713866,21.50793185,11.9806955,21.5652519,33.5459474,43.13050379,47.92278199,1.282050747,9.678569331,15.05555229,19.35713866,21.50793185,4.273502489,8.547004978
44,11.74139327,21.13450788,32.87590115,42.26901576,46.96557307,1.287688663,10.00434715,15.56231779,20.00869431,22.23188256,11.74139327,21.13450788,32.87590115,42.26901576,46.96557307,1.287688663,10.00434715,15.56231779,20.00869431,22.23188256,4.292295545,8.584591089
45,11.52090631,20.73763136,32.25853768,41.47526273,46.08362525,1.29326391,10.32488227,16.06092798,20.64976454,22.94418283,11.52090631,20.73763136,32.25853768,41.47526273,46.08362525,1.29326391,10.32488227,16.06092798,20.64976454,22.94418283,4.3108797,8.6217594
46,11.3032375,20.3458275,31.649065,40.69165501,45.21295001,1.298830485,10.63890854,16.54941329,21.27781709,23.64201899,11.3032375,20.3458275,31.649065,40.69165501,45.21295001,1.298830485,10.63890854,16.54941329,21.27781709,23.64201899,4.329434952,8.658869903
47,11.08824323,19.95883782,31.04708105,39.91767564,44.35297293,1.304441314,10.94522401,17.02590401,21.89044801,24.32272001,11.08824323,19.95883782,31.04708105,39.91767564,44.35297293,1.304441314,10.94522401,17.02590401,21.89044801,24.32272001,4.348137712,8.696275425
48,10.87577539,19.57639571,30.4521711,39.15279141,43.50310157,1.310148244,11.24269805,17.48864141,22.48539609,24.98377344,10.87577539,19.57639571,30.4521711,39.15279141,43.50310157,1.310148244,11.24269805,17.48864141,22.48539609,24.98377344,4.367160812,8.734321624
49,10.65054471,19.17098049,29.8215252,38.34196097,42.60217886,1.316002049,11.53027787,17.93598781,23.06055575,25.62283972,10.65054471,19.17098049,29.8215252,38.34196097,42.60217886,1.316002049,11.53027787,17.93598781,23.06055575,25.62283972,4.386673497,8.773346994
50,10.44296367,18.7973346,29.24029826,37.5946692,41.77185466,1.322052429,11.80699429,18.36643557,23.61398859,26.2377651,10.44296367,18.7973346,29.24029826,37.5946692,41.77185466,1.322052429,11.80699429,18.36643557,23.61398859,26.2377651,4.406841431,8.813682862
51,10.23743733,18.42738719,28.66482452,36.85477438,40.94974931,1.328348008,12.07196679,18.77861501,24.14393359,26.82659288,10.23743733,18.42738719,28.66482452,36.85477438,40.94974931,1.328348008,12.07196679,18.77861501,24.14393359,26.82659288,4.427826693,8.855653386
52,10.03380241,18.06084433,28.09464674,36.12168866,40.13520962,1.334936334,12.32440796,19.17130127,24.64881592,27.38757324,10.03380241,18.06084433,28.09464674,36.12168866,40.13520962,1.334936334,12.32440796,19.17130127,24.64881592,27.38757324,4.44978778,8.89957556
53,9.831892442,17.6974064,27.52929884,35.39481279,39.32756977,1.341863882,12.56362715,19.54342002,25.12725431,27.91917145,9.831892442,17.6974064,27.52929884,35.39481279,39.32756977,1.341863882,12.56362715,19.54342002,25.12725431,27.91917145,4.472879605,8.945759211
54,9.616756206,17.31016117,26.92691738,34.62032234,38.46702482,1.34917605,12.78903356,19.89405221,25.57806712,28.42007458,9.616756206,17.31016117,26.92691738,34.62032234,38.46702482,1.34917605,12.78903356,19.89405221,25.57806712,28.42007458,4.497253499,8.994506998
55,9.418090899,16.95256362,26.37065452,33.90512724,37.6723636,1.356917162,13.00013849,20.22243766,26.00027699,28.88919665,9.418090899,16.95256362,26.37065452,33.90512724,37.6723636,1.356917162,13.00013849,20.22243766,26.00027699,28.88919665,4.523057208,9.046114415
56,9.220633177,16.59713972,25.8177729,33.19427944,36.88253271,1.365130468,13.19655703,20.52797761,26.39311407,29.3256823,9.220633177,16.59713972,25.8177729,33.19427944,36.88253271,1.365130468,13.19655703,20.52797761,26.39311407,29.3256823,4.550434895,9.100869789
57,9.024207079,16.24357274,25.26777982,32.48714549,36.09682832,1.373858142,13.37800897,20.81023618,26.75601795,29.72890883,9.024207079,16.24357274,25.26777982,32.48714549,36.09682832,1.373858142,13.37800897,20.81023618,26.75601795,29.72890883,4.57952714,9.15905428
58,8.828634963,15.89154293,24.7201779,31.78308587,35.31453985,1.383141282,13.54431907,21.06894078,27.08863814,30.09848682,8.828634963,15.89154293,24.7201779,31.78308587,35.31453985,1.383141282,13.54431907,21.06894078,27.08863814,30.09848682,4.61047094,9.220941881
59,8.619301617,15.51474291,24.13404453,31.02948582,34.47720647,1.393019913,13.69541661,21.30398139,27.39083321,30.43425913,8.619301617,15.51474291,24.13404453,31.02948582,34.47720647,1.393019913,13.69541661,21.30398139,27.39083321,30.43425913,4.64339971,9.286799419
60,8.425224447,15.165404,23.59062845,30.33080801,33.70089779,1.403532983,13.83133426,21.51540885,27.66266852,30.73629836,8.425224447,15.165404,23.59062845,30.33080801,33.70089779,1.403532983,13.83133426,21.51540885,27.66266852,30.73629836,4.678443278,9.356886556
61,8.231460916,14.81662965,23.04809056,29.6332593,32.92584366,1.414718368,13.95220629,21.70343201,27.90441258,31.00490286,8.231460916,14.81662965,23.04809056,29.6332593,32.92584366,1.414718368,13.95220629,21.70343201,27.90441258,31.00490286,4.715727892,9.431455784
62,8.037830199,14.46809436,22.50592456,28.93618872,32.1513208,1.426612865,14.05826601,21.86841379,28.11653201,31.24059112,8.037830199,14.46809436,22.50592456,28.93618872,32.1513208,1.426612865,14.05826601,21.86841379,28.11653201,31.24059112,4.755376215,9.51075243
63,7.829771931,14.09358948,21.92336141,28.18717895,31.31908772,1.439252198,14.14984259,22.01086625,28.29968518,31.44409465,7.829771931,14.09358948,21.92336141,28.18717895,31.31908772,1.439252198,14.14984259,22.01086625,28.29968518,31.44409465,4.797507328,9.595014657
64,7.636220121,13.74519622,21.38141634,27.49039244,30.54488049,1.452671018,14.2273572,22.13144453,28.45471439,31.61634932,7.636220121,13.74519622,21.38141634,27.49039244,30.54488049,1.452671018,14.2273572,22.13144453,28.45471439,31.61634932,4.842236728,9.684473456
65,7.442260735,13.39606932,20.83833006,26.79213865,29.76904294,1.466902899,14.29131835,22.23093965,28.5826367,31.75848522,7.442260735,13.39606932,20.83833006,26.79213865,29.76904294,1.466902899,14.29131835,22.23093965,28.5826367,31.75848522,4.889676329,9.779352657
66,7.247715381,13.04588769,20.29360307,26.09177537,28.99086152,1.481980338,14.3423167,22.31027042,28.68463339,31.87181488,7.247715381,13.04588769,20.29360307,26.09177537,28.99086152,1.481980338,14.3423167,22.31027042,28.68463339,31.87181488,4.93993446,9.87986892
67,7.052407126,12.69433283,19.74673995,25.38866565,28.2096285,1.497934761,14.38101902,22.37047403,28.76203804,31.95782005,7.052407126,12.69433283,19.74673995,25.38866565,28.2096285,1.497934761,14.38101902,22.37047403,28.76203804,31.95782005,4.993115869,9.986231738
68,6.84231115,12.31616007,19.15847122,24.63232014,27.3692446,1.514796516,14.4081616,22.41269581,28.81632319,32.01813688,6.84231115,12.31616007,19.15847122,24.63232014,27.3692446,1.514796516,14.4081616,22.41269581,28.81632319,32.01813688,5.04932172,10.09864344
69,6.645352758,11.96163496,18.60698772,23.92326993,26.58141103,1.532594878,14.42454283,22.43817773,28.84908566,32.05453962,6.645352758,11.96163496,18.60698772,23.92326993,26.58141103,1.532594878,14.42454283,22.43817773,28.84908566,32.05453962,5.108649594,10.21729919
70,6.447115949,11.60480871,18.05192466,23.20961742,25.7884638,1.551358046,14.43101523,22.44824591,28.86203046,32.06892273,6.447115949,11.60480871,18.05192466,23.20961742,25.7884638,1.551358046,14.43101523,22.44824591,28.86203046,32.06892273,5.171193487,10.34238697
71,6.146999824,11.06459968,17.21159951,22.12919937,24.5879993,1.58137085,14.42411899,22.43751842,28.84823797,32.05359775,6.146999824,11.06459968,17.21159951,22.12919937,24.5879993,1.58137085,14.42411899,22.43751842,28.84823797,32.05359775,5.271236165,10.54247233
72,5.931558867,10.67680596,16.60836483,21.35361192,23.72623547,1.602662349,14.40982342,22.41528088,28.81964685,32.02182983,5.931558867,10.67680596,16.60836483,21.35361192,23.72623547,1.602662349,14.40982342,22.41528088,28.81964685,32.02182983,5.34220783,10.68441566
73,5.72801409,10.31042536,16.03843945,20.62085072,22.91205636,1.625008886,14.38889658,22.38272801,28.77779315,31.97532573,5.72801409,10.31042536,16.03843945,20.62085072,22.91205636,1.625008886,14.38889658,22.38272801,28.77779315,31.97532573,5.416696287,10.83339257
74,5.52247515,9.940455269,15.46293042,19.88091054,22.0899006,1.648433822,14.36231639,22.34138106,28.72463279,31.91625865,5.52247515,9.940455269,15.46293042,19.88091054,22.0899006,1.648433822,14.36231639,22.34138106,28.72463279,31.91625865,5.494779408,10.98955882
75,5.314794711,9.56663048,14.88142519,19.13326096,21.25917885,1.672959444,14.33105836,22.29275745,28.66211672,31.84679636,5.314794711,9.56663048,14.88142519,19.13326096,21.25917885,1.672959444,14.33105836,22.29275745,28.66211672,31.84679636,5.576531482,11.15306296
76,5.092170577,9.165907038,14.25807762,18.33181408,20.36868231,1.698606964,14.29608297,22.23835129,28.59216594,31.76907327,5.092170577,9.165907038,14.25807762,18.33181408,20.36868231,1.698606964,14.29608297,22.23835129,28.59216594,31.76907327,5.662023214,11.32404643
77,4.880314167,8.7845655,13.66487967,17.569131,19.52125667,1.725396519,14.2583225,22.17961278,28.516645,31.68516111,4.880314167,8.7845655,13.66487967,17.569131,19.52125667,1.725396519,14.2583225,22.17961278,28.516645,31.68516111,5.751321729,11.50264346
78,4.665915185,8.398647332,13.06456252,16.79729466,18.66366074,1.753347169,14.2186671,22.11792659,28.43733419,31.59703799,4.665915185,8.398647332,13.06456252,16.79729466,18.66366074,1.753347169,14.2186671,22.11792659,28.43733419,31.59703799,5.844490564,11.68898113
79,4.448851222,8.0079322,12.45678342,16.0158644,17.79540489,1.782476903,14.17795018,22.05458916,28.35590035,31.50655595,4.448851222,8.0079322,12.45678342,16.0158644,17.79540489,1.782476903,14.17795018,22.05458916,28.35590035,31.50655595,5.941589675,11.88317935
80,4.229007182,7.612212927,11.84122011,15.22442585,16.91602873,1.812802631,14.13693314,21.99078488,28.27386628,31.41540697,4.229007182,7.612212927,11.84122011,15.22442585,16.91602873,1.812802631,14.13693314,21.99078488,28.27386628,31.41540697,6.042675436,12.08535087
81,4.006275755,7.211296359,11.21757211,14.42259272,16.02510302,1.844340191,14.09628936,21.92756123,28.19257873,31.32508748,4.006275755,7.211296359,11.21757211,14.42259272,16.02510302,1.844340191,14.09628936,21.92756123,28.19257873,31.32508748,6.147800636,12.29560127
82,3.770131242,6.786236235,10.55636748,13.57247247,15.08052497,1.877104344,14.05658756,21.86580287,28.11317512,31.23686124,3.770131242,6.786236235,10.55636748,13.57247247,15.08052497,1.877104344,14.05658756,21.86580287,28.11317512,31.23686124,6.25701448,12.51402896
83,3.541967692,6.375541845,9.917509537,12.75108369,14.16787077,1.911108778,14.01827438,21.80620459,28.03654875,31.15172084,3.541967692,6.375541845,9.917509537,12.75108369,14.16787077,1.911108778,14.01827438,21.80620459,28.03654875,31.15172084,6.370362592,12.74072518
84,3.310655102,5.959179183,9.269834285,11.91835837,13.24262041,1.946366103,13.98165636,21.74924322,27.96331271,31.07034746,3.310655102,5.959179183,9.269834285,11.91835837,13.24262041,1.946366103,13.98165636,21.74924322,27.96331271,31.07034746,6.48788701,12.97577402
85,3.076122356,5.537020242,8.613142598,11.07404048,12.30448943,1.982887858,13.94688119,21.69514852,27.89376238,30.99306931,3.076122356,5.537020242,8.613142598,11.07404048,12.30448943,1.982887858,13.94688119,21.69514852,27.89376238,30.99306931,6.609626192,13.21925238
86,2.838308531,5.108955356,7.947263886,10.21791071,11.35323412,2.020684503,13.91391827,21.64387286,27.82783654,30.91981837,2.838308531,5.108955356,7.947263886,10.21791071,11.35323412,2.020684503,13.91391827,21.64387286,27.82783654,30.91981837,6.73561501,13.47123002
87,2.597163379,4.674894083,7.272057462,9.349788166,10.38865352,2.059765426,13.88253856,21.59505998,27.76507711,30.85008568,2.597163379,4.674894083,7.272057462,9.349788166,10.38865352,2.059765426,13.88253856,21.59505998,27.76507711,30.85008568,6.865884753,13.73176951
88,2.34542226,4.221760068,6.567182328,8.443520135,9.381689039,2.100138938,13.85229378,21.54801254,27.70458755,30.78287506,2.34542226,4.221760068,6.567182328,8.443520135,9.381689039,2.100138938,13.85229378,21.54801254,27.70458755,30.78287506,7.000463128,14.00092626
89,2.098270273,3.776886491,5.875156763,7.553772982,8.393081091,2.141812277,13.82249489,21.50165871,27.64498977,30.7166553,2.098270273,3.776886491,5.875156763,7.553772982,8.393081091,2.141812277,13.82249489,21.50165871,27.64498977,30.7166553,7.139374257,14.27874851
90,1.847715643,3.325888158,5.173603801,6.651776316,7.390862573,2.184791604,13.79218988,21.4545176,27.58437977,30.64931085,1.847715643,3.325888158,5.173603801,6.651776316,7.390862573,2.184791604,13.79218988,21.4545176,27.58437977,30.64931085,7.282638682,14.56527736
91,1.593755705,2.868760269,4.462515973,5.737520537,6.375022819,2.229082007,13.76014091,21.40466364,27.52028182,30.57809091,1.593755705,2.868760269,4.462515973,5.737520537,6.375022819,2.229082007,13.76014091,21.40466364,27.52028182,30.57809091,7.430273357,14.86054671
92,1.336400843,2.405521517,3.74192236,4.811043034,5.345603371,2.274687497,13.72480067,21.34968993,27.44960134,30.49955705,1.336400843,2.405521517,3.74192236,4.811043034,5.345603371,2.274687497,13.72480067,21.34968993,27.44960134,30.49955705,7.582291655,15.16458331
93,1.075674965,1.936214938,3.011889903,3.872429875,4.302699861,2.32161101,13.68428815,21.28667045,27.36857629,30.40952921,1.075674965,1.936214938,3.011889903,3.872429875,4.302699861,2.32161101,13.68428815,21.28667045,27.36857629,30.40952921,7.738703368,15.47740674
94,0.811615966,1.460908739,2.272524706,2.921817479,3.246463865,2.36985441,13.63636364,21.21212121,27.27272727,30.3030303,0.811615966,1.460908739,2.272524706,2.921817479,3.246463865,2.36985441,13.63636364,21.21212121,27.27272727,30.3030303,7.899514701,15.7990294
95,0.544276182,0.979697128,1.523973311,1.959394256,2.177104729,2.419418483,13.5784031,21.12196038,27.1568062,30.17422911,0.544276182,0.979697128,1.523973311,1.959394256,2.177104729,2.419418483,13.5784031,21.12196038,27.1568062,30.17422911,8.064728277,16.12945655
96,0.273722841,0.492701113,0.766423954,0.985402227,1.094891363,2.470302941,13.5073718,21.01146725,27.01474361,30.01638179,0.273722841,0.492701113,0.766423954,0.985402227,1.094891363,2.470302941,13.5073718,21.01146725,27.01474361,30.01638179,8.234343137,16.46868627
97,3.84989E-05,6.92981E-05,0.000107797,0.000138596,0.000153996,2.522506421,13.41979729,20.87524023,26.83959458,29.82177176,3.84989E-05,6.92981E-05,0.000107797,0.000138596,0.000153996,2.522506421,13.41979729,20.87524023,26.83959458,29.82177176,8.408354736,16.81670947
98,0,0,0,0,0,2.576026485,13.31174163,20.70715365,26.62348327,29.58164808,0,0,0,0,0,2.576026485,13.31174163,20.70715365,26.62348327,29.58164808,8.586754949,17.1735099
99,0,0,0,0,0,2.63085962,13.17877303,20.50031361,26.35754606,29.28616229,0,0,0,0,0,2.63085962,13.17877303,20.50031361,26.35754606,29.28616229,8.769532066,17.53906413
100,0,0,0,0,0,2.687001238,13.01593669,20.24701262,26.03187337,28.92430375,0,0,0,0,0,2.687001238,13.01593669,20.24701262,26.03187337,28.92430375,8.956670792,17.91334158
