BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMF13HS_TC-2B.xlsx,,,,,,,
71,971.9003559,1749.420641,2721.320997,3498.841281,3887.601424,-219.1911285,2860.548981,4449.742859,5721.097962,6356.775513,-730.6370949,-1461.27419
72,929.2667645,1672.680176,2601.94694,3345.360352,3717.067058,-222.7749254,2852.198142,4436.752665,5704.396283,6338.218093,-742.5830845,-1485.166169
73,869.8389089,1565.710036,2435.548945,3131.420072,3479.355635,-226.5479455,2843.64782,4423.452165,5687.29564,6319.217378,-755.1598185,-1510.319637
74,829.5637198,1493.214696,2322.778415,2986.429391,3318.254879,-230.5190485,2835.040532,4410.06305,5670.081064,6300.090071,-768.3968282,-1536.793656
75,772.8406221,1391.11312,2163.953742,2782.22624,3091.362488,-234.697161,2826.509483,4396.79253,5653.018967,6281.132185,-782.32387,-1564.64774
76,735.0684388,1323.12319,2058.191629,2646.24638,2940.273755,-239.0912776,2818.17595,4383.829255,5636.3519,6262.613222,-796.9709252,-1593.94185
77,681.2988615,1226.337951,1907.636812,2452.675902,2725.195446,-243.7104599,2810.146525,4371.339039,5620.29305,6244.770055,-812.3681998,-1624.7364
78,646.1484624,1163.067232,1809.215695,2326.134465,2584.59385,-248.5638374,2802.510231,4359.460359,5605.020462,6227.800514,-828.5461246,-1657.092249
79,611.8948163,1101.410669,1713.305486,2202.821339,2447.579265,-253.6606066,2795.3355,4348.299666,5590.670999,6211.856666,-845.5353554,-1691.070711
80,563.1067098,1013.592078,1576.698787,2027.184155,2252.426839,-259.0100318,2788.667015,4337.926468,5577.334031,6197.037812,-863.3667727,-1726.733545
81,531.5819915,956.8475847,1488.429576,1913.695169,2126.327966,-264.6214446,2782.522429,4328.368222,5565.044857,6183.383175,-882.0714819,-1764.142964
82,516.1692055,929.1045699,1445.273775,1858.20914,2064.676822,-267.5283309,2779.643881,4323.890482,5559.287762,6176.986402,-891.7611029,-1783.522206
83,471.6699161,849.0058489,1320.675765,1698.011698,1886.679664,-273.5503693,2774.250642,4315.500999,5548.501284,6165.001427,-911.8345645,-1823.669129
84,443.3693452,798.0648214,1241.434167,1596.129643,1773.477381,-279.8580196,2769.284362,4307.775674,5538.568724,6153.965249,-932.8600652,-1865.72013
85,416.0015561,748.802801,1164.804357,1497.605602,1664.006224,-286.4608492,2764.640242,4300.551487,5529.280484,6143.644982,-954.8694974,-1909.738995
86,376.7811112,678.2060001,1054.987111,1356.412,1507.124445,-293.3684935,2760.169995,4293.597769,5520.339989,6133.711099,-977.8949782,-1955.789956
87,352.1195303,633.8151545,985.9346848,1267.630309,1408.478121,-300.5906549,2755.677821,4286.609943,5511.355641,6123.728491,-1001.96885,-2003.9377
88,328.354026,591.0372468,919.3912728,1182.074494,1313.416104,-308.1371037,2750.916251,4279.203057,5501.832502,6113.147224,-1027.123679,-2054.247358
89,305.4724569,549.8504224,855.3228793,1099.700845,1221.889828,-316.0176772,2745.581854,4270.905106,5491.163708,6101.293009,-1053.392257,-2106.784515
90,283.4570959,510.2227727,793.6798686,1020.445545,1133.828384,-324.2422805,2739.310812,4261.150151,5478.621623,6087.357359,-1080.807602,-2161.615203
91,252.7132372,454.8838269,707.5970641,909.7676539,1010.852949,-332.8208859,2731.674359,4249.271226,5463.348719,6070.387465,-1109.402953,-2218.805906
92,233.0961822,419.5731279,652.6693101,839.1462558,932.3847287,-341.7635334,2722.174094,4234.493035,5444.348187,6049.275764,-1139.211778,-2278.423556
93,214.2272246,385.6090042,599.8362288,771.2180084,856.9088982,-351.0803303,2710.237146,4215.924449,5420.474291,6022.749212,-1170.267768,-2340.535535
94,196.0648134,352.9166641,548.9814774,705.8333281,784.2592535,-360.7814513,2695.21122,4192.550786,5390.422439,5989.358266,-1202.604838,-2405.209675
95,178.5605733,321.4090319,499.9696052,642.8180638,714.2422931,-370.8771387,2676.359501,4163.22589,5352.719001,5947.465557,-1236.257129,-2472.514258
96,170.0382178,306.068792,476.1070098,612.1375841,680.1528712,-376.076164,2665.244319,4145.935607,5330.488638,5922.765153,-1253.587213,-2507.174426
97,153.4149432,276.1468978,429.561841,552.2937956,613.6597729,-386.7830527,2639.074595,4105.227148,5278.14919,5864.610212,-1289.276842,-2578.553685
98,131.6997148,237.0594867,368.7592016,474.1189734,526.7988594,-397.9104085,2606.832627,4055.072976,5213.665254,5792.961394,-1326.368028,-2652.736057
99,116.6179615,209.9123307,326.5302922,419.8246614,466.471846,-409.4687096,2567.443732,3993.80136,5134.887463,5705.430515,-1364.895699,-2729.791398
100,101.8888674,183.3999613,285.2888287,366.7999226,407.5554696,-421.468502,2519.724127,3919.570864,5039.448254,5599.386948,-1404.895007,-2809.790013
101,87.42161315,157.3589037,244.7805168,314.7178073,349.6864526,-433.9203987,2462.375102,3830.36127,4924.750205,5471.944672,-1446.401329,-2892.802658
102,73.11748554,131.611474,204.7289595,263.2229479,292.4699421,-446.8350804,2393.977056,3723.964309,4787.954111,5319.949012,-1489.450268,-2978.900536
103,58.86960001,105.96528,164.83488,211.9305601,235.4784001,-460.2232953,2312.983395,3597.97417,4625.96679,5139.9631,-1534.077651,-3068.155302
104,44.56262326,80.21272187,124.7753451,160.4254437,178.250493,-474.0958589,2217.714309,3449.777813,4435.428617,4928.254019,-1580.31953,-3160.639059
105,30.07249569,54.13049223,84.20298792,108.2609845,120.2899827,-488.4636543,2106.350399,3276.545066,4212.700799,4680.778665,-1628.212181,-3256.424362
106,15.91311932,28.64361477,44.55673409,57.28722954,63.65247727,-503.337632,1976.926187,3075.218514,3953.852375,4393.169305,-1677.792107,-3355.584213
107,0.001306204,0.002351167,0.003657371,0.004702335,0.005224816,-518.7288099,1827.323476,2842.503185,3654.646952,4060.718836,-1729.096033,-3458.192066
108,0,0,0,0,0,-534.6482733,1655.264588,2574.856026,3310.529176,3678.365751,-1782.160911,-3564.321822
109,0,0,0,0,0,-542.8095948,1560.057,2426.755333,3120.114,3466.793333,-1809.365316,-3618.730632
110,0,0,0,0,0,-559.5424193,1349.677323,2099.498057,2699.354645,2999.282939,-1865.141398,-3730.282795
111,0,0,0,0,0,-576.8315379,1110.403934,1727.295008,2220.807867,2467.564297,-1922.771793,-3845.543586
112,0,0,0,0,0,-594.6882722,839.3457569,1305.648955,1678.691514,1865.212793,-1982.294241,-3964.588481
113,0,0,0,0,0,-613.124011,533.4201321,829.7646499,1066.840264,1185.378071,-2043.746703,-4087.493407
114,0,0,0,0,0,-632.1502108,189.345314,294.5371551,378.690628,420.7673644,-2107.167369,-4214.334739
115,0,0,0,0,0,-651.7783954,0,0,0,0,-2172.594651,-4345.189302
116,0,0,0,0,0,-672.0201559,0,0,0,0,-2240.067186,-4480.134373
117,0,0,0,0,0,-692.8871513,0,0,0,0,-2309.623838,-4619.247675
118,0,0,0,0,0,-714.3911076,0,0,0,0,-2381.303692,-4762.607384
119,0,0,0,0,0,-736.5438186,0,0,0,0,-2455.146062,-4910.292124
120,0,0,0,0,0,-759.3571453,0,0,0,0,-2531.190484,-5062.380968
121,0,0,0,0,0,-782.8430162,0,0,0,0,-2609.476721,-5218.953441
122,0,0,0,0,0,-807.0134273,0,0,0,0,-2690.044758,-5380.089516
123,0,0,0,0,0,-819.3591027,0,0,0,0,-2731.197009,-5462.394018
124,0,0,0,0,0,-844.5789643,0,0,0,0,-2815.263214,-5630.526429
125,0,0,0,0,0,-870.5136512,0,0,0,0,-2901.712171,-5803.424342
126,0,0,0,0,0,-897.1753956,0,0,0,0,-2990.584652,-5981.169304
127,0,0,0,0,0,-924.5764969,0,0,0,0,-3081.921656,-6163.843313
128,0,0,0,0,0,-952.7293222,0,0,0,0,-3175.764407,-6351.528815
129,0,0,0,0,0,-981.6463059,0,0,0,0,-3272.154353,-6544.308706
130,0,0,0,0,0,-1011.33995,0,0,0,0,-3371.133166,-6742.266333
131,0,0,0,0,0,-1041.822824,0,0,0,0,-3472.742745,-6945.48549
132,0,0,0,0,0,-1073.107564,0,0,0,0,-3577.025212,-7154.050424
133,0,0,0,0,0,-1105.206874,0,0,0,0,-3684.022915,-7368.045829
134,0,0,0,0,0,-1138.133527,0,0,0,0,-3793.778425,-7587.55685
135,0,0,0,0,0,-1171.900362,0,0,0,0,-3906.334541,-7812.669081
136,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0
