BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMF13HS_TC-2B.xlsx,,,,,,,
32,6934.017473,12481.23145,19415.24893,24962.4629,27736.06989,-287.3585447,4230.012908,6580.020079,8460.025816,9400.028685,-957.8618157,-1915.723631
33,6774.627465,12194.32944,18968.9569,24388.65887,27098.50986,-291.8429952,4320.443702,6720.690204,8640.887405,9600.986005,-972.8099842,-1945.619968
34,6618.342878,11913.01718,18531.36006,23826.03436,26473.37151,-296.1388181,4410.403053,6860.626972,8820.806107,9800.895674,-987.1293937,-1974.258787
35,6464.799305,11636.63875,18101.43805,23273.2775,25859.19722,-300.2586732,4499.634439,6999.43135,8999.268878,9999.187643,-1000.862244,-2001.724488
36,6313.647402,11364.56532,17678.21273,22729.13065,25254.58961,-304.2153555,4587.866099,7136.680599,9175.732199,10195.258,-1014.051185,-2028.10237
37,6173.62165,11112.51897,17286.14062,22225.03794,24694.4866,-308.0217946,4674.815828,7271.935732,9349.631655,10388.47962,-1026.739315,-2053.478631
38,6027.091316,10848.76437,16875.85569,21697.52874,24108.36527,-311.6910553,4760.195496,7404.748549,9520.390992,10578.21221,-1038.970184,-2077.940369
39,5882.106762,10587.79217,16469.89893,21175.58434,23528.42705,-315.2363372,4843.715311,7534.668261,9687.430622,10763.8118,-1050.787791,-2101.575582
40,5738.385135,10329.09324,16067.47838,20658.18649,22953.54054,-318.6709748,4925.087803,7661.247693,9850.175606,10944.63956,-1062.236583,-2124.473165
41,5660.885018,10189.59303,15850.47805,20379.18606,22643.54007,-320.3510058,4964.880525,7723.147484,9929.761051,11033.06783,-1067.836686,-2135.673372
42,5517.984301,9932.371741,15450.35604,19864.74348,22071.9372,-323.6449741,5042.507204,7843.900095,10085.01441,11205.57156,-1078.81658,-2157.633161
43,5389.749263,9701.548673,15091.29794,19403.09735,21558.99705,-326.8622244,5117.301818,7960.247273,10234.60364,11371.78182,-1089.540748,-2179.081496
44,5249.129227,9448.432609,14697.56184,18896.86522,20996.51691,-330.0165635,5189.012584,8071.797353,10378.02517,11531.13908,-1100.055212,-2200.110423
45,5108.774534,9195.794161,14304.56869,18391.58832,20435.09814,-333.1219329,5257.404684,8178.185064,10514.80937,11683.12152,-1110.406443,-2220.812886
46,4968.504296,8943.307733,13911.81203,17886.61547,19874.01718,-336.192409,5322.26278,8279.075436,10644.52556,11827.25062,-1120.641363,-2241.282726
47,4828.157833,8690.6841,13518.84193,17381.3682,19312.63133,-339.2422032,5383.393272,8374.167312,10766.78654,11963.09616,-1130.807344,-2261.614688
48,4687.595178,8437.67132,13125.2665,16875.34264,18750.38071,-342.2856618,5440.626271,8463.196422,10881.25254,12090.2806,-1140.952206,-2281.904412
49,4567.930733,8222.27532,12790.20605,16444.55064,18271.72293,-345.3372661,5493.817323,8545.938058,10987.63465,12208.48294,-1151.12422,-2302.24844
50,4428.371956,7971.069522,12399.44148,15942.13904,17713.48783,-348.4116319,5542.848851,8622.209324,11085.6977,12317.44189,-1161.372106,-2322.744213
51,4288.388325,7719.098984,12007.48731,15438.19797,17153.5533,-351.5235105,5587.63134,8691.870973,11175.26268,12416.95853,-1171.745035,-2343.49007
52,4147.9218,7466.25924,11614.18104,14932.51848,16591.6872,-354.6877876,5628.104245,8754.828826,11256.20849,12506.89832,-1182.292625,-2364.58525
53,4032.981847,7259.367325,11292.34917,14518.73465,16131.92739,-357.919484,5664.236642,8811.034777,11328.47328,12587.19254,-1193.064947,-2386.129893
54,3893.391511,7008.104719,10901.49623,14016.20944,15573.56604,-361.2337555,5696.027602,8860.487381,11392.0552,12657.83912,-1204.112518,-2408.225037
55,3836.863103,6906.353586,10743.21669,13812.70717,15347.45241,-362.9266299,5710.302987,8882.693535,11420.60597,12689.56219,-1209.755433,-2419.510866
56,3697.539741,6655.571535,10353.11128,13311.14307,14790.15897,-366.3934761,5735.64587,8922.115797,11471.29174,12745.87971,-1221.311587,-2442.623174
57,3557.819077,6404.074339,9961.893417,12808.14868,14231.27631,-369.9813768,5756.776291,8954.985342,11513.55258,12792.8362,-1233.271256,-2466.542512
58,3417.752944,6151.9553,9569.708244,12303.9106,13671.01178,-373.7059599,5773.797423,8981.462658,11547.59485,12830.66094,-1245.686533,-2491.373066
59,3309.905224,5957.829403,9267.734627,11915.65881,13239.6209,-377.5829882,5786.840822,9001.752389,11573.68164,12859.64627,-1258.609961,-2517.219921
60,3171.363777,5708.454799,8879.818576,11416.9096,12685.45511,-381.6283593,5796.065339,9016.101639,11592.13068,12880.1452,-1272.094531,-2544.189062
61,3032.775218,5458.995392,8491.77061,10917.99078,12131.10087,-385.858106,5801.655759,9024.797847,11603.31152,12892.56835,-1286.193687,-2572.387373
62,2929.483095,5273.069572,8202.552667,10546.13914,11717.93238,-390.2883956,5803.821168,9028.166261,11607.64234,12897.38037,-1300.961319,-2601.922637
63,2793.090673,5027.563211,7820.653884,10055.12642,11172.36269,-394.9355305,5802.793062,9026.566985,11605.58612,12895.09569,-1316.451768,-2632.903537
64,2692.858839,4847.14591,7540.004748,9694.291819,10771.43535,-399.8159482,5798.823181,9020.391615,11597.64636,12886.27374,-1332.719827,-2665.439654
65,2559.167745,4606.501941,7165.669686,9213.003882,10236.67098,-404.9462207,5792.181082,9010.05946,11584.36216,12871.51351,-1349.820736,-2699.641471
66,2426.178009,4367.120416,6793.298425,8734.240832,9704.712036,-410.3430552,5783.151434,8996.013341,11566.30287,12851.44763,-1367.810184,-2735.620368
67,2331.889516,4197.401128,6529.290644,8394.802256,9327.558063,-416.0232937,5772.031058,8978.714979,11544.06212,12826.73568,-1386.744312,-2773.488625
68,2285.19129,4113.344322,6398.535612,8226.688644,9140.76516,-418.9749895,5765.782136,8968.994433,11531.56427,12812.84919,-1396.583298,-2793.166597
69,2157.178441,3882.921195,6040.099636,7765.842389,8628.713766,-425.112208,5752.100763,8947.712299,11504.20153,12782.44614,-1417.040693,-2834.081387
70,2067.521376,3721.538476,5789.059852,7443.076953,8270.085503,-431.5755257,5737.101996,8924.380882,11474.20399,12749.11555,-1438.585086,-2877.170171
71,1943.800712,3498.841281,5442.641993,6997.682563,7775.202847,-438.3822569,5721.097962,8899.485718,11442.19592,12713.55103,-1461.27419,-2922.54838
72,1858.533529,3345.360352,5203.893881,6690.720704,7434.134116,-445.5498507,5704.396283,8873.50533,11408.79257,12676.43619,-1485.166169,-2970.332338
73,1739.677818,3131.420072,4871.09789,6262.840144,6958.711271,-453.0958911,5687.29564,8846.90433,11374.59128,12638.43476,-1510.319637,-3020.639274
74,1659.12744,2986.429391,4645.556831,5972.858782,6636.509758,-461.0380969,5670.081064,8820.1261,11340.16213,12600.18014,-1536.793656,-3073.587313
75,1545.681244,2782.22624,4327.907484,5564.452479,6182.724977,-469.394322,5653.018967,8793.585059,11306.03793,12562.26437,-1564.64774,-3129.29548
76,1470.136878,2646.24638,4116.383257,5292.492759,5880.54751,-478.1825551,5636.3519,8767.658511,11272.7038,12525.22644,-1593.94185,-3187.883701
77,1362.597723,2452.675902,3815.273625,4905.351803,5450.390892,-487.4209199,5620.29305,8742.678078,11240.5861,12489.54011,-1624.7364,-3249.472799
78,1292.296925,2326.134465,3618.43139,4652.268929,5169.187699,-497.1276748,5605.020462,8718.920719,11210.04092,12455.60103,-1657.092249,-3314.184498
79,1223.789633,2202.821339,3426.610971,4405.642678,4895.158531,-507.3212132,5590.670999,8696.599332,11181.342,12423.71333,-1691.070711,-3382.141421
80,1126.21342,2027.184155,3153.397575,4054.36831,4504.853678,-518.0200636,5577.334031,8675.852937,11154.66806,12394.07562,-1726.733545,-3453.467091
81,1063.163983,1913.695169,2976.859152,3827.390339,4252.655932,-529.2428891,5565.044857,8656.736445,11130.08971,12366.76635,-1764.142964,-3528.285928
82,1032.338411,1858.20914,2890.547551,3716.41828,4129.353644,-535.0566617,5559.287762,8647.780963,11118.57552,12353.9728,-1783.522206,-3567.044412
83,943.3398321,1698.011698,2641.35153,3396.023396,3773.359328,-547.1007387,5548.501284,8631.001997,11097.00257,12330.00285,-1823.669129,-3647.338258
84,886.7386905,1596.129643,2482.868333,3192.259286,3546.954762,-559.7160391,5538.568724,8615.551348,11077.13745,12307.9305,-1865.72013,-3731.440261
85,832.0031122,1497.605602,2329.608714,2995.211204,3328.012449,-572.9216984,5529.280484,8601.102975,11058.56097,12287.28996,-1909.738995,-3819.47799
86,753.5622224,1356.412,2109.974223,2712.824,3014.248889,-586.7369869,5520.339989,8587.195539,11040.67998,12267.4222,-1955.789956,-3911.579913
87,704.2390606,1267.630309,1971.86937,2535.260618,2816.956242,-601.1813099,5511.355641,8573.219887,11022.71128,12247.45698,-2003.9377,-4007.875399
88,656.708052,1182.074494,1838.782546,2364.148987,2626.832208,-616.2742073,5501.832502,8558.406114,11003.665,12226.29445,-2054.247358,-4108.494716
89,610.9449138,1099.700845,1710.645759,2199.40169,2443.779655,-632.0353544,5491.163708,8541.810212,10982.32742,12202.58602,-2106.784515,-4213.569029
90,566.9141919,1020.445545,1587.359737,2040.891091,2267.656768,-648.4845609,5478.621623,8522.300303,10957.24325,12174.71472,-2161.615203,-4323.230406
91,505.4264744,909.7676539,1415.194128,1819.535308,2021.705897,-665.6417718,5463.348719,8498.542451,10926.69744,12140.77493,-2218.805906,-4437.611812
92,466.1923643,839.1462558,1305.33862,1678.292512,1864.769457,-683.5270668,5444.348187,8468.986069,10888.69637,12098.55153,-2278.423556,-4556.847112
93,428.4544491,771.2180084,1199.672458,1542.436017,1713.817796,-702.1606606,5420.474291,8431.848897,10840.94858,12045.49842,-2340.535535,-4681.071071
94,392.1296267,705.8333281,1097.962955,1411.666656,1568.518507,-721.5629026,5390.422439,8385.101572,10780.84488,11978.71653,-2405.209675,-4810.419351
95,357.1211465,642.8180638,999.9392103,1285.636128,1428.484586,-741.7542775,5352.719001,8326.45178,10705.438,11894.93111,-2472.514258,-4945.028516
96,340.0764356,612.1375841,952.2140197,1224.275168,1360.305742,-752.1523279,5330.488638,8291.871215,10660.97728,11845.53031,-2507.174426,-5014.348853
97,306.8298865,552.2937956,859.1236821,1104.587591,1227.319546,-773.5661054,5278.14919,8210.454296,10556.29838,11729.22042,-2578.553685,-5157.107369
98,263.3994297,474.1189734,737.5184031,948.2379469,1053.597719,-795.820817,5213.665254,8110.145951,10427.33051,11585.92279,-2652.736057,-5305.472113
99,233.235923,419.8246614,653.0605844,839.6493228,932.943692,-818.9374193,5134.887463,7987.602721,10269.77493,11410.86103,-2729.791398,-5459.582795
100,203.7777348,366.7999226,570.5776574,733.5998453,815.1109392,-842.9370039,5039.448254,7839.141728,10078.89651,11198.7739,-2809.790013,-5619.580026
101,174.8432263,314.7178073,489.5610336,629.4356147,699.3729052,-867.8407973,4924.750205,7660.72254,9849.500409,10943.88934,-2892.802658,-5785.605315
102,146.2349711,263.2229479,409.457919,526.4458959,584.9398843,-893.6701608,4787.954111,7447.928617,9575.908222,10639.89802,-2978.900536,-5957.801072
103,117.7392,211.9305601,329.6697601,423.8611201,470.9568001,-920.4465906,4625.96679,7195.94834,9251.93358,10279.9262,-3068.155302,-6136.310604
104,89.12524652,160.4254437,249.5506903,320.8508875,356.5009861,-948.1917178,4435.428617,6899.555627,8870.857234,9856.508038,-3160.639059,-6321.278119
105,60.14499137,108.2609845,168.4059758,216.5219689,240.5799655,-976.9273087,4212.700799,6553.090132,8425.401598,9361.557331,-3256.424362,-6512.848725
106,31.82623863,57.28722954,89.11346817,114.5744591,127.3049545,-1006.675264,3953.852375,6150.437027,7907.704749,8786.33861,-3355.584213,-6711.168427
107,0.002612408,0.004702335,0.007314743,0.009404669,0.010449633,-1037.45762,3654.646952,5685.00637,7309.293904,8121.437671,-3458.192066,-6916.384132
108,0,0,0,0,0,-1069.296547,3310.529176,5149.712052,6621.058352,7356.731502,-3564.321822,-7128.643645
109,0,0,0,0,0,-1085.61919,3120.114,4853.510667,6240.228,6933.586667,-3618.730632,-7237.461264
110,0,0,0,0,0,-1119.084839,2699.354645,4198.996115,5398.70929,5998.565878,-3730.282795,-7460.56559
111,0,0,0,0,0,-1153.663076,2220.807867,3454.590016,4441.615735,4935.128594,-3845.543586,-7691.087172
112,0,0,0,0,0,-1189.376544,1678.691514,2611.29791,3357.383027,3730.425586,-3964.588481,-7929.176963
113,0,0,0,0,0,-1226.248022,1066.840264,1659.5293,2133.680528,2370.756143,-4087.493407,-8174.986814
114,0,0,0,0,0,-1264.300422,378.690628,589.0743102,757.3812559,841.5347288,-4214.334739,-8428.669478
115,0,0,0,0,0,-1303.556791,0,0,0,0,-4345.189302,-8690.378605
116,0,0,0,0,0,-1344.040312,0,0,0,0,-4480.134373,-8960.268746
117,0,0,0,0,0,-1385.774303,0,0,0,0,-4619.247675,-9238.495351
118,0,0,0,0,0,-1428.782215,0,0,0,0,-4762.607384,-9525.214769
119,0,0,0,0,0,-1473.087637,0,0,0,0,-4910.292124,-9820.584248
120,0,0,0,0,0,-1518.714291,0,0,0,0,-5062.380968,-10124.76194
121,0,0,0,0,0,-1565.686032,0,0,0,0,-5218.953441,-10437.90688
122,0,0,0,0,0,-1614.026855,0,0,0,0,-5380.089516,-10760.17903
123,0,0,0,0,0,-1638.718205,0,0,0,0,-5462.394018,-10924.78804
124,0,0,0,0,0,-1689.157929,0,0,0,0,-5630.526429,-11261.05286
125,0,0,0,0,0,-1741.027302,0,0,0,0,-5803.424342,-11606.84868
126,0,0,0,0,0,-1794.350791,0,0,0,0,-5981.169304,-11962.33861
127,0,0,0,0,0,-1849.152994,0,0,0,0,-6163.843313,-12327.68663
128,0,0,0,0,0,-1905.458644,0,0,0,0,-6351.528815,-12703.05763
129,0,0,0,0,0,-1963.292612,0,0,0,0,-6544.308706,-13088.61741
130,0,0,0,0,0,-2022.6799,0,0,0,0,-6742.266333,-13484.53267
131,0,0,0,0,0,-2083.645647,0,0,0,0,-6945.48549,-13890.97098
132,0,0,0,0,0,-2146.215127,0,0,0,0,-7154.050424,-14308.10085
133,0,0,0,0,0,-2210.413749,0,0,0,0,-7368.045829,-14736.09166
134,0,0,0,0,0,-2276.267055,0,0,0,0,-7587.55685,-15175.1137
135,0,0,0,0,0,-2343.800724,0,0,0,0,-7812.669081,-15625.33816
136,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0
