BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,This table is Auto-Generated.,,,,,,,,,,,
#,B: ,JNR_DC80_Formation.xlsx,,,,,,,,,,
#,W: ,Force,,,F: ,6M2m,,,,,,
50,3037.141991,5466.855584,8503.997575,10933.71117,12148.56796,-422.4979591,3342.413101,5199.309269,6684.826203,7427.58467,-1408.32653,-2816.65306
51,2952.746414,5314.943545,8267.689959,10629.88709,11810.98566,-424.4341785,3358.345523,5224.093036,6716.691047,7462.990052,-1414.780595,-2829.56119
52,2912.596173,5242.673112,8155.269285,10485.34622,11650.38469,-425.3829999,3366.243313,5236.378487,6732.486626,7480.540695,-1417.943333,-2835.886666
53,2828.553926,5091.397066,7919.950992,10182.79413,11314.2157,-427.2536543,3381.851433,5260.657785,6763.702867,7515.225407,-1424.178848,-2848.357696
54,2744.633966,4940.341139,7684.975105,9880.682278,10978.53586,-429.1035149,3397.142074,5284.443227,6794.284149,7549.20461,-1430.34505,-2860.690099
55,2665.128389,4797.2311,7462.359489,9594.4622,10660.51356,-430.9504984,3412.035364,5307.610566,6824.070728,7582.300809,-1436.501661,-2873.003323
56,2621.179809,4718.123656,7339.303465,9436.247312,10484.71924,-431.8784127,3419.308721,5318.924677,6838.617441,7598.463824,-1439.594709,-2879.189418
57,2542.046307,4575.683353,7117.72966,9151.366705,10168.18523,-433.7538943,3433.4623,5340.941356,6866.9246,7629.916223,-1445.846314,-2891.692629
58,2458.735193,4425.723347,6884.45854,8851.446695,9834.940772,-435.6697303,3447.033069,5362.051441,6894.066138,7660.073487,-1452.232434,-2904.464869
59,2419.376959,4354.878526,6774.255486,8709.757053,9677.507837,-436.648004,3453.579218,5372.23434,6907.158437,7674.620485,-1455.493347,-2910.986693
60,2336.313961,4205.36513,6541.679091,8410.73026,9345.255845,-438.6555133,3466.15514,5391.796885,6932.31028,7702.566978,-1462.185044,-2924.370089
61,2253.369846,4056.065723,6309.43557,8112.131447,9013.479385,-440.7443792,3477.997161,5410.217806,6955.994322,7728.88258,-1469.147931,-2938.295862
62,2214.40482,3985.928675,6200.333495,7971.85735,8857.619278,-441.8242651,3483.627716,5418.976448,6967.255433,7741.394925,-1472.74755,-2945.495101
63,2131.817067,3837.270721,5969.087789,7674.541442,8527.268269,-444.0646358,3494.281845,5435.549536,6988.56369,7765.070766,-1480.215453,-2960.430905
64,2054.506791,3698.112224,5752.619015,7396.224447,8218.027164,-446.425136,3504.098073,5450.819225,7008.196147,7786.884607,-1488.083787,-2976.167573
65,2015.96535,3628.73763,5644.702981,7257.475261,8063.861401,-447.6551002,3508.683301,5457.951801,7017.366601,7797.074001,-1492.183667,-2984.367335
66,1934.362592,3481.852666,5416.215259,6963.705333,7737.45037,-450.2235926,3517.195497,5471.192996,7034.390995,7815.989994,-1500.745309,-3001.490618
67,1853.127407,3335.629333,5188.75674,6671.258665,7412.509628,-452.9487584,3524.819915,5483.053202,7049.639831,7832.933145,-1509.829195,-3019.658389
68,1777.530181,3199.554325,4977.084506,6399.108651,7110.120723,-455.8445907,3531.552247,5493.525718,7063.104494,7847.893883,-1519.481969,-3038.963938
69,1739.918382,3131.853088,4871.77147,6263.706175,6959.673528,-457.3607822,3534.584939,5498.243239,7069.169878,7854.633198,-1524.535941,-3049.071881
70,1660.239548,2988.431186,4648.670734,5976.862372,6640.958191,-460.5380715,3539.990158,5506.651357,7079.980316,7866.644796,-1535.126905,-3070.25381
71,1586.261383,2855.270489,4441.531871,5710.540977,6345.04553,-463.9194502,3544.530143,5513.713556,7089.060287,7876.733652,-1546.398167,-3092.796335
72,1544.583943,2780.251097,4324.83504,5560.502195,6178.335772,-465.6906698,3546.483101,5516.75149,7092.966202,7881.073558,-1552.302233,-3104.604465
73,1471.893756,2649.408761,4121.302517,5298.817522,5887.575024,-469.4019677,3549.773726,5521.870241,7099.547453,7888.386059,-1564.673226,-3129.346451
74,1400.001494,2520.00269,3920.004184,5040.00538,5600.005977,-473.3485485,3552.273722,5525.759123,7104.547444,7893.941604,-1577.828495,-3155.65699
75,1359.637794,2447.348029,3806.985824,4894.696059,5438.551177,-475.413788,3553.239737,5527.261813,7106.479474,7896.088305,-1584.712627,-3169.425253
76,1289.337794,2320.808029,3610.145822,4641.616057,5157.351175,-479.7354063,3554.631496,5529.426772,7109.262993,7899.181103,-1599.118021,-3198.236042
77,1220.034582,2196.062248,3416.096831,4392.124497,4880.13833,-484.3212718,3555.342644,5530.533002,7110.685289,7900.761432,-1614.404239,-3228.808479
78,1181.290635,2126.323143,3307.613779,4252.646287,4725.162541,-486.7167366,3555.458564,5530.713322,7110.917129,7901.019032,-1622.389122,-3244.778244
79,1113.893256,2005.007862,3118.901118,4010.015723,4455.573026,-491.7194141,3555.243195,5530.378304,7110.486391,7900.540434,-1639.064714,-3278.129427
80,1047.693724,1885.848702,2933.542426,3771.697405,4190.774894,-497.0130737,3554.474617,5529.182738,7108.949235,7898.832483,-1656.710246,-3313.420491
81,978.7154186,1761.687754,2740.403172,3523.375507,3914.861675,-502.6077852,3553.203535,5527.205499,7106.40707,7896.007856,-1675.359284,-3350.718568
82,946.8912773,1704.404299,2651.295577,3408.808598,3787.565109,-505.5210847,3552.394706,5525.947321,7104.789413,7894.210459,-1685.070282,-3370.140565
83,884.2958635,1591.732554,2476.028418,3183.465109,3537.183454,-511.5854748,3550.458458,5522.935379,7100.916916,7889.907685,-1705.284916,-3410.569832
84,823.1667556,1481.70016,2304.866916,2963.40032,3292.667022,-517.9745309,3548.130308,5519.313813,7096.260617,7884.734019,-1726.58177,-3453.163539
85,793.1747431,1427.714538,2220.889281,2855.429075,3172.698973,-521.2935793,3546.829778,5517.290765,7093.659556,7881.843951,-1737.645264,-3475.290528
86,730.5763698,1315.037466,2045.613835,2630.074931,2922.305479,-528.186063,3543.971566,5512.844659,7087.943133,7875.492369,-1760.62021,-3521.24042
87,672.9828477,1211.369126,1884.351974,2422.738252,2691.931391,-535.4245976,3540.782928,5507.884555,7081.565856,7868.406507,-1784.748659,-3569.497317
88,644.8940424,1160.809276,1805.703319,2321.618553,2579.57617,-539.1761259,3539.066136,5505.21399,7078.132273,7864.591414,-1797.253753,-3594.507506
89,590.1513066,1062.272352,1652.423659,2124.544704,2360.605227,-546.9484935,3535.381798,5499.482797,7070.763597,7856.403996,-1823.161645,-3646.32329
90,537.3434449,967.2182008,1504.561646,1934.436402,2149.37378,-555.0860674,3531.341985,5493.198643,7062.68397,7847.426633,-1850.286891,-3700.573783
91,511.6719794,921.0095629,1432.681542,1842.019126,2046.687917,-559.2940201,3529.176005,5489.829342,7058.352011,7842.613345,-1864.3134,-3728.626801
92,461.80459,831.2482619,1293.052852,1662.496524,1847.21836,-567.9924884,3524.513747,5482.57694,7049.027495,7832.252772,-1893.308295,-3786.616589
93,413.9141579,745.0454842,1158.959642,1490.090968,1655.656632,-577.0730894,3519.341351,5474.53099,7038.682702,7820.758558,-1923.576965,-3847.153929
94,390.7123138,703.2821648,1093.994479,1406.56433,1562.849255,-581.7586243,3516.531025,5470.159373,7033.062051,7814.51339,-1939.195414,-3878.390829
95,345.795479,622.4318623,968.2273413,1244.863725,1383.181916,-591.4238372,3510.379426,5460.590218,7020.758852,7800.843169,-1971.412791,-3942.825581
96,302.8556791,545.1402224,847.9959015,1090.280445,1211.422716,-601.4858798,3503.384625,5449.709417,7006.769251,7785.299168,-2004.952933,-4009.905866
97,261.8792577,471.3826638,733.2619215,942.7653277,1047.517031,-611.9500068,3495.351434,5437.213341,6990.702868,7767.447631,-2039.833356,-4079.666712
98,242.120697,435.8172547,677.9379517,871.6345093,968.4827882,-617.3343965,3490.873356,5430.247442,6981.746711,7757.496346,-2057.781322,-4115.562643
99,204.0446728,367.280411,571.3250838,734.5608221,816.1786912,-628.4107223,3480.825983,5414.618196,6961.651967,7735.168852,-2094.702408,-4189.404815
100,167.8588537,302.1459366,470.0047902,604.2918732,671.4354146,-639.9007085,3469.064593,5396.3227,6938.129186,7709.032429,-2133.002362,-4266.004723
101,150.4607004,270.8292608,421.2899613,541.6585216,601.8428018,-645.8020901,3462.432057,5386.005421,6924.864113,7694.293459,-2152.673634,-4305.347268
102,117.0200441,210.6360793,327.6561234,421.2721586,468.0801763,-657.9199673,3447.41543,5362.646225,6894.83086,7660.923178,-2193.066558,-4386.133115
103,85.33378098,153.6008058,238.9345867,307.2016115,341.3351239,-670.4608518,3429.690435,5335.074009,6859.380869,7621.534299,-2234.869506,-4469.739012
104,70.12594807,126.2267065,196.3526546,252.453413,280.5037923,-676.8909091,3419.657946,5319.467917,6839.315893,7599.239881,-2256.30303,-4512.606061
105,40.92920798,73.67257437,114.6017824,147.3451487,163.7168319,-690.0720329,3396.908459,5284.079825,6793.816917,7548.685464,-2300.24011,-4600.480219
106,13.27981403,23.90366525,37.18347928,47.80733051,53.11925612,-703.6832817,3370.069378,5242.330144,6740.138757,7489.043063,-2345.610939,-4691.221878
107,0.003183412,0.005730142,0.008913554,0.011460284,0.012733649,-710.6509115,3354.907639,5218.745217,6709.815278,7455.350309,-2368.836372,-4737.672743
108,0,0,0,0,0,-724.9114041,3320.640113,5165.440176,6641.280226,7379.200251,-2416.371347,-4832.742694
109,0,0,0,0,0,-739.60691,3280.441052,5102.908303,6560.882104,7289.869004,-2465.356367,-4930.712733
110,0,0,0,0,0,-754.7387603,3233.427052,5029.775414,6466.854104,7185.393449,-2515.795868,-5031.591735
111,0,0,0,0,0,-762.4686331,3207.063454,4988.765374,6414.126909,7126.807677,-2541.56211,-5083.12422
112,0,0,0,0,0,-778.2567157,3147.968521,4896.839921,6295.937042,6995.485602,-2594.189052,-5188.378105
113,0,0,0,0,0,-794.4829103,3079.436796,4790.235016,6158.873591,6843.192879,-2648.276368,-5296.552735
114,0,0,0,0,0,-802.7603393,3041.252432,4730.837116,6082.504863,6758.338737,-2675.867798,-5351.735595
115,0,0,0,0,0,-819.6437454,2956.226919,4598.575208,5912.453839,6569.393154,-2732.145818,-5464.291636
116,0,0,0,0,0,-836.9648014,2858.481579,4446.526901,5716.963158,6352.181287,-2789.882671,-5579.765343
117,0,0,0,0,0,-845.7892094,2804.369157,4362.352021,5608.738313,6231.931459,-2819.297365,-5638.594729
118,0,0,0,0,0,-863.7651123,2684.656489,4176.132316,5369.312977,5965.903308,-2879.217041,-5758.434082
119,0,0,0,0,0,-882.1759741,2548.186562,3963.845763,5096.373124,5662.636804,-2940.58658,-5881.173161
120,0,0,0,0,0,-891.5439971,2473.095585,3847.037576,4946.191169,5495.767966,-2971.813324,-5943.626647
121,0,0,0,0,0,-910.6039972,2307.980017,3590.191138,4615.960035,5128.844483,-3035.346657,-6070.693315
122,0,0,0,0,0,-930.0940358,2121.216463,3299.670053,4242.432925,4713.814361,-3100.313453,-6200.626906
123,0,0,0,0,0,-950.0115207,1910.586466,2972.023391,3821.172932,4245.747702,-3166.705069,-6333.410138
124,0,0,0,0,0,-960.1296479,1795.584687,2793.131735,3591.169374,3990.188193,-3200.43216,-6400.864319
125,0,0,0,0,0,-980.6826614,1544.643163,2402.778253,3089.286325,3432.540362,-3268.942205,-6537.884409
126,0,0,0,0,0,-1001.65508,1263.572846,1965.55776,2527.145692,2807.939657,-3338.850266,-6677.700532
127,0,0,0,0,0,-1012.29738,1110.868322,1728.01739,2221.736644,2468.596271,-3374.324598,-6748.649197
128,0,0,0,0,0,-1033.891593,779.2777201,1212.209787,1558.55544,1731.728267,-3446.305309,-6892.610617
129,0,0,0,0,0,-1055.89494,410.1820685,638.0609954,820.3641369,911.5157077,-3519.6498,-7039.2996
130,0,0,0,0,0,-1067.048574,210.5500425,327.5222883,421.100085,467.8889833,-3556.828581,-7113.657162
131,0,0,0,0,0,-1089.656639,0,0,0,0,-3632.188795,-7264.377591
132,0,0,0,0,0,-1112.661338,0,0,0,0,-3708.871125,-7417.742251
133,0,0,0,0,0,-1124.310681,0,0,0,0,-3747.702272,-7495.404543
134,0,0,0,0,0,-1147.899676,0,0,0,0,-3826.332252,-7652.664505
135,0,0,0,0,0,-1171.870576,0,0,0,0,-3906.235252,-7812.470504
136,0,0,0,0,0,-1196.216865,0,0,0,0,-3987.389551,-7974.779101
137,0,0,0,0,0,-1208.528647,0,0,0,0,-4028.428825,-8056.85765
138,0,0,0,0,0,-1233.425024,0,0,0,0,-4111.416748,-8222.833496
139,0,0,0,0,0,-1258.678941,0,0,0,0,-4195.59647,-8391.19294
140,0,0,0,0,0,-1271.437564,0,0,0,0,-4238.125215,-8476.250429
141,0,0,0,0,0,-1297.213121,0,0,0,0,-4324.043738,-8648.087476
142,0,0,0,0,0,-1323.326139,0,0,0,0,-4411.08713,-8822.17426
143,0,0,0,0,0,-1336.506504,0,0,0,0,-4455.021681,-8910.043363
144,0,0,0,0,0,-1363.109371,0,0,0,0,-4543.697905,-9087.39581
145,0,0,0,0,0,-1390.027391,0,0,0,0,-4633.424635,-9266.849271
146,0,0,0,0,0,-1403.601613,0,0,0,0,-4678.672042,-9357.344083
147,0,0,0,0,0,-1430.974347,0,0,0,0,-4769.914488,-9539.828977
148,0,0,0,0,0,-1458.637695,0,0,0,0,-4862.125649,-9724.251299
149,0,0,0,0,0,-1486.581218,0,0,0,0,-4955.270727,-9910.541454
150,0,0,0,0,0,-1500.654686,0,0,0,0,-5002.182285,-10004.36457
151,0,0,0,0,0,-1528.998117,0,0,0,0,-5096.660391,-10193.32078
152,0,0,0,0,0,-1557.594066,0,0,0,0,-5191.980219,-10383.96044
153,0,0,0,0,0,-1571.983095,0,0,0,0,-5239.94365,-10479.8873
154,0,0,0,0,0,-1600.935792,0,0,0,0,-5336.452639,-10672.90528
155,0,0,0,0,0,-1630.111117,0,0,0,0,-5433.703723,-10867.40745
156,0,0,0,0,0,-1644.778348,0,0,0,0,-5482.594493,-10965.18899
157,0,0,0,0,0,-1674.263918,0,0,0,0,-5580.879726,-11161.75945
158,0,0,0,0,0,-1703.939999,0,0,0,0,-5679.799997,-11359.59999
159,0,0,0,0,0,-1718.845285,0,0,0,0,-5729.484285,-11458.96857
160,0,0,0,0,0,-1748.781764,0,0,0,0,-5829.272545,-11658.54509
