BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DML30HSD_DW4.xlsx,,,,,,,,,,,,,,,,,,,,,,
#,R: ,2.362,,W: ,Force,,,,,,,,,,,,,,,,,,,,êÿ,í‚,CB
7,2692.543328,10770.17331,17950.28885,24232.88995,30515.49105,35900.5777,-119.4736552,448.9768319,748.2947198,1010.197872,1272.101024,1496.58944,2692.543328,10770.17331,17950.28885,24232.88995,30515.49105,35900.5777,-119.4736552,448.9768319,748.2947198,1010.197872,1272.101024,1496.58944,-398.2455174,-796.4910348,-1225.370823
8,2620.927804,10483.71122,17472.85203,23588.35024,29703.84845,34945.70405,-140.0897572,516.2060081,860.3433468,1161.463518,1462.58369,1720.686694,2620.927804,10483.71122,17472.85203,23588.35024,29703.84845,34945.70405,-140.0897572,516.2060081,860.3433468,1161.463518,1462.58369,1720.686694,-466.9658575,-933.931715,-1436.818023
9,2584.591367,10338.36547,17230.60911,23261.3223,29292.03549,34461.21822,-150.0154031,544.995617,908.3260283,1226.240138,1544.154248,1816.652057,2584.591367,10338.36547,17230.60911,23261.3223,29292.03549,34461.21822,-150.0154031,544.995617,908.3260283,1226.240138,1544.154248,1816.652057,-500.0513438,-1000.102688,-1538.619519
10,2514.843589,10059.37436,16765.62393,22633.5923,28501.56067,33531.24785,-169.1223771,594.2086903,990.3478171,1336.969553,1683.591289,1980.695634,2514.843589,10059.37436,16765.62393,22633.5923,28501.56067,33531.24785,-169.1223771,594.2086903,990.3478171,1336.969553,1683.591289,1980.695634,-563.7412569,-1127.482514,-1734.588483
11,2481.370527,9925.48211,16542.47018,22332.33475,28122.19931,33084.94037,-178.311833,615.1135211,1025.189202,1384.005423,1742.821643,2050.378404,2481.370527,9925.48211,16542.47018,22332.33475,28122.19931,33084.94037,-178.311833,615.1135211,1025.189202,1384.005423,1742.821643,2050.378404,-594.3727767,-1188.745553,-1828.839313
12,2417.075534,9668.302136,16113.83689,21753.67981,27393.52272,32227.67379,-195.9828299,650.6457126,1084.409521,1463.952853,1843.496186,2168.819042,2417.075534,9668.302136,16113.83689,21753.67981,27393.52272,32227.67379,-195.9828299,650.6457126,1084.409521,1463.952853,1843.496186,2168.819042,-653.2760995,-1306.552199,-2010.080306
13,2389.586544,9558.346176,15930.57696,21506.2789,27081.98083,31861.15392,-204.4723605,665.6934672,1109.489112,1497.810301,1886.13149,2218.978224,2389.586544,9558.346176,15930.57696,21506.2789,27081.98083,31861.15392,-204.4723605,665.6934672,1109.489112,1497.810301,1886.13149,2218.978224,-681.5745349,-1363.14907,-2097.152415
14,2330.134807,9320.539228,15534.23205,20971.21326,26408.19448,31068.46409,-220.7792876,691.3311573,1152.218595,1555.495104,1958.771612,2304.437191,2330.134807,9320.539228,15534.23205,20971.21326,26408.19448,31068.46409,-220.7792876,691.3311573,1152.218595,1555.495104,1958.771612,2304.437191,-735.9309586,-1471.861917,-2264.40295
15,2301.55283,9206.211319,15343.68553,20713.97547,26084.2654,30687.37106,-228.6045356,702.2847653,1170.474609,1580.140722,1989.806835,2340.949218,2301.55283,9206.211319,15343.68553,20713.97547,26084.2654,30687.37106,-228.6045356,702.2847653,1170.474609,1580.140722,1989.806835,2340.949218,-762.0151187,-1524.030237,-2344.661904
16,2246.545654,8986.182617,14976.97103,20218.91089,25460.85075,29953.94206,-243.6180568,721.3037531,1202.172922,1622.933445,2043.693967,2404.345844,2246.545654,8986.182617,14976.97103,20218.91089,25460.85075,29953.94206,-243.6180568,721.3037531,1202.172922,1622.933445,2043.693967,2404.345844,-812.0601893,-1624.120379,-2498.646736
17,2220.070097,8880.280387,14800.46731,19980.63087,25160.79443,29600.93462,-250.8140432,729.6802021,1216.13367,1641.780455,2067.427239,2432.26734,2220.070097,8880.280387,14800.46731,19980.63087,25160.79443,29600.93462,-250.8140432,729.6802021,1216.13367,1641.780455,2067.427239,2432.26734,-836.0468108,-1672.093622,-2572.451726
18,2171.929052,8687.716207,14479.52701,19547.36147,24615.19592,28959.05402,-264.6035786,744.8827663,1241.471277,1675.986224,2110.501171,2482.942554,2171.929052,8687.716207,14479.52701,19547.36147,24615.19592,28959.05402,-264.6035786,744.8827663,1241.471277,1675.986224,2110.501171,2482.942554,-882.0119287,-1764.023857,-2713.882857
19,2123.275447,8493.101789,14155.16965,19109.47902,24063.7884,28310.3393,-277.615076,758.8803022,1264.800504,1707.48068,2150.160856,2529.601007,2123.275447,8493.101789,14155.16965,19109.47902,24063.7884,28310.3393,-277.615076,758.8803022,1264.800504,1707.48068,2150.160856,2529.601007,-925.3835868,-1850.767174,-2847.334113
20,2099.804626,8399.218504,13998.69751,18898.24163,23797.78576,27997.39501,-283.8384288,765.7220923,1276.203487,1722.874708,2169.545928,2552.406974,2099.804626,8399.218504,13998.69751,18898.24163,23797.78576,27997.39501,-283.8384288,765.7220923,1276.203487,1722.874708,2169.545928,2552.406974,-946.1280958,-1892.256192,-2911.163372
21,2054.469899,8217.879594,13696.46599,18490.22909,23283.99218,27392.93198,-295.7388771,779.6182603,1299.363767,1754.141086,2208.918404,2598.727534,2054.469899,8217.879594,13696.46599,18490.22909,23283.99218,27392.93198,-295.7388771,779.6182603,1299.363767,1754.141086,2208.918404,2598.727534,-985.7962569,-1971.592514,-3033.219252
22,2032.565787,8130.263147,13550.43858,18293.09208,23035.74558,27100.87716,-301.4233175,786.8625497,1311.437583,1770.440737,2229.443891,2622.875166,2032.565787,8130.263147,13550.43858,18293.09208,23035.74558,27100.87716,-301.4233175,786.8625497,1311.437583,1770.440737,2229.443891,2622.875166,-1004.744392,-2009.488784,-3091.521205
23,1990.187953,7960.751814,13267.91969,17911.69158,22555.46347,26535.83938,-312.2788206,802.3689739,1337.281623,1805.330191,2273.378759,2674.563246,1990.187953,7960.751814,13267.91969,17911.69158,22555.46347,26535.83938,-312.2788206,802.3689739,1337.281623,1805.330191,2273.378759,2674.563246,-1040.929402,-2081.858804,-3202.859698
24,1969.677499,7878.709996,13131.18333,17727.09749,22323.01166,26262.36665,-317.4570898,810.7823756,1351.303959,1824.260345,2297.216731,2702.607919,1969.677499,7878.709996,13131.18333,17727.09749,22323.01166,26262.36665,-317.4570898,810.7823756,1351.303959,1824.260345,2297.216731,2702.607919,-1058.190299,-2116.380599,-3255.970152
25,1929.925831,7719.703324,12866.17221,17369.33248,21872.49275,25732.34441,-327.3325078,829.2627904,1382.104651,1865.841278,2349.577906,2764.209301,1929.925831,7719.703324,12866.17221,17369.33248,21872.49275,25732.34441,-327.3325078,829.2627904,1382.104651,1865.841278,2349.577906,2764.209301,-1091.108359,-2182.216719,-3357.25649
26,1910.651158,7642.604631,12737.67439,17195.86042,21654.04646,25475.34877,-332.0367251,839.4459221,1399.076537,1888.753325,2378.430113,2798.153074,1910.651158,7642.604631,12737.67439,17195.86042,21654.04646,25475.34877,-332.0367251,839.4459221,1399.076537,1888.753325,2378.430113,2798.153074,-1106.789084,-2213.578167,-3405.504872
27,1875.561902,7502.247608,12503.74601,16880.05712,21256.36822,25007.49203,-340.9956746,861.9476377,1436.579396,1939.382185,2442.184973,2873.158792,1875.561902,7502.247608,12503.74601,16880.05712,21256.36822,25007.49203,-340.9956746,861.9476377,1436.579396,1939.382185,2442.184973,2873.158792,-1136.652249,-2273.304498,-3497.391535
28,1857.356739,7429.426957,12382.37826,16716.21065,21050.04305,24764.75652,-345.2573373,874.3505548,1457.250925,1967.288748,2477.326572,2914.501849,1857.356739,7429.426957,12382.37826,16716.21065,21050.04305,24764.75652,-345.2573373,874.3505548,1457.250925,1967.288748,2477.326572,2914.501849,-1150.857791,-2301.715582,-3541.100895
29,1821.937195,7287.74878,12146.24797,16397.43476,20648.62154,24292.49593,-353.3621915,901.6347236,1502.724539,2028.678128,2554.631717,3005.449079,1821.937195,7287.74878,12146.24797,16397.43476,20648.62154,24292.49593,-353.3621915,901.6347236,1502.724539,2028.678128,2554.631717,3005.449079,-1177.873972,-2355.747943,-3624.227605
30,1804.695297,7218.781187,12031.30198,16242.25767,20453.21336,24062.60396,-357.2121752,916.5717527,1527.619588,2062.286444,2596.953299,3055.239176,1804.695297,7218.781187,12031.30198,16242.25767,20453.21336,24062.60396,-357.2121752,916.5717527,1527.619588,2062.286444,2596.953299,3055.239176,-1190.707251,-2381.414501,-3663.714617
31,1771.081911,7084.327643,11807.21274,15939.7372,20072.26165,23614.42548,-364.5240634,949.1424364,1581.904061,2135.570482,2689.236903,3163.808121,1771.081911,7084.327643,11807.21274,15939.7372,20072.26165,23614.42548,-364.5240634,949.1424364,1581.904061,2135.570482,2689.236903,3163.808121,-1215.080211,-2430.160423,-3738.708342
32,1754.68563,7018.742521,11697.9042,15792.17067,19886.43714,23395.8084,-367.9926219,966.8064093,1611.344016,2175.314421,2739.284826,3222.688031,1754.68563,7018.742521,11697.9042,15792.17067,19886.43714,23395.8084,-367.9926219,966.8064093,1611.344016,2175.314421,2739.284826,3222.688031,-1226.642073,-2453.284146,-3774.283301
33,1722.655155,6890.620621,11484.3677,15503.8964,19523.42509,22968.7354,-374.5714299,1004.938448,1674.897413,2261.111508,2847.325602,3349.794826,1722.655155,6890.620621,11484.3677,15503.8964,19523.42509,22968.7354,-374.5714299,1004.938448,1674.897413,2261.111508,2847.325602,3349.794826,-1248.571433,-2497.142866,-3841.758255
34,1706.998724,6827.994897,11379.99149,15362.98852,19345.98554,22759.98299,-377.6881952,1025.414336,1709.023893,2307.182256,2905.340618,3418.047786,1706.998724,6827.994897,11379.99149,15362.98852,19345.98554,22759.98299,-377.6881952,1025.414336,1709.023893,2307.182256,2905.340618,3418.047786,-1258.960651,-2517.921301,-3873.725079
35,1676.350923,6705.403694,11175.67282,15087.15831,18998.6438,22351.34565,-383.5925652,1069.180017,1781.966694,2405.655037,3029.34338,3563.933389,1676.350923,6705.403694,11175.67282,15087.15831,18998.6438,22351.34565,-383.5925652,1069.180017,1781.966694,2405.655037,3029.34338,3563.933389,-1278.641884,-2557.283768,-3934.28272
36,1646.524372,6586.097486,10976.82914,14818.71934,18660.60954,21953.65829,-389.0792747,1116.653158,1861.088597,2512.469606,3163.850616,3722.177195,1646.524372,6586.097486,10976.82914,14818.71934,18660.60954,21953.65829,-389.0792747,1116.653158,1861.088597,2512.469606,3163.850616,3722.177195,-1296.930916,-2593.861831,-3990.556664
37,1631.895919,6527.583675,10879.30613,14687.06327,18494.82041,21758.61225,-391.673878,1141.752494,1902.920823,2568.943111,3234.965399,3805.841646,1631.895919,6527.583675,10879.30613,14687.06327,18494.82041,21758.61225,-391.673878,1141.752494,1902.920823,2568.943111,3234.965399,3805.841646,-1305.579593,-2611.159187,-4017.16798
38,1603.165562,6412.662247,10687.77041,14428.49006,18169.2097,21375.54082,-396.5811229,1194.598276,1990.997127,2687.846121,3384.695116,3981.994254,1603.165562,6412.662247,10687.77041,14428.49006,18169.2097,21375.54082,-396.5811229,1194.598276,1990.997127,2687.846121,3384.695116,3981.994254,-1321.937076,-2643.874153,-4067.498696
39,1589.047473,6356.189894,10593.64982,14301.42726,18009.2047,21187.29965,-398.8999118,1222.30603,2037.176717,2750.188568,3463.200419,4074.353434,1589.047473,6356.189894,10593.64982,14301.42726,18009.2047,21187.29965,-398.8999118,1222.30603,2037.176717,2750.188568,3463.200419,4074.353434,-1329.666373,-2659.332745,-4091.281146
40,1561.26756,6245.070242,10408.4504,14051.40804,17694.36569,20816.90081,-403.2830179,1280.177866,2133.629777,2880.400199,3627.17062,4267.259553,1561.26756,6245.070242,10408.4504,14051.40804,17694.36569,20816.90081,-403.2830179,1280.177866,2133.629777,2880.400199,3627.17062,4267.259553,-1344.276726,-2688.553452,-4136.236081
41,1547.591554,6190.366216,10317.27703,13928.32399,17539.37094,20634.55405,-405.3533443,1310.290485,2183.817474,2948.15359,3712.489706,4367.634948,1547.591554,6190.366216,10317.27703,13928.32399,17539.37094,20634.55405,-405.3533443,1310.290485,2183.817474,2948.15359,3712.489706,4367.634948,-1351.177814,-2702.355629,-4157.470198
42,1520.634356,6082.537426,10137.56238,13685.70921,17233.85604,20275.12475,-409.2663939,1372.726765,2287.877941,3088.63522,3889.3925,4575.755882,1520.634356,6082.537426,10137.56238,13685.70921,17233.85604,20275.12475,-409.2663939,1372.726765,2287.877941,3088.63522,3889.3925,4575.755882,-1364.221313,-2728.442626,-4197.60404
43,1507.340848,6029.363393,10048.93899,13566.06763,17083.19628,20097.87798,-411.1149881,1404.988534,2341.647557,3161.224202,3980.800846,4683.295113,1507.340848,6029.363393,10048.93899,13566.06763,17083.19628,20097.87798,-411.1149881,1404.988534,2341.647557,3161.224202,3980.800846,4683.295113,-1370.383294,-2740.766587,-4216.563981
44,1481.095423,5924.381691,9873.969486,13329.85881,16785.74813,19747.93897,-414.6108199,1471.433701,2452.389501,3310.725827,4169.062152,4904.779003,1481.095423,5924.381691,9873.969486,13329.85881,16785.74813,19747.93897,-414.6108199,1471.433701,2452.389501,3310.725827,4169.062152,4904.779003,-1382.036066,-2764.072133,-4252.418666
45,1468.132921,5872.531682,9787.552804,13213.19629,16638.83977,19575.10561,-416.2637903,1505.546985,2509.244976,3387.480717,4265.716459,5018.489951,1468.132921,5872.531682,9787.552804,13213.19629,16638.83977,19575.10561,-416.2637903,1505.546985,2509.244976,3387.480717,4265.716459,5018.489951,-1387.545968,-2775.091935,-4269.372208
46,1442.503915,5770.015658,9616.692764,12982.53523,16348.3777,19233.38553,-419.3939993,1575.371408,2625.619014,3544.585669,4463.552324,5251.238028,1442.503915,5770.015658,9616.692764,12982.53523,16348.3777,19233.38553,-419.3939993,1575.371408,2625.619014,3544.585669,4463.552324,5251.238028,-1397.979998,-2795.959995,-4301.476916
47,1429.828429,5719.313715,9532.189525,12868.45586,16204.72219,19064.37905,-420.8768325,1611.006289,2685.010481,3624.764149,4564.517817,5370.020962,1429.828429,5719.313715,9532.189525,12868.45586,16204.72219,19064.37905,-420.8768325,1611.006289,2685.010481,3624.764149,4564.517817,5370.020962,-1402.922775,-2805.84555,-4316.685462
48,1402.984199,5611.936795,9353.227992,12626.85779,15900.48759,18706.45598,-423.6917702,1683.52494,2805.874901,3787.931116,4769.987331,5611.749801,1402.984199,5611.936795,9353.227992,12626.85779,15900.48759,18706.45598,-423.6917702,1683.52494,2805.874901,3787.931116,4769.987331,5611.749801,-1412.305901,-2824.611801,-4345.556617
49,1390.574157,5562.296627,9270.494379,12515.16741,15759.84044,18540.98876,-425.029331,1720.328251,2867.213751,3870.738564,4874.263377,5734.427502,1390.574157,5562.296627,9270.494379,12515.16741,15759.84044,18540.98876,-425.029331,1720.328251,2867.213751,3870.738564,4874.263377,5734.427502,-1416.764437,-2833.528874,-4359.27519
50,1365.979213,5463.916853,9106.528089,12293.81292,15481.09775,18213.05618,-427.5781052,1794.818185,2991.363642,4038.340916,5085.318191,5982.727284,1365.979213,5463.916853,9106.528089,12293.81292,15481.09775,18213.05618,-427.5781052,1794.818185,2991.363642,4038.340916,5085.318191,5982.727284,-1425.260351,-2850.520701,-4385.416463
51,1353.78817,5415.152679,9025.254465,12184.09353,15342.93259,18050.50893,-428.7946367,1832.421953,3054.036589,4122.949395,5191.862201,6108.073177,1353.78817,5415.152679,9025.254465,12184.09353,15342.93259,18050.50893,-428.7946367,1832.421953,3054.036589,4122.949395,5191.862201,6108.073177,-1429.315456,-2858.630911,-4397.893709
52,1329.60516,5318.420641,8864.034402,11966.44644,15068.85848,17728.0688,-431.1251114,1908.138583,3180.230971,4293.311811,5406.392651,6360.461942,1329.60516,5318.420641,8864.034402,11966.44644,15068.85848,17728.0688,-431.1251114,1908.138583,3180.230971,4293.311811,5406.392651,6360.461942,-1437.083705,-2874.16741,-4421.796015
53,1305.671543,5222.686171,8704.476952,11751.04389,14797.61082,17408.9539,-433.3360304,1984.255524,3307.092541,4464.57493,5622.057319,6614.185081,1305.671543,5222.686171,8704.476952,11751.04389,14797.61082,17408.9539,-433.3360304,1984.255524,3307.092541,4464.57493,5622.057319,6614.185081,-1444.453435,-2888.90687,-4444.472107
54,1293.792948,5175.171791,8625.286319,11644.13653,14662.98674,17250.57264,-434.4030308,2022.360044,3370.600074,4550.310099,5730.020125,6741.200147,1293.792948,5175.171791,8625.286319,11644.13653,14662.98674,17250.57264,-434.4030308,2022.360044,3370.600074,4550.310099,5730.020125,6741.200147,-1448.010103,-2896.020206,-4455.415701
55,1270.20313,5080.812521,8468.020868,11431.82817,14395.63547,16936.04174,-436.4726606,2098.455024,3497.425041,4721.523805,5945.622569,6994.850081,1270.20313,5080.812521,8468.020868,11431.82817,14395.63547,16936.04174,-436.4726606,2098.455024,3497.425041,4721.523805,5945.622569,6994.850081,-1454.908869,-2909.817737,-4476.642673
56,1258.488789,5033.955158,8389.925263,11326.39911,14262.87295,16779.85053,-437.4802397,2136.364072,3560.606787,4806.819163,6053.031538,7121.213575,1258.488789,5033.955158,8389.925263,11326.39911,14262.87295,16779.85053,-437.4802397,2136.364072,3560.606787,4806.819163,6053.031538,7121.213575,-1458.267466,-2916.534931,-4486.976817
57,1235.214631,4940.858525,8234.764208,11116.93168,13999.09915,16469.52842,-439.4531281,2211.705259,3686.175432,4976.336833,6266.498234,7372.350864,1235.214631,4940.858525,8234.764208,11116.93168,13999.09915,16469.52842,-439.4531281,2211.705259,3686.175432,4976.336833,6266.498234,7372.350864,-1464.84376,-2929.687521,-4507.21157
58,1222.03292,4888.13168,8146.886133,10998.29628,13849.70643,16293.77227,-440.423249,2249.059083,3748.431805,5060.382936,6372.334068,7496.863609,1222.03292,4888.13168,8146.886133,10998.29628,13849.70643,16293.77227,-440.423249,2249.059083,3748.431805,5060.382936,6372.334068,7496.863609,-1468.077497,-2936.154993,-4517.161528
59,1199.084961,4796.339846,7993.899743,10791.76465,13589.62956,15987.79949,-442.3427004,2322.942432,3871.57072,5226.620473,6581.670225,7743.141441,1199.084961,4796.339846,7993.899743,10791.76465,13589.62956,15987.79949,-442.3427004,2322.942432,3871.57072,5226.620473,6581.670225,7743.141441,-1474.475668,-2948.951336,-4536.848209
60,1187.68232,4750.729279,7917.882132,10689.14088,13460.39963,15835.76426,-443.2967043,2359.397927,3932.329879,5308.645337,6684.960795,7864.659758,1187.68232,4750.729279,7917.882132,10689.14088,13460.39963,15835.76426,-443.2967043,2359.397927,3932.329879,5308.645337,6684.960795,7864.659758,-1477.655681,-2955.311362,-4546.632864
61,1165.017111,4660.068443,7766.780738,10485.154,13203.52726,15533.56148,-445.2047793,2431.157868,4051.929779,5470.105202,6888.280625,8103.859558,1165.017111,4660.068443,7766.780738,10485.154,13203.52726,15533.56148,-445.2047793,2431.157868,4051.929779,5470.105202,6888.280625,8103.859558,-1484.015931,-2968.031862,-4566.202865
62,1153.753831,4615.015325,7691.692208,10383.78448,13075.87675,15383.38442,-446.1633856,2466.39362,4110.656033,5549.385645,6988.115257,8221.312067,1153.753831,4615.015325,7691.692208,10383.78448,13075.87675,15383.38442,-446.1633856,2466.39362,4110.656033,5549.385645,6988.115257,8221.312067,-1487.211285,-2974.422571,-4576.034725
63,1131.364886,4525.459544,7542.432573,10182.28397,12822.13537,15084.86515,-448.1009014,2535.412534,4225.687557,5704.678202,7183.668846,8451.375113,1131.364886,4525.459544,7542.432573,10182.28397,12822.13537,15084.86515,-448.1009014,2535.412534,4225.687557,5704.678202,7183.668846,8451.375113,-1493.669671,-2987.339342,-4595.906681
64,1120.239076,4480.956303,7468.260504,10082.15168,12696.04286,14936.52101,-449.0842078,2569.133262,4281.88877,5780.54984,7279.210909,8563.77754,1120.239076,4480.956303,7468.260504,10082.15168,12696.04286,14936.52101,-449.0842078,2569.133262,4281.88877,5780.54984,7279.210909,8563.77754,-1496.947359,-2993.894719,-4605.991875
65,1096.56654,4386.26616,7310.443599,9869.098859,12427.75412,14620.8872,-451.0907377,2634.849774,4391.41629,5928.411991,7465.407693,8782.83258,1096.56654,4386.26616,7310.443599,9869.098859,12427.75412,14620.8872,-451.0907377,2634.849774,4391.41629,5928.411991,7465.407693,8782.83258,-1503.635792,-3007.271585,-4626.571669
66,1085.594191,4342.376762,7237.294604,9770.347716,12303.40083,14474.58921,-452.11822,2666.790171,4444.650284,6000.277884,7555.905483,8889.300569,1085.594191,4342.376762,7237.294604,9770.347716,12303.40083,14474.58921,-452.11822,2666.790171,4444.650284,6000.277884,7555.905483,8889.300569,-1507.060733,-3014.121467,-4637.109949
67,1063.788681,4255.154725,7091.924542,9574.098132,12056.27172,14183.84908,-454.232094,2728.706231,4547.843719,6139.589021,7731.334322,9095.687438,1063.788681,4255.154725,7091.924542,9574.098132,12056.27172,14183.84908,-454.232094,2728.706231,4547.843719,6139.589021,7731.334322,9095.687438,-1514.10698,-3028.21396,-4658.790707
68,1052.956159,4211.824634,7019.707724,9476.605428,11933.50313,14039.41545,-455.3226062,2758.634209,4597.723681,6206.926969,7816.130258,9195.447362,1052.956159,4211.824634,7019.707724,9476.605428,11933.50313,14039.41545,-455.3226062,2758.634209,4597.723681,6206.926969,7816.130258,9195.447362,-1517.742021,-3035.484041,-4669.975448
69,1031.433471,4125.733884,6876.22314,9282.901239,11689.57934,13752.44628,-457.5809104,2816.320983,4693.868305,6336.722212,7979.576119,9387.736611,1031.433471,4125.733884,6876.22314,9282.901239,11689.57934,13752.44628,-457.5809104,2816.320983,4693.868305,6336.722212,7979.576119,9387.736611,-1525.269701,-3050.539402,-4693.137542
70,1010.103463,4040.413854,6734.02309,9090.931171,11447.83925,13468.04618,-459.9554907,2870.986331,4784.977218,6459.719244,8134.46127,9569.954435,1010.103463,4040.413854,6734.02309,9090.931171,11447.83925,13468.04618,-459.9554907,2870.986331,4784.977218,6459.719244,8134.46127,9569.954435,-1533.184969,-3066.369938,-4717.492212
71,999.5118614,3998.047446,6663.41241,8995.606753,11327.8011,13326.82482,-461.1912618,2897.142871,4828.571452,6518.57146,8208.571468,9657.142904,999.5118614,3998.047446,6663.41241,8995.606753,11327.8011,13326.82482,-461.1912618,2897.142871,4828.571452,6518.57146,8208.571468,9657.142904,-1537.304206,-3074.608412,-4730.166788
72,976.9761178,3907.904471,6513.174119,8792.78506,11072.396,13026.34824,-463.7693192,2947.030207,4911.717012,6630.817966,8349.91892,9823.434024,976.9761178,3907.904471,6513.174119,8792.78506,11072.396,13026.34824,-463.7693192,2947.030207,4911.717012,6630.817966,8349.91892,9823.434024,-1545.897731,-3091.795461,-4756.608402
73,966.5506455,3866.202582,6443.67097,8698.955809,10954.24065,12887.34194,-465.1153576,2970.736035,4951.226724,6684.156078,8417.085431,9902.453449,966.5506455,3866.202582,6443.67097,8698.955809,10954.24065,12887.34194,-465.1153576,2970.736035,4951.226724,6684.156078,8417.085431,9902.453449,-1550.384525,-3100.769051,-4770.413925
74,945.8527489,3783.410996,6305.684993,8512.67474,10719.66449,12611.36999,-467.930662,3015.620759,5026.034598,6785.146708,8544.258817,10052.0692,945.8527489,3783.410996,6305.684993,8512.67474,10719.66449,12611.36999,-467.930662,3015.620759,5026.034598,6785.146708,8544.258817,10052.0692,-1559.768873,-3119.537747,-4799.288841
75,935.5811503,3742.324601,6237.207669,8420.230353,10603.25304,12474.41534,-469.4035419,3036.783647,5061.306079,6832.763206,8604.220334,10122.61216,935.5811503,3742.324601,6237.207669,8420.230353,10603.25304,12474.41534,-469.4035419,3036.783647,5061.306079,6832.763206,8604.220334,10122.61216,-1564.678473,-3129.356946,-4814.395302
76,915.1944604,3660.777842,6101.296403,8236.750144,10372.20388,12202.59281,-472.4886196,3076.521702,5127.53617,6922.17383,8716.81149,10255.07234,915.1944604,3660.777842,6101.296403,8236.750144,10372.20388,12202.59281,-472.4886196,3076.521702,5127.53617,6922.17383,8716.81149,10255.07234,-1574.962065,-3149.92413,-4846.037124
77,905.0799607,3620.319843,6033.866405,8145.719647,10257.57289,12067.73281,-474.1042932,3095.089852,5158.483087,6963.952167,8769.421247,10316.96617,905.0799607,3620.319843,6033.866405,8145.719647,10257.57289,12067.73281,-474.1042932,3095.089852,5158.483087,6963.952167,8769.421247,10316.96617,-1580.347644,-3160.695288,-4862.608135
