BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DML30HSD_DW4.xlsx,,,,,,,,,,,,,,,,,,,,,,
#,R: ,2.362,,W: ,Current,,,,,,,,,,,,,,,,,,,,êÿ,í‚,CB
7,6.480511787,25.92204715,43.20341191,58.32460608,73.44580025,86.40682382,0.287553564,1.080613865,1.801023108,2.431381195,3.061739283,3.602046215,6.480511787,25.92204715,43.20341191,58.32460608,73.44580025,86.40682382,0.287553564,1.080613865,1.801023108,2.431381195,3.061739283,3.602046215,0.958511881,1.917023762,2.949267326
8,6.308144925,25.2325797,42.0542995,56.77330432,71.49230915,84.108599,0.337173153,1.242423506,2.070705843,2.795452887,3.520199932,4.141411685,6.308144925,25.2325797,42.0542995,56.77330432,71.49230915,84.108599,0.337173153,1.242423506,2.070705843,2.795452887,3.520199932,4.141411685,1.12391051,2.247821019,3.458186184
9,6.220689058,24.88275623,41.47126039,55.98620152,70.50114265,82.94252077,0.361062561,1.311715389,2.186192316,2.951359626,3.716526937,4.372384632,6.220689058,24.88275623,41.47126039,55.98620152,70.50114265,82.94252077,0.361062561,1.311715389,2.186192316,2.951359626,3.716526937,4.372384632,1.203541868,2.407083737,3.703205749
10,6.052817555,24.21127022,40.35211703,54.47535799,68.59859895,80.70423406,0.407049924,1.430163215,2.383605358,3.217867233,4.052129108,4.767210716,6.052817555,24.21127022,40.35211703,54.47535799,68.59859895,80.70423406,0.407049924,1.430163215,2.383605358,3.217867233,4.052129108,4.767210716,1.356833081,2.713666163,4.17487102
11,5.972253366,23.88901346,39.81502244,53.75028029,67.68553815,79.63004488,0.429167443,1.480477726,2.467462877,3.331074884,4.194686891,4.934925755,5.972253366,23.88901346,39.81502244,53.75028029,67.68553815,79.63004488,0.429167443,1.480477726,2.467462877,3.331074884,4.194686891,4.934925755,1.430558144,2.861116288,4.401717366
12,5.817505823,23.27002329,38.78337215,52.35755241,65.93173266,77.56674431,0.471698645,1.565997905,2.609996508,3.523495286,4.436994063,5.219993016,5.817505823,23.27002329,38.78337215,52.35755241,65.93173266,77.56674431,0.471698645,1.565997905,2.609996508,3.523495286,4.436994063,5.219993016,1.572328816,3.144657633,4.837934819
13,5.751344316,23.00537727,38.34229544,51.76209885,65.18190225,76.68459088,0.492131558,1.602215391,2.670358985,3.60498463,4.539610275,5.34071797,5.751344316,23.00537727,38.34229544,51.76209885,65.18190225,76.68459088,0.492131558,1.602215391,2.670358985,3.60498463,4.539610275,5.34071797,1.640438526,3.280877051,5.047503156
14,5.608253701,22.4330148,37.38835801,50.47428331,63.56020861,74.77671601,0.531379666,1.663921121,2.773201869,3.743822523,4.714443177,5.546403738,5.608253701,22.4330148,37.38835801,50.47428331,63.56020861,74.77671601,0.531379666,1.663921121,2.773201869,3.743822523,4.714443177,5.546403738,1.771265555,3.54253111,5.450047861
15,5.539461552,22.15784621,36.92974368,49.85515397,62.78056426,73.85948737,0.55021376,1.690284666,2.81714111,3.803140499,4.789139887,5.63428222,5.539461552,22.15784621,36.92974368,49.85515397,62.78056426,73.85948737,0.55021376,1.690284666,2.81714111,3.803140499,4.789139887,5.63428222,1.834045866,3.668091732,5.643218049
16,5.40706827,21.62827308,36.0471218,48.66361443,61.28010706,72.0942436,0.586348852,1.736060262,2.89343377,3.906135589,4.918837408,5.786867539,5.40706827,21.62827308,36.0471218,48.66361443,61.28010706,72.0942436,0.586348852,1.736060262,2.89343377,3.906135589,4.918837408,5.786867539,1.954496173,3.908992345,6.013834377
17,5.343345929,21.37338372,35.6223062,48.09011336,60.55792053,71.24461239,0.603668415,1.756221005,2.927035009,3.951497262,4.975959515,5.854070018,5.343345929,21.37338372,35.6223062,48.09011336,60.55792053,71.24461239,0.603668415,1.756221005,2.927035009,3.951497262,4.975959515,5.854070018,2.012228051,4.024456102,6.191470926
18,5.227478301,20.9099132,34.84985534,47.04730471,59.24475408,69.69971068,0.636857573,1.792811093,2.988018489,4.03382496,5.079631431,5.976036978,5.227478301,20.9099132,34.84985534,47.04730471,59.24475408,69.69971068,0.636857573,1.792811093,2.988018489,4.03382496,5.079631431,5.976036978,2.122858578,4.245717156,6.531872548
19,5.110377026,20.4415081,34.06918017,45.99339323,57.91760629,68.13836034,0.668174121,1.826500875,3.044168125,4.109626968,5.175085812,6.088336249,5.110377026,20.4415081,34.06918017,45.99339323,57.91760629,68.13836034,0.668174121,1.826500875,3.044168125,4.109626968,5.175085812,6.088336249,2.227247072,4.454494143,6.853067913
20,5.053886595,20.21554638,33.6925773,45.48497935,57.27738141,67.3851546,0.683152714,1.842967946,3.071613243,4.146677877,5.221742512,6.143226485,5.053886595,20.21554638,33.6925773,45.48497935,57.27738141,67.3851546,0.683152714,1.842967946,3.071613243,4.146677877,5.221742512,6.143226485,2.277175715,4.55435143,7.006694507
21,4.944773314,19.77909326,32.96515543,44.50295983,56.04076423,65.93031085,0.711795149,1.876413751,3.127356252,4.22193094,5.316505628,6.254712503,4.944773314,19.77909326,32.96515543,44.50295983,56.04076423,65.93031085,0.711795149,1.876413751,3.127356252,4.22193094,5.316505628,6.254712503,2.372650496,4.745300992,7.300463065
22,4.892053697,19.56821479,32.61369131,44.02848327,55.44327523,65.22738262,0.725476668,1.893849572,3.156415953,4.261161537,5.36590712,6.312831906,4.892053697,19.56821479,32.61369131,44.02848327,55.44327523,65.22738262,0.725476668,1.893849572,3.156415953,4.261161537,5.36590712,6.312831906,2.41825556,4.836511121,7.44078634
23,4.790057177,19.16022871,31.93371451,43.11051459,54.28731467,63.86742903,0.75160409,1.931171001,3.218618335,4.345134752,5.471651169,6.437236669,4.790057177,19.16022871,31.93371451,43.11051459,54.28731467,63.86742903,0.75160409,1.931171001,3.218618335,4.345134752,5.471651169,6.437236669,2.505346967,5.010693933,7.708759897
24,4.740691865,18.96276746,31.60461243,42.66622678,53.72784113,63.20922486,0.764067338,1.951420684,3.252367806,4.390696539,5.529025271,6.504735613,4.740691865,18.96276746,31.60461243,42.66622678,53.72784113,63.20922486,0.764067338,1.951420684,3.252367806,4.390696539,5.529025271,6.504735613,2.546891126,5.093782252,7.83658808
25,4.645016096,18.58006438,30.96677397,41.80514486,52.64351575,61.93354795,0.787835855,1.995900022,3.326500037,4.49077505,5.655050063,6.653000074,4.645016096,18.58006438,30.96677397,41.80514486,52.64351575,61.93354795,0.787835855,1.995900022,3.326500037,4.49077505,5.655050063,6.653000074,2.626119517,5.252239034,8.080367745
26,4.598625107,18.39450043,30.65750072,41.38762597,52.11775122,61.31500143,0.799158137,2.020409156,3.367348594,4.545920602,5.724492609,6.734697187,4.598625107,18.39450043,30.65750072,41.38762597,52.11775122,61.31500143,0.799158137,2.020409156,3.367348594,4.545920602,5.724492609,6.734697187,2.663860458,5.327720916,8.196493716
27,4.514171003,18.05668401,30.09447335,40.62753903,51.1606047,60.1889467,0.820720865,2.074567109,3.457611848,4.667775994,5.877940141,6.915223695,4.514171003,18.05668401,30.09447335,40.62753903,51.1606047,60.1889467,0.820720865,2.074567109,3.457611848,4.667775994,5.877940141,6.915223695,2.735736217,5.471472433,8.417649897
28,4.470354151,17.8814166,29.80236101,40.23318736,50.66401371,59.60472202,0.830977991,2.104418903,3.507364839,4.734942532,5.962520226,7.014729677,4.470354151,17.8814166,29.80236101,40.23318736,50.66401371,59.60472202,0.830977991,2.104418903,3.507364839,4.734942532,5.962520226,7.014729677,2.769926635,5.539853271,8.522851185
29,4.385105096,17.54042038,29.23403397,39.46594587,49.69785776,58.46806795,0.85048505,2.170087439,3.616812398,4.882696737,6.148581076,7.233624796,4.385105096,17.54042038,29.23403397,39.46594587,49.69785776,58.46806795,0.85048505,2.170087439,3.616812398,4.882696737,6.148581076,7.233624796,2.834950167,5.669900334,8.722923591
30,4.343606664,17.37442666,28.95737776,39.09245998,49.2275422,57.91475553,0.859751332,2.206038427,3.676730712,4.963586461,6.25044221,7.353461423,4.343606664,17.37442666,28.95737776,39.09245998,49.2275422,57.91475553,0.859751332,2.206038427,3.676730712,4.963586461,6.25044221,7.353461423,2.865837772,5.731675545,8.817962377
31,4.262704737,17.05081895,28.41803158,38.36434264,48.31065369,56.83606316,0.877349852,2.28443074,3.807384567,5.139969165,6.472553764,7.614769134,4.262704737,17.05081895,28.41803158,38.36434264,48.31065369,56.83606316,0.877349852,2.28443074,3.807384567,5.139969165,6.472553764,7.614769134,2.924499506,5.848999012,8.998460018
32,4.22324157,16.89296628,28.1549438,38.00917413,47.86340446,56.3098876,0.885698105,2.326945036,3.878241727,5.235626332,6.593010936,7.756483454,4.22324157,16.89296628,28.1549438,38.00917413,47.86340446,56.3098876,0.885698105,2.326945036,3.878241727,5.235626332,6.593010936,7.756483454,2.952327018,5.904654035,9.084083131
33,4.146149451,16.5845978,27.64099634,37.31534506,46.98969378,55.28199268,0.901532221,2.418722622,4.03120437,5.442125899,6.853047428,8.062408739,4.146149451,16.5845978,27.64099634,37.31534506,46.98969378,55.28199268,0.901532221,2.418722622,4.03120437,5.442125899,6.853047428,8.062408739,3.005107404,6.010214807,9.246484319
34,4.10846698,16.43386792,27.38977986,36.97620282,46.56262577,54.77955973,0.909033766,2.468004738,4.11334123,5.553010661,6.992680091,8.22668246,4.10846698,16.43386792,27.38977986,36.97620282,46.56262577,54.77955973,0.909033766,2.468004738,4.11334123,5.553010661,6.992680091,8.22668246,3.030112553,6.060225106,9.323423239
35,4.034702731,16.13881093,26.89801821,36.31232458,45.72663096,53.79603642,0.92324462,2.57334158,4.288902633,5.790018554,7.291134476,8.577805265,4.034702731,16.13881093,26.89801821,36.31232458,45.72663096,53.79603642,0.92324462,2.57334158,4.288902633,5.790018554,7.291134476,8.577805265,3.077482065,6.15496413,9.469175585
36,3.962915095,15.85166038,26.41943397,35.66623586,44.91303774,52.83886793,0.936450233,2.687601674,4.479336124,6.047103767,7.61487141,8.958672247,3.962915095,15.85166038,26.41943397,35.66623586,44.91303774,52.83886793,0.936450233,2.687601674,4.479336124,6.047103767,7.61487141,8.958672247,3.121500776,6.243001551,9.604617771
37,3.9277068,15.7108272,26.184712,35.3493612,44.5140104,52.369424,0.942695019,2.748011673,4.580019455,6.183026264,7.786033073,9.160038909,3.9277068,15.7108272,26.184712,35.3493612,44.5140104,52.369424,0.942695019,2.748011673,4.580019455,6.183026264,7.786033073,9.160038909,3.14231673,6.28463346,9.668666861
38,3.858557526,15.4342301,25.72371684,34.72701773,43.73031862,51.44743367,0.954505955,2.875202835,4.792004725,6.469206379,8.146408032,9.58400945,3.858557526,15.4342301,25.72371684,34.72701773,43.73031862,51.44743367,0.954505955,2.875202835,4.792004725,6.469206379,8.146408032,9.58400945,3.181686518,6.363373036,9.789804671
39,3.824577594,15.29831038,25.49718396,34.42119835,43.34521273,50.99436792,0.960086901,2.941890871,4.903151452,6.61925446,8.335357468,9.806302904,3.824577594,15.29831038,25.49718396,34.42119835,43.34521273,50.99436792,0.960086901,2.941890871,4.903151452,6.61925446,8.335357468,9.806302904,3.200289671,6.400579342,9.847045141
40,3.757715883,15.03086353,25.05143922,33.81944295,42.58744668,50.10287844,0.970636321,3.081178923,5.135298205,6.932652577,8.730006948,10.27059641,3.757715883,15.03086353,25.05143922,33.81944295,42.58744668,50.10287844,0.970636321,3.081178923,5.135298205,6.932652577,8.730006948,10.27059641,3.235454405,6.470908809,9.955244322
41,3.72479997,14.89919988,24.8319998,33.52319973,42.21439966,49.6639996,0.975619259,3.153655075,5.256091791,7.095723918,8.935356045,10.51218358,3.72479997,14.89919988,24.8319998,33.52319973,42.21439966,49.6639996,0.975619259,3.153655075,5.256091791,7.095723918,8.935356045,10.51218358,3.252064196,6.504128392,10.00635137
42,3.659918401,14.6396736,24.39945601,32.93926561,41.47907521,48.79891201,0.98503733,3.303928998,5.50654833,7.433840245,9.361132161,11.01309666,3.659918401,14.6396736,24.39945601,32.93926561,41.47907521,48.79891201,0.98503733,3.303928998,5.50654833,7.433840245,9.361132161,11.01309666,3.283457766,6.566915532,10.10294697
43,3.627923099,14.5116924,24.18615399,32.65130789,41.11646179,48.37230799,0.989486594,3.381577805,5.635963008,7.608550061,9.581137114,11.27192602,3.627923099,14.5116924,24.18615399,32.65130789,41.11646179,48.37230799,0.989486594,3.381577805,5.635963008,7.608550061,9.581137114,11.27192602,3.298288646,6.596577293,10.14858045
44,3.564754649,14.2590186,23.765031,32.08279184,40.40055269,47.53006199,0.99790049,3.541500463,5.902500772,7.968376042,10.03425131,11.80500154,3.564754649,14.2590186,23.765031,32.08279184,40.40055269,47.53006199,0.99790049,3.541500463,5.902500772,7.968376042,10.03425131,11.80500154,3.326334966,6.652669932,10.23487682
45,3.533556024,14.1342241,23.55704016,31.80200422,40.04696828,47.11408033,1.001878919,3.623605565,6.039342608,8.15311252,10.26688243,12.07868522,3.533556024,14.1342241,23.55704016,31.80200422,40.04696828,47.11408033,1.001878919,3.623605565,6.039342608,8.15311252,10.26688243,12.07868522,3.339596398,6.679192796,10.27568122
46,3.471871195,13.88748478,23.14580797,31.24684076,39.34787355,46.29161594,1.009412821,3.79166154,6.3194359,8.531238465,10.74304103,12.6388718,3.471871195,13.88748478,23.14580797,31.24684076,39.34787355,46.29161594,1.009412821,3.79166154,6.3194359,8.531238465,10.74304103,12.6388718,3.364709403,6.729418806,10.35295201
47,3.441363372,13.76545349,22.94242248,30.97227035,39.00211822,45.88484496,1.012981758,3.877428873,6.462381456,8.724214965,10.98604847,12.92476291,3.441363372,13.76545349,22.94242248,30.97227035,39.00211822,45.88484496,1.012981758,3.877428873,6.462381456,8.724214965,10.98604847,12.92476291,3.376605861,6.753211721,10.38955649
48,3.376753698,13.50701479,22.51169132,30.39078328,38.26987524,45.02338263,1.019756853,4.051969418,6.753282363,9.11693119,11.48058002,13.50656473,3.376753698,13.50701479,22.51169132,30.39078328,38.26987524,45.02338263,1.019756853,4.051969418,6.753282363,9.11693119,11.48058002,13.50656473,3.39918951,6.798379021,10.45904465
49,3.346884754,13.38753902,22.31256503,30.12196279,37.93136055,44.62513006,1.022976144,4.140548971,6.900914952,9.316235186,11.73155542,13.8018299,3.346884754,13.38753902,22.31256503,30.12196279,37.93136055,44.62513006,1.022976144,4.140548971,6.900914952,9.316235186,11.73155542,13.8018299,3.409920478,6.819840957,10.49206301
50,3.287688745,13.15075498,21.91792496,29.5891987,37.26047244,43.83584993,1.029110626,4.319834071,7.199723451,9.719626659,12.23952987,14.3994469,3.287688745,13.15075498,21.91792496,29.5891987,37.26047244,43.83584993,1.029110626,4.319834071,7.199723451,9.719626659,12.23952987,14.3994469,3.430368754,6.860737509,10.55498078
51,3.258346895,13.03338758,21.72231263,29.32512206,36.92793148,43.44462527,1.032038619,4.410340195,7.350566992,9.92326544,12.49596389,14.70113398,3.258346895,13.03338758,21.72231263,29.32512206,36.92793148,43.44462527,1.032038619,4.410340195,7.350566992,9.92326544,12.49596389,14.70113398,3.440128729,6.880257459,10.58501148
52,3.200142343,12.80056937,21.33428229,28.80128109,36.26827989,42.66856457,1.037647691,4.592577749,7.654296249,10.33329994,13.01230362,15.3085925,3.200142343,12.80056937,21.33428229,28.80128109,36.26827989,42.66856457,1.037647691,4.592577749,7.654296249,10.33329994,13.01230362,15.3085925,3.458825636,6.917651272,10.64254042
53,3.142538037,12.57015215,20.95025358,28.28284233,35.61543108,41.90050716,1.042969012,4.77577879,7.959631316,10.74550228,13.53137324,15.91926263,3.142538037,12.57015215,20.95025358,28.28284233,35.61543108,41.90050716,1.042969012,4.77577879,7.959631316,10.74550228,13.53137324,15.91926263,3.476563372,6.953126743,10.69711807
54,3.1139482,12.4557928,20.75965467,28.0255338,35.29141293,41.51930933,1.045537107,4.867490142,8.11248357,10.95185282,13.79122207,16.22496714,3.1139482,12.4557928,20.75965467,28.0255338,35.29141293,41.51930933,1.045537107,4.867490142,8.11248357,10.95185282,13.79122207,16.22496714,3.48512369,6.970247381,10.72345751
55,3.057171364,12.22868545,20.38114242,27.51454227,34.64794212,40.76228485,1.050518368,5.050638324,8.41773054,11.36393623,14.31014192,16.83546108,3.057171364,12.22868545,20.38114242,27.51454227,34.64794212,40.76228485,1.050518368,5.050638324,8.41773054,11.36393623,14.31014192,16.83546108,3.501727892,7.003455785,10.77454736
56,3.02897686,12.11590744,20.19317907,27.26079174,34.32840441,40.38635813,1.052943446,5.141879208,8.56979868,11.56922822,14.56865776,17.13959736,3.02897686,12.11590744,20.19317907,27.26079174,34.32840441,40.38635813,1.052943446,5.141879208,8.56979868,11.56922822,14.56865776,17.13959736,3.509811487,7.019622973,10.79941996
57,2.972959765,11.89183906,19.81973176,26.75663788,33.693544,39.63946353,1.057691866,5.323213132,8.872021887,11.97722955,15.08243721,17.74404377,2.972959765,11.89183906,19.81973176,26.75663788,33.693544,39.63946353,1.057691866,5.323213132,8.872021887,11.97722955,15.08243721,17.74404377,3.525639553,7.051279107,10.8481217
58,2.94123354,11.76493416,19.6082236,26.47110186,33.33398011,39.21644719,1.060026788,5.413117682,9.021862803,12.17951478,15.33716676,18.04372561,2.94123354,11.76493416,19.6082236,26.47110186,33.33398011,39.21644719,1.060026788,5.413117682,9.021862803,12.17951478,15.33716676,18.04372561,3.533422628,7.066845256,10.87206963
59,2.886001553,11.54400621,19.24001036,25.97401398,32.70801761,38.48002071,1.064646594,5.59094283,9.31823805,12.57962137,15.84100469,18.6364761,2.886001553,11.54400621,19.24001036,25.97401398,32.70801761,38.48002071,1.064646594,5.59094283,9.31823805,12.57962137,15.84100469,18.6364761,3.548821981,7.097643962,10.91945225
60,2.858557259,11.43422903,19.05704839,25.72701533,32.39698226,38.11409678,1.066942726,5.67868525,9.464475416,12.77704181,16.08960821,18.92895083,2.858557259,11.43422903,19.05704839,25.72701533,32.39698226,38.11409678,1.066942726,5.67868525,9.464475416,12.77704181,16.08960821,18.92895083,3.556475752,7.112951505,10.94300232
61,2.804005804,11.21602322,18.69337203,25.23605224,31.77873245,37.38674405,1.071535151,5.851399699,9.752332831,13.16564932,16.57896581,19.50466566,2.804005804,11.21602322,18.69337203,25.23605224,31.77873245,37.38674405,1.071535151,5.851399699,9.752332831,13.16564932,16.57896581,19.50466566,3.571783835,7.14356767,10.99010411
62,2.776896931,11.10758772,18.51264621,24.99207238,31.47149855,37.02529241,1.073842359,5.936206397,9.893677329,13.35646439,16.81925146,19.78735466,2.776896931,11.10758772,18.51264621,24.99207238,31.47149855,37.02529241,1.073842359,5.936206397,9.893677329,13.35646439,16.81925146,19.78735466,3.579474531,7.158949062,11.01376779
63,2.723010398,10.89204159,18.15340265,24.50709358,30.86078451,36.30680531,1.078505643,6.102323644,10.17053941,13.7302282,17.28991699,20.34107881,2.723010398,10.89204159,18.15340265,24.50709358,30.86078451,36.30680531,1.078505643,6.102323644,10.17053941,13.7302282,17.28991699,20.34107881,3.59501881,7.19003762,11.06159634
64,2.696232391,10.78492956,17.97488261,24.26609152,30.55730043,35.94976521,1.080872301,6.183483926,10.30580654,13.91283883,17.51987112,20.61161309,2.696232391,10.78492956,17.97488261,24.26609152,30.55730043,35.94976521,1.080872301,6.183483926,10.30580654,13.91283883,17.51987112,20.61161309,3.60290767,7.20581534,11.08586975
65,2.639256466,10.55702586,17.59504311,23.75330819,29.91157328,35.19008621,1.085701691,6.341652831,10.56942139,14.26871887,17.96801636,21.13884277,2.639256466,10.55702586,17.59504311,23.75330819,29.91157328,35.19008621,1.085701691,6.341652831,10.56942139,14.26871887,17.96801636,21.13884277,3.619005635,7.23801127,11.13540195
66,2.612847814,10.45139126,17.41898543,23.51563033,29.61227523,34.83797086,1.088174673,6.418528146,10.69754691,14.44168833,18.18582975,21.39509382,2.612847814,10.45139126,17.41898543,23.51563033,29.61227523,34.83797086,1.088174673,6.418528146,10.69754691,14.44168833,18.18582975,21.39509382,3.627248909,7.254497817,11.16076587
67,2.560365517,10.24146207,17.06910344,23.04328965,29.01747586,34.13820689,1.093262422,6.567549987,10.94591664,14.77698747,18.6080583,21.89183329,2.560365517,10.24146207,17.06910344,23.04328965,29.01747586,34.13820689,1.093262422,6.567549987,10.94591664,14.77698747,18.6080583,21.89183329,3.644208072,7.288416145,11.21294791
68,2.534293405,10.13717362,16.89528936,22.80864064,28.72199192,33.79057873,1.095887106,6.639581737,11.06596956,14.93905891,18.81214826,22.13193912,2.534293405,10.13717362,16.89528936,22.80864064,28.72199192,33.79057873,1.095887106,6.639581737,11.06596956,14.93905891,18.81214826,22.13193912,3.652957022,7.305914043,11.23986776
69,2.482491813,9.929967251,16.54994542,22.34242631,28.13490721,33.09989084,1.101322476,6.778424377,11.29737396,15.25145485,19.20553573,22.59474792,2.482491813,9.929967251,16.54994542,22.34242631,28.13490721,33.09989084,1.101322476,6.778424377,11.29737396,15.25145485,19.20553573,22.59474792,3.671074919,7.342149837,11.29561513
70,2.43115397,9.724615881,16.20769314,21.88038573,27.55307833,32.41538627,1.107037702,6.909994935,11.51665822,15.5474886,19.57831898,23.03331645,2.43115397,9.724615881,16.20769314,21.88038573,27.55307833,32.41538627,1.107037702,6.909994935,11.51665822,15.5474886,19.57831898,23.03331645,3.690125674,7.380251349,11.35423284
71,2.405661715,9.62264686,16.03774477,21.65095543,27.2641661,32.07548953,1.110012001,6.972949453,11.62158242,15.68913627,19.75669012,23.24316484,2.405661715,9.62264686,16.03774477,21.65095543,27.2641661,32.07548953,1.110012001,6.972949453,11.62158242,15.68913627,19.75669012,23.24316484,3.700040005,7.40008001,11.38473848
72,2.351421863,9.405687451,15.67614575,21.16279677,26.64944778,31.3522915,1.116216964,7.093020119,11.8217002,15.95929527,20.09689034,23.6434004,2.351421863,9.405687451,15.67614575,21.16279677,26.64944778,31.3522915,1.116216964,7.093020119,11.8217002,15.95929527,20.09689034,23.6434004,3.720723214,7.441446428,11.44837912
73,2.326329455,9.305317818,15.50886303,20.93696509,26.36506715,31.01772606,1.119456659,7.150076172,11.91679362,16.08767139,20.25854915,23.83358724,2.326329455,9.305317818,15.50886303,20.93696509,26.36506715,31.01772606,1.119456659,7.150076172,11.91679362,16.08767139,20.25854915,23.83358724,3.731522196,7.463044393,11.48160676
74,2.276513,9.106051999,15.17675333,20.488617,25.80048066,30.35350666,1.126232636,7.258106369,12.09684395,16.33073933,20.56463471,24.1936879,2.276513,9.106051999,15.17675333,20.488617,25.80048066,30.35350666,1.126232636,7.258106369,12.09684395,16.33073933,20.56463471,24.1936879,3.754108788,7.508217576,11.55110396
75,2.251790941,9.007163762,15.0119396,20.26611846,25.52029733,30.02387921,1.129777618,7.309041982,12.18173664,16.44534446,20.70895228,24.36347327,2.251790941,9.007163762,15.0119396,20.26611846,25.52029733,30.02387921,1.129777618,7.309041982,12.18173664,16.44534446,20.70895228,24.36347327,3.765925392,7.531850784,11.58746275
76,2.202723509,8.810894038,14.6848234,19.82451159,24.96419977,29.36964679,1.137202895,7.404684987,12.34114164,16.66054122,20.9799408,24.68228329,2.202723509,8.810894038,14.6848234,19.82451159,24.96419977,29.36964679,1.137202895,7.404684987,12.34114164,16.66054122,20.9799408,24.68228329,3.790676318,7.581352636,11.66361944
77,2.178379562,8.713518246,14.52253041,19.60541605,24.6883017,29.04506082,1.141091558,7.449375489,12.41562581,16.76109485,21.10656389,24.83125163,2.178379562,8.713518246,14.52253041,19.60541605,24.6883017,29.04506082,1.141091558,7.449375489,12.41562581,16.76109485,21.10656389,24.83125163,3.803638526,7.607277052,11.70350316
78,2.126512139,8.506048557,14.1767476,19.13860925,24.10047091,28.35349519,1.149241428,7.532479134,12.55413189,16.94807805,21.34202421,25.10826378,2.126512139,8.506048557,14.1767476,19.13860925,24.10047091,28.35349519,1.149241428,7.532479134,12.55413189,16.94807805,21.34202421,25.10826378,3.83080476,7.661609521,11.78709157
79,2.102590918,8.410363674,14.01727279,18.92331827,23.82936374,28.03454558,1.153510669,7.570896786,12.61816131,17.03451777,21.45087423,25.23632262,2.102590918,8.410363674,14.01727279,18.92331827,23.82936374,28.03454558,1.153510669,7.570896786,12.61816131,17.03451777,21.45087423,25.23632262,3.845035565,7.69007113,11.83087866
80,2.055131083,8.220524331,13.70087388,18.49617974,23.2914856,27.40174777,1.162457432,7.641501276,12.73583546,17.19337787,21.65092028,25.47167092,2.055131083,8.220524331,13.70087388,18.49617974,23.2914856,27.40174777,1.162457432,7.641501276,12.73583546,17.19337787,21.65092028,25.47167092,3.874858105,7.749716211,11.92264032
81,2.031591858,8.126367433,13.54394572,18.28432672,23.02470773,27.08789144,1.167142653,7.673713459,12.78952243,17.26585528,21.74218813,25.57904486,2.031591858,8.126367433,13.54394572,18.28432672,23.02470773,27.08789144,1.167142653,7.673713459,12.78952243,17.26585528,21.74218813,25.57904486,3.890475511,7.780951021,11.97069388
