BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#,Idle: 0.3,,,,,,,,,,Idle: 0.3,,,,,,,,,,,
#,H,H,H,H,H,D1,D1,D1,D1,D1,H,H,H,H,H,D1,D1,D1,D1,D1,B1,B2
49,14.32692529,21.49038794,25.07211926,32.23558191,35.81731323,12.79980971,19.19971457,22.39966699,28.79957185,31.99952428,14.12156029,21.18234043,24.7127305,31.77351064,35.30390072,7.483134265,11.2247014,13.09548496,16.8370521,18.70783566,5.960707091,7.748919218
50,14.0835133,21.12526995,24.64614828,31.68790493,35.20878325,12.83719548,19.25579323,22.4650921,28.88368984,32.09298871,13.88163741,20.82245612,24.29286547,31.23368418,34.70409353,7.725613791,11.58842069,13.51982413,17.38263103,19.31403448,5.986592146,7.782569789
51,13.84748668,20.77123002,24.23310169,31.15684504,34.61871671,12.85931958,19.28897937,22.50380926,28.93346905,32.14829894,13.64899405,20.47349107,23.88573958,30.7102366,34.12248511,7.959286305,11.93892946,13.92875103,17.90839419,19.89821576,6.013034164,7.816944414
52,13.61843601,20.42765401,23.83226302,30.64148102,34.04609002,12.86665986,19.29998978,22.51665475,28.94998467,32.16664964,13.42322663,20.13483994,23.4906466,30.20225992,33.55806657,8.183194587,12.27479188,14.32059053,18.41218782,20.45798647,6.040263201,7.852342162
53,13.35697238,20.03545857,23.37470167,30.05318786,33.39243096,12.85976194,19.2896429,22.50458339,28.93446435,32.14940484,13.17898917,19.76848375,23.06323105,29.65272563,32.94747292,8.39648582,12.59472873,14.69385019,18.8920931,20.99121455,6.068504387,7.889055704
54,13.14125939,19.71188909,22.99720394,29.56783364,32.85314848,12.83923634,19.25885451,22.4686636,28.88828177,32.09809085,12.96615058,19.44922587,22.69076352,29.17383881,32.41537645,8.598415851,12.89762378,15.04722774,19.34643566,21.49603963,6.097977931,7.927371311
55,12.93125238,19.39687857,22.62969167,29.09531786,32.32813096,12.8057553,19.20863295,22.41007178,28.81294943,32.01438826,12.75894194,19.13841291,22.32814839,28.70761936,31.89735484,8.788352576,13.18252886,15.37961701,19.7737933,21.97088144,6.128899119,7.967568854
56,12.72652385,19.08978578,22.27141674,28.63467867,31.81630963,12.76004919,19.14007378,22.33008608,28.71011067,31.90012297,12.55694144,18.83541216,21.97464752,28.25311824,31.3923536,8.965778454,13.44866768,15.69011229,20.17300152,22.41444614,6.161478312,8.009921806
57,12.52663953,18.7899593,21.92161919,28.18493895,31.31659884,12.70290258,19.05435387,22.23007951,28.5815308,31.75725645,12.3597206,18.5395809,21.62951106,27.80937136,30.89930151,9.130292145,13.69543822,15.97801125,20.54315733,22.82573036,6.195920952,8.054697238
58,12.33115758,18.49673638,21.57952577,27.74510456,30.82789396,12.63515001,18.95272501,22.11151251,28.42908751,31.58787501,12.16684347,18.25026521,21.29197608,27.37539781,30.41710868,9.281609265,13.9224139,16.24281621,20.88362085,23.20402316,6.232427556,8.102155822
59,12.1396278,18.2094417,21.24434865,27.31416255,30.3490695,12.55767128,18.83650692,21.97592474,28.25476038,31.3941782,11.97786584,17.96679877,20.96126523,26.95019815,29.94466461,9.419562277,14.12934342,16.48423398,21.19401512,23.54890569,6.271193717,8.152551832
60,11.95159083,17.92738625,20.91528396,26.89107937,29.87897708,12.47138651,18.70707976,21.82492639,28.06061965,31.17846627,11.79233449,17.68850174,20.63658536,26.53275261,29.48083623,9.544099496,14.31614924,16.70217412,21.47422387,23.86024874,6.312410107,8.206133139
61,11.72785169,17.59177754,20.52374046,26.38766631,29.31962923,12.37725074,18.56587611,21.66018879,27.84881416,30.94312685,11.58401636,17.37602455,20.27202864,26.06403682,28.96004091,9.655283223,14.48292484,16.89674564,21.72438725,24.13820806,6.356262475,8.263141218
62,11.54598225,17.31897337,20.20546893,25.97846005,28.86495561,12.27624822,18.41437233,21.48343438,27.62155849,30.69062055,11.40437744,17.10656616,19.95766052,25.65984924,28.5109436,9.753287009,14.62993051,17.06825226,21.94489577,24.38321752,6.402931647,8.323811141
63,11.36615791,17.04923687,19.89077635,25.57385531,28.41539478,12.16938633,18.2540795,21.29642609,27.38111925,30.42346584,11.22675855,16.84013782,19.64682746,25.26020673,28.06689637,9.838392027,14.75758804,17.21718605,22.13638206,24.59598007,6.452593526,8.388371583
64,11.1878764,16.7818146,19.5787837,25.1727219,27.969691,12.05768916,18.08653374,21.10095603,27.12980061,30.1442229,11.05066356,16.57599533,19.33866122,24.863993,27.62665889,9.91098259,14.86647388,17.34421953,22.29971083,24.77745647,6.505419091,8.457044819
65,11.01062229,16.51593343,19.26858901,24.77390015,27.52655572,11.94219066,17.91328599,20.89883366,26.86992899,29.85547666,10.87558336,16.31337505,19.03227089,24.47006257,27.18895841,9.971540775,14.95731116,17.45019636,22.43596674,24.92885194,6.561574401,8.530046721
66,10.92221565,16.38332348,19.11387739,24.57498522,27.30553913,11.88333998,17.82500998,20.79584497,26.73751496,29.70834996,10.78826098,16.18239148,18.87945672,24.27358721,26.97065246,9.99748359,14.99622538,17.49559628,22.49433808,24.99370897,6.590951256,8.568236633
67,10.70549511,16.05824267,18.73461645,24.087364,26.76373778,11.76408213,17.64612319,20.58714372,26.46918479,29.41020532,10.58614093,15.8792114,18.52574663,23.81881709,26.46535233,10.04109539,15.06164308,17.57191693,22.59246462,25.10273847,6.652401771,8.648122303
68,10.52912028,15.79368042,18.42596049,23.69052063,26.3228007,11.64360328,17.46540493,20.37630575,26.19810739,29.10900821,10.41173248,15.61759872,18.22053184,23.42639807,26.02933119,10.0742646,15.1113969,17.62996304,22.66709534,25.18566149,6.717575636,8.732848327
69,10.35185712,15.52778567,18.11574995,23.29167851,25.87964279,11.52291331,17.28436997,20.16509829,25.92655495,28.80728328,10.2364456,15.3546684,17.9137798,23.0320026,25.591114,10.09776056,15.14664084,17.67108099,22.71996127,25.24440141,6.786621678,8.822608182
70,10.17312323,15.25968485,17.80296566,22.88952728,25.43280809,11.40299691,17.10449537,19.95524459,25.65674305,28.50749228,10.0597044,15.0895566,17.6044827,22.63433489,25.14926099,10.1124154,15.1686231,17.69672695,22.75293465,25.2810385,6.859683802,8.917588943
71,9.950250833,14.92537625,17.41293896,22.38806437,24.87562708,11.28480486,16.92720728,19.7484085,25.39081093,28.21201214,9.850990743,14.77648612,17.2392338,22.16472917,24.62747686,10.11911381,15.17867072,17.70844917,22.76800607,25.29778453,6.936900991,9.017971288
72,9.767529752,14.65129463,17.09317707,21.97694194,24.41882438,11.16924485,16.75386728,19.54617849,25.13080092,27.92311213,9.670092422,14.50513863,16.92266174,21.75770795,24.17523105,10.11878203,15.17817304,17.70786855,22.76725956,25.29695507,7.018407301,9.123929492
73,9.58149605,14.37224408,16.76761809,21.55836611,23.95374013,11.05717204,16.58575806,19.35005107,24.8786371,27.64293011,9.485914525,14.22887179,16.60035042,21.34330768,23.71478631,10.11237587,15.16856381,17.69665778,22.75284572,25.28093969,7.104331871,9.235631432
74,9.391494829,14.08724224,16.43511595,21.13086336,23.47873707,10.94937915,16.42406873,19.16141352,24.63610309,27.37344788,9.297808687,13.94671303,16.2711652,20.92006954,23.24452172,10.10086796,15.15130194,17.67651893,22.72695291,25.25216991,7.194798913,9.353238587
75,9.153121186,13.72968178,16.01796207,20.59452267,22.88280296,10.84658627,16.2698794,18.98152597,24.40481911,27.11646567,9.073101656,13.60965248,15.8779279,20.41447873,22.68275414,10.08523399,15.12785099,17.64915949,22.69177648,25.21308498,7.289927717,9.476906032
76,8.954086947,13.43113042,15.66965216,20.14669563,22.38521737,10.74943028,16.12414542,18.81150299,24.18621813,26.8735757,8.875807439,13.31371116,15.53266302,19.97056674,22.1895186,10.0664382,15.0996573,17.61626685,22.64948595,25.1660955,7.389832651,9.606782446
77,8.749020935,13.1235314,15.31078664,19.6852971,21.87255234,10.65845392,15.98768088,18.65229436,23.98152132,26.6461348,8.672534181,13.00880127,15.17693482,19.51320191,21.68133545,10.04541792,15.06812688,17.57948136,22.60219033,25.11354481,7.49462316,9.743010108
78,8.491405663,12.7371085,14.85995991,19.10566274,21.22851416,10.5740945,15.86114174,18.50466537,23.79171261,26.43523624,8.428170576,12.64225586,14.74929851,18.9633838,21.07042644,10.02306727,15.03460091,17.54036772,22.55190136,25.05766818,7.604403766,9.885724895
79,8.273208967,12.40981345,14.47811569,18.61472018,20.68302242,10.49667222,15.74500833,18.36917638,23.61751249,26.24168055,8.21159878,12.31739817,14.37029787,18.47609726,20.52899695,10.00021996,15.00032993,17.50038492,22.5004949,25.00054989,7.719274067,10.03505629
80,8.04673258,12.07009887,14.08178202,18.10514831,20.11683145,10.4263782,15.6395673,18.24616185,23.45935095,26.0659455,7.986808952,11.98021343,13.97691567,17.97032014,19.96702238,9.977631216,14.96644682,17.46085463,22.44967024,24.94407804,7.83932874,10.19112736
81,7.811166155,11.71674923,13.66954077,17.57512385,19.52791539,10.36326207,15.54489311,18.13570863,23.31733967,25.90815518,7.752996779,11.62949517,13.56774436,17.44424275,19.38249195,9.955958877,14.93393832,17.42292804,22.40090747,24.88989719,7.964657539,10.3540548
82,7.643291468,11.4649372,13.37576007,17.1974058,19.10822867,10.33436942,15.50155413,18.08514649,23.2523312,25.83592355,7.59675927,11.3951389,13.29432872,17.09270836,18.99189817,9.945640435,14.91846065,17.40487076,22.37769098,24.86410109,8.029326437,10.43812437
83,7.394026178,11.09103927,12.93954581,16.6365589,18.48506544,10.2817723,15.42265845,17.99310152,23.13398767,25.70443075,7.349011501,11.02351725,12.86077013,16.53527588,18.37252875,9.926314058,14.88947109,17.3710496,22.33420663,24.81578515,8.162723943,10.61154113
84,7.1335947,10.70039205,12.48379073,16.05058808,17.83398675,10.23577376,15.35366064,17.91260408,23.03049096,25.5894344,7.090165525,10.63524829,12.40778967,15.95287243,17.72541381,9.908990283,14.86348542,17.340733,22.29522814,24.77247571,8.301598421,10.79207795
85,6.814546271,10.22181941,11.92545597,15.33272911,17.03636568,10.19582565,15.29373848,17.84269489,22.94060772,25.48956413,6.78276131,10.17414196,11.86983229,15.26121295,16.95690327,9.893824205,14.84073631,17.31419236,22.26110446,24.73456051,8.446022393,10.97982911
86,6.530985102,9.796477654,11.42922393,14.69471648,16.32746276,10.16117821,15.24176732,17.78206187,22.86265098,25.40294553,6.50E+00,9.75E+00,11.37591481,14.62617619,16.25130688,9.880777442,14.82116616,17.29136052,22.23174925,24.70194361,8.596063461,11.1748825
87,6.233558476,9.350337714,10.90872733,14.02550657,15.58389619,10.13086574,15.1962986,17.72901504,22.79444791,25.32716434,6.20E+00,9.31E+00,10.85784596,13.96008766,15.51120851,9.869594381,14.80439157,17.27179017,22.20658736,24.67398595,8.751784303,11.37731959
88,5.87621406,8.81432109,10.2833746,13.22148163,14.69053515,10.10369185,15.15553777,17.68146073,22.73330666,25.25922962,5.86E+00,8.79E+00,10.25072323,13.1795013,14.64389033,9.859777545,14.78966632,17.2546107,22.18449948,24.64944386,8.913242673,11.58721548
89,5.55056498,8.32584747,9.713488714,12.4887712,13.87641245,10.07821445,15.11732167,17.63687528,22.6759825,25.19553611,5.53E+00,8.30E+00,9.682646819,12.44911734,13.8323526,9.850562085,14.77584313,17.23848365,22.16376469,24.62640521,9.080491404,11.80463883
90,5.208125678,7.812188517,9.114219937,11.71828278,13.0203142,10.05273027,15.0790954,17.59227796,22.6186431,25.13182566,5.19E+00,7.79E+00,9.085280817,11.68107534,12.9789726,9.840889401,14.7613341,17.22155645,22.14200115,24.6022235,9.253578405,12.02965193
91,4.806502134,7.209753201,8.411378734,10.8146298,12.01625533,10.02525909,15.03788864,17.54420341,22.55683296,25.06314773,4.80E+00,7.20E+00,8.397749372,10.79710633,11.99678482,9.829379881,14.74406982,17.20141479,22.11610473,24.5734497,9.432546663,12.26231066
92,4.430454296,6.645681444,7.753295018,9.968522165,11.07613574,9.993527621,14.99029143,17.48867334,22.48543715,24.98381905,4.42E+00,6.63E+00,7.74073198,9.952369688,11.05818854,9.81430477,14.72145715,17.17503335,22.08218573,24.53576192,9.617434241,12.50266451
93,4.034457811,6.051686717,7.060301169,9.077530075,10.08614453,9.954952932,14.9324294,17.42116763,22.3986441,24.88738233,4.03E+00,6.04E+00,7.048861023,9.062821315,10.06980146,9.793557156,14.69033573,17.13872502,22.0355036,24.48389289,9.808274279,12.75075656
94,3.582873463,5.374310195,6.270028561,8.061465293,8.957183658,9.90662564,14.85993846,17.33659487,22.28990769,24.7665641,3.58E+00,5.37E+00,6.270028561,8.061465293,8.957183658,9.764622092,14.64693314,17.08808866,21.97039971,24.41155523,10.005095,13.0066235
95,3.147619036,4.721428553,5.508333312,7.08214283,7.869047589,9.845292658,14.76793899,17.22926215,22.15190848,24.61323165,3.15E+00,4.72E+00,5.508333312,7.08214283,7.869047589,9.724545828,14.58681874,17.0179552,21.88022811,24.31136457,10.20791969,13.2702956
96,2.689018872,4.033528307,4.705783025,6.050292461,6.722547179,9.767339615,14.65100942,17.09284433,21.97651413,24.41834904,2.69E+00,4.03E+00,4.705783025,6.050292461,6.722547179,9.669904182,14.50485627,16.92233232,21.75728441,24.17476046,10.41676673,13.54179675
97,2.182340327,3.273510491,3.819095573,4.910265736,5.455850818,9.668772908,14.50315936,16.92035259,21.75473904,24.17193227,2.19E+00,3.28E+00,3.825531855,4.918540957,5.465045507,9.596770025,14.39515504,16.79434754,21.59273256,23.99192506,10.63164956,13.82114443
98,1.933766335,2.900649503,3.384091087,4.350974255,4.834415839,9.610403236,14.41560485,16.81820566,21.62340728,24.02600809,1.94E+00,2.91E+00,3.389794261,4.358306907,4.84256323,9.551895303,14.32784295,16.71581678,21.49176443,23.87973826,10.74135726,13.96376444
99,1.416719079,2.125078619,2.479258389,3.187617928,3.541797698,9.472553321,14.20882998,16.57696831,21.31324497,23.6813833,1.42E+00,2.13E+00,2.483436657,3.192989988,3.547766653,9.442476435,14.16371465,16.52433376,21.24557198,23.60619109,10.96530824,14.25490071
100,0.861667636,1.292501454,1.507918363,1.938752181,2.15416909,9.302325581,13.95348837,16.27906977,20.93023256,23.25581395,8.65E-01,1.30E+00,1.513097281,1.94541079,2.161567544,9.302325581,13.95348837,16.27906977,20.93023256,23.25581395,11.1953071,14.55389923
