BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#,タイマOFF,,,,,,,,,,タイマON,,,,,,,,,,,
#,変,変,変,変,変,直1,直1,直1,直1,直1,変,変,変,変,変,直1,直1,直1,直1,直1,B1,B2
18,5029.597908,7544.396863,8801.79634,11316.59529,12573.99477,974.8408599,1462.26129,1705.971505,2193.391935,2437.10215,6453.23066,9679.84599,11293.15366,14519.76899,16133.07665,614.7282225,922.0923338,1075.774389,1383.138501,1536.820556,-997.9283138,-1297.306808
19,4926.291192,7389.436789,8621.009587,11084.15518,12315.72798,1043.396059,1565.094088,1825.943103,2347.641133,2608.490147,6313.192513,9469.78877,11048.0869,14204.68315,15782.98128,605.4381667,908.1572501,1059.516792,1362.235875,1513.595417,-1032.137024,-1341.778132
20,4805.80706,7208.710589,8410.162354,10813.06588,12014.51765,1112.195066,1668.292599,1946.341366,2502.438899,2780.487666,6158.78842,9238.18263,10777.87973,13857.27394,15396.97105,598.9427357,898.4141035,1048.149787,1347.621155,1497.356839,-1064.244622,-1383.518009
21,4689.282687,7033.92403,8206.244702,10550.88604,11723.20672,1181.03253,1771.548795,2066.806927,2657.323192,2952.581324,6009.45888,9014.188319,10516.55304,13521.28248,15023.6472,595.7860459,893.6790689,1042.62558,1340.518603,1489.465115,-1094.343033,-1422.645943
22,4576.595171,6864.892757,8009.041549,10297.33913,11441.48793,1249.700443,1874.550664,2186.975775,2811.825996,3124.251107,5865.046389,8797.569584,10263.83118,13196.35438,14662.61597,596.4074163,894.6111245,1043.712979,1341.916687,1491.018541,-1122.522987,-1459.279883
23,4484.322743,6726.484115,7847.5648,10089.72617,11210.80686,1317.989636,1976.984455,2306.481864,2965.476682,3294.974091,5740.313328,8610.469992,10045.54832,12915.70499,14350.78332,601.1487977,901.7231966,1052.010396,1352.584795,1502.871994,-1148.874013,-1493.536217
24,4378.562069,6567.843104,7662.483621,9851.764656,10946.40517,1385.691203,2078.536804,2424.959605,3117.805206,3464.228007,5604.930698,8407.396047,9808.628722,12611.09407,14012.32675,610.2619899,915.3929849,1067.958482,1373.089477,1525.654975,-1173.484444,-1525.529778
25,4276.305573,6414.45836,7483.534753,9621.68754,10690.76393,1452.597852,2178.896778,2542.046241,3268.345167,3631.49463,5474.033713,8211.050569,9579.558998,12316.57585,13685.08428,623.9156451,935.8734677,1091.852379,1403.810201,1559.789113,-1196.441415,-1555.373839
26,4177.444653,6266.16698,7310.528143,9399.25047,10443.61163,1518.505202,2277.757802,2657.384103,3416.636704,3796.263004,5347.483353,8021.22503,9358.095868,12031.83754,13368.70838,642.2020586,963.3030879,1123.853603,1444.954632,1605.505146,-1217.830861,-1583.180119
27,4095.3524,6143.028601,7166.866701,9214.542901,10238.381,1583.212998,2374.819496,2770.622746,3562.229245,3958.032494,5236.768685,7855.153028,9164.345199,11782.72954,13091.92171,665.1437463,997.7156194,1164.001556,1496.573429,1662.859366,-1237.737521,-1609.058777
28,4002.664534,6003.996801,7004.662934,9005.995201,10006.66133,1646.526269,2469.789403,2881.42097,3704.684104,4116.315671,5118.247769,7677.371654,8956.933597,11516.05748,12795.61942,692.6998091,1039.049714,1212.224666,1558.57457,1731.749523,-1256.244936,-1633.118416
29,3913.07533,5869.612995,6847.881828,8804.419493,9782.688326,1708.256412,2562.384618,2989.448721,3843.576927,4270.64103,5003.689145,7505.533718,8756.456004,11258.30058,12509.22286,724.7720843,1087.158126,1268.351147,1630.73719,1811.930211,-1273.435447,-1655.466081
30,3826.487747,5739.731621,6696.353558,8609.597431,9566.219368,1768.222213,2652.33332,3094.388874,3978.49998,4420.555534,4892.968724,7339.453086,8562.695267,11009.17963,12232.42181,761.2110838,1141.816626,1332.119397,1712.724938,1903.027709,-1289.390199,-1676.207258
31,3742.80729,5614.210935,6549.912757,8421.316402,9357.018224,1826.250798,2739.376197,3195.938897,4109.064296,4565.626996,4785.965674,7178.94851,8375.439929,10768.42277,11964.91418,801.8217193,1202.732579,1403.188009,1804.098868,2004.554298,-1304.189138,-1695.445879
32,3661.941841,5492.912762,6408.398223,8239.369143,9154.854604,1882.178515,2823.267772,3293.812401,4234.901658,4705.446287,4682.562204,7023.843306,8194.483857,10535.76496,11706.40551,846.3688145,1269.553222,1481.145425,1904.329833,2115.922036,-1317.911012,-1713.284316
33,3622.536569,5433.804854,6339.438996,8150.70728,9056.341423,1909.30613,2863.959196,3341.285728,4295.938793,4773.265326,4632.174282,6948.261423,8106.304994,10422.39214,11580.43571,870.0353888,1305.053083,1522.56193,1957.579625,2175.088472,-1324.392331,-1721.710031
34,3545.725713,5318.588569,6205.019998,7977.882854,8864.314282,1961.797866,2942.696799,3433.146266,4414.045199,4904.494666,4533.955461,6800.933191,7934.422056,10201.39979,11334.88865,919.9715132,1379.95727,1609.950148,2069.935905,2299.928783,-1336.643641,-1737.636733
35,3481.638808,5222.458213,6092.867915,7833.687319,8704.097021,2011.825149,3017.737723,3520.69401,4526.606585,5029.562872,4447.45377,6671.180655,7783.044098,10006.77098,11118.63443,973.1150215,1459.672532,1702.951288,2189.508798,2432.787554,-1348.009516,-1752.41237
36,3409.72171,5114.582565,5967.012993,7671.873848,8524.304275,2059.262594,3088.893891,3603.70954,4633.340837,5148.156485,4355.586696,6533.380044,7622.276718,9800.070066,10888.96674,1029.13076,1543.696141,1800.978831,2315.544211,2572.826901,-1358.56451,-1766.133863
37,3340.237214,5010.355821,5845.415125,7515.533732,8350.593035,2103.997184,3155.995776,3681.995072,4733.993664,5259.99296,4266.827034,6400.240552,7466.94731,9600.360827,10667.06759,1087.665656,1631.498484,1903.414898,2447.247726,2719.16414,-1368.381981,-1778.896576
38,3273.103137,4909.654706,5727.930491,7364.482059,8182.757844,2145.928778,3218.893167,3755.375362,4828.339751,5364.821946,4181.069804,6271.604706,7316.872157,9407.407058,10452.67451,1148.353055,1722.529582,2009.617846,2583.794373,2870.882637,-1377.534089,-1790.794315
39,3208.238635,4812.357953,5614.417612,7218.53693,8020.596589,2184.97056,3277.45584,3823.698479,4916.183759,5462.426399,4098.211733,6147.3176,7171.870533,9220.9764,10245.52933,1210.816849,1816.225273,2118.929485,2724.33791,3027.042122,-1386.091793,-1801.919331
40,3145.564047,4718.346071,5504.737083,7077.519106,7863.910118,2221.049411,3331.574117,3886.83647,4997.361176,5552.623529,4018.151064,6027.226596,7031.764361,9040.839893,10045.37766,1274.675392,1912.013087,2230.681935,2868.019631,3186.688479,-1394.124858,-1812.362316
41,3085.000742,4627.501113,5398.751298,6941.251669,7712.501855,2254.106227,3381.159341,3944.685898,5071.739011,5635.265568,3940.787352,5911.181028,6896.377866,8866.771543,9851.968381,1339.545198,2009.317797,2344.204097,3013.976696,3348.862995,-1401.701848,-1822.212403
42,3026.470966,4539.70645,5296.324191,6809.559674,7566.177416,2284.096154,3426.144231,3997.16827,5139.216347,5710.240385,3866.021276,5799.031915,6765.537234,8698.547872,9665.053191,1405.044433,2107.56665,2458.827758,3161.349974,3512.611083,-1408.890131,-1831.557171
43,2969.897693,4454.846539,5197.320963,6682.269809,7424.744232,2310.988767,3466.48315,4044.230341,5199.724725,5777.471916,3793.754441,5690.631662,6639.070272,8535.947492,9484.386103,1470.796185,2206.194277,2573.893324,3309.291416,3676.990462,-1415.755876,-1840.482638
44,2915.204469,4372.806704,5101.607821,6559.210056,7288.011173,2334.768175,3502.152262,4085.844306,5253.228393,5836.920436,3723.889186,5585.833779,6516.806075,8378.750668,9309.722965,1536.431529,2304.647293,2688.755175,3456.970939,3841.078821,-1422.364053,-1849.073268
45,2862.315268,4293.472902,5009.051719,6440.209353,7155.78817,2355.433064,3533.149595,4122.007861,5299.724393,5888.582659,3656.328394,5484.49259,6398.574689,8226.738885,9140.820984,1601.592373,2402.388559,2802.786652,3603.582839,4003.980932,-1428.778435,-1857.411965
46,2811.154339,4216.731508,4919.520093,6325.097262,7027.885847,2372.996667,3559.495,4152.744166,5339.2425,5932.491666,3590.975299,5386.462949,6284.206774,8079.694424,8977.438248,1665.934097,2498.901145,2915.384669,3748.351717,4164.835242,-1435.061598,-1865.580077
47,2761.646057,4142.469085,4832.880599,6213.703628,6904.115142,2387.486669,3581.230003,4178.10167,5371.845005,5968.716672,3527.733301,5291.599952,6173.533277,7937.399928,8819.333253,1729.127972,2593.691958,3025.973951,3890.537937,4322.81993,-1441.274918,-1873.657394
48,2713.714778,4070.572166,4749.000861,6105.85825,6784.286944,2398.945046,3598.417569,4198.15383,5397.626353,5997.362614,3466.50577,5199.758655,6066.385098,7799.637983,8666.264426,1790.863371,2686.295057,3134.0109,4029.442586,4477.158429,-1447.478575,-1881.722148
49,2690.316833,4035.475249,4708.054458,6053.212874,6725.792082,2403.554344,3605.331516,4206.220102,5407.997274,6008.88586,3436.61718,5154.925769,6014.080064,7732.388654,8591.542949,1821.092517,2731.638776,3186.911906,4097.458164,4552.731294,-1450.595258,-1885.773836
50,2644.608814,3966.913221,4628.065424,5950.369831,6611.522035,2410.574663,3615.861994,4218.505659,5423.792991,6026.436656,3378.229646,5067.344469,5911.901881,7601.016704,8445.574116,1880.102237,2820.153355,3290.178914,4230.230032,4700.255591,-1456.894635,-1893.963025
51,2600.287623,3900.431435,4550.503341,5850.647152,6500.719058,2414.729135,3622.093703,4225.775987,5433.140554,6036.822838,3321.613651,4982.420476,5812.823889,7473.630715,8304.034127,1936.968685,2905.453027,3389.695198,4358.17954,4842.421711,-1463.329554,-1902.32842
52,2557.276379,3835.914568,4475.233663,5753.871853,6393.190947,2416.107496,3624.161244,4228.188118,5436.241866,6040.26874,3266.670984,4900.006477,5716.674223,7350.009715,8166.677461,1991.458913,2987.18837,3485.053098,4480.782555,4978.647283,-1469.956001,-1910.942801
53,2508.178615,3762.267923,4389.312577,5643.401884,6270.446538,2414.812201,3622.218302,4225.921352,5433.327453,6037.030503,3207.233455,4810.850183,5612.658546,7216.275274,8018.083638,2043.365381,3065.048072,3575.889417,4597.572108,5108.413453,-1476.828765,-1919.877394
54,2467.671928,3701.507892,4318.425873,5552.261837,6169.179819,2410.957896,3616.436843,4219.176317,5424.655265,6027.394739,3155.437143,4733.155714,5522.015,7099.733571,7888.592856,2092.506992,3138.760487,3661.887235,4708.140731,5231.267479,-1484.001434,-1929.201865
55,2428.236711,3642.355067,4249.414245,5463.532601,6070.591778,2404.67081,3607.006215,4208.173918,5410.509323,6011.677026,3105.010931,4657.516397,5433.76913,6986.274595,7762.527328,2138.729916,3208.094874,3742.777353,4812.14231,5346.824789,-1491.526402,-1938.984322
56,2389.792691,3584.689037,4182.137209,5377.033555,5974.481728,2396.088094,3594.132141,4193.154165,5391.198212,5990.220235,3055.852172,4583.778258,5347.741301,6875.667388,7639.630431,2181.908206,3272.862308,3818.33936,4909.293463,5454.770514,-1499.454861,-1949.29132
57,2352.258319,3528.387478,4116.452058,5292.581217,5880.645797,2385.357077,3578.035616,4174.374885,5367.053423,5963.392693,3007.856589,4511.784884,5263.749031,6767.677326,7519.641473,2221.944191,3332.916286,3888.402333,4999.374429,5554.860476,-1507.836808,-1960.187851
58,2315.550625,3473.325938,4052.213594,5209.988907,5788.876563,2372.634466,3558.9517,4152.110316,5338.42755,5931.586166,2960.918089,4441.377133,5181.606656,6662.0657,7402.295222,2258.768664,3388.152995,3952.845161,5082.229493,5646.921659,-1516.72104,-1971.737352
59,2279.585072,3419.377607,3989.273875,5129.066411,5698.962679,2358.085474,3537.128212,4126.64958,5305.692317,5895.213686,2914.92857,4372.392856,5101.124998,6558.589283,7287.321426,2292.340853,3438.511279,4011.596492,5157.766918,5730.852131,-1526.155158,-1984.001705
60,2244.2754,3366.413101,3927.481951,5049.619651,5610.688501,2341.88288,3512.824319,4098.295039,5269.236479,5854.707199,2869.777736,4304.666603,5022.111037,6456.999905,7174.444339,2322.648179,3483.972269,4064.634314,5225.958404,5806.620449,-1536.185562,-1997.04123
61,2202.261559,3303.392338,3853.957728,4955.088507,5505.653897,2324.20602,3486.30903,4067.360535,5229.463545,5810.51505,2819.081521,4228.622281,4933.392661,6342.933421,7047.703801,2349.705806,3524.55871,4111.985161,5286.838064,5874.264516,-1546.857456,-2010.914693
62,2168.110028,3252.165041,3794.192548,4878.247562,5420.275069,2305.239719,3457.859578,4034.169508,5186.789367,5763.099297,2775.364665,4163.046997,4856.888163,6244.570496,6938.411662,2373.555968,3560.333952,4153.722943,5340.500927,5933.889919,-1558.214847,-2025.679301
63,2134.342529,3201.513793,3735.099426,4802.27069,5335.856322,2285.173143,3427.759715,3999.053001,5141.639572,5712.932858,2732.139404,4098.209105,4781.243956,6147.313658,6830.348509,2394.26709,3591.400636,4189.967408,5387.100953,5985.667726,-1570.300541,-2041.390704
64,2100.864742,3151.297113,3676.513298,4726.945669,5252.161855,2264.198595,3396.297892,3962.347541,5094.446838,5660.496487,2689.284998,4033.927496,4706.248746,6050.891245,6723.212494,2411.9327,3617.899051,4220.882226,5426.848576,6029.831751,-1583.15615,-2058.102994
65,2067.579881,3101.369821,3618.264791,4652.054732,5168.949702,2242.510232,3363.765348,3924.392906,5045.648022,5606.27558,2646.677553,3970.01633,4631.685718,5955.024495,6616.693883,2426.670116,3640.005174,4246.672703,5460.00776,6066.675289,-1596.822083,-2075.868708
66,2050.978841,3076.468261,3589.212971,4614.702391,5127.447101,2231.459224,3347.188836,3905.053642,5020.783253,5578.648059,2625.426814,3938.140221,4594.496925,5907.210332,6563.567035,2432.983549,3649.475323,4257.72121,5474.212984,6082.458871,-1603.971223,-2085.162589
67,2010.282955,3015.424432,3517.995171,4523.136648,5025.707387,2209.064927,3313.59739,3865.863622,4970.396086,5522.662317,2576.23896,3864.35844,4508.41818,5796.53766,6440.5974,2443.596898,3665.395347,4276.294571,5498.09302,6108.992244,-1618.925795,-2104.603533
68,1977.163205,2965.744807,3460.035608,4448.617211,4942.908012,2186.441353,3279.662029,3826.272367,4919.493043,5466.103381,2533.79499,3800.692485,4434.141232,5701.038727,6334.487475,2451.668943,3677.503415,4290.420651,5516.255122,6129.172358,-1634.78648,-2125.222424
69,1943.876644,2915.814966,3401.784127,4373.722449,4859.69161,2163.778132,3245.667198,3786.611731,4868.500797,5409.44533,2491.137246,3736.705869,4359.490181,5605.058804,6227.843115,2457.386912,3686.080368,4300.427096,5529.120552,6143.46728,-1651.589497,-2147.066346
70,1910.313911,2865.470866,3343.049344,4298.206299,4775.784777,2141.260173,3211.89026,3747.205304,4817.83539,5353.150434,2448.125579,3672.188369,4284.219764,5508.282553,6120.313948,2460.953307,3691.429961,4306.668288,5537.144941,6152.383268,-1669.369866,-2170.180826
71,1868.462825,2802.694238,3269.809944,4204.041357,4671.157063,2119.066013,3178.59902,3708.365523,4767.89853,5297.665033,2397.333109,3595.999663,4195.332941,5393.999495,5993.332772,2462.58343,3693.875144,4309.521002,5540.812717,6156.458574,-1688.161409,-2194.609832
72,1834.151374,2751.227061,3209.764904,4126.840591,4585.378435,2097.366101,3146.049151,3670.390677,4719.073727,5243.415252,2353.309767,3529.96465,4118.292092,5294.946975,5883.274417,2462.502687,3693.754031,4309.379702,5540.631046,6156.256718,-1707.996752,-2220.395778
73,1799.217877,2698.826816,3148.631285,4048.240223,4498.044693,2076.321016,3114.481523,3633.561777,4671.722285,5190.802539,2308.488309,3462.732463,4039.85454,5194.098694,5771.220771,2460.943688,3691.415533,4306.651455,5537.123299,6152.359221,-1728.907321,-2247.579517
74,1763.539358,2645.309036,3086.193876,3967.963554,4408.848394,2056.079615,3084.119423,3598.139327,4626.179134,5140.199038,2262.710948,3394.066422,3959.744159,5091.099633,5656.77737,2458.143127,3687.214691,4301.750473,5530.822037,6145.357819,-1750.923343,-2276.200346
75,1718.777442,2578.166162,3007.860523,3867.249244,4296.943604,2036.777119,3055.165679,3564.359958,4582.748518,5091.942798,2208.026336,3312.039505,3864.046089,4968.059257,5520.065841,2454.338451,3681.507676,4295.092289,5522.261514,6135.846127,-1774.07385,-2306.296005
76,1681.402698,2522.104047,2942.454721,3783.15607,4203.506744,2018.533121,3027.799682,3532.432962,4541.699522,5046.332803,2160.012896,3240.019344,3780.022568,4860.029015,5400.032239,2449.764315,3674.646472,4287.087551,5511.969708,6124.410787,-1798.386675,-2337.902677
77,1642.895305,2464.342957,2875.066783,3696.514436,4107.238262,2001.449537,3002.174306,3502.53669,4503.261459,5003.623843,2110.544398,3165.816597,3693.452697,4748.724896,5276.360995,2444.648828,3666.973242,4278.13545,5500.459864,6111.622071,-1823.88845,-2371.054985
78,1594.520187,2391.78028,2790.410327,3587.67042,3986.300467,1985.608484,2978.412727,3474.814848,4467.61909,4964.021211,2051.076171,3076.614256,3589.383299,4614.921384,5127.690427,2439.209583,3658.814374,4268.61677,5488.221562,6098.023957,-1850.604614,-2405.785998
79,1553.547107,2330.320661,2718.707438,3495.480992,3883.867769,1971.070092,2956.605139,3449.372662,4434.907708,4927.675231,1998.371346,2997.557019,3497.149856,4496.335529,4995.928365,2433.64947,3650.474204,4258.886572,5475.711307,6084.123674,-1878.559404,-2442.127225
80,1511.019264,2266.528896,2644.283712,3399.793344,3777.54816,1957.870248,2936.805372,3426.272934,4405.208059,4894.675621,1943.666585,2915.499877,3401.416524,4373.249816,4859.166462,2428.152283,3642.228424,4249.266495,5463.342637,6070.380707,-1907.77586,-2480.108618
81,1466.784489,2200.176733,2566.872856,3300.2651,3666.961222,1946.018272,2919.027408,3405.531976,4378.541112,4865.04568,1886.766149,2830.149224,3301.840761,4245.223836,4716.915373,2422.878111,3634.317167,4240.036695,5451.475751,6057.195279,-1938.275826,-2519.758574
82,1435.2609,2152.891351,2511.706576,3229.337026,3588.152251,1940.592796,2910.889194,3396.037393,4366.333791,4851.48199,1848.744252,2773.116379,3235.302442,4159.674568,4621.860631,2420.36702,3630.550529,4235.642284,5445.825794,6050.917549,-1954.013623,-2540.21771
83,1388.453746,2082.680619,2429.794055,3124.020928,3471.134365,1930.716084,2896.074125,3378.753146,4344.111188,4826.790209,1788.452456,2682.678684,3129.791798,4024.018026,4471.13114,2415.66376,3623.49564,4227.41158,5435.243461,6039.159401,-1986.477186,-2582.420341
84,1339.549799,2009.324699,2344.212149,3013.987049,3348.874499,1922.078456,2883.117684,3363.637299,4324.676527,4805.196141,1725.459804,2588.189707,3019.554658,3882.28456,4313.649511,2411.447853,3617.17178,4220.033743,5425.75767,6028.619634,-2020.273622,-2626.355709
85,1279.638734,1919.458101,2239.367784,2879.187151,3199.096835,1914.576981,2871.865472,3350.509717,4307.798208,4786.442453,1650.650039,2475.975059,2888.637569,3713.962588,4126.625098,2407.757043,3611.635564,4213.574825,5417.453346,6019.392607,-2055.420581,-2672.046756
86,1226.391483,1839.587225,2146.185095,2759.380837,3065.978708,1908.070869,2862.106303,3339.124021,4293.159455,4770.177172,1581.964578,2372.946867,2768.438012,3559.420301,3954.911445,2404.581988,3606.872982,4208.018479,5410.309473,6011.45497,-2091.934515,-2719.514869
87,1170.54057,1755.810855,2048.445997,2633.716282,2926.351425,1902.378778,2853.568166,3329.162861,4280.35225,4755.946944,1509.920563,2264.880845,2642.360986,3397.321267,3774.801408,2401.860483,3602.790724,4203.255845,5404.186086,6004.651207,-2129.830676,-2768.779878
88,1103.438266,1655.157399,1931.016965,2482.736098,2758.595665,1897.276052,2845.914078,3320.233091,4268.871117,4743.19013,1425.492483,2138.238724,2494.611845,3207.358086,3563.731207,2399.471461,3599.207192,4199.075057,5398.810788,5998.678653,-2169.123119,-2819.860055
89,1042.287727,1563.43159,1824.003522,2345.147386,2605.719317,1892.491893,2838.73784,3311.860813,4258.10676,4731.229733,1346.494286,2019.741429,2356.365,3029.612143,3366.235714,2397.228791,3595.843186,4195.150384,5393.764779,5993.071977,-2209.824703,-2872.772113
90,977.9843124,1466.976469,1711.472547,2200.464703,2444.960781,1887.706462,2831.559693,3303.486308,4247.339539,4719.266154,1263.423001,1895.134502,2210.990252,2842.701753,3158.557503,2394.87485,3592.312276,4191.030988,5388.468413,5987.187126,-2251.947085,-2927.53121
91,902.5672526,1353.850879,1579.492692,2030.776318,2256.418131,1882.547912,2823.821868,3294.458846,4235.732802,4706.36978,1167.813073,1751.71961,2043.672879,2627.579415,2919.532684,2392.073898,3588.110848,4186.129322,5382.166271,5980.184746,-2295.500727,-2984.150946
92,831.952811,1247.929216,1455.917419,1871.893825,2079.882027,1876.589361,2814.884042,3284.031382,4222.326062,4691.473403,1076.44651,1614.669765,1883.781393,2422.004648,2691.116275,2388.405225,3582.607838,4179.709144,5373.911757,5971.013063,-2340.494893,-3042.643361
93,757.5924031,1136.388605,1325.786705,1704.582907,1893.981008,1869.345788,2804.018682,3271.355128,4206.028022,4673.364469,980.2331186,1470.349678,1715.407957,2205.524517,2450.582796,2383.356095,3575.034142,4170.873165,5362.551213,5958.390236,-2386.937648,-3103.018942
94,672.7936799,1009.19052,1177.38894,1513.78578,1681.9842,1860.270866,2790.406299,3255.474015,4185.609448,4650.677165,871.9266318,1307.889948,1525.871606,1961.834922,2179.81658,2376.314469,3564.471703,4158.550321,5346.707555,5940.786172,-2434.835858,-3165.286615
95,591.0613968,886.5920952,1034.357444,1329.888143,1477.653492,1848.753729,2773.130594,3235.319026,4159.695891,4621.884323,766.0032909,1149.004936,1340.505759,1723.507405,1915.008227,2366.561526,3549.842288,4141.48267,5324.763433,5916.403814,-2484.195192,-3229.45375
96,504.9452403,757.4178605,883.6541706,1136.126791,1262.363101,1834.11567,2751.173505,3209.702422,4126.760257,4585.289175,654.3985412,981.5978118,1145.197447,1472.396718,1635.996353,2353.263957,3529.895935,4118.211925,5294.843903,5883.159892,-2535.020123,-3295.52616
97,409.8009027,614.7013541,717.1515798,922.0520311,1024.502257,1815.606767,2723.41015,3177.311842,4085.115226,4539.016917,531.9885026,797.9827539,930.9798796,1196.974131,1329.971257,2335.466058,3503.199087,4087.065602,5254.798631,5838.665145,-2587.313922,-3363.508099
