BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMF15HS_DW10_TIMER_OFF.xlsx,,,,,,D: ,820,,B: ,JNR_DMF15HS_DW10_TIMER_ON.xlsx,,,,,,,
10,20.11006983,36.19812569,56.30819552,72.39625139,80.44027932,0.69035284,2.920499401,4.542999068,5.840998801,6.489998668,19.68452712,35.43214882,55.11667595,70.86429765,78.7381085,0.564550392,2.342271746,3.643533827,4.684543492,5.205048325,1.88183464,3.76366928
11,19.58598493,35.25477288,54.84075781,70.50954576,78.34393973,0.745409344,3.285265616,5.110413181,6.570531233,7.300590259,19.17153222,34.50875799,53.68029021,69.01751599,76.68612888,0.609573994,2.41666243,3.759252669,4.83332486,5.370360956,2.031913312,4.063826624
12,19.07892766,34.34206979,53.42099746,68.68413959,76.31571066,0.797528345,3.659203496,5.692094327,7.318406992,8.131563324,18.67520463,33.61536833,52.29057295,67.23073665,74.7008185,0.652195391,2.471968123,3.845283746,4.943936245,5.493262495,2.173984635,4.34796927
13,18.6885721,33.63942979,52.32800189,67.27885958,74.75428842,0.846814634,4.041527703,6.286820871,8.083055406,8.981172673,18.24829569,32.84693224,51.09522792,65.69386447,72.99318275,0.692500278,2.513051956,3.909191931,5.026103911,5.584559901,2.30833426,4.61666852
14,18.21141803,32.78055245,50.99197048,65.5611049,72.84567211,0.893371757,4.431357084,6.893222131,8.862714168,9.847460187,17.78238269,32.00828884,49.79067153,64.01657768,71.12953075,0.730573334,2.544301649,3.957802565,5.088603298,5.654003665,2.435244446,4.870488892
15,17.8346161,32.10230897,49.93692507,64.20461795,71.33846439,0.937302018,4.827726637,7.509796992,9.655453275,10.72828142,17.38017267,31.28431081,48.66448348,62.56862162,69.52069069,0.766498218,2.569653296,3.99723846,5.139306592,5.710340658,2.554994062,5.109988123
16,17.38594479,31.29470062,48.68064541,62.58940124,69.54377915,0.978706476,5.22959908,8.134931902,10.45919816,11.62133129,16.94293395,30.4972811,47.44021505,60.99456221,67.77173579,0.800357575,2.592614627,4.032956086,5.185229253,5.761365837,2.667858584,5.335717169
17,17.16713635,30.90084543,48.06798178,61.80169086,68.66854541,0.99849277,5.432257724,8.450178682,10.86451545,12.07168383,16.72970096,30.11346173,46.84316269,60.22692346,66.91880385,0.816538229,2.604183566,4.050952214,5.208367133,5.787074592,2.721794095,5.44358819
18,16.74028515,30.13251327,46.87279842,60.26502654,66.9611406,1.036295288,5.840308844,9.084924869,11.68061769,12.9784641,16.31372635,29.36470742,45.67843377,58.72941485,65.25490538,0.847452024,2.629255216,4.089952559,5.258510433,5.84278937,2.824840079,5.649680159
19,16.39644377,29.51359879,45.91004256,59.02719757,65.58577508,1.071819208,6.251025661,9.723817695,12.50205132,13.89116814,15.95413164,28.71743696,44.67156861,57.43487392,63.81652658,0.876502448,2.658979762,4.136190742,5.317959525,5.908843916,2.921674827,5.843349654
20,15.99542986,28.79177374,44.7872036,57.58354748,63.98171943,1.105161235,6.663203143,10.36498267,13.32640629,14.8071181,15.56393552,28.01508394,43.57901947,56.03016788,62.25574209,0.903768584,2.695541352,4.193064326,5.391082705,5.990091894,3.012561946,6.025123891
21,15.60759543,28.09367177,43.7012672,56.18734354,62.43038171,1.136416828,7.075611018,11.00650603,14.15122204,15.72358004,15.18656336,27.33581404,42.5223774,54.67162808,60.74625342,0.929328496,2.740794015,4.263457357,5.48158803,6.090653367,3.097761652,6.195523303
22,15.23253142,27.41855656,42.65108798,54.83711312,60.93012569,1.165680206,7.487003109,11.64644928,14.97400622,16.63778469,14.82161711,26.6789108,41.50052792,53.35782161,59.28646845,0.953259231,2.796282059,4.349772092,5.592564118,6.213960131,3.177530771,6.355061541
23,14.92541606,26.86574892,41.79116498,53.73149783,59.70166426,1.19304434,7.896126277,12.2828631,15.79225255,17.54694728,14.50618218,26.11112793,40.61731011,52.22225586,58.02472873,0.975636821,2.863259951,4.453959924,5.726519903,6.362799892,3.252122737,6.504245474
24,14.57340704,26.23213268,40.80553972,52.46426536,58.29362818,1.218600959,8.301728948,12.91380059,16.6034579,18.44828655,14.1640606,25.49530908,39.65936967,50.99061815,56.65624239,0.996536278,2.942711674,4.577551493,5.885423348,6.539359276,3.321787593,6.643575186
25,14.23306117,25.6195101,39.85257127,51.23902021,56.93224467,1.242440548,8.70256924,13.53732993,17.40513848,19.33904276,13.83327456,24.8998942,38.73316876,49.79978841,55.33309823,1.016031597,3.035369562,4.721685986,6.070739124,6.745265694,3.38677199,6.773543981
26,13.90401697,25.02723055,38.93124753,50.05446111,55.6160679,1.264652346,9.097422691,14.15154641,18.19484538,20.21649487,13.51347275,24.32425095,37.83772371,48.64850191,54.05389101,1.034195757,3.141732617,4.887139627,6.283465234,6.981628038,3.44731919,6.89463838
27,13.63078485,24.53541273,38.16619758,49.07082546,54.5231394,1.28532435,9.485089569,14.75458377,18.97017914,21.07797682,13.23740105,23.82732189,37.06472293,47.65464377,52.94960419,1.051100718,3.262084303,5.07435336,6.524168606,7.249076228,3.50366906,7.007338121
28,13.32228677,23.98011618,37.30240295,47.96023236,53.28914707,1.304543312,9.864401795,15.34462501,19.72880359,21.92089288,12.9378062,23.28805117,36.22585737,46.57610234,51.75122482,1.066817424,3.396509818,5.283459717,6.793019637,7.547799596,3.55605808,7.11211616
29,13.02410213,23.44338384,36.46748597,46.88676767,52.09640853,1.32239474,10.23422944,15.91991247,20.46845889,22.7427321,12.64822716,22.76680889,35.41503606,45.53361779,50.59290865,1.081415801,3.544912851,5.514308879,7.089825702,7.877584113,3.604719336,7.209438671
30,12.73590795,22.92463432,35.66054227,45.84926864,50.94363182,1.338962898,10.59348685,16.47875732,21.1869737,23.54108189,12.36835026,22.26303046,34.63138072,44.52606092,49.47340103,1.094964757,3.707031808,5.766493923,7.414063616,8.237848462,3.649882522,7.299765044
31,12.45738972,22.4233015,34.88069122,44.846603,49.82955889,1.354330807,10.94113832,17.0195485,21.88227664,24.31364071,12.09787005,21.77616608,33.87403613,43.55233217,48.39148019,1.107532183,3.882455526,6.039375263,7.764911052,8.627678947,3.691773944,7.383547889
32,12.18824084,21.93883351,34.12707435,43.87766702,48.75296335,1.368580241,11.27620341,17.54076085,22.55240681,25.05822979,11.83648879,21.30567982,33.14216861,42.61135964,47.34595515,1.119184954,4.070638463,6.332104276,8.141276926,9.045863251,3.730616515,7.46123303
33,12.05708612,21.70275502,33.75984114,43.40551003,48.22834448,1.375310745,11.43872599,17.79357376,22.87745198,25.41939109,11.70911919,21.07641454,32.78553373,42.15282908,46.83647675,1.124688964,4.169311033,6.48559494,8.338622065,9.265135628,3.748963214,7.497926428
34,11.80143236,21.24257824,33.0440106,42.48515648,47.20572943,1.388033076,11.75320598,18.28276486,23.50641197,26.11823552,11.46084358,20.62951844,32.09036202,41.25903689,45.84337432,1.135092915,4.375351921,6.806102988,8.750703841,9.723004268,3.783643051,7.567286101
35,11.58812842,20.85863115,32.44675956,41.7172623,46.35251366,1.39983593,12.05292135,18.74898876,24.10584269,26.78426966,11.24825985,20.24686772,31.49512757,40.49373545,44.99303939,1.144744944,4.592295242,7.143570376,9.184590483,10.20510054,3.815816482,7.631632963
36,11.34876281,20.42777306,31.77653588,40.85554613,45.39505125,1.410796728,12.33712089,19.19107695,24.67424179,27.41582421,11.01591461,19.82864629,30.84456089,39.65729258,44.06365842,1.153708365,4.819237222,7.496591234,9.638474444,10.70941605,3.845694551,7.691389101
37,11.11749377,20.01148879,31.12898257,40.02297759,44.4699751,1.420991648,12.60512753,19.60797616,25.21025506,28.01139451,10.79142846,19.42457123,30.2159997,38.84914247,43.16571385,1.162045473,5.055201615,7.863646956,10.11040323,11.23378137,3.87348491,7.74696982
38,10.89404776,19.60928597,30.50333374,39.21857195,43.57619105,1.430495623,12.85634131,19.99875316,25.71268263,28.56964737,10.57453591,19.03416463,29.60870054,38.06832927,42.29814363,1.169817546,5.299152026,8.243125374,10.59830405,11.77589339,3.89939182,7.798783641
39,10.6781557,19.22068026,29.89883597,38.44136053,42.71262281,1.439382343,13.09024212,20.36259885,26.18048424,29.08942693,10.36497575,18.65695635,29.0219321,37.3139127,41.459903,1.177084846,5.550003716,8.633339115,11.10000743,12.33334159,3.923616153,7.847232305
40,10.46955245,18.84519441,29.31474686,37.69038882,41.8782098,1.447724252,13.3063919,20.69883184,26.6127838,29.56975977,10.16249063,18.29248313,28.45497376,36.58496627,40.64996252,1.183906616,5.806634886,9.032543155,11.61326977,12.90363308,3.946355385,7.89271077
41,10.2679763,18.48235733,28.75033363,36.96471467,41.07190519,1.455592552,13.50443655,21.00690129,27.00887309,30.00985899,9.96682651,17.94028772,27.90711423,35.88057543,39.86730604,1.190341082,6.067897432,9.438951561,12.13579486,13.48421652,3.967803605,7.93560721
42,10.07316845,18.13170321,28.20487166,36.26340642,40.29267381,1.4630572,13.68410734,21.2863892,27.36821469,30.40912743,9.777732189,17.59991794,27.37765013,35.19983588,39.11092876,1.196445453,6.332627196,9.850753416,12.66525439,14.07250488,3.988151509,7.976303018
43,9.884872538,17.79277057,27.67764311,35.58554114,39.53949015,1.470186909,13.84522201,21.53701202,27.69044402,30.76716003,9.594958813,17.27092586,26.86588468,34.54185173,38.37983525,1.202275921,6.599653678,10.26612794,13.19930736,14.66589706,4.007586402,8.015172803
44,9.702834098,17.46510138,27.16793547,34.93020275,38.81133639,1.477049148,13.98768535,21.75862166,27.97537071,31.08374523,9.418259383,16.95286689,26.37112627,33.90573378,37.67303753,1.207887659,6.867809237,10.68325881,13.73561847,15.2617983,4.026292197,8.052584394
45,9.526800084,17.14824015,26.67504024,34.2964803,38.10720034,1.483710142,14.11148949,21.95120588,28.22297899,31.35886554,9.247388276,16.6452989,25.89268717,33.29059779,36.98955311,1.213334825,7.13593777,11.10034764,14.27187554,15.85763949,4.044449418,8.088898836
46,9.356518371,16.84173307,26.19825144,33.68346614,37.42607348,1.490234871,14.21671371,22.11488799,28.43342742,31.59269713,9.082100761,16.34778137,25.42988213,32.69556274,36.32840304,1.218670558,7.402902868,11.51562668,14.80580574,16.45089526,4.062235195,8.12447039
47,9.191737255,16.54512706,25.73686431,33.09025412,36.76694902,1.496687073,14.30352387,22.24992602,28.60704774,31.78560859,8.922152515,16.05987453,24.98202704,32.11974905,35.68861006,1.223946981,7.667595453,11.9273707,15.33519091,17.03910101,4.079823269,8.159646537
48,9.032204963,16.25796893,25.2901739,32.51593787,36.12881985,1.503129239,14.37217144,22.35671113,28.74434288,31.93815876,8.767299151,15.78113847,24.54843762,31.56227694,35.0691966,1.229215196,7.92894089,12.33390805,15.85788178,17.61986865,4.097383988,8.194767975
49,8.954328307,16.11779095,25.07211926,32.23558191,35.81731323,1.506365748,14.39978592,22.39966699,28.79957185,31.99952428,8.691706542,15.64507178,24.33677832,31.29014355,34.76682617,1.231861919,8.058033659,12.53471902,16.11606732,17.90674146,4.106206396,8.212412792
50,8.802195814,15.84395246,24.64614828,31.68790493,35.20878325,1.512907315,14.44184492,22.4650921,28.88368984,32.09298871,8.544035946,15.3792647,23.92330065,30.75852941,34.17614379,1.237211421,8.312434888,12.93045427,16.62486978,18.47207753,4.124038069,8.248076137
51,8.654679176,15.57842252,24.23310169,31.15684504,34.61871671,1.519589634,14.46673452,22.50380926,28.93346905,32.14829894,8.400845829,15.12152249,23.52236832,30.24304498,33.60338332,1.242676027,8.560995077,13.31710345,17.12199015,19.02443351,4.142253422,8.284506844
52,8.511522505,15.32074051,23.83226302,30.64148102,34.04609002,1.526470846,14.47499234,22.51665475,28.94998467,32.16664964,8.261887804,14.87139805,23.13328585,29.7427961,33.04755122,1.248303281,8.802808663,13.69325792,17.60561733,19.56179703,4.161010936,8.322021871
53,8.348107739,15.02659393,23.37470167,30.05318786,33.39243096,1.533607844,14.46723218,22.50458339,28.93446435,32.14940484,8.107181747,14.59292714,22.70010889,29.18585429,32.42872699,1.254139709,9.037030097,14.05760237,18.07406019,20.0822891,4.180465698,8.360931396
54,8.213287121,14.78391682,22.99720394,29.56783364,32.85314848,1.541056279,14.44414088,22.4686636,28.88828177,32.09809085,7.976252045,14.35725368,22.33350573,28.71450736,31.90500818,1.260230822,9.262878098,14.40892149,18.5257562,20.58417355,4.200769406,8.401538811
55,8.082032739,14.54765893,22.62969167,29.09531786,32.32813096,1.548870556,14.40647472,22.41007178,28.81294943,32.01438826,7.848785659,14.12781419,21.97659984,28.25562837,31.39514263,1.266621109,9.47963938,14.7461057,18.95927876,21.06586529,4.222070365,8.444140729
56,7.954077409,14.31733934,22.27141674,28.63467867,31.81630963,1.557103838,14.35505533,22.33008608,28.71011067,31.90012297,7.724523113,13.9041416,21.62866472,27.80828321,30.89809245,1.273354047,9.686671859,15.06815623,19.37334372,21.52593746,4.24451349,8.489026979
57,7.829149709,14.09246948,21.92161919,28.18493895,31.31659884,1.565808043,14.2907654,22.23007951,28.5815308,31.75725645,7.603200821,13.68576148,21.2889623,27.37152296,30.41280328,1.280472091,9.883407344,15.3741892,19.76681469,21.96312743,4.268240303,8.536480607
58,7.70697349,13.87255228,21.57952577,27.74510456,30.82789396,1.575033843,14.21454376,22.11151251,28.42908751,31.58787501,7.484550601,13.47219108,20.95674168,26.94438217,29.93820241,1.288016682,10.0693537,15.66343909,20.1387074,22.37634155,4.293388939,8.586777877
59,7.587267375,13.65708128,21.24434865,27.31416255,30.3490695,1.584830671,14.12738019,21.97592474,28.25476038,31.3941782,7.3682992,13.26293856,20.63123776,26.52587712,29.4731968,1.296028241,10.24409649,15.9352612,20.48819297,22.76465886,4.320094136,8.640188272
60,7.46974427,13.44553969,20.91528396,26.89107937,29.87897708,1.59524671,14.03030982,21.82492639,28.06061965,31.17846627,7.254167806,13.05750205,20.31166986,26.1150041,29.01667122,1.304546173,10.4073001,16.18913349,20.81460021,23.12733356,4.348487245,8.69697449
61,7.329907309,13.19383316,20.52374046,26.38766631,29.31962923,1.606328903,13.92440708,21.66018879,27.84881416,30.94312685,7.124020552,12.82323699,19.94725755,25.64647399,28.49608221,1.313608867,10.55870836,16.42465746,21.11741673,23.46379637,4.378696224,8.757392447
62,7.216238904,12.98923003,20.20546893,25.97846005,28.86495561,1.618122947,13.81077925,21.48343438,27.62155849,30.69062055,7.013544933,12.62438088,19.63792581,25.24876176,28.05417973,1.323253692,10.69814461,16.64155827,21.39628921,23.77365468,4.41084564,8.82169128
63,7.103848696,12.78692765,19.89077635,25.57385531,28.41539478,1.630673295,13.69055963,21.29642609,27.38111925,30.42346584,6.904311607,12.42776089,19.3320725,24.85552179,27.61724643,1.333517001,10.82551123,16.83968413,21.65102246,24.05669162,4.445056669,8.890113338
64,6.99242275,12.58636095,19.5787837,25.1727219,27.969691,1.644023158,13.5649003,21.10095603,27.12980061,30.1442229,6.796015459,12.23282783,19.02884329,24.46565565,27.18406184,1.344434129,10.94078875,17.01900473,21.8815775,24.31286389,4.481447096,8.962894191
65,6.881638931,12.38695008,19.26858901,24.77390015,27.52655572,1.658214501,13.4349645,20.89883366,26.86992899,29.85547666,6.688343401,12.03901812,18.72736152,24.07803624,26.7533736,1.356039394,11.04403433,17.17960895,22.08806865,24.5422985,4.520131313,9.040262627
66,6.826384783,12.28749261,19.11387739,24.57498522,27.30553913,1.665638501,13.36875748,20.79584497,26.73751496,29.70834996,6.634641264,11.94235428,18.57699554,23.88470855,26.53856506,1.362110524,11.09118346,17.25295205,22.18236693,24.64707436,4.540368415,9.080736829
67,6.690934445,12.043682,18.73461645,24.087364,26.76373778,1.681168026,13.23459239,20.58714372,26.46918479,29.41020532,6.510439121,11.71879042,18.22922954,23.43758084,26.04175649,1.374810117,11.17665085,17.38590132,22.3533017,24.83700189,4.582700388,9.165400777
68,6.580700175,11.84526031,18.42596049,23.69052063,26.3228007,1.697638501,13.0990537,20.37630575,26.19810739,29.10900821,6.403178541,11.52572137,17.92889992,23.05144275,25.61271417,1.38827919,11.25055001,17.50085557,22.50110002,25.00122225,4.6275973,9.2551946
69,6.469910698,11.64583926,18.11574995,23.29167851,25.87964279,1.715087537,12.96327748,20.16509829,25.92655495,28.80728328,6.295377733,11.33167992,17.62705765,22.66335984,25.18151093,1.402548502,11.31318713,17.5982911,22.62637427,25.14041585,4.675161674,9.350323348
70,6.358202022,11.44476364,17.80296566,22.88952728,25.43280809,1.733551501,12.82837152,19.95524459,25.65674305,28.50749228,6.186682521,11.13602854,17.32271106,22.27205708,24.74673008,1.417647793,11.36493192,17.67878299,22.72986385,25.25540427,4.725492643,9.450985285
71,6.21890677,11.19403219,17.41293896,22.38806437,24.87562708,1.753065516,12.69540546,19.7484085,25.39081093,28.21201214,6.060442956,10.90879732,16.96924028,21.81759464,24.24177183,1.433605784,11.40621326,17.74299841,22.81242653,25.34714059,4.778685948,9.557371896
72,6.104706095,10.98847097,17.09317707,21.97694194,24.41882438,1.773663461,12.56540046,19.54617849,25.13080092,27.92311213,5.949152226,10.70847401,16.65762623,21.41694801,23.7966089,1.450450182,11.43751435,17.79168899,22.87502871,25.41669856,4.83483394,9.66966788
73,5.988435031,10.77918306,16.76761809,21.55836611,23.95374013,1.79537797,12.43931855,19.35005107,24.8786371,27.64293011,5.835843862,10.50451895,16.34036281,21.0090379,23.34337545,1.468207673,11.45936731,17.82568248,22.91873462,25.46526069,4.894025578,9.788051157
74,5.869684268,10.56543168,16.43511595,21.13086336,23.47873707,1.818240434,12.31805155,19.16141352,24.63610309,27.37344788,5.720118984,10.29621417,16.01633316,20.59242834,22.88047594,1.486903929,11.47234726,17.84587352,22.94469453,25.49410503,4.95634643,9.912692861
75,5.720700741,10.29726133,16.01796207,20.59452267,22.88280296,1.842281,12.20240955,18.98152597,24.40481911,27.11646567,5.585929095,10.05467237,15.64060147,20.10934474,22.34371638,1.506563602,11.47706594,17.85321368,22.95413188,25.50459098,5.021878673,10.04375735
76,5.596304342,10.07334781,15.66965216,20.14669563,22.38521737,1.86752857,12.09310906,18.81150299,24.18621813,26.8735757,5.464463299,9.836033939,15.30049724,19.67206788,21.8578532,1.527210328,11.47416469,17.84870063,22.94832938,25.49814375,5.090701092,10.18140218
77,5.468138085,9.842648552,15.31078664,19.6852971,21.87255234,1.894010803,11.99076066,18.65229436,23.98152132,26.6461348,5.339316459,9.610769626,14.95008608,19.22153925,21.35726583,1.548866724,11.46430703,17.83336649,22.92861406,25.47623784,5.162889081,10.32577816
78,5.30712854,9.552831371,14.85995991,19.10566274,21.22851416,1.921754113,11.89585631,18.50466537,23.79171261,26.43523624,5.194826103,9.350686986,14.54551309,18.70137397,20.77930441,1.571554393,11.44817065,17.80826545,22.89634129,25.44037922,5.238514643,10.47702929
79,5.170755604,9.307360088,14.47811569,18.61472018,20.68302242,1.95078367,11.80875625,18.36917638,23.61751249,26.24168055,5.061338912,9.110410041,14.17174895,18.22082008,20.24535565,1.595293917,11.42643889,17.7744605,22.85287778,25.39208642,5.31764639,10.63529278
80,5.029207863,9.052574153,14.08178202,18.10514831,20.11683145,1.981123401,11.72967547,18.24616185,23.45935095,26.0659455,4.922786416,8.861015549,13.78380197,17.7220311,19.69114567,1.620104863,11.39979173,17.73300935,22.79958346,25.33287051,5.400349543,10.80069909
81,4.881978847,8.787561925,13.66954077,17.57512385,19.52791539,2.012795987,11.65866983,18.13570863,23.31733967,25.90815518,4.778672866,8.60161116,13.38028403,17.20322232,19.11469147,1.646005779,11.3688962,17.68494964,22.73779239,25.26421377,5.48668593,10.97337186
82,4.777057167,8.598702901,13.37576007,17.1974058,19.10822867,2.029138849,11.6261656,18.08514649,23.2523312,25.83592355,4.689949047,8.441908284,13.13185733,16.88381657,18.75979619,1.659370494,11.35205774,17.65875648,22.70411547,25.22679497,5.531234981,11.06246996
83,4.621266361,8.31827945,12.93954581,16.6365589,18.48506544,2.062850527,11.56699384,17.99310152,23.13398767,25.70443075,4.536999036,8.166598265,12.7035973,16.33319653,18.14799614,1.686938919,11.31598714,17.60264665,22.63197427,25.14663808,5.623129731,11.24625946
84,4.458496688,8.025294038,12.48379073,16.05058808,17.83398675,2.097946322,11.51524548,17.91260408,23.03049096,25.5894344,4.377197416,7.878955349,12.25615276,15.7579107,17.50878966,1.715639236,11.27721177,17.54232943,22.55442355,25.06047061,5.718797453,11.43759491
85,4.259091419,7.666364555,11.92545597,15.33272911,17.03636568,2.134444563,11.47030386,17.84269489,22.94060772,25.48956413,4.196384891,7.553492804,11.7498777,15.10698561,16.78553957,1.745486432,11.23627066,17.47864325,22.47254133,24.96949036,5.818288106,11.63657621
86,4.081865689,7.34735824,11.42922393,14.69471648,16.32746276,2.172362334,11.43132549,17.78206187,22.86265098,25.40294553,4.021768452,7.239183214,11.26095167,14.47836643,16.08707381,1.776494478,11.19364043,17.41232956,22.38728086,24.87475651,5.921648258,11.84329652
87,3.895974047,7.012753285,10.90872733,14.02550657,15.58389619,2.211715474,11.39722395,17.72901504,22.79444791,25.32716434,3.83861369,6.909504642,10.74811833,13.81900928,15.35445476,1.808676326,11.14972291,17.34401342,22.29944582,24.77716202,6.028921088,12.05784218
88,3.672633787,6.610740817,10.2833746,13.22148163,14.69053515,2.25251858,11.36665333,17.68146073,22.73330666,25.25922962,3.633843654,6.540918577,10.17476223,13.08183715,14.53537462,1.842043914,11.1048322,17.27418342,22.20966439,24.67740488,6.140146381,12.28029276
89,3.469103112,6.244385602,9.713488714,12.4887712,13.87641245,2.294785001,11.33799125,17.63687528,22.6759825,25.19553611,3.432462657,6.178432783,9.610895441,12.35686557,13.72985063,1.87660816,11.05918118,17.20317073,22.11836237,24.57595819,6.255360532,12.51072106
90,3.255078549,5.859141388,9.114219937,11.71828278,13.0203142,2.338526847,11.30932155,17.59227796,22.6186431,25.13182566,3.220698608,5.797257495,9.017956104,11.59451499,12.88279443,1.912378964,11.01286758,17.13112735,22.02573516,24.47303907,6.374596546,12.74919309
91,3.004063834,5.407314901,8.411378734,10.8146298,12.01625533,2.38375498,11.27841648,17.54420341,22.55683296,25.06314773,2.98699852,5.376597336,8.363595857,10.75319467,11.94799408,1.94936521,10.96585941,17.05800352,21.93171881,24.36857646,6.497884034,12.99576807
92,2.769033935,4.984261083,7.753295018,9.968522165,11.07613574,2.43047902,11.24271857,17.48867334,22.48543715,24.98381905,2.753303766,4.955946778,7.709250544,9.911893557,11.01321506,1.987574765,10.91797997,16.98352439,21.83595993,24.2621777,6.625249218,13.25049844
93,2.521536132,4.538765037,7.060301169,9.077530075,10.08614453,2.478707341,11.19932205,17.42116763,22.3986441,24.88738233,2.507211934,4.512981481,7.020193416,9.025962963,10.02884774,2.027014478,10.86889231,16.90716582,21.73778462,24.15309402,6.756714927,13.51342985
94,2.239295915,4.030732646,6.270028561,8.061465293,8.957183658,2.528447076,11.14495385,17.33659487,22.28990769,24.7665641,2.239295915,4.030732646,6.270028561,8.061465293,8.957183658,2.067690181,10.81808316,16.82812935,21.63616631,24.04018479,6.892300602,13.7846012
95,1.967261897,3.541071415,5.508333312,7.08214283,7.869047589,2.57970411,11.07595424,17.22926215,22.15190848,24.61323165,1.967261897,3.541071415,5.508333312,7.08214283,7.869047589,2.109606686,10.76484631,16.74531648,21.52969262,23.92188069,7.032022288,14.06404458
96,1.680636795,3.025146231,4.705783025,6.050292461,6.722547179,2.632483088,10.98825707,17.09284433,21.97651413,24.41834904,1.680636795,3.025146231,4.705783025,6.050292461,6.722547179,2.152767793,10.70826555,16.65730197,21.41653111,23.79614567,7.175892643,14.35178529
97,1.363962705,2.455132868,3.819095573,4.910265736,5.455850818,2.686787407,10.87736952,16.92035259,21.75473904,24.17193227,1.37292395,2.47126311,3.84418706,4.94252622,5.4916958,2.19717628,10.64719701,16.56230646,21.29439402,23.6604378,7.323920932,14.64784186
98,1.20860396,2.175487127,3.384091087,4.350974255,4.834415839,2.714512292,10.81170364,16.81820566,21.62340728,24.02600809,1.216544497,2.189780094,3.406324591,4.379560189,4.866177988,2.219848881,10.61455566,16.51153102,21.22911131,23.58790146,7.399496269,14.79899254
99,0.885449425,1.593808964,2.479258389,3.187617928,3.541797698,2.771108276,10.65662249,16.57696831,21.31324497,23.6813833,0.891266834,1.604280301,2.495547135,3.208560602,3.565067336,2.266131424,10.54406789,16.40188339,21.08813578,23.43126198,7.553771412,15.10754282
