BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
30,10818.44427,16227.6664,18932.27747,24341.49961,27046.11067,2711.820607,4067.730911,4745.686063,6101.596366,6779.551518,-1990.578998,-2587.752697
31,10686.16572,16029.24858,18700.79001,24043.87288,26715.41431,2744.95909,4117.438635,4803.678408,6176.157953,6862.397725,-2008.689477,-2611.29632
32,10436.41361,15654.62042,18263.72382,23481.93062,26091.03403,2811.48519,4217.227785,4920.099082,6325.841677,7028.712974,-2043.02517,-2655.932721
33,10194.13411,15291.20117,17839.7347,22936.80175,25485.33528,2878.342936,4317.514404,5037.100138,6476.271606,7195.85734,-2074.963623,-2697.45271
34,10079.72307,15119.58461,17639.51537,22679.37691,25199.30768,2911.886166,4367.829249,5095.800791,6551.743874,7279.715415,-2090.077085,-2717.10021
35,9847.555015,14771.33252,17233.22128,22156.99878,24618.88754,2979.160602,4468.740904,5213.531054,6703.111355,7447.901506,-2118.677792,-2754.281129
36,9621.463081,14432.19462,16837.56039,21648.29193,24053.6577,3046.606891,4569.910337,5331.56206,6854.865505,7616.517228,-2145.222505,-2788.789256
37,9506.267984,14259.40198,16635.96897,21389.10296,23765.66996,3080.357944,4620.536916,5390.626402,6930.805374,7700.89486,-2157.765507,-2805.09516
38,9288.098199,13932.1473,16254.17185,20898.22095,23220.2455,3147.828435,4721.742653,5508.699762,7082.61398,7869.571089,-2181.475002,-2835.917502
39,9185.320787,13777.98118,16074.31138,20666.97177,22963.30197,3181.508628,4772.262943,5567.6401,7158.394414,7953.771571,-2192.673999,-2850.476198
40,8974.221685,13461.33253,15704.88795,20191.99879,22435.55421,3248.651672,4872.977508,5685.140426,7309.466262,8121.62918,-2213.840821,-2877.993067
41,8767.102589,13150.65388,15342.42953,19725.98083,21917.75647,3315.350084,4973.025126,5801.862648,7459.53769,8288.375211,-2233.471732,-2903.513252
42,8659.581694,12989.37254,15154.26796,19484.05881,21648.95424,3348.471398,5022.707097,5859.824947,7534.060646,8371.178496,-2242.750374,-2915.575486
43,8457.114118,12685.67118,14799.94971,19028.50676,21142.78529,3414.13033,5121.195495,5974.728077,7681.793242,8535.325825,-2260.311242,-2938.404614
44,8362.918204,12544.37731,14635.10686,18816.56596,20907.29551,3446.615393,5169.92309,6031.576938,7754.884634,8616.538483,-2268.623981,-2949.211175
45,8164.961378,12247.44207,14288.68241,18371.1631,20412.40344,3510.763115,5266.144672,6143.835451,7899.217009,8776.907787,-2284.389413,-2969.706237
46,7969.20292,11953.80438,13946.10511,17930.70657,19923.0073,3573.63459,5360.451886,6253.860533,8040.677829,8934.086476,-2299.107127,-2988.839265
47,7879.066564,11818.59985,13788.36649,17727.89977,19697.66641,3604.524412,5406.786617,6307.91772,8110.179926,9011.311029,-2306.10975,-2997.942675
48,7686.551821,11529.82773,13451.46569,17294.7416,19216.37955,3665.078989,5497.618484,6413.888231,8246.427726,9162.697473,-2319.474759,-3015.317187
49,7495.373251,11243.05988,13116.90319,16864.58982,18738.43313,3723.826178,5585.739266,6516.695811,8378.6089,9309.565444,-2332.080974,-3031.705266
50,7391.325482,11086.98822,12934.81959,16630.48234,18478.31371,3752.458422,5628.687633,6566.802239,8443.03145,9381.146056,-2338.134637,-3039.575029
51,7219.554986,10829.33248,12634.22123,16243.99872,18048.88747,3808.117972,5712.176958,6664.206451,8568.265437,9520.29493,-2349.812192,-3054.75585
52,7115.723909,10673.58586,12452.51684,16010.3788,17789.30977,3835.098402,5752.647603,6711.422204,8628.971405,9587.746006,-2355.463357,-3062.102364
53,6926.665701,10389.99855,12121.66498,15584.99783,17316.66425,3887.24922,5830.87383,6802.686134,8746.310744,9718.123049,-2366.457709,-3076.395022
54,6760.08848,10140.13272,11830.15484,15210.19908,16900.2212,3936.848356,5905.272535,6889.484624,8857.908802,9842.120891,-2377.129636,-3090.268526
55,6655.298459,9982.947689,11646.7723,14974.42153,16638.24615,3960.642789,5940.964183,6931.124881,8911.446275,9901.606972,-2382.377301,-3097.090492
56,6467.304741,9700.957111,11317.7833,14551.43567,16168.26185,4006.133974,6009.200961,7010.734454,9013.801441,10015.33493,-2392.760172,-3110.588223
57,6386.108119,9579.162178,11175.68921,14368.74327,15965.2703,4027.7991,6041.69865,7048.648425,9062.547976,10069.49775,-2397.920656,-3117.296853
58,6198.740043,9298.110065,10847.79508,13947.1651,15496.85011,4068.898179,6103.347268,7120.571813,9155.020902,10172.24545,-2408.241988,-3130.714584
59,6010.914336,9016.371504,10519.10009,13524.55726,15027.28584,4106.943073,6160.414609,7187.150377,9240.621914,10267.35768,-2418.645372,-3144.238983
60,5931.792608,8897.688912,10380.63706,13346.53337,14829.48152,4124.795268,6187.192902,7218.391719,9280.789353,10311.98817,-2423.907954,-3151.08034
61,5744.284901,8616.427351,10052.49858,12924.64103,14360.71225,4158.120838,6237.181257,7276.711467,9355.771886,10395.3021,-2434.614048,-3164.998262
62,5666.290157,8499.435235,9916.007775,12749.15285,14165.72539,4173.582942,6260.374412,7303.770148,9390.561618,10433.95735,-2440.080847,-3172.105101
63,5479.038794,8218.558191,9588.317889,12327.83729,13697.59698,4202.087928,6303.131892,7353.653874,9454.697838,10505.21982,-2451.299231,-3186.689
64,5291.125327,7936.68799,9259.469322,11905.03199,13227.81332,4227.359713,6341.039569,7397.879498,9511.559354,10568.39928,-2462.972253,-3201.863929
65,5215.187706,7822.781558,9126.578485,11734.17234,13037.96926,4238.785565,6358.178347,7417.874739,9537.267521,10596.96391,-2469.006882,-3209.708947
66,5027.58356,7541.37534,8798.27123,11312.06301,12568.9589,4259.234257,6388.851385,7453.659949,9583.277078,10648.08564,-2481.526544,-3225.984508
67,4839.387471,7259.081207,8468.928074,10888.62181,12098.46868,4276.517914,6414.776872,7483.90635,9622.165307,10691.29479,-2494.717516,-3243.132771
68,4765.689313,7148.533969,8339.956297,10722.80095,11914.22328,4283.992626,6425.988939,7496.987096,9638.983409,10709.98157,-2501.590815,-3252.068059
69,4578.071095,6867.106643,8011.624416,10300.65996,11445.17774,4296.65916,6444.98874,7519.15353,9667.48311,10741.6479,-2515.94409,-3270.727318
70,4505.718875,6758.578312,7885.008031,10137.86747,11264.29719,4301.87547,6452.813205,7528.282072,9679.219807,10754.68867,-2523.444116,-3280.47735
71,4318.933275,6478.399913,7558.133232,9717.599869,10797.33319,4310.144966,6465.217449,7542.75369,9697.826173,10775.36241,-2539.140125,-3300.882162
72,4177.39638,6266.09457,7310.443665,9399.141855,10443.49095,4315.638996,6473.458494,7552.368244,9710.187742,10789.09749,-2555.828206,-3322.576668
73,4062.394441,6093.591662,7109.190272,9140.387493,10155.9861,4317.390364,6476.085547,7555.433138,9714.12832,10793.47591,-2564.567854,-3333.93821
74,3924.034914,5886.052372,6867.0611,8829.078557,9810.087286,4319.001786,6478.502679,7558.253126,9717.754019,10797.50447,-2582.884435,-3357.749765
75,3855.296028,5782.944043,6746.76805,8674.416064,9638.240071,4318.904933,6478.3574,7558.083633,9717.536099,10797.26233,-2592.479422,-3370.223249
76,3674.044332,5511.066497,6429.57758,8266.599746,9185.110829,4317.020979,6475.531468,7554.786713,9713.297203,10792.55245,-2612.586992,-3396.36309
77,3493.396732,5240.095098,6113.444281,7860.142647,8733.49183,4313.046619,6469.569929,7547.831584,9704.354893,10782.61655,-2633.975506,-3424.168158
78,3427.998475,5141.997712,5998.997331,7712.996568,8569.996187,4310.339639,6465.509459,7543.094369,9698.264188,10775.8491,-2645.171205,-3438.722567
79,3249.859073,4874.788609,5687.253377,7312.182914,8124.647682,4303.620089,6455.430134,7531.335156,9683.145201,10759.05022,-2668.606577,-3469.18855
80,3123.559883,4685.339825,5466.229796,7028.009738,7808.899709,4295.344693,6443.017039,7516.853212,9664.525558,10738.36173,-2693.487241,-3501.533414
81,3061.007733,4591.511599,5356.763533,6887.267399,7652.519332,4290.694462,6436.041693,7508.715309,9654.06254,10726.73616,-2706.48909,-3518.435817
82,2889.534858,4334.302288,5056.686002,6501.453431,7223.837146,4280.513261,6420.769891,7490.898206,9631.154837,10701.28315,-2733.653794,-3553.749932
83,2829.263028,4243.894542,4951.210299,6365.841813,7073.15757,4275.040467,6412.5607,7481.320817,9618.84105,10687.60117,-2747.831465,-3572.180904
84,2661.548831,3992.323246,4657.710454,5988.484869,6653.872077,4263.475964,6395.213946,7461.082936,9592.820918,10658.68991,-2777.413547,-3610.637612
85,2546.362286,3819.543429,4456.134001,5729.315144,6365.905715,4251.278458,6376.917687,7439.737302,9565.376531,10628.19615,-2808.677972,-3651.281363
86,2489.500782,3734.251173,4356.626369,5601.37676,6223.751955,4245.013247,6367.51987,7428.773181,9551.279805,10612.53312,-2824.958102,-3672.445532
87,2330.293869,3495.440804,4078.014271,5243.161205,5825.734673,4232.287543,6348.431315,7406.5032,9522.646972,10580.71886,-2858.847189,-3716.501345
88,2276.079303,3414.118955,3983.138781,5121.178432,5690.198258,4225.880136,6338.820205,7395.290239,9508.230307,10564.70034,-2876.468967,-3739.409658
89,2121.869719,3182.804579,3713.272009,4774.206868,5304.674298,4213.102617,6319.653925,7372.929579,9479.480887,10532.75654,-2913.098117,-3787.027553
90,2019.55723,3029.335846,3534.225153,4544.003768,5048.893076,4200.531286,6300.796929,7350.929751,9451.195394,10501.32822,-2951.614766,-3837.099196
91,1969.244487,2953.866731,3446.177853,4430.800097,4923.111219,4194.376984,6291.565475,7340.159721,9437.348213,10485.94246,-2971.59545,-3863.074086
92,1825.196072,2737.794109,3194.093127,4106.691163,4562.990181,4182.426546,6273.639819,7319.246456,9410.459729,10456.06637,-3013.029548,-3916.938412
93,1777.81629,2666.724436,3111.178508,4000.086654,4444.540726,4176.663606,6264.995408,7309.16131,9397.493113,10441.65901,-3034.49379,-3944.841926
94,1684.841098,2527.261647,2948.471922,3790.892471,4212.102746,4165.631121,6248.446682,7289.854462,9372.670023,10414.0778,-3078.942798,-4002.625637
95,1551.712032,2327.568048,2715.496056,3491.352072,3879.28008,4155.323566,6232.985349,7271.816241,9349.478024,10388.30892,-3125.45257,-4063.088341
96,1508.559918,2262.839878,2639.979857,3394.259816,3771.399796,4150.457939,6225.686908,7263.301393,9338.530362,10376.14485,-3149.4923,-4094.339989
97,1424.105364,2136.158046,2492.184386,3204.237068,3560.263409,4141.312764,6211.969146,7247.297337,9317.953718,10353.28191,-3199.16447,-4158.913811
98,1342.154918,2013.232377,2348.771107,3019.848566,3355.387295,4132.928261,6199.392391,7232.624457,9299.088587,10332.32065,-3250.989501,-4226.286352
99,1263.601228,1895.401842,2211.302149,2843.102764,3159.003071,4129.001612,6193.502418,7225.752821,9290.253627,10322.50403,-3277.719839,-4261.035791
100,1187.784148,1781.676221,2078.622258,2672.514332,2969.460369,4121.610146,6182.415219,7212.817756,9273.622829,10304.02537,-3332.83607,-4332.686891
101,1150.811943,1726.217914,2013.9209,2589.326871,2877.029857,4118.106426,6177.159639,7206.686246,9265.739459,10295.26607,-3361.229553,-4369.598418
102,1078.74683,1618.120245,1887.806953,2427.180368,2696.867075,4111.355696,6167.033543,7194.872467,9250.550315,10278.38924,-3419.705294,-4445.616882
103,976.0589509,1464.088426,1708.103164,2196.132639,2440.147377,4104.727259,6157.090889,7183.272704,9235.636334,10261.81815,-3480.455339,-4524.59194
104,943.3263726,1414.989559,1650.821152,2122.484338,2358.315931,4101.359117,6152.038676,7177.378455,9228.058014,10253.39779,-3511.691233,-4565.198602
105,879.6587114,1319.488067,1539.402745,1979.232101,2199.146778,4094.272328,6141.408492,7164.976574,9212.112738,10235.68082,-3575.899691,-4648.669599
106,848.71551,1273.073265,1485.252143,1909.609898,2121.788775,4090.440882,6135.661324,7158.271544,9203.491985,10226.10221,-3608.877853,-4691.541209
107,788.5830943,1182.874641,1380.020415,1774.311962,1971.457736,4081.878083,6122.817125,7143.286646,9184.225688,10204.69521,-3676.595098,-4779.573628
108,704.0759534,1056.11393,1232.132918,1584.170895,1760.189883,4071.614689,6107.422034,7125.325707,9161.133051,10179.03672,-3746.676197,-4870.679057
109,677.0174353,1015.526153,1184.780512,1523.28923,1692.543588,4065.634035,6098.451053,7114.859562,9147.67658,10164.08509,-3782.608709,-4917.391322
110,624.463448,936.695172,1092.811034,1405.042758,1561.15862,4051.494501,6077.241752,7090.115377,9115.862627,10128.73625,-3856.2676,-5013.14788
111,573.9136096,860.8704144,1004.348817,1291.305622,1434.784024,4033.728378,6050.592567,7059.024662,9075.888851,10084.32095,-3932.33012,-5112.029156
112,549.356166,824.0342491,961.3732906,1236.051374,1373.390415,4023.186785,6034.780177,7040.576873,9052.170266,10057.96696,-3971.2667,-5162.64671
113,501.598151,752.3972264,877.7967642,1128.59584,1253.995377,3998.121462,5997.182193,6996.712558,8995.773289,9995.303655,-4050.957331,-5266.24453
114,478.3628381,717.5442572,837.1349667,1076.316386,1195.907095,3983.307249,5974.960873,6970.787685,8962.44131,9958.268122,-4091.713739,-5319.227861
115,433.0837084,649.6255627,757.8964898,974.438344,1082.709271,3948.325418,5922.488127,6909.569482,8883.732191,9870.813545,-4175.053703,-5427.569813
116,389.2509169,583.8763754,681.1891047,875.8145631,973.1272924,3905.04759,5857.571385,6833.833282,8786.357077,9762.618974,-4260.835023,-5539.085529
117,352.8228445,529.2342667,617.4399778,793.8514001,882.0571112,3879.828288,5819.742432,6789.699504,8729.613648,9699.57072,-4304.642659,-5596.035457
118,312.4189065,468.6283597,546.7330863,702.9425396,781.0472662,3821.204597,5731.806895,6687.108045,8597.710343,9553.011492,-4394.093733,-5712.321853
119,292.5859467,438.87892,512.0254067,658.31838,731.4648667,3787.359878,5681.039817,6627.879787,8521.559726,9468.399695,-4439.737534,-5771.658795
120,253.5092321,380.2638481,443.6411562,570.3957722,633.7730802,3709.424109,5564.136163,6491.49219,8346.204244,9273.560272,-4532.861644,-5892.720138
121,215.0044489,322.5066734,376.2577856,483.7600101,537.5111223,3616.123216,5424.184823,6328.215627,8136.277235,9040.308039,-4628.432948,-6016.962832
122,195.8813598,293.8220397,342.7923796,440.7330595,489.7033995,3563.028867,5344.5433,6235.300517,8016.814951,8907.572167,-4677.135273,-6080.275855
123,157.7113493,236.5670239,275.9948613,354.8505359,394.2783732,3442.483538,5163.725308,6024.346192,7745.587961,8606.208846,-4776.370136,-6209.281177
124,138.5871952,207.8807928,242.5275916,311.8211892,346.467988,3374.407678,5061.611517,5905.213436,7592.417275,8436.019194,-4826.901045,-6274.971358
125,100.0565841,150.0848761,175.0990221,225.1273142,250.1414602,3220.990434,4831.485651,5636.73326,7247.228477,8052.476086,-4929.784811,-6408.720255
126,60.86013648,91.29020472,106.5052388,136.9353071,152.1503412,3042.183924,4563.275887,5323.821868,6844.91383,7605.459811,-5035.089716,-6545.616631
127,42.63116308,63.94674463,74.6045354,95.92011694,106.5779077,2942.319375,4413.479062,5149.058905,6620.218593,7355.798436,-5088.646581,-6615.240555
128,0.003499314,0.005248971,0.006123799,0.007873456,0.008748285,2719.661109,4079.491664,4759.406941,6119.237495,6799.152773,-5197.561015,-6756.829319
129,0,0,0,0,0,2463.580633,3695.370949,4311.266107,5543.056424,6158.951582,-5308.864108,-6901.52334
130,0,0,0,0,0,2321.880284,3482.820425,4063.290496,5224.230638,5804.700709,-5365.40633,-6975.028228
131,0,0,0,0,0,2008.765811,3013.148716,3515.340169,4519.723075,5021.914527,-5480.26089,-7124.339157
132,0,0,0,0,0,1836.34468,2754.51702,3213.60319,4131.775529,4590.861699,-5538.568361,-7200.138869
133,0,0,0,0,0,1457.129105,2185.693658,2549.975935,3278.540487,3642.822764,-5656.930582,-7354.009756
134,0,0,0,0,0,1028.349592,1542.524388,1799.611786,2313.786582,2570.87398,-5777.603584,-7510.884659
135,0,0,0,0,0,793.905407,1190.858111,1389.334462,1786.287166,1984.763518,-5838.799065,-7590.438784
136,0,0,0,0,0,281.8083899,422.7125849,493.1646823,634.0688773,704.5209748,-5962.891769,-7751.759299
137,0,0,0,0,0,2.857740863,4.286611295,5.001046511,6.429916942,7.144352158,-6025.782131,-7833.51677
138,0,0,0,0,0,0,0,0,0,0,-6153.23279,-7999.202628
139,0,0,0,0,0,0,0,0,0,0,-6282.884463,-8167.749801
140,0,0,0,0,0,0,0,0,0,0,-6348.525623,-8253.08331
141,0,0,0,0,0,0,0,0,0,0,-6481.417394,-8425.842612
142,0,0,0,0,0,0,0,0,0,0,-6616.425376,-8601.352989
143,0,0,0,0,0,0,0,0,0,0,-6684.711335,-8690.124735
144,0,0,0,0,0,0,0,0,0,0,-6822.822872,-8869.669733
145,0,0,0,0,0,0,0,0,0,0,-6892.638351,-8960.429856
146,0,0,0,0,0,0,0,0,0,0,-7033.762546,-9143.89131
147,0,0,0,0,0,0,0,0,0,0,-7176.841361,-9329.89377
148,0,0,0,0,0,0,0,0,0,0,-7249.099648,-9423.829542
149,0,0,0,0,0,0,0,0,0,0,-7395.02468,-9613.532084
150,0,0,0,0,0,0,0,0,0,0,-7468.679333,-9709.283133
151,0,0,0,0,0,0,0,0,0,0,-7617.341747,-9902.544271
152,0,0,0,0,0,0,0,0,0,0,-7767.765297,-10098.09489
153,0,0,0,0,0,0,0,0,0,0,-7843.620903,-10196.70717
154,0,0,0,0,0,0,0,0,0,0,-7996.585495,-10395.56114
155,0,0,0,0,0,0,0,0,0,0,-8073.680396,-10495.78451
156,0,0,0,0,0,0,0,0,0,0,-8229.059257,-10697.77703
157,0,0,0,0,0,0,0,0,0,0,-8385.97388,-10901.76604
158,0,0,0,0,0,0,0,0,0,0,-8464.988014,-11004.48442
159,0,0,0,0,0,0,0,0,0,0,-8624.090667,-11211.31787
160,0,0,0,0,0,0,0,0,0,0,-8784.572027,-11419.94363
