BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,,,,,,,,,,,,
#,Idle: 0.3,,,,,,,,,,,
#,H,H,H,H,H,D1,D1,D1,D1,D1,B1,B2
15,27.13648783,40.70473175,47.48885371,61.05709763,67.84121958,3.445314794,5.167972191,6.02930089,7.751958287,8.613286985,2.427676702,3.155979712
16,26.74687961,40.12031941,46.80703932,60.18047912,66.86719902,3.522830567,5.28424585,6.164953492,7.926368776,8.807076417,2.499385379,3.249200993
17,26.02558391,39.03837586,45.54477184,58.55756379,65.06395977,3.671087719,5.506631578,6.424403508,8.259947368,9.177719297,2.636799388,3.427839204
18,25.33294967,37.9994245,44.33266192,56.99913675,63.33237417,3.811773123,5.717659685,6.670602966,8.576489527,9.529432808,2.766460176,3.596398228
19,24.9824793,37.47371895,43.71933877,56.21057842,62.45619824,3.879773738,5.819660607,6.789604041,8.72949091,9.699434345,2.828476467,3.677019407
20,24.33134774,36.49702161,42.57985854,54.74553241,60.82836934,4.011973591,6.017960386,7.020953784,9.026940579,10.02993398,2.947065546,3.83118521
21,24.02849141,36.04273712,42.04985997,54.06410568,60.07122853,4.076489599,6.114734398,7.133856798,9.172101597,10.191224,3.003711527,3.904824985
22,23.41409127,35.1211369,40.97465972,52.68170535,58.53522817,4.203059697,6.304589546,7.35535447,9.456884319,10.50764924,3.111887629,4.045453918
23,22.82320732,34.23481098,39.9406128,51.35221646,57.05801829,4.327162076,6.490743114,7.572533633,9.736114671,10.81790519,3.213481588,4.177526065
24,22.52513759,33.78770638,39.41899078,50.68155958,56.31284397,4.388555135,6.582832703,7.679971487,9.874249054,10.97138784,3.261899029,4.240468738
25,21.9678831,32.95182465,38.44379542,49.42773697,54.91970774,4.510475454,6.765713181,7.893332044,10.14856977,11.27618863,3.354150357,4.360395464
26,21.68715156,32.53072734,37.95251523,48.796091,54.21787889,4.571155847,6.85673377,7.999522732,10.28510066,11.42788962,3.398053764,4.417469893
27,21.16050094,31.74075141,37.03087664,47.61112711,52.90125235,4.69227663,7.038414944,8.211484102,10.55762242,11.73069157,3.481588143,4.526064586
28,20.65226182,30.97839273,36.14145819,46.4675891,51.63065456,4.813411512,7.220117268,8.423470146,10.8301759,12.03352878,3.559652707,4.627548519
29,20.41316899,30.61975348,35.72304573,45.92963022,51.03292247,4.87408203,7.311123045,8.529643553,10.96668457,12.18520508,3.596717983,4.675733378
30,19.92993497,29.89490246,34.8773862,44.84235369,49.82483743,4.995765289,7.493647933,8.742589255,11.2404719,12.48941322,3.667080866,4.767205125
31,19.68624902,29.52937354,34.45093579,44.2940603,49.21562256,5.056813605,7.585220408,8.849423809,11.37783061,12.64203401,3.700444321,4.810577617
32,19.22615114,28.83922671,33.64576449,43.25884006,48.06537784,5.179369197,7.769053795,9.063896094,11.65358069,12.94842299,3.76369816,4.892807608
33,18.77981943,28.16972915,32.86468401,42.25459373,46.94954859,5.302535754,7.953803631,9.27943757,11.93070545,13.25633939,3.822535759,4.969296486
34,18.56904933,27.853574,32.49583633,41.780361,46.42262333,5.364329703,8.046494555,9.38757698,12.06974183,13.41082426,3.850378053,5.005491469
35,18.14134511,27.21201767,31.74735395,40.8180265,45.35336278,5.488263894,8.232395841,9.604461815,12.34859376,13.72065974,3.903066796,5.073986835
36,17.72483444,26.58725165,31.01846026,39.88087748,44.31208609,5.612514675,8.418772013,9.821900682,12.62815802,14.03128669,3.95196795,5.137558335
37,17.51261993,26.2689299,30.64708488,39.40339485,43.78154983,5.674691479,8.512037219,9.930710089,12.76805583,14.1867287,3.975074898,5.167597367
38,17.11070358,25.66605537,29.94373127,38.49908306,42.77675896,5.798986847,8.69848027,10.14822698,13.04772041,14.49746712,4.01875296,5.224378847
39,16.92136516,25.38204774,29.61238903,38.07307161,42.30341291,5.861033111,8.791549667,10.25680794,13.1873245,14.65258278,4.039383956,5.251199142
40,16.53247455,24.79871183,28.93183047,37.19806775,41.33118639,5.984725248,8.977087872,10.47326918,13.46563181,14.96181312,4.078377861,5.301891219
41,16.15091599,24.22637398,28.26410297,36.33956097,40.37728996,6.107598278,9.161397417,10.68829699,13.74209613,15.26899569,4.114542283,5.348904968
42,15.95283904,23.92925855,27.91746831,35.89388783,39.88209759,6.168614965,9.252922448,10.79507619,13.87938367,15.42153741,4.131635565,5.371126235
43,15.57984958,23.36977437,27.26473677,35.05466156,38.94962395,6.289573045,9.434359567,11.00675283,14.15153935,15.72393261,4.163986516,5.413182471
44,15.40632015,23.10948023,26.96106027,34.66422035,38.51580038,6.349417619,9.524126429,11.11148083,14.28618964,15.87354405,4.179300395,5.433090514
45,15.04164049,22.56246073,26.32287085,33.84369109,37.60410121,6.46759172,9.70138758,11.31828551,14.55208137,16.1689793,4.208343762,5.470846891
46,14.68101069,22.02151604,25.69176871,33.03227405,36.70252673,6.583414697,9.875122045,11.52097572,14.81268307,16.45853674,4.235457002,5.506094103
47,14.51495985,21.77243978,25.40117974,32.65865967,36.28739964,6.640320488,9.960480732,11.62056085,14.9407211,16.60080122,4.248357362,5.52286457
48,14.16030569,21.24045854,24.78053496,31.8606878,35.40076423,6.751875233,10.12781285,11.81578166,15.19171927,16.87968808,4.272978625,5.554872212
49,13.80811305,20.71216957,24.16419784,31.06825436,34.52028262,6.860100373,10.29015056,12.00517565,15.43522584,17.15025093,4.296202024,5.585062631
50,13.61643436,20.42465153,23.82876012,30.6369773,34.04108589,6.912847215,10.36927082,12.09748263,15.55390623,17.28211804,4.307354193,5.59956045
51,13.29999562,19.94999343,23.27499233,29.92499014,33.24998905,7.015384251,10.52307638,12.27692244,15.78461456,17.53846063,4.328866797,5.627526836
52,13.10871612,19.66307418,22.94025321,29.49461127,32.7717903,7.065088091,10.59763214,12.36390416,15.8964482,17.66272023,4.339277475,5.641060718
53,12.76042965,19.14064447,22.33075188,28.71096671,31.90107412,7.161161276,10.74174191,12.53203223,16.11261287,17.90290319,4.359531471,5.667390912
54,12.45355806,18.68033709,21.7937266,28.02050563,31.13389515,7.252533708,10.87880056,12.69193399,16.31820084,18.13133427,4.379191488,5.692948935
55,12.26051197,18.39076796,21.45589595,27.58615194,30.65127994,7.296368245,10.94455237,12.76864443,16.41682855,18.24092061,4.388858833,5.705516484
56,11.91418652,17.87127979,20.84982642,26.80691968,29.78546631,7.380172934,11.0702594,12.91530263,16.6053891,18.45043234,4.407986346,5.73038225
57,11.76460463,17.64690694,20.5880581,26.47036041,29.41151157,7.420084824,11.13012724,12.98514844,16.69519085,18.55021206,4.417493084,5.742741009
58,11.41943175,17.12914762,19.98400556,25.69372144,28.54857937,7.495798295,11.24369744,13.11764702,16.86554616,18.73949574,4.43650723,5.767459399
59,11.07341581,16.61012372,19.37847767,24.91518558,27.68353953,7.565885291,11.34882794,13.24029926,17.02324191,18.91471323,4.455672533,5.792374293
60,10.92765633,16.39148449,19.12339857,24.58722673,27.31914081,7.598772931,11.3981594,13.29785263,17.09723909,18.99693233,4.465367357,5.804977564
61,10.58222621,15.87333932,18.51889587,23.81000898,26.45556553,7.660165902,11.49024885,13.40529033,17.23537328,19.15041476,4.485090319,5.830617414
62,10.43854288,15.65781431,18.26745003,23.48672147,26.09635719,7.688650471,11.53297571,13.45513832,17.29946356,19.22162618,4.495161355,5.843709762
63,10.09358501,15.14037751,17.66377376,22.71056626,25.23396251,7.741162875,11.61174431,13.54703503,17.41761647,19.35290719,4.515828067,5.870576487
64,9.747407397,14.62111109,17.05796294,21.93166664,24.36851849,7.787719018,11.68157853,13.62850828,17.52236779,19.46929754,4.53733232,5.898532017
65,9.607513728,14.41127059,16.81314902,21.61690589,24.01878432,7.80876793,11.7131519,13.66534388,17.56972784,19.52191983,4.548449424,5.912984251
66,9.261905956,13.89285893,16.20833542,20.8392884,23.15476489,7.846438883,11.76965832,13.73126804,17.65448749,19.61609721,4.571513374,5.942967386
67,8.915207695,13.37281154,15.60161347,20.05921731,22.28801924,7.878279152,11.81741873,13.78698852,17.72612809,19.69569788,4.595814022,5.974558228
68,8.779439606,13.16915941,15.36401931,19.75373911,21.94859902,7.892049201,11.8380738,13.8110861,17.7571107,19.730123,4.608476137,5.991018979
69,8.43380591,12.65070887,14.75916034,18.9760633,21.08451478,7.91538372,11.87307558,13.85192151,17.80961337,19.7884593,4.634918004,6.025393405
70,8.300517333,12.450776,14.52590533,18.676164,20.75129333,7.924993302,11.88748995,13.86873828,17.83123493,19.81248325,4.648734686,6.043355092
71,7.956417502,11.93462625,13.92373063,17.90193938,19.89104375,7.940227518,11.91034128,13.89539816,17.86551191,19.85056879,4.67765016,6.080945209
72,7.695675656,11.54351348,13.4674324,17.31527023,19.23918914,7.950348721,11.92552308,13.91311026,17.88828462,19.8758718,4.708393248,6.120911222
73,7.483816991,11.22572549,13.09667974,16.83858823,18.70954248,7.953575123,11.93036268,13.91875647,17.89554403,19.88393781,4.724493586,6.141841662
74,7.228928552,10.84339283,12.65062497,16.26508924,18.07232138,7.956543714,11.93481557,13.9239515,17.90222336,19.89135928,4.758236724,6.185707742
75,7.102296525,10.65344479,12.42901892,15.98016718,17.75574131,7.956365289,11.93454793,13.92363926,17.9018219,19.89091322,4.775912785,6.20868662
76,6.76839135,10.15258702,11.84468486,15.22888054,16.92097837,7.952894634,11.92934195,13.91756561,17.89401293,19.88223659,4.812955317,6.256841912
77,6.435599054,9.65339858,11.26229834,14.48009787,16.08899763,7.945572997,11.91835949,13.90475274,17.87753924,19.86393249,4.852357626,6.308064914
78,6.315121194,9.47268179,11.05146209,14.20902269,15.78780298,7.940586149,11.91087922,13.89602576,17.86631883,19.85146537,4.872982547,6.334877311
79,5.986949544,8.980424316,10.4771617,13.47063647,14.96737386,7.928207271,11.89231091,13.87436273,17.83846636,19.82051818,4.916155615,6.391002299
80,5.754278879,8.631418318,10.06998804,12.94712748,14.3856972,7.912962185,11.86944328,13.84768382,17.80416492,19.78240546,4.961991228,6.450588597
81,5.639044168,8.458566252,9.868327294,12.68784938,14.09761042,7.904395446,11.85659317,13.83269203,17.78488975,19.76098861,4.985943471,6.481726512
82,5.323153717,7.984730576,9.315519005,11.97709586,13.30788429,7.885639451,11.82845918,13.79986904,17.74268877,19.71409863,5.035986783,6.546782818
83,5.212119854,7.818179782,9.121209745,11.72726967,13.03029964,7.875557371,11.81333606,13.7822254,17.72000408,19.68889343,5.062105146,6.580736689
84,4.903153707,7.35473056,8.580518987,11.03209584,12.25788427,7.854253032,11.78137955,13.74494281,17.67206932,19.63563258,5.116601797,6.651582336
85,4.690954957,7.036432436,8.209171175,10.55464865,11.72738739,7.831782566,11.74767385,13.70561949,17.62151077,19.57945641,5.174197688,6.726456995
86,4.58620366,6.879305489,8.025856404,10.31895823,11.46550915,7.820240679,11.73036102,13.68542119,17.59554153,19.5506017,5.20E+00,6.77E+00
87,4.292909786,6.439364679,7.512592126,9.659047019,10.73227447,7.796797156,11.69519573,13.64439502,17.5427936,19.49199289,5.27E+00,6.85E+00
88,4.193034726,6.289552089,7.337810771,9.434328134,10.48258682,7.784993315,11.67748997,13.6237383,17.51623496,19.46248329,5.30E+00,6.89E+00
89,3.908947023,5.863420535,6.840657291,8.795130803,9.772367558,7.761454335,11.6421815,13.58254509,17.46327225,19.40363584,5.37E+00,6.98E+00
90,3.720465094,5.580697641,6.510813914,8.371046461,9.301162734,7.738295202,11.6074428,13.5420166,17.4111642,19.345738,5.44E+00,7.07E+00
91,3.627778043,5.441667064,6.348611575,8.162500597,9.069445107,7.726957634,11.59043645,13.52217586,17.38565468,19.31739408,5.47E+00,7.12E+00
92,3.36240943,5.043614146,5.884216503,7.565421218,8.406023576,7.70494232,11.55741348,13.48364906,17.33612022,19.2623558,5.55E+00,7.22E+00
93,3.275125534,4.9126883,5.731469684,7.369032451,8.187813834,7.694325726,11.54148859,13.46507002,17.31223288,19.23581432,5.59E+00,7.27E+00
94,3.103844942,4.655767413,5.431728649,6.98365112,7.759612355,7.674001483,11.51100222,13.42950259,17.26650334,19.18500371,5.67E+00,7.37E+00
95,2.858592153,4.287888229,5.002536267,6.431832343,7.146480381,7.655012717,11.48251908,13.39627226,17.22377861,19.13753179,5.76E+00,7.49E+00
96,2.779096543,4.168644815,4.863418951,6.252967223,6.947741359,7.64604917,11.46907375,13.38058605,17.20361063,19.11512292,5.80E+00,7.54E+00
97,2.623512825,3.935269238,4.591147444,5.902903857,6.558782063,7.629201762,11.44380264,13.35110308,17.16570396,19.0730044,5.89E+00,7.66E+00
98,2.472542223,3.708813334,4.32694889,5.563220001,6.181355557,7.613755678,11.42063352,13.32407244,17.13095028,19.03438919,5.99E+00,7.79E+00
99,2.327829185,3.491743778,4.073701074,5.237615667,5.819572963,7.606521934,11.4097829,13.31141338,17.11467435,19.01630483,6.04E+00,7.85E+00
100,2.188157579,3.282236369,3.829275764,4.923354553,5.470393948,7.592905241,11.38935786,13.28758417,17.08403679,18.9822631,6.14E+00,7.98E+00
101,2.12004671,3.180070065,3.710081743,4.770105098,5.300116775,7.586450624,11.37967594,13.27628859,17.0695139,18.96612656,6.19E+00,8.05E+00
102,1.987287048,2.980930572,3.477752334,4.471395858,4.968217619,7.574014305,11.36102146,13.25452503,17.04153219,18.93503576,6.30E+00,8.19E+00
103,1.798113567,2.697170351,3.146698743,4.045755527,4.495283919,7.56180328,11.34270492,13.23315574,17.01405738,18.9045082,6.41E+00,8.34E+00
104,1.737813016,2.606719524,3.041172778,3.910079286,4.34453254,7.555598427,11.33339764,13.22229725,17.00009646,18.88899607,6.47E+00,8.41E+00
105,1.620523291,2.430784937,2.83591576,3.646177406,4.051308228,7.542543015,11.31381452,13.19945028,16.97072178,18.85635754,6.59E+00,8.56E+00
106,1.563519163,2.345278744,2.736158534,3.517918116,3.908797906,7.535484656,11.30322698,13.18709815,16.95484048,18.83871164,6.65E+00,8.64E+00
107,1.452742132,2.179113198,2.54229873,3.268669796,3.631855329,7.519710112,11.27956517,13.1594927,16.91934775,18.79927528,6.77E+00,8.81E+00
108,1.297061538,1.945592307,2.269857692,2.918388461,3.242653846,7.5008027,11.25120405,13.12640473,16.87680608,18.75200675,6.90E+00,8.97E+00
109,1.247213844,1.870820766,2.182624227,2.806231149,3.118034609,7.489785031,11.23467755,13.1071238,16.85201632,18.72446258,6.97E+00,9.06E+00
110,1.150397932,1.725596897,2.01319638,2.588395346,2.875994829,7.463736923,11.19560538,13.06153962,16.79340808,18.65934231,7.10E+00,9.24E+00
111,1.057274099,1.585911149,1.850229673,2.378866723,2.643185248,7.431007848,11.14651177,13.00426373,16.71976766,18.57751962,7.24E+00,9.42E+00
112,1.01203393,1.518050894,1.771059377,2.277076341,2.530084824,7.411587933,11.1173819,12.97027888,16.67607285,18.52896983,7.32E+00,9.51E+00
113,0.924053245,1.386079867,1.617093178,2.079119801,2.310133112,7.365412139,11.04811821,12.88947124,16.57217731,18.41353035,7.46E+00,9.70E+00
114,0.881248728,1.321873093,1.542185275,1.982809639,2.203121821,7.338121126,11.00718169,12.84171197,16.51077253,18.34530281,7.54E+00,9.80E+00
115,0.797834692,1.196752037,1.39621071,1.795128056,1.994586729,7.27367696,10.91051544,12.72893468,16.36577316,18.1841924,7.69E+00,1.00E+01
116,0.717085125,1.075627688,1.254898969,1.613441531,1.792712813,7.193949757,10.79092464,12.58941207,16.18638695,17.98487439,7.85E+00,1.02E+01
117,0.649976667,0.974965,1.137459167,1.4624475,1.624941667,7.147490301,10.72123545,12.50810803,16.08185318,17.86872575,7.93E+00,1.03E+01
118,0.575543797,0.863315695,1.007201644,1.294973543,1.438859492,7.03949267,10.559239,12.31911217,15.83885851,17.59873167,8.09E+00,1.05E+01
119,0.539007157,0.808510736,0.943262525,1.212766104,1.347517893,6.977143312,10.46571497,12.2100008,15.69857245,17.44285828,8.18E+00,1.06E+01
120,0.467019322,0.700528983,0.817283814,1.050793475,1.167548306,6.833568619,10.25035293,11.95874508,15.37552939,17.08392155,8.35E+00,1.09E+01
121,0.39608511,0.594127665,0.693148942,0.891191497,0.990212774,6.661688015,9.992532023,11.65795403,14.98879803,16.65422004,8.53E+00,1.11E+01
122,0.360856207,0.54128431,0.631498362,0.811926465,0.902140517,6.56387664,9.84581496,11.48678412,14.76872244,16.4096916,8.62E+00,1.12E+01
123,0.290538719,0.435808078,0.508442758,0.653712117,0.726346797,6.341805841,9.512708762,11.09816022,14.26906314,15.8545146,8.80E+00,1.14E+01
124,0.255307854,0.382961781,0.446788744,0.574442671,0.638269635,6.216395251,9.324592877,10.87869169,13.98688932,15.54098813,8.89E+00,1.16E+01
125,0.184326061,0.276489091,0.322570606,0.414733636,0.460815152,5.933767213,8.900650819,10.38409262,13.35097623,14.83441803,9.08E+00,1.18E+01
126,0.112117651,0.168176477,0.19620589,0.252264715,0.280294128,5.604366605,8.406549908,9.80764156,12.60982486,14.01091651,9.28E+00,1.21E+01
127,0.078535905,0.117803857,0.137437833,0.176705786,0.196339762,5.420394314,8.130591471,9.485690049,12.19588721,13.55098578,9.37E+00,1.22E+01
128,6.45E-06,9.67E-06,1.13E-05,1.45E-05,1.61E-05,5.010209204,7.515313806,8.767866107,11.27297071,12.52552301,9.58E+00,1.24E+01
129,0,0,0,0,0,4.538453089,6.807679633,7.942292905,10.21151945,11.34613272,9.780086102,12.71411193
130,0,0,0,0,0,4.277410126,6.416115189,7.48546772,9.624172783,10.69352531,9.884249212,12.84952398
131,0,0,0,0,0,3.700584944,5.550877417,6.476023653,8.326316125,9.251462361,10.09583637,13.12458729
132,0,0,0,0,0,3.382947598,5.074421397,5.920158296,7.611632095,8.457368994,10.20325146,13.2642269
133,0,0,0,0,0,2.684349764,4.026524646,4.697612086,6.039786968,6.710874409,10.4213005,13.54769064
134,0,0,0,0,0,1.894444338,2.841666507,3.315277592,4.262499761,4.736110846,10.6436065,13.83668845
135,0,0,0,0,0,1.462546993,2.19382049,2.559457238,3.290730734,3.656367483,10.75634193,13.9832445
136,0,0,0,0,0,0.519152546,0.778728819,0.908516955,1.168093228,1.297881365,10.98494776,14.28043209
137,0,0,0,0,0,0.005264582,0.007896873,0.009213019,0.01184531,0.013161456,11.10080553,14.43104719
138,0,0,0,0,0,0,0,0,0,0,11.33559746,14.7362767
139,0,0,0,0,0,0,0,0,0,0,11.57444413,15.04677737
140,0,0,0,0,0,0,0,0,0,0,11.69536947,15.20398031
141,0,0,0,0,0,0,0,0,0,0,11.94018511,15.52224064
142,0,0,0,0,0,0,0,0,0,0,12.18889927,15.84556906
143,0,0,0,0,0,0,0,0,0,0,12.31469691,16.00910598
144,0,0,0,0,0,0,0,0,0,0,12.5691285,16.33986705
145,0,0,0,0,0,0,0,0,0,0,12.69774384,16.507067
146,0,0,0,0,0,0,0,0,0,0,12.95772541,16.84504303
147,0,0,0,0,0,0,0,0,0,0,13.2213078,17.18770014
148,0,0,0,0,0,0,0,0,0,0,13.35442333,17.36075033
149,0,0,0,0,0,0,0,0,0,0,13.62324908,17.71022381
150,0,0,0,0,0,0,0,0,0,0,13.75893703,17.88661813
151,0,0,0,0,0,0,0,0,0,0,14.03280563,18.24264732
152,0,0,0,0,0,0,0,0,0,0,14.30991863,18.60289423
153,0,0,0,0,0,0,0,0,0,0,14.44966121,18.78455958
154,0,0,0,0,0,0,0,0,0,0,14.73145537,19.15089198
155,0,0,0,0,0,0,0,0,0,0,14.873481,19.3355253
156,0,0,0,0,0,0,0,0,0,0,15.15972277,19.7076396
157,0,0,0,0,0,0,0,0,0,0,15.44879374,20.08343186
158,0,0,0,0,0,0,0,0,0,0,15.59435502,20.27266152
159,0,0,0,0,0,0,0,0,0,0,15.88745682,20.65369387
160,0,0,0,0,0,0,0,0,0,0,16.1830985,21.03802805
