BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,•Ï1,•Ï1,•Ï1,•Ï1,•Ï1,•Ï1,•Ï1,•Ï1,•Ï2,•Ï2,•Ï2,•Ï2,•Ï2,•Ï2,•Ï2,•Ï2,•Ï3,•Ï3,•Ï3,•Ï3,•Ï3,•Ï3,•Ï3,•Ï3,’¼1,’¼1,’¼1,’¼1,’¼1,’¼1,’¼1,’¼1,’¼2,’¼2,’¼2,’¼2,’¼2,’¼2,’¼2,’¼2,’¼3,’¼3,’¼3,’¼3,’¼3,’¼3,’¼3,’¼3,B1,B2,B3
8,17.31678097,34.63356195,43.29195244,51.95034292,60.60873341,69.2671239,77.92551439,86.58390487,11.78152161,23.56304323,29.45380404,35.34456484,41.23532565,47.12608646,53.01684726,58.90760807,9.451389466,18.90277893,23.62847366,28.3541684,33.07986313,37.80555786,42.5312526,47.25694733,4.683285797,9.366571595,11.70821449,14.04985739,16.39150029,18.73314319,21.07478609,23.41642899,2.631926317,5.263852635,6.579815793,7.895778952,9.211742111,10.52770527,11.84366843,13.15963159,1.768204313,3.536408626,4.420510783,5.304612939,6.188715096,7.072817252,7.956919409,8.841021565,-3.652773573,-1.347410973,-0.712702409
9,16.86014343,33.72028685,42.15035856,50.58043028,59.01050199,67.4405737,75.87064542,84.30071713,11.6465796,23.2931592,29.116449,34.9397388,40.7630286,46.5863184,52.4096082,58.232898,9.35342101,18.70684202,23.38355252,28.06026303,32.73697353,37.41368404,42.09039454,46.76710505,4.784608219,9.569216438,11.96152055,14.35382466,16.74612877,19.13843288,21.53073699,23.92304109,2.737644591,5.475289182,6.844111477,8.212933773,9.581756068,10.95057836,12.31940066,13.68822295,1.898507388,3.797014776,4.74626847,5.695522164,6.644775858,7.594029552,8.543283246,9.49253694,-4.324237302,-1.533816516,-0.844057685
10,16.39891355,32.7978271,40.99728387,49.19674065,57.39619742,65.59565419,73.79511097,81.99456774,11.5087114,23.0174228,28.7717785,34.5261342,40.2804899,46.0348456,51.7892013,57.54355701,9.25216503,18.50433006,23.13041258,27.75649509,32.38257761,37.00866012,41.63474264,46.26082515,4.850401014,9.700802028,12.12600254,14.55120304,16.97640355,19.40160406,21.82680456,24.25200507,2.824366472,5.648732945,7.060916181,8.473099417,9.885282654,11.29746589,12.70964913,14.12183236,2.007762766,4.015525531,5.019406914,6.023288297,7.02716968,8.031051062,9.034932445,10.03881383,-5.016784571,-1.72655129,-0.981422423
11,15.93676328,31.87352656,39.8419082,47.81028984,55.77867148,63.74705311,71.71543475,79.68381639,11.29734575,22.5946915,28.24336437,33.89203724,39.54071012,45.18938299,50.83805586,56.48672874,9.148062481,18.29612496,22.8701562,27.44418744,32.01821868,36.59224993,41.16628117,45.74031241,4.899038663,9.798077325,12.24759666,14.69711599,17.14663532,19.59615465,22.04567398,24.49519331,2.92480203,5.849604061,7.312005076,8.774406091,10.23680711,11.69920812,13.16160914,14.62401015,2.098602993,4.197205986,5.246507483,6.295808979,7.345110476,8.394411973,9.443713469,10.49301497,-5.724875764,-2.026376776,-1.124362556
12,15.59155038,31.18310077,38.97887596,46.77465115,54.57042634,62.36620153,70.16197673,77.95775192,11.15396155,22.3079231,27.88490388,33.46188466,39.03886543,44.61584621,50.19282699,55.76980776,9.041497505,18.08299501,22.60374376,27.12449251,31.64524127,36.16599002,40.68673877,45.20748752,4.9330685,9.866136999,12.33267125,14.7992055,17.26573975,19.732274,22.19880825,24.6653425,2.975606784,5.951213568,7.43901696,8.926820352,10.41462374,11.90242714,13.39023053,14.87803392,2.173462729,4.346925459,5.433656823,6.520388188,7.607119553,8.693850917,9.780582282,10.86731365,-6.262989022,-2.232667208,-1.272453797
13,15.13554442,30.27108884,37.83886105,45.40663326,52.97440548,60.54217769,68.1099499,75.67772211,10.93607871,21.87215742,27.34019677,32.80823612,38.27627548,43.74431483,49.21235419,54.68039354,8.932817003,17.86563401,22.33204251,26.79845101,31.26485951,35.73126801,40.19767651,44.66408501,4.984246921,9.968493843,12.4606173,14.95274076,17.44486422,19.93698769,22.42911115,24.92123461,3.033116077,6.066232155,7.582790193,9.099348232,10.61590627,12.13246431,13.64902235,15.16558039,2.234587292,4.469174584,5.58646823,6.703761875,7.821055521,8.938349167,10.05564281,11.17293646,-6.985894182,-2.550479965,-1.425281642
14,14.68689561,29.37379122,36.71723903,44.06068684,51.40413464,58.74758245,66.09103025,73.43447806,10.78944512,21.57889024,26.9736128,32.36833536,37.76305792,43.15778048,48.55250304,53.9472256,8.822341142,17.64468228,22.05585285,26.46702342,30.878194,35.28936457,39.70053514,44.11170571,5.049710218,10.09942044,12.62427555,15.14913065,17.67398576,20.19884087,22.72369598,25.24855109,3.061852233,6.123704467,7.654630583,9.1855567,10.71648282,12.24740893,13.77833505,15.30926117,2.284041036,4.568082072,5.710102589,6.852123107,7.994143625,9.136164143,10.27818466,11.42020518,-7.710723839,-2.767243426,-1.582441363
15,14.24799008,28.49598017,35.61997521,42.74397025,49.86796529,56.99196033,64.11595538,71.23995042,10.64208075,21.28416149,26.60520186,31.92624224,37.24728261,42.56832298,47.88936335,53.21040373,8.710369329,17.42073866,21.77592332,26.13110799,30.48629265,34.84147731,39.19666198,43.55184664,5.135198233,10.27039647,12.83799558,15.4055947,17.97319381,20.54079293,23.10839205,25.67599116,3.084948343,6.169896686,7.712370857,9.254845029,10.7973192,12.33979337,13.88226754,15.42474171,2.323715565,4.647431129,5.809288912,6.971146694,8.133004476,9.294862259,10.45672004,11.61857782,-8.433112572,-2.987376796,-1.743538013
16,13.92645968,27.85291936,34.8161492,41.77937904,48.74260888,55.70583872,62.66906856,69.6322984,10.4203184,20.8406368,26.050796,31.2609552,36.47111439,41.68127359,46.89143279,52.10159199,8.653911237,17.30782247,21.63477809,25.96173371,30.28868933,34.61564495,38.94260057,43.26955619,5.214533746,10.42906749,13.03633437,15.64360124,18.25086811,20.85813499,23.46540186,26.07266873,3.11236454,6.22472908,7.78091135,9.33709362,10.89327589,12.44945816,14.00564043,15.5618227,2.340431495,4.68086299,5.851078738,7.021294486,8.191510233,9.361725981,10.53194173,11.70215748,-8.970852781,-3.322915816,-1.825441941
17,13.50938738,27.01877477,33.77346846,40.52816215,47.28285584,54.03754953,60.79224322,67.54693692,10.27241159,20.54482317,25.68102897,30.81723476,35.95344055,41.08964634,46.22585214,51.36205793,8.540219913,17.08043983,21.35054978,25.62065974,29.89076969,34.16087965,38.43098961,42.70109956,5.341802874,10.68360575,13.35450718,16.02540862,18.69631006,21.3672115,24.03811293,26.70901437,3.127783391,6.255566781,7.819458476,9.383350172,10.94724187,12.51113356,14.07502526,15.63891695,2.368625813,4.737251626,5.921564533,7.105877439,8.290190346,9.474503252,10.65881616,11.84312907,-9.679407407,-3.549535279,-1.991724855
18,13.10698864,26.21397728,32.7674716,39.32096592,45.87446024,52.42795456,58.98144888,65.5349432,10.05111504,20.10223008,25.12778761,30.15334513,35.17890265,40.20446017,45.23001769,50.25557521,8.425710579,16.85142116,21.06427645,25.27713174,29.48998703,33.70284232,37.91569761,42.12855289,5.493473956,10.98694791,13.73368489,16.48042187,19.22715885,21.97389583,24.7206328,27.46736978,3.149500785,6.29900157,7.873751963,9.448502355,11.02325275,12.59800314,14.17275353,15.74750393,2.391066497,4.782132995,5.977666244,7.173199492,8.368732741,9.56426599,10.75979924,11.95533249,-10.37513072,-3.892809448,-2.161000121
19,12.72048072,25.44096144,31.8012018,38.16144216,44.52168252,50.88192288,57.24216324,63.6024036,9.904320396,19.80864079,24.76080099,29.71296119,34.66512138,39.61728158,44.56944178,49.52160198,8.310630558,16.62126112,20.77657639,24.93189167,29.08720695,33.24252223,37.39783751,41.55315279,5.667999489,11.33599898,14.16999872,17.00399847,19.83799821,22.67199796,25.5059977,28.33999745,3.164454203,6.328908405,7.911135507,9.493362608,11.07558971,12.65781681,14.24004391,15.82227101,2.409102748,4.818205496,6.02275687,7.227308244,8.431859618,9.636410992,10.84096237,12.04551374,-11.0548315,-4.123302008,-2.332907021
20,12.44159205,24.8831841,31.10398013,37.32477615,43.54557218,49.7663682,55.98716423,62.20796025,9.758385521,19.51677104,24.3959638,29.27515656,34.15434932,39.03354208,43.91273484,48.7919276,8.195214945,16.39042989,20.48803736,24.58564483,28.68325231,32.78085978,36.87846725,40.97607472,5.812284557,11.62456911,14.53071139,17.43685367,20.34299595,23.24913823,26.15528051,29.06142278,3.180744764,6.361489527,7.951861909,9.542234291,11.13260667,12.72297905,14.31335144,15.90372382,2.423945877,4.847891753,6.059864692,7.27183763,8.483810568,9.695783507,10.90775644,12.11972938,-11.55234916,-4.354656002,-2.507094618
21,12.08492789,24.16985578,30.21231972,36.25478366,42.29724761,48.33971155,54.38217549,60.42463944,9.541566325,19.08313265,23.85391581,28.62469898,33.39548214,38.1662653,42.93704846,47.70783163,8.079687161,16.15937432,20.1992179,24.23906148,28.27890506,32.31874864,36.35859222,40.3984358,6.019674039,12.03934808,15.0491851,18.05902212,21.06885914,24.07869616,27.08853318,30.0983702,3.209143513,6.418287025,8.022858782,9.627430538,11.23200229,12.83657405,14.44114581,16.04571756,2.436676593,4.873353186,6.091691482,7.310029779,8.528368075,9.746706372,10.96504467,12.18338296,-12.19727341,-4.702486937,-2.683221755
22,11.74597904,23.49195808,29.3649476,35.23793712,41.11092664,46.98391617,52.85690569,58.72989521,9.398701434,18.79740287,23.49675359,28.1961043,32.89545502,37.59480574,42.29415645,46.99350717,7.964259352,15.9285187,19.91064838,23.89277806,27.87490773,31.85703741,35.83916708,39.82129676,6.240374577,12.48074915,15.60093644,18.72112373,21.84131102,24.96149831,28.08168559,31.20187288,3.231501055,6.46300211,8.078752638,9.694503166,11.31025369,12.92600422,14.54175475,16.15750528,2.44825212,4.89650424,6.1206303,7.34475636,8.56888242,9.79300848,11.01713454,12.2412606,-12.81901378,-4.934384578,-2.860957056
23,11.39371246,22.78742491,28.48428114,34.18113737,39.8779936,45.57484982,51.27170605,56.96856228,9.187386909,18.37477382,22.96846727,27.56216073,32.15585418,36.74954764,41.34324109,45.93693455,7.849132684,15.69826537,19.62283171,23.54739805,27.4719644,31.39653074,35.32109708,39.24566342,6.469761955,12.93952391,16.17440489,19.40928587,22.64416684,25.87904782,29.1139288,32.34880978,3.271189493,6.542378987,8.177973733,9.81356848,11.44916323,13.08475797,14.72035272,16.35594747,2.459513143,4.919026287,6.148782858,7.37853943,8.608296002,9.838052573,11.06780915,12.29756572,-13.41555323,-5.281389218,-3.039978922
24,11.16512645,22.3302529,27.91281613,33.49537935,39.07794258,44.6605058,50.24306903,55.82563225,9.048744684,18.09748937,22.62186171,27.14623405,31.67060639,36.19497874,40.71935108,45.24372342,7.791742199,15.5834844,19.4793555,23.3752266,27.2710977,31.1669688,35.0628399,38.958711,6.644572338,13.28914468,16.61143084,19.93371701,23.25600318,26.57828935,29.90057552,33.22286169,3.302166815,6.604333629,8.255417037,9.906500444,11.55758385,13.20866726,14.85975067,16.51083407,2.465258236,4.930516473,6.163145591,7.395774709,8.628403827,9.861032945,11.09366206,12.32629118,-13.84538293,-5.511687143,-3.129874493
25,10.87547553,21.75095105,27.18868881,32.62642658,38.06416434,43.5019021,48.93963987,54.37737763,8.912069645,17.82413929,22.28017411,26.73620894,31.19224376,35.64827858,40.1043134,44.56034823,7.67742097,15.35484194,19.19355243,23.03226291,26.8709734,30.70968388,34.54839437,38.38710485,6.877381315,13.75476263,17.19345329,20.63214395,24.0708346,27.50952526,30.94821592,34.38690658,3.336977881,6.673955762,8.342444703,10.01093364,11.67942258,13.34791152,15.01640046,16.68488941,2.477385505,4.954771011,6.193463763,7.432156516,8.670849269,9.909542021,11.14823477,12.38692753,-14.3939091,-5.740788872,-3.310244608
26,10.60250937,21.20501873,26.50627341,31.8075281,37.10878278,42.41003746,47.71129215,53.01254683,8.711048705,17.42209741,21.77762176,26.13314611,30.48867047,34.84419482,39.19971917,43.55524352,7.563857171,15.12771434,18.90964293,22.69157151,26.4735001,30.25542868,34.03735727,37.81928585,7.105429467,14.21085893,17.76357367,21.3162884,24.86900313,28.42171787,31.9744326,35.52714733,3.396577822,6.793155645,8.491444556,10.18973347,11.88802238,13.58631129,15.2846002,16.98288911,2.490834209,4.981668418,6.227085522,7.472502627,8.717919731,9.963336836,11.20875394,12.45417104,-14.91330205,-6.081547731,-3.491140082
27,10.31719722,20.63439443,25.79299304,30.95159165,36.11019025,41.26878886,46.42738747,51.58598608,8.579877663,17.15975533,21.44969416,25.73963299,30.02957182,34.31951065,38.60944948,42.89938832,7.451215093,14.90243019,18.62803773,22.35364528,26.07925283,29.80486037,33.53046792,37.25607547,7.324089856,14.64817971,18.31022464,21.97226957,25.6343145,29.29635942,32.95840435,36.62044928,3.441247235,6.88249447,8.603118088,10.32374171,12.04436532,13.76498894,15.48561256,17.20623618,2.506089437,5.012178873,6.265223592,7.51826831,8.771313029,10.02435775,11.27740247,12.53044718,-15.40271893,-6.30637778,-3.67227355
28,10.13442683,20.26885365,25.33606707,30.40328048,35.47049389,40.53770731,45.60492072,50.67213413,8.387659052,16.7753181,20.96914763,25.16297716,29.35680668,33.55063621,37.74446573,41.93829526,7.339648816,14.67929763,18.34912204,22.01894645,25.68877086,29.35859526,33.02841967,36.69824408,7.479348216,14.95869643,18.69837054,22.43804465,26.17771876,29.91739286,33.65706697,37.39674108,3.515482299,7.030964598,8.788705747,10.5464469,12.30418805,14.0619292,15.81967035,17.57741149,2.523548924,5.047097849,6.308872311,7.570646773,8.832421235,10.0941957,11.35597016,12.61774462,-15.74977936,-6.639439576,-3.853367423
29,9.90238936,19.80477872,24.7559734,29.70716808,34.65836276,39.60955744,44.56075212,49.5119468,8.262676181,16.52535236,20.65669045,24.78802854,28.91936663,33.05070472,37.18204281,41.3133809,7.229302317,14.45860463,18.07325579,21.68790695,25.30255811,28.91720927,32.53186043,36.14651159,7.671635705,15.34327141,19.17908926,23.01490711,26.85072497,30.68654282,34.52236067,38.35817852,3.569590547,7.139181094,8.923976367,10.70877164,12.49356691,14.27836219,16.06315746,17.84795273,2.543529076,5.087058152,6.35882269,7.630587228,8.902351766,10.1741163,11.44588084,12.71764538,-16.18565187,-6.858324215,-4.034153893
30,9.65589466,19.31178932,24.13973665,28.96768398,33.79563131,38.62357864,43.45152597,48.2794733,8.140317978,16.28063596,20.35079495,24.42095393,28.49111292,32.56127191,36.6314309,40.70158989,7.120309581,14.24061916,17.80077395,21.36092874,24.92108353,28.48123833,32.04139312,35.60154791,7.84407406,15.68814812,19.61018515,23.53222218,27.45425921,31.37629624,35.29833327,39.2203703,3.627167805,7.254335611,9.067919514,10.88150342,12.69508732,14.50867122,16.32225512,18.13583903,2.566270819,5.132541638,6.415677047,7.698812457,8.981947866,10.26508328,11.54821868,12.83135409,-16.59084504,-7.074405878,-4.214374933
31,9.445979606,18.89195921,23.61494902,28.33793882,33.06092862,37.78391843,42.50690823,47.22989803,7.961846542,15.92369308,19.90461636,23.88553963,27.8664629,31.84738617,35.82830944,39.80923271,7.012794698,14.0255894,17.53198675,21.0383841,24.54478144,28.05117879,31.55757614,35.06397349,7.993970961,15.98794192,19.9849274,23.98191288,27.97889836,31.97588384,35.97286932,39.9698548,3.719501292,7.439002583,9.298753229,11.15850387,13.01825452,14.87800517,16.73775581,18.59750646,2.591945289,5.183890578,6.479863222,7.775835867,9.071808511,10.36778116,11.6637538,12.95972644,-16.96569023,-7.392786294,-4.393782294
32,9.268509434,18.53701887,23.17127358,27.8055283,32.43978302,37.07403774,41.70829245,46.34254717,7.846320035,15.69264007,19.61580009,23.5389601,27.46212012,31.38528014,35.30844016,39.23160017,6.959627548,13.9192551,17.39906887,20.87888265,24.35869642,27.83851019,31.31832397,34.79813774,8.090373756,16.18074751,20.22593439,24.27112127,28.31630815,32.36149503,36.4066819,40.45186878,3.784619846,7.569239693,9.461549616,11.35385954,13.24616946,15.13847939,17.03078931,18.92309923,2.605918054,5.211836109,6.514795136,7.817754163,9.12071319,10.42367222,11.72663124,13.02959027,-17.22728419,-7.600908068,-4.483105942
33,9.070609481,18.14121896,22.6765237,27.21182844,31.74713318,36.28243792,40.81774266,45.3530474,7.678308062,15.35661612,19.19577015,23.03492419,26.87407822,30.71323225,34.55238628,38.39154031,6.854540707,13.70908141,17.13635177,20.56362212,23.99089248,27.41816283,30.84543318,34.27270354,8.196464873,16.39292975,20.49116218,24.58939462,28.68762706,32.78585949,36.88409193,40.98232437,3.886839307,7.773678613,9.717098266,11.66051792,13.60393757,15.54735723,17.49077688,19.43419653,2.636173363,5.272346727,6.590433409,7.90852009,9.226606772,10.54469345,11.86278014,13.18086682,-17.55075957,-7.906411333,-4.660848715
34,8.851612943,17.70322589,22.12903236,26.55483883,30.9806453,35.40645177,39.83225824,44.25806471,7.569853723,15.13970745,18.92463431,22.70956117,26.49448803,30.27941489,34.06434175,37.84926861,6.751199282,13.50239856,16.87799821,20.25359785,23.62919749,27.00479713,30.38039677,33.75599641,8.276304235,16.55260847,20.69076059,24.82891271,28.96706482,33.10521694,37.24336906,41.38152118,3.957503105,7.91500621,9.893757762,11.87250931,13.85126087,15.83001242,17.80876397,19.78751552,2.669519698,5.339039396,6.673799245,8.008559094,9.343318943,10.67807879,12.01283864,13.34759849,-17.84641274,-8.10536912,-4.837199977
35,8.633473229,17.26694646,21.58368307,25.90041969,30.2171563,34.53389291,38.85062953,43.16736614,7.464255434,14.92851087,18.66063859,22.3927663,26.12489402,29.85702174,33.58914945,37.32127717,6.649693473,13.29938695,16.62423368,19.94908042,23.27392715,26.59877389,29.92362063,33.24846736,8.329934818,16.65986964,20.82483704,24.98980445,29.15477186,33.31973927,37.48470668,41.64967409,4.029749778,8.059499557,10.07437445,12.08924934,14.10412422,16.11899911,18.133874,20.14874889,2.705926271,5.411852541,6.764815676,8.117778812,9.470741947,10.82370508,12.17666822,13.52963135,-18.11574926,-8.300367998,-5.011945709
36,8.485524935,16.97104987,21.21381234,25.4565748,29.69933727,33.94209974,38.18486221,42.42762467,7.291268654,14.58253731,18.22817164,21.87380596,25.51944029,29.16507462,32.81070894,36.45634327,6.550103997,13.10020799,16.37525999,19.65031199,22.92536399,26.20041599,29.47546799,32.75051999,8.353391078,16.70678216,20.8834777,25.06017323,29.23686877,33.41356431,37.59025985,41.76695539,4.140246011,8.280492021,10.35061503,12.42073803,14.49086104,16.56098404,18.63110705,20.70123005,2.745316007,5.490632014,6.863290018,8.235948021,9.608606025,10.98126403,12.35392203,13.72658004,-18.30156362,-8.585121232,-5.184881674
37,8.259987801,16.5199756,20.6499695,24.7799634,28.9099573,33.0399512,37.16994511,41.29993901,7.193048034,14.38609607,17.98262008,21.5791441,25.17566812,28.77219213,32.36871615,35.96524017,6.452502175,12.90500435,16.13125544,19.35750653,22.58375761,25.8100087,29.03625979,32.26251088,8.363399098,16.7267982,20.90849774,25.09019729,29.27189684,33.45359639,37.63529594,41.81699549,4.214754686,8.429509372,10.53688672,12.64426406,14.7516414,16.85901874,18.96639609,21.07377343,2.787570306,5.575140612,6.968925765,8.362710918,9.756496071,11.15028122,12.54406638,13.93785153,-18.52941054,-8.76959913,-5.355813413
38,8.025076269,16.05015254,20.06269067,24.07522881,28.08776694,32.10030507,36.11284321,40.12538134,7.050943895,14.10188779,17.62735974,21.15283168,24.67830363,28.20377558,31.72924753,35.25471947,6.356950014,12.71390003,15.89237503,19.07085004,22.24932505,25.42780005,28.60627506,31.78475007,8.350878096,16.70175619,20.87719524,25.05263429,29.22807334,33.40351238,37.57895143,41.75439048,4.326794202,8.653588404,10.81698551,12.98038261,15.14377971,17.30717681,19.47057391,21.63397101,2.83253363,5.66506726,7.081334075,8.49760089,9.913867704,11.33013452,12.74640133,14.16266815,-18.73669562,-9.037985803,-5.524556248
39,7.776432352,15.5528647,19.44108088,23.32929705,27.21751323,31.10572941,34.99394558,38.88216176,6.959629191,13.91925838,17.39907298,20.87888757,24.35870217,27.83851676,31.31833136,34.79814595,6.263500284,12.52700057,15.65875071,18.79050085,21.922251,25.05400114,28.18575128,31.31750142,8.318270378,16.63654076,20.79567594,24.95481113,29.11394632,33.27308151,37.4322167,41.59135189,4.401097096,8.802194193,11.00274274,13.20329129,15.40383984,17.60438839,19.80493693,22.00548548,2.88001793,5.76003586,7.200044826,8.640053791,10.08006276,11.52007172,12.96008069,14.40008965,-18.9260986,-9.211208257,-5.690935279
40,7.572903631,15.14580726,18.93225908,22.71871089,26.50516271,30.29161452,34.07806634,37.86451815,6.870986554,13.74197311,17.17746638,20.61295966,24.04845294,27.48394622,30.91943949,34.35493277,6.217577817,12.43515563,15.54394454,18.65273345,21.76152236,24.87031127,27.97910018,31.08788909,8.282352353,16.56470471,20.70588088,24.84705706,28.98823324,33.12940941,37.27058559,41.41176176,4.474635949,8.949271899,11.18658987,13.42390785,15.66122582,17.8985438,20.13586177,22.37317975,2.904638842,5.809277684,7.261597105,8.713916526,10.16623595,11.61855537,13.07087479,14.52319421,-19.05820433,-9.379766715,-5.773186387
